FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
191130;0000;;;5,41;
191201;0000;;;5,43;
191202;0000;;;4,76;
191203;0000;;;3,13;
191204;0000;;;5,75;
191205;0000;;;4,92;
191206;0000;;;4,41;
191207;0000;;;4,61;
191208;0000;;;4,45;
191209;0000;;;4,27;
191210;0000;;;3,59;
191211;0000;;;4,54;
191212;0000;;;7,47;
191213;0000;;;5,39;
191214;0000;;;4,58;
191215;0000;;;5,39;
191216;0000;;;3,82;
191217;0000;;;6;
191218;0000;;;2,4;
191219;0000;;;4,63;
191220;0000;;;6,23;
191221;0000;;;5,53;
191222;0000;;;4,29;
191223;0000;;;3;
191224;0000;;;1,74;
191225;0000;;;2,53;
191226;0000;;;5;
191227;0000;;;6,07;
191228;0000;;;4,7;
191229;0000;;;3,59;
191230;0000;;;4,32;
191231;0000;;;5,64;
200101;0000;;;3,46;
200102;0000;;;4,14;
200103;0000;;;5,32;
200104;0000;;;3,16;
200105;0000;;;2,23;
200106;0000;;;3,28;
200107;0000;;;3,07;
200108;0000;;;2,45;
200109;0000;;;2,57;
200110;0000;;;4,6;
200111;0000;;;4,15;
200112;0000;;;2,87;
200113;0000;;;8,65;
200114;0000;;;4,59;
200115;0000;;;4,55;
200116;0000;;;8,21;
200117;0000;;;8,12;
200118;0000;;;9,93;
200119;0000;;;5,24;
200120;0000;;;6,05;
200121;0000;;;6,38;
200122;0000;;;3,72;
200123;0000;;;4,86;
200124;0000;;;6,5;
200125;0000;;;10,98;
200126;0000;;;6,89;
200127;0000;;;8,52;
200128;0000;;;4,95;
200129;0000;;;6,48;
200130;0000;;;10,35;
200131;0000;;;6,63;
200201;0000;;;4,27;
200202;0000;;;4,28;
200203;0000;;;2,07;
200204;0000;;;4,21;
200205;0000;;;5,36;
200206;0000;;;4,93;
200207;0000;;;8,08;
200208;0000;;;10,41;
200209;0000;;;8,38;
200210;0000;;;6,99;
200211;0000;;;6,96;
200212;0000;;;5,39;
200213;0000;;;5,59;
200214;0000;;;5,47;
200215;0000;;;5,67;
200216;0000;;;2,85;
200217;0000;;;4,47;
200218;0000;;;6,64;
200219;0000;;;6,93;
200220;0000;;;9,93;
200221;0000;;;9,76;
200222;0000;;;4,94;
200223;0000;;;5,48;
200224;0000;;;5,45;
200225;0000;;;7,18;
200226;0000;;;9,04;
200227;0000;;;7,54;
200228;0000;;;8,7;
200229;0000;;;5,49;
200301;0000;;;2,51;
200302;0000;;;6,7;
200303;0000;;;8,02;
200304;0000;;;6,66;
200305;0000;;;7,18;
200306;0000;;;5,41;
200307;0000;;;6,1;
200308;0000;;;7,84;
200309;0000;;;8,1;
200310;0000;;;6,04;
200311;0000;;;5,54;
200312;0000;;;3,66;
200313;0000;;;4,86;
200314;0000;;;5,11;
200315;0000;;;5,83;
200316;0000;;;6,3;
200317;0000;;;5,15;
200318;0000;;;5,2;
200319;0000;;;7,44;
200320;0000;;;4,7;
200321;0000;;;2,36;
200322;0000;;;1,75;
200323;0000;;;1,99;
200324;0000;;;9,72;
200325;0000;;;10,43;
200326;0000;;;5,75;
200327;0000;;;5,5;
200328;0000;;;7,3;
200329;0000;;;6,33;
200330;0000;;;10,48;
200331;0000;;;8,84;
200401;0000;;;10,39;
200402;0000;;;13,74;
200403;0000;;;12,89;
200404;0000;;;8,5;
200405;0000;;;7,85;
200406;0000;;;16,7;
200407;0000;;;20;
200408;0000;;;7,56;
200409;0000;;;6,99;
200410;0000;;;8,14;
200411;0000;;;9,67;
200412;0000;;;7,19;
200413;0000;;;12,43;
200414;0000;;;13,31;
200415;0000;;;10,73;
200416;0000;;;7,42;
200417;0000;;;9,58;
200418;0000;;;;
200419;0000;;;;
200420;0000;;;;
200421;0000;;;;
200422;0000;;;;
200423;0000;;;;
200424;0000;;;;
200425;0000;;;;
200426;0000;;;;
200427;0000;;;;
200428;0000;;;;
200429;0000;;;;
200430;0000;;;;
200501;0000;;;;
200502;0000;;;;
200503;0000;;;;
200504;0000;;;;
200505;0000;;;;
200506;0000;;;;
200507;0000;;;;
200508;0000;;;;
200509;0000;;;;
200510;0000;;;;
200511;0000;;;;
200512;0000;;;;
200513;0000;;;;
200514;0000;;;;
200515;0000;;;;
200516;0000;;;9,7;
200517;0000;;;6,82;
200518;0000;;;8,99;
200519;0000;;;10,37;
200520;0000;;;7,97;
200521;0000;;;8,82;
200522;0000;;;12,08;
200523;0000;;;9,87;
200524;0000;;;10,01;
200525;0000;;;15,3;
200526;0000;;;10,51;
200527;0000;;;12,11;
200528;0000;;;9,81;
200529;0000;;;11,16;
200530;0000;;;11,57;
200531;0000;;;13,67;
200601;0000;;;16,03;
200602;0000;;;10,52;
200603;0000;;;15,7;
200604;0000;;;13,79;
200605;0000;;;7,15;
200606;0000;;;7,45;
200607;0000;;;6,89;
200608;0000;;;8,94;
200609;0000;;;10,99;
200610;0000;;;6,05;
200611;0000;;;5,14;
200612;0000;;;9,5;
200613;0000;;;9,64;
200614;0000;;;15,66;
200615;0000;;;4,34;
200616;0000;;;5,95;
200617;0000;;;7,63;
200618;0000;;;5,24;
200619;0000;;;10,08;
200620;0000;;;6,35;
200621;0000;;;4,45;
200622;0000;;;10,19;
200623;0000;;;9,06;
200624;0000;;;2,99;
200625;0000;;;2,61;
200626;0000;;;2,02;
200627;0000;;;2,98;
200628;0000;;;3,49;
200629;0000;;;4,98;
200630;0000;;;4,55;
200701;0000;;;8,81;
200702;0000;;;14,47;
200703;0000;;;7,52;
200704;0000;;;4,26;
200705;0000;;;4,96;
200706;0000;;;14,08;
200707;0000;;;6,54;
200708;0000;;;13,07;
200709;0000;;;3,81;
200710;0000;;;7,3;
200711;0000;;;6,68;
200712;0000;;;4,7;
200713;0000;;;7,68;
200714;0000;;;16,69;
200715;0000;;;20,52;
200716;0000;;;2,51;
200717;0000;;;2,48;
200718;0000;;;2,66;
200719;0000;;;3,45;
200720;0000;;;3,71;
200721;0000;;;2,18;
200722;0000;;;3,84;
200723;0000;;;9,03;
200724;0000;;;9,76;
200725;0000;;;4,08;
200726;0000;;;3,35;
200727;0000;;;5;
200728;0000;;;11,84;
200729;0000;;;10,8;
200730;0000;;;8,74;
200731;0000;;;6,34;
200801;0000;;;6,36;
200802;0000;;;4,13;
200803;0000;;;6,48;
200804;0000;;;5,81;
200805;0000;;;3,06;
200806;0000;;;7,85;
200807;0000;;;8,71;
200808;0000;;;7,99;
200809;0000;;;3,96;
200810;0000;;;5,55;
200811;0000;;;8,17;
200812;0000;;;8,67;
200813;0000;;;8,39;
200814;0000;;;8,9;
200815;0000;;;7,61;
200816;0000;;;7,15;
200817;0000;;;9,23;
200818;0000;;;8,43;
200819;0000;;;11,07;
200820;0000;;;12,75;
200821;0000;;;15,13;
200822;0000;;;12,13;
200823;0000;;;3,51;
200824;0000;;;2,09;
200825;0000;;;3,2;
200826;0000;;;6,43;
200827;0000;;;5,69;
200828;0000;;;2,03;
200829;0000;;;4,47;
200830;0000;;;7,28;
200831;0000;;;7,38;
200901;0000;;;10,06;
200902;0000;;;12,75;
200903;0000;;;8,04;
200904;0000;;;10,9;
200905;0000;;;6,12;
200906;0000;;;12,23;
200907;0000;;;8,88;
