FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
191130;0000;;;12,3792;
191201;0000;;;15,4875;
191202;0000;;;10,9125;
191203;0000;;;7,12917;
191204;0000;;;12,4833;
191205;0000;;;10,725;
191206;0000;;;10,8583;
191207;0000;;;10,0625;
191208;0000;;;11,875;
191209;0000;;;14,9292;
191210;0000;;;7,425;
191211;0000;;;10,9083;
191212;0000;;;22,55;
191213;0000;;;10,6625;
191214;0000;;;8,39583;
191215;0000;;;15,85;
191216;0000;;;8,25;
191217;0000;;;20,3667;
191218;0000;;;7,09167;
191219;0000;;;10,1875;
191220;0000;;;17,4708;
191221;0000;;;11,8708;
191222;0000;;;10,1833;
191223;0000;;;10,6042;
191224;0000;;;2,54167;
191225;0000;;;4,04166;
191226;0000;;;11,6833;
191227;0000;;;12,5083;
191228;0000;;;12,4375;
191229;0000;;;6,8375;
191230;0000;;;8,125;
191231;0000;;;12,8375;
200101;0000;;;7,0625;
200102;0000;;;13,9042;
200103;0000;;;9,58749;
200104;0000;;;4,34167;
200105;0000;;;4,25833;
200106;0000;;;8,70416;
200107;0000;;;6,5875;
200108;0000;;;7,60417;
200109;0000;;;6,47087;
200110;0000;;;15,6708;
200111;0000;;;9,14166;
200112;0000;;;8,47501;
200113;0000;;;14,1792;
200114;0000;;;9,15001;
200115;0000;;;8,70416;
200116;0000;;;14,0792;
200117;0000;;;14,4333;
200118;0000;;;16,3958;
200119;0000;;;9,47501;
200120;0000;;;14,0208;
200121;0000;;;16,7708;
200122;0000;;;7,75;
200123;0000;;;7,825;
200124;0000;;;21,8458;
200125;0000;;;22,4667;
200126;0000;;;14,4917;
200127;0000;;;16,8958;
200128;0000;;;17,2667;
200129;0000;;;14,875;
200130;0000;;;27,2875;
200131;0000;;;22,0625;
200201;0000;;;12,2833;
200202;0000;;;10,9125;
200203;0000;;;4,15833;
200204;0000;;;9,00417;
200205;0000;;;16,8708;
200206;0000;;;14,3417;
200207;0000;;;23,8542;
200208;0000;;;24,8625;
200209;0000;;;24,5125;
200210;0000;;;19,225;
200211;0000;;;18,05;
200212;0000;;;18,7708;
200213;0000;;;11,9625;
200214;0000;;;14,0083;
200215;0000;;;15,9667;
200216;0000;;;7,4875;
200217;0000;;;11,1792;
200218;0000;;;12,7708;
200219;0000;;;18,9292;
200220;0000;;;26,5792;
200221;0000;;;16,6542;
200222;0000;;;8,60001;
200223;0000;;;9,19583;
200224;0000;;;14,725;
200225;0000;;;17,8292;
200226;0000;;;27,7125;
200227;0000;;;25,9875;
200228;0000;;;25,4833;
200229;0000;;;18,7208;
200301;0000;;;4,39584;
200302;0000;;;12,1708;
200303;0000;;;28,3958;
200304;0000;;;14,475;
200305;0000;;;16,8833;
200306;0000;;;14,6708;
200307;0000;;;11,475;
200308;0000;;;14,4625;
200309;0000;;;18,6375;
200310;0000;;;15,2083;
200311;0000;;;20,1792;
200312;0000;;;10,1125;
200313;0000;;;10,3625;
200314;0000;;;18,5417;
200315;0000;;;16,4958;
200316;0000;;;19,6958;
200317;0000;;;18,7333;
200318;0000;;;14,05;
200319;0000;;;22,9125;
200320;0000;;;15,5917;
200321;0000;;;3,875;
200322;0000;;;2,175;
200323;0000;;;8,125;
200324;0000;;;17,625;
200325;0000;;;29,1917;
200326;0000;;;13,2667;
200327;0000;;;11,1375;
200328;0000;;;20,1458;
200329;0000;;;22,1042;
200330;0000;;;30,5333;
200331;0000;;;22,4792;
200401;0000;;;29,7208;
200402;0000;;;31,4208;
200403;0000;;;41,1166;
200404;0000;;;17,825;
200405;0000;;;16,2833;
200406;0000;;;37,1545;
200407;0000;;;31,1459;
200408;0000;;;32,9625;
200409;0000;;;10,7083;
200410;0000;;;19,3042;
200411;0000;;;21,1625;
200412;0000;;;15,0375;
200413;0000;;;30,4667;
200414;0000;;;30,775;
200415;0000;;;26,4125;
200416;0000;;;10,275;
200417;0000;;;24,0917;
200418;0000;;;;
200419;0000;;;;
200420;0000;;;;
200421;0000;;;;
200422;0000;;;;
200423;0000;;;;
200424;0000;;;;
200425;0000;;;;
200426;0000;;;;
200427;0000;;;;
200428;0000;;;;
200429;0000;;;;
200430;0000;;;;
200501;0000;;;;
200502;0000;;;;
200503;0000;;;;
200504;0000;;;;
200505;0000;;;;
200506;0000;;;;
200507;0000;;;;
200508;0000;;;;
200509;0000;;;;
200510;0000;;;;
200511;0000;;;;
200512;0000;;;;
200513;0000;;;;
200514;0000;;;;
200515;0000;;;;
200516;0000;;;27,5038;
200517;0000;;;47,9204;
200518;0000;;;22,0767;
200519;0000;;;14,7967;
200520;0000;;;13,2663;
200521;0000;;;24,4017;
200522;0000;;;40,0304;
200523;0000;;;54,8658;
200524;0000;;;41,6208;
200525;0000;;;100,001;
200526;0000;;;65,4166;
200527;0000;;;26,6667;
200528;0000;;;19,6096;
200529;0000;;;22,08;
200530;0000;;;29,5787;
200531;0000;;;36,7313;
200601;0000;;;57,6583;
200602;0000;;;20,3496;
200603;0000;;;52,7867;
200604;0000;;;50,0038;
200605;0000;;;14,9083;
200606;0000;;;10,0929;
200607;0000;;;9,09541;
200608;0000;;;12,4492;
200609;0000;;;23,6512;
200610;0000;;;8,41251;
200611;0000;;;9,41542;
200612;0000;;;14,89;
200613;0000;;;21,3171;
200614;0000;;;42,4796;
200615;0000;;;6,75584;
200616;0000;;;12,5175;
200617;0000;;;9,96542;
200618;0000;;;6,35917;
200619;0000;;;13,8192;
200620;0000;;;8,24251;
200621;0000;;;6,14042;
200622;0000;;;17,3238;
200623;0000;;;12,9492;
200624;0000;;;4,25125;
200625;0000;;;3,95917;
200626;0000;;;3,17167;
200627;0000;;;4,56167;
200628;0000;;;4,67959;
200629;0000;;;6,64667;
200630;0000;;;6,50625;
200701;0000;;;21,0729;
200702;0000;;;42,7425;
200703;0000;;;10,9567;
200704;0000;;;5,91209;
200705;0000;;;8,95084;
200706;0000;;;35,6621;
200707;0000;;;22,9442;
200708;0000;;;26,2579;
200709;0000;;;4,9275;
200710;0000;;;11,8342;
200711;0000;;;9,43959;
200712;0000;;;5,85958;
200713;0000;;;18,4863;
200714;0000;;;58,8654;
200715;0000;;;65,9655;
200716;0000;;;3,68667;
200717;0000;;;3,69125;
200718;0000;;;3,98333;
200719;0000;;;4,83375;
200720;0000;;;9,30167;
200721;0000;;;3,09958;
200722;0000;;;5,41666;
200723;0000;;;17,4342;
200724;0000;;;17,3133;
200725;0000;;;5,54625;
200726;0000;;;4,34042;
200727;0000;;;11,2292;
200728;0000;;;34,1925;
200729;0000;;;18,4937;
200730;0000;;;14,68;
200731;0000;;;9,40959;
200801;0000;;;8,08292;
200802;0000;;;5,2625;
200803;0000;;;13,6646;
200804;0000;;;9,45335;
200805;0000;;;4,39918;
200806;0000;;;20,1787;
200807;0000;;;18,9617;
200808;0000;;;20,2496;
200809;0000;;;7,68869;
200810;0000;;;12,6992;
200811;0000;;;16,1504;
200812;0000;;;16,8904;
200813;0000;;;14,9296;
200814;0000;;;12,8288;
200815;0000;;;10,7229;
200816;0000;;;15,0163;
200817;0000;;;27,8579;
200818;0000;;;13,2367;
200819;0000;;;17,3513;
200820;0000;;;38,2823;
200821;0000;;;42,0034;
200822;0000;;;30,3317;
200823;0000;;;3,97417;
200824;0000;;;2,61626;
200825;0000;;;9,28168;
200826;0000;;;8,91875;
200827;0000;;;7,79625;
200828;0000;;;2,1071;
200829;0000;;;7,16669;
200830;0000;;;13,1354;
200831;0000;;;28,1687;
200901;0000;;;18,9983;
200902;0000;;;20,6796;
200903;0000;;;10,3554;
200904;0000;;;17,4567;
200905;0000;;;8,33292;
200906;0000;;;30,6308;
200907;0000;;;10,9013;
200908;0000;;;13,8187;
200909;0000;;;9,03833;
200910;0000;;;13,3475;
200911;0000;;;15,2483;
200912;0000;;;12,9046;
200913;0000;;;11,1779;
200914;0000;;;21,3333;
200915;0000;;;18,9763;
200916;0000;;;14,7679;
200917;0000;;;13,9321;
200918;0000;;;7,24625;
200919;0000;;;7,74751;
200920;0000;;;16,6654;
200921;0000;;;22,6933;
200922;0000;;;17,6517;
200923;0000;;;12,8446;
200924;0000;;;16,5025;
200925;0000;;;7,50917;
200926;0000;;;3,00708;
200927;0000;;;15,9121;
200928;0000;;;17,8467;
200929;0000;;;5,06834;
200930;0000;;;10,3483;
201001;0000;;;14,95;
201002;0000;;;19,4883;
201003;0000;;;8,60249;
201004;0000;;;7,34792;
201005;0000;;;16,9721;
201006;0000;;;19,1625;
201007;0000;;;10,2988;
201008;0000;;;11,5892;
201009;0000;;;25,4292;
201010;0000;;;8,19041;
201011;0000;;;12,1046;
201012;0000;;;21,2896;
201013;0000;;;11,7925;
201014;0000;;;15,1125;
201015;0000;;;26,0821;
201016;0000;;;10,3958;
201017;0000;;;6,93417;
201018;0000;;;7,11667;
201019;0000;;;7,55583;
201020;0000;;;15,5229;
201021;0000;;;15,245;
201022;0000;;;21,25;
201023;0000;;;11,5471;
201024;0000;;;10,3879;
201025;0000;;;11,0713;
201026;0000;;;12,695;
201027;0000;;;7,58042;
201028;0000;;;14,4246;
201029;0000;;;15,7721;
201030;0000;;;27,1421;
201031;0000;;;19,1588;
201101;0000;;;11,2771;
201102;0000;;;22,0458;
201103;0000;;;14,4692;
201104;0000;;;12,9637;
201105;0000;;;12,3771;
201106;0000;;;21,3175;
201107;0000;;;18,9146;
201108;0000;;;12,3025;
201109;0000;;;14,1979;
201110;0000;;;18,3983;
201111;0000;;;10,4904;
201112;0000;;;17,5996;
201113;0000;;;10,605;
201114;0000;;;15,9158;
201115;0000;;;11,8954;
201116;0000;;;17,3404;
201117;0000;;;13,4742;
201118;0000;;;10,0417;
201119;0000;;;9,32042;
201120;0000;;;8,13916;
201121;0000;;;6,59625;
201122;0000;;;7,73417;
201123;0000;;;8,94833;
201124;0000;;;14,1817;
201125;0000;;;11,3658;
201126;0000;;;13,2863;
201127;0000;;;6,96709;
201128;0000;;;8,03833;
201129;0000;;;9,73416;
201130;0000;;;14,8458;
201201;0000;;;12,2725;
201202;0000;;;15,0159;
201203;0000;;;18,0121;
201204;0000;;;30,21;
201205;0000;;;17,1638;
201206;0000;;;15,4821;
201207;0000;;;10,2229;
201208;0000;;;10,4017;
201209;0000;;;19,4662;
201210;0000;;;15,6858;
201211;0000;;;15,2933;
201212;0000;;;12,5396;
201213;0000;;;12,7458;
201214;0000;;;11,8112;
201215;0000;;;15,8933;
201216;0000;;;28,0788;
201217;0000;;;21,6964;
201218;0000;;;17,1542;
201219;0000;;;15,4704;
201220;0000;;;19,1221;
201221;0000;;;23,3017;
201222;0000;;;12,8379;
201223;0000;;;10,0414;
201224;0000;;;12,6582;
201225;0000;;;14,1083;
201226;0000;;;22,5642;
201227;0000;;;10,225;
201228;0000;;;14,8641;
201229;0000;;;10,7642;
201230;0000;;;11,895;
201231;0000;;;17,4729;
210101;0000;;;11,9013;
210102;0000;;;12,7433;
210103;0000;;;13,8488;
210104;0000;;;13,6808;
210105;0000;;;16,4371;
210106;0000;;;15,4995;
210107;0000;;;16,23;
210108;0000;;;20,8458;
210109;0000;;;11,4646;
210110;0000;;;9,30458;
210111;0000;;;14,1362;
210112;0000;;;18,4604;
210113;0000;;;12,2652;
210114;0000;;;12,165;
210115;0000;;;12,4687;
210116;0000;;;16,5171;
210117;0000;;;19,1275;
210118;0000;;;33,3917;
210119;0000;;;;
210120;0000;;;25,7886;
210121;0000;;;20,3105;
210122;0000;;;27,795;
210123;0000;;;22,99;
210124;0000;;;20,5125;
