FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
191130;0000;;;11,33;
191201;0000;;;5,5;
191202;0000;;;7,42;
191203;0000;;;4,25;
191204;0000;;;6,87;
191205;0000;;;3,2;
191206;0000;;;2,83;
191207;0000;;;2,96;
191208;0000;;;3,7;
191209;0000;;;6,03;
191210;0000;;;3,83;
191211;0000;;;7,2;
191212;0000;;;10,16;
191213;0000;;;3,6;
191214;0000;;;5,12;
191215;0000;;;7,99;
191216;0000;;;2,67;
191217;0000;;;11,25;
191218;0000;;;2,18;
191219;0000;;;4,05;
191220;0000;;;7,83;
191221;0000;;;3,2;
191222;0000;;;2,75;
191223;0000;;;4,01;
191224;0000;;;1,19;
191225;0000;;;2,65;
191226;0000;;;2,43;
191227;0000;;;2,15;
191228;0000;;;3,13;
191229;0000;;;2,86;
191230;0000;;;2,16;
191231;0000;;;2,31;
200101;0000;;;1,3;
200102;0000;;;4,24;
200103;0000;;;1,68;
200104;0000;;;1,4;
200105;0000;;;1,9;
200106;0000;;;5,35;
200107;0000;;;2,77;
200108;0000;;;3,99;
200109;0000;;;1,32;
200110;0000;;;7,59;
200111;0000;;;4,55;
200112;0000;;;5,41;
200113;0000;;;8,83;
200114;0000;;;5,74;
200115;0000;;;2,88;
200116;0000;;;2,71;
200117;0000;;;1,88;
200118;0000;;;4,01;
200119;0000;;;2,09;
200120;0000;;;5,53;
200121;0000;;;3,24;
200122;0000;;;1,42;
200123;0000;;;1,85;
200124;0000;;;8,15;
200125;0000;;;13,06;
200126;0000;;;4,22;
200127;0000;;;6,93;
200128;0000;;;11,16;
200129;0000;;;6,45;
200130;0000;;;10,78;
200131;0000;;;9,95;
200201;0000;;;4,24;
200202;0000;;;2,95;
200203;0000;;;1,25;
200204;0000;;;2,58;
200205;0000;;;6,77;
200206;0000;;;4,28;
200207;0000;;;7,89;
200208;0000;;;6,63;
200209;0000;;;7,08;
200210;0000;;;7,46;
200211;0000;;;5,83;
200212;0000;;;10,9;
200213;0000;;;4,12;
200214;0000;;;3,68;
200215;0000;;;6,73;
200216;0000;;;3,39;
200217;0000;;;5,16;
200218;0000;;;3,16;
200219;0000;;;9,9;
200220;0000;;;7,26;
200221;0000;;;4,56;
200222;0000;;;1,53;
200223;0000;;;3,54;
200224;0000;;;8,32;
200225;0000;;;8,27;
200226;0000;;;9,32;
200227;0000;;;7,08;
200228;0000;;;5,37;
200229;0000;;;2,01;
200301;0000;;;1,14;
200302;0000;;;2,4;
200303;0000;;;7,42;
200304;0000;;;6,85;
200305;0000;;;3,73;
200306;0000;;;3,53;
200307;0000;;;3,73;
200308;0000;;;5,29;
200309;0000;;;4,67;
200310;0000;;;3,28;
200311;0000;;;7,38;
200312;0000;;;1,33;
200313;0000;;;1,67;
200314;0000;;;5,67;
200315;0000;;;1,73;
200316;0000;;;6,14;
200317;0000;;;2,88;
200318;0000;;;7,25;
200319;0000;;;3,36;
200320;0000;;;2,6;
200321;0000;;;1,04;
200322;0000;;;1,13;
200323;0000;;;6,21;
200324;0000;;;6,12;
200325;0000;;;10,15;
200326;0000;;;2,69;
200327;0000;;;3,37;
200328;0000;;;8,2;
200329;0000;;;9,5;
200330;0000;;;16,16;
200331;0000;;;13,64;
200401;0000;;;20,02;
200402;0000;;;13,28;
200403;0000;;;25,9;
200404;0000;;;10,56;
200405;0000;;;6,47;
200406;0000;;;30,26;
200407;0000;;;9,06;
200408;0000;;;4,26;
200409;0000;;;3,5;
200410;0000;;;4,25;
200411;0000;;;7,97;
200412;0000;;;4,18;
200413;0000;;;8,55;
200414;0000;;;5;
200415;0000;;;4,98;
200416;0000;;;1,67;
200417;0000;;;8,15;
200418;0000;;;;
200419;0000;;;;
200420;0000;;;;
200421;0000;;;;
200422;0000;;;;
200423;0000;;;;
200424;0000;;;;
200425;0000;;;;
200426;0000;;;;
200427;0000;;;;
200428;0000;;;;
200429;0000;;;;
200430;0000;;;;
200501;0000;;;;
200502;0000;;;;
200503;0000;;;;
200504;0000;;;;
