FECHA (YYMMDD);HORA (HHMM);;
191129;0100;;
191129;0200;;
191129;0300;;
191129;0400;;
191129;0500;;
191129;0600;;
191129;0700;;
191129;0800;;
191129;0900;;
191129;1000;;
191129;1100;;
191129;1200;;
191129;1300;;
191129;1400;;
191129;1500;;
191129;1600;18,4;
191129;1700;17,6;
191129;1800;17,1;
191129;1900;15,8;
191129;2000;14,5;
191129;2100;13,7;
191129;2200;13;
191129;2300;10,9;
191130;0000;8,60001;
191130;0100;8,89999;
191130;0200;7,6;
191130;0300;7;
191130;0400;6,6;
191130;0500;7;
191130;0600;9,3;
191130;0700;13,6;
191130;0800;14,3;
191130;0900;15,4;
191130;1000;17,8;
191130;1100;19,7;
191130;1200;21;
191130;1300;22,2;
191130;1400;22,1;
191130;1500;21,9;
191130;1600;22,8;
191130;1700;21,7;
191130;1800;20,1;
191130;1900;18,1;
191130;2000;16,1;
191130;2100;15;
191130;2200;14;
191130;2300;12,6;
191201;0000;11;
191201;0100;9,5;
191201;0200;8,10001;
191201;0300;7,5;
191201;0400;7,5;
191201;0500;6,5;
191201;0600;9,39999;
191201;0700;14,1;
191201;0800;17,4;
191201;0900;19,5;
191201;1000;20,4;
191201;1100;21,6;
191201;1200;23,8;
191201;1300;23,3;
191201;1400;23,4;
191201;1500;22,6;
191201;1600;22,4;
191201;1700;21,8;
191201;1800;20,5;
191201;1900;18,8;
191201;2000;16,7;
191201;2100;15,3;
191201;2200;14,5;
191201;2300;14;
191202;0000;13,6;
191202;0100;12;
191202;0200;12,9;
191202;0300;12,6;
191202;0400;12,7;
191202;0500;12,7;
191202;0600;13,1;
191202;0700;14,7;
191202;0800;15,2;
191202;0900;16,5;
191202;1000;18,7;
191202;1100;21,8;
191202;1200;22,1;
191202;1300;21,2;
191202;1400;21,4;
191202;1500;22;
191202;1600;21;
191202;1700;20;
191202;1800;18,5;
191202;1900;15,7;
191202;2000;14,4;
191202;2100;13,5;
191202;2200;13;
191202;2300;12,6;
191203;0000;12,2;
191203;0100;11,9;
191203;0200;11,8;
191203;0300;11,3;
191203;0400;9,8;
191203;0500;9,39999;
191203;0600;10,6;
191203;0700;12,5;
191203;0800;14,9;
191203;0900;16,7;
191203;1000;18;
191203;1100;18,8;
191203;1200;18,9;
191203;1300;19,5;
191203;1400;19,7;
191203;1500;18,8;
191203;1600;18,1;
191203;1700;17,2;
191203;1800;16,4;
191203;1900;15;
191203;2000;13,8;
191203;2100;13,6;
191203;2200;12,9;
191203;2300;12;
191204;0000;10,9;
191204;0100;8,8;
191204;0200;7,4;
191204;0300;7,1;
191204;0400;7,1;
191204;0500;7,2;
191204;0600;10,1;
191204;0700;13,7;
191204;0800;15,8;
191204;0900;19,7;
191204;1000;21,2;
191204;1100;23,1;
191204;1200;23,9;
191204;1300;23,1;
191204;1400;24,2;
191204;1500;23,4;
191204;1600;23,6;
191204;1700;21,9;
191204;1800;20,3;
191204;1900;17,6;
191204;2000;16,1;
191204;2100;14,6;
191204;2200;13,6;
191204;2300;12,7;
191205;0000;12,2;
191205;0100;11,7;
191205;0200;11;
191205;0300;10,1;
191205;0400;9;
191205;0500;8,8;
191205;0600;10;
191205;0700;13,2;
191205;0800;14,7;
191205;0900;16,6;
191205;1000;19,2;
191205;1100;21,7;
191205;1200;21,7;
191205;1300;21,3;
191205;1400;21,1;
191205;1500;21,2;
191205;1600;21,2;
191205;1700;19,5;
