FECHA (YYMMDD);HORA (HHMM);;
191129;0100;;
191129;0200;;
191129;0300;;
191129;0400;;
191129;0500;;
191129;0600;;
191129;0700;;
191129;0800;;
191129;0900;;
191129;1000;;
191129;1100;;
191129;1200;;
191129;1300;;
191129;1400;;
191129;1500;;
191129;1600;3,9;
191129;1700;3,9;
191129;1800;3;
191129;1900;2,7;
191129;2000;3,1;
191129;2100;2,1;
191129;2200;1,7;
191129;2300;1,1;
191130;0000;0,7;
191130;0100;1,1;
191130;0200;0,3;
191130;0300;0,5;
191130;0400;0,7;
191130;0500;0,5;
191130;0600;;
191130;0700;0,7;
191130;0800;2,4;
191130;0900;3,6;
191130;1000;4,3;
191130;1100;4,2;
191130;1200;4,3;
191130;1300;3,7;
191130;1400;3,5;
191130;1500;4,3;
191130;1600;3,1;
191130;1700;3,8;
191130;1800;4,3;
191130;1900;3,7;
191130;2000;3;
191130;2100;2,1;
191130;2200;1,7;
191130;2300;0,8;
191201;0000;0,4;
191201;0100;0,4;
191201;0200;;
191201;0300;0,4;
191201;0400;;
191201;0500;;
191201;0600;0,3;
191201;0700;0,6;
191201;0800;1,2;
191201;0900;1,2;
191201;1000;2,1;
191201;1100;1,8;
191201;1200;2,3;
191201;1300;2,6;
191201;1400;2,5;
191201;1500;3,7;
191201;1600;4,1;
191201;1700;4,2;
191201;1800;4,6;
191201;1900;2,2;
191201;2000;3;
191201;2100;3,3;
191201;2200;2,5;
191201;2300;2,2;
191202;0000;2,4;
191202;0100;1;
191202;0200;3,4;
191202;0300;2,6;
191202;0400;2,7;
191202;0500;1,7;
191202;0600;0,5;
191202;0700;1,1;
191202;0800;2;
191202;0900;2,4;
191202;1000;2,3;
191202;1100;2,4;
191202;1200;2,9;
191202;1300;3,5;
191202;1400;4,8;
191202;1500;5;
191202;1600;6,3;
191202;1700;6,6;
191202;1800;7,1;
191202;1900;7,9;
191202;2000;5,4;
191202;2100;6,1;
191202;2200;5,7;
191202;2300;4,2;
191203;0000;2,6;
191203;0100;2,5;
191203;0200;2,7;
191203;0300;2,3;
191203;0400;1,2;
191203;0500;1;
191203;0600;2,5;
191203;0700;3;
191203;0800;2,8;
191203;0900;4;
191203;1000;5,6;
191203;1100;5,9;
191203;1200;6,7;
191203;1300;6,7;
191203;1400;6,6;
191203;1500;7,3;
191203;1600;7,6;
191203;1700;7,7;
191203;1800;7,3;
191203;1900;4,2;
191203;2000;3,1;
191203;2100;3,1;
191203;2200;3,6;
191203;2300;3,3;
191204;0000;2,9;
191204;0100;1,1;
191204;0200;0,6;
191204;0300;0,5;
191204;0400;1,3;
191204;0500;1,6;
191204;0600;0,8;
191204;0700;1,4;
191204;0800;2,9;
191204;0900;2,7;
191204;1000;3,5;
191204;1100;3,8;
191204;1200;4,3;
191204;1300;4,6;
191204;1400;3,9;
191204;1500;3,6;
191204;1600;5,3;
191204;1700;6,9;
191204;1800;4,4;
191204;1900;5,2;
191204;2000;3,1;
191204;2100;2,5;
191204;2200;2,9;
191204;2300;2,8;
191205;0000;2;
191205;0100;2,2;
191205;0200;1,8;
191205;0300;1,6;
191205;0400;1,2;
191205;0500;1,8;
191205;0600;0,8;
191205;0700;2,1;
191205;0800;2,6;
191205;0900;2,8;
191205;1000;2,2;
191205;1100;2,2;
191205;1200;2,9;
191205;1300;3,5;
191205;1400;3,7;
191205;1500;3,5;
191205;1600;4,8;
191205;1700;6,8;
