FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
061122;0000;;;0,158608;
061123;0000;;;;
061124;0000;;;;
061125;0000;;;0,139909;
061126;0000;;;0,0984545;
061127;0000;;;0,0842608;
061128;0000;;;0,0518181;
061129;0000;;;0,076;
061130;0000;;;;
061201;0000;;;0,0969406;
061202;0000;;;0,124857;
061203;0000;;;0,121545;
061204;0000;;;0,0960449;
061205;0000;;;0,104812;
061206;0000;;;0,13475;
061207;0000;;;0,0844955;
061208;0000;;;0,0889164;
061209;0000;;;0,0838679;
061210;0000;;;0,112873;
061211;0000;;;0,0620756;
061212;0000;;;0,107187;
061213;0000;;;0,0937649;
061214;0000;;;0,109535;
061215;0000;;;0,112123;
061216;0000;;;0,0647219;
061217;0000;;;0,0735943;
061218;0000;;;0,0968591;
061219;0000;;;0,050092;
061220;0000;;;0,0459256;
061221;0000;;;0,0813334;
061222;0000;;;0,0932491;
061223;0000;;;0,0933543;
061224;0000;;;0,0664998;
061225;0000;;;0,0790942;
061226;0000;;;0,0650342;
061227;0000;;;0,0601078;
061228;0000;;;0,0710741;
061229;0000;;;0,0772626;
061230;0000;;;0,0911319;
061231;0000;;;0,0619671;
070101;0000;;;0,0536885;
070102;0000;;;0,0657127;
070103;0000;;;0,0708156;
070104;0000;;;0,0848076;
070105;0000;;;0,0663776;
070106;0000;;;0,0723492;
070107;0000;;;0,0830841;
070108;0000;;;0,0717793;
070109;0000;;;0,0556971;
070110;0000;;;0,0471718;
070111;0000;;;0,00769499;
070112;0000;;;;
070113;0000;;;0,0579327;
070114;0000;;;0,120039;
070115;0000;;;0,0819169;
070116;0000;;;0,0387464;
070117;0000;;;0,0750635;
070118;0000;;;0,169317;
070119;0000;;;0,104934;
070120;0000;;;0,0570135;
070121;0000;;;0,0950406;
070122;0000;;;0,085337;
070123;0000;;;0,101853;
070124;0000;;;0,0966692;
070125;0000;;;0,0826228;
070126;0000;;;0,0693001;
070127;0000;;;0,0846041;
070128;0000;;;0,0797049;
070129;0000;;;0,0739099;
070130;0000;;;0,100266;
070131;0000;;;0,13319;
070201;0000;;;0,300931;
070202;0000;;;0,344801;
070203;0000;;;0,224223;
070204;0000;;;0,312476;
070205;0000;;;0,252989;
070206;0000;;;0,182919;
070207;0000;;;;
070208;0000;;;0,202766;
070209;0000;;;0,295031;
070210;0000;;;0,330434;
070211;0000;;;0,206522;
070212;0000;;;0,247826;
070213;0000;;;0,196195;
070214;0000;;;0,312732;
070215;0000;;;0,242438;
070216;0000;;;0,0774455;
070217;0000;;;0,129076;
070218;0000;;;0,144565;
070219;0000;;;0,24163;
070220;0000;;;0,263988;
070221;0000;;;0,1724;
070222;0000;;;0,226276;
070223;0000;;;0,264723;
070224;0000;;;0,290926;
070225;0000;;;0,247826;
070226;0000;;;0,268478;
070227;0000;;;0,299456;
070228;0000;;;0,2375;
070301;0000;;;0,14807;
070302;0000;;;0,147575;
070303;0000;;;0,130382;
070304;0000;;;0,132317;
070305;0000;;;0,128943;
070306;0000;;;;
070307;0000;;;;
070308;0000;;;;
070309;0000;;;;
070310;0000;;;;
070311;0000;;;;
070312;0000;;;;
070313;0000;;;0,102607;
070314;0000;;;0,21281;
070315;0000;;;0,204336;
070316;0000;;;0,148244;
070317;0000;;;0,136035;
070318;0000;;;0,160046;
070319;0000;;;0,145586;
070320;0000;;;0,254373;
070321;0000;;;0,177602;
070322;0000;;;0,141642;
070323;0000;;;0,210413;
070324;0000;;;0,128499;
070325;0000;;;0,140061;
070326;0000;;;0,140897;
070327;0000;;;0,191377;
070328;0000;;;0,234602;
070329;0000;;;0,177697;
070330;0000;;;0,190593;
070331;0000;;;0,187458;
070401;0000;;;0,197065;
070402;0000;;;0,161559;
070403;0000;;;0,202709;
070404;0000;;;0,208121;
070405;0000;;;0,118797;
070406;0000;;;0,176616;
070407;0000;;;0,208002;
070408;0000;;;0,200402;
070409;0000;;;0,128083;
070410;0000;;;0,111007;
070411;0000;;;0,147832;
070412;0000;;;;
070413;0000;;;;
070414;0000;;;;
070415;0000;;;;
070416;0000;;;;
070417;0000;;;;
070418;0000;;;0,228724;
070419;0000;;;0,301957;
070420;0000;;;0,376128;
070421;0000;;;0,402669;
070422;0000;;;0,538959;
070423;0000;;;0,370934;
070424;0000;;;0,421289;
070425;0000;;;0,443696;
070426;0000;;;0,41775;
070427;0000;;;0,693936;
070428;0000;;;0,521522;
070429;0000;;;0,195213;
070430;0000;;;0,0868298;
070501;0000;;;0,0936699;
070502;0000;;;0,219889;
070503;0000;;;0,325244;
070504;0000;;;0,481376;
070505;0000;;;0,548398;
070506;0000;;;0,489938;
070507;0000;;;0,627646;
070508;0000;;;0,730039;
070509;0000;;;0,623377;
070510;0000;;;0,37101;
070511;0000;;;0,631986;
070512;0000;;;0,443851;
070513;0000;;;0,414769;
070514;0000;;;0,482504;
070515;0000;;;0,580212;
070516;0000;;;0,579831;
070517;0000;;;0,439089;
070518;0000;;;0,762288;
070519;0000;;;0,394166;
070520;0000;;;0,653076;
070521;0000;;;0,692181;
070522;0000;;;0,588049;
070523;0000;;;1,13056;
070524;0000;;;1,48303;
070525;0000;;;0,687905;
070526;0000;;;0,608807;
070527;0000;;;0,849228;
070528;0000;;;0,998816;
070529;0000;;;0,549622;
070530;0000;;;0,368991;
070531;0000;;;0,696451;
070601;0000;;;0,54173;
070602;0000;;;0,879906;
070603;0000;;;1,07381;
070604;0000;;;0,453434;
070605;0000;;;0,41342;
070606;0000;;;0,353216;
070607;0000;;;0,32513;
070608;0000;;;0,283453;
070609;0000;;;0,664488;
070610;0000;;;0,679427;
070611;0000;;;0,333157;
070612;0000;;;0,506556;
070613;0000;;;0,580327;
070614;0000;;;0,788432;
070615;0000;;;0,780888;
070616;0000;;;0,62673;
070617;0000;;;0,680674;
070618;0000;;;0,627535;
070619;0000;;;0,574469;
070620;0000;;;0,285194;
070621;0000;;;0,216782;
070622;0000;;;0,248887;
070623;0000;;;0,578866;
070624;0000;;;0,800325;
070625;0000;;;0,900708;
070626;0000;;;0,434404;
070627;0000;;;0,956381;
070628;0000;;;1,65892;
070629;0000;;;1,43189;
070630;0000;;;0,426184;
070701;0000;;;0,320563;
070702;0000;;;0,393458;
070703;0000;;;0,233261;
070704;0000;;;0,280517;
070705;0000;;;0,448107;
070706;0000;;;0,68406;
070707;0000;;;0,909087;
070708;0000;;;0,752448;
070709;0000;;;0,77473;
070710;0000;;;1,60421;
070711;0000;;;0,878724;
070712;0000;;;0,41904;
070713;0000;;;0,262735;
070714;0000;;;0,46698;
070715;0000;;;0,557019;
070716;0000;;;0,357779;
070717;0000;;;0,455851;
070718;0000;;;0,336546;
070719;0000;;;0,268405;
070720;0000;;;0,517638;
070721;0000;;;0,506843;
070722;0000;;;0,321605;
070723;0000;;;0,207186;
070724;0000;;;0,415359;
070725;0000;;;0,742311;
070726;0000;;;0,729053;
070727;0000;;;1,17062;
070728;0000;;;1,06545;
070729;0000;;;0,600249;
070730;0000;;;0,475874;
070731;0000;;;0,577062;
070801;0000;;;0,572065;
070802;0000;;;0,309173;
070803;0000;;;0,765468;
070804;0000;;;0,993917;
070805;0000;;;0,832084;
070806;0000;;;0,4589;
070807;0000;;;0,457438;
070808;0000;;;0,75096;
070809;0000;;;0,71369;
070810;0000;;;0,798076;
070811;0000;;;0,878313;
070812;0000;;;0,351397;
070813;0000;;;0,367315;
070814;0000;;;0,363747;
070815;0000;;;0,519457;
070816;0000;;;0,670276;
070817;0000;;;0,683254;
070818;0000;;;0,833224;
070819;0000;;;0,951219;
070820;0000;;;0,496208;
070821;0000;;;0,37281;
070822;0000;;;0,441082;
070823;0000;;;0,734396;
070824;0000;;;0,529482;
070825;0000;;;0,724991;
070826;0000;;;0,549277;
