FECHA (YYMMDD);HORA (HHMM);;
120321;0100;;
120321;0200;;
120321;0300;;
120321;0400;;
120321;0500;;
120321;0600;;
120321;0700;;
120321;0800;;
120321;0900;;
120321;1000;;
120321;1100;;
120321;1200;190,8;
120321;1300;188,7;
120321;1400;210,7;
120321;1500;193,2;
120321;1600;197,2;
120321;1700;188,6;
120321;1800;179,5;
120321;1900;178;
120321;2000;170,4;
120321;2100;163,8;
120321;2200;156,5;
120321;2300;153,4;
120322;0000;50,43;
120322;0100;5,461;
120322;0200;42,15;
120322;0300;348,2;
120322;0400;356,5;
120322;0500;14,03;
120322;0600;19,89;
120322;0700;23,01;
120322;0800;27,84;
120322;0900;122,6;
120322;1000;193,9;
120322;1100;197,9;
120322;1200;189,7;
120322;1300;204,4;
120322;1400;216,4;
120322;1500;204,4;
120322;1600;183,3;
120322;1700;180,1;
120322;1800;180,8;
120322;1900;179,3;
120322;2000;192,6;
120322;2100;193,9;
120322;2200;135,7;
120322;2300;353,4;
120323;0000;10,37;
120323;0100;38,64;
120323;0200;28,51;
120323;0300;29,99;
120323;0400;13,97;
120323;0500;40,58;
120323;0600;26,48;
120323;0700;35,5099;
120323;0800;42,35;
120323;0900;265,2;
120323;1000;234,7;
120323;1100;208,7;
120323;1200;193,5;
120323;1300;211,5;
120323;1400;221,1;
120323;1500;201,4;
120323;1600;196,6;
120323;1700;188,6;
120323;1800;188,4;
120323;1900;180,9;
120323;2000;169,9;
120323;2100;167,6;
120323;2200;162;
120323;2300;106,2;
120324;0000;34,39;
120324;0100;9,10999;
120324;0200;1,094;
120324;0300;24;
120324;0400;7,85999;
120324;0500;29,2;
120324;0600;0,131;
120324;0700;355,7;
120324;0800;50,21;
120324;0900;353,4;
120324;1000;219,2;
120324;1100;197,5;
120324;1200;195,4;
120324;1300;209,9;
120324;1400;213,5;
120324;1500;221,1;
120324;1600;202,4;
120324;1700;186,6;
120324;1800;181,3;
120324;1900;176,8;
120324;2000;173,6;
120324;2100;185,7;
120324;2200;181,4;
120324;2300;283,4;
120325;0000;107,9;
120325;0100;45,17;
120325;0200;345,8;
120325;0300;47,05;
120325;0400;23,38;
120325;0500;21,22;
120325;0600;27,54;
120325;0700;2,034;
120325;0800;7,238;
120325;0900;6,39;
120325;1000;202;
120325;1100;200,6;
120325;1200;187,2;
120325;1300;195,7;
120325;1400;220,2;
120325;1500;202,4;
120325;1600;194,1;
120325;1700;200,1;
120325;1800;187;
120325;1900;172,9;
120325;2000;163,9;
120325;2100;147,4;
120325;2200;108,9;
120325;2300;358,3;
120326;0000;354,2;
120326;0100;13,59;
120326;0200;17,29;
120326;0300;11,86;
120326;0400;27,38;
120326;0500;19,35;
120326;0600;46,79;
120326;0700;13,22;
120326;0800;54,52;
120326;0900;43,29;
120326;1000;214,8;
120326;1100;194,3;
120326;1200;193,7;
120326;1300;198,1;
120326;1400;199,7;
120326;1500;222;
120326;1600;217,1;
120326;1700;177,5;
120326;1800;159,5;
120326;1900;142,5;
120326;2000;127,4;
120326;2100;128,3;
120326;2200;248,7;
120326;2300;245;
120327;0000;247,5;
120327;0100;243,8;
120327;0200;289,9;
120327;0300;238,2;
120327;0400;253,1;
120327;0500;218,8;
120327;0600;322,1;
120327;0700;359,1;
120327;0800;242,2;
120327;0900;225,9;
120327;1000;206,9;
120327;1100;213,4;
120327;1200;207,6;
120327;1300;214,8;
120327;1400;196,9;
120327;1500;208;
120327;1600;211;
120327;1700;222,5;
120327;1800;218,9;
120327;1900;208,3;
120327;2000;334,4;
120327;2100;11,62;
120327;2200;82,3999;
120327;2300;135,3;
120328;0000;78,0299;
120328;0100;239,8;
120328;0200;353;
120328;0300;179,2;
120328;0400;142,8;
120328;0500;239,4;
120328;0600;159;
120328;0700;109,8;
120328;0800;128,8;
120328;0900;175,2;
120328;1000;242,2;
120328;1100;208,1;
120328;1200;184,5;
120328;1300;200,9;
120328;1400;200,8;
120328;1500;206,6;
120328;1600;223,2;
120328;1700;194,9;
120328;1800;183,6;
120328;1900;178,2;
120328;2000;172,3;
120328;2100;174,7;
120328;2200;220,8;
120328;2300;85,2999;
120329;0000;193,6;
120329;0100;23,54;
120329;0200;22,59;
120329;0300;30,83;
120329;0400;11,58;
120329;0500;42,53;
120329;0600;18,52;
120329;0700;31,84;
120329;0800;42,98;
120329;0900;66,84;
120329;1000;211;
120329;1100;200,8;
120329;1200;206;
120329;1300;204,1;
120329;1400;223,3;
120329;1500;206,4;
120329;1600;201,7;
120329;1700;207,9;
120329;1800;218,8;
120329;1900;194,6;
120329;2000;151,8;
120329;2100;94,6;
120329;2200;327;
120329;2300;1,377;
120330;0000;359;
120330;0100;7,257;
120330;0200;28,52;
120330;0300;38,89;
120330;0400;3,051;
120330;0500;7,353;
120330;0600;358,1;
120330;0700;49,71;
120330;0800;24,72;
120330;0900;3,894;
120330;1000;189,1;
120330;1100;199,4;
120330;1200;202,5;
120330;1300;201;
120330;1400;227,4;
120330;1500;197;
120330;1600;205;
120330;1700;210,8;
120330;1800;194,7;
120330;1900;244,2;
120330;2000;101,5;
120330;2100;19,93;
120330;2200;24,3;
120330;2300;10,7;
120331;0000;40,23;
120331;0100;20,6;
120331;0200;354,9;
120331;0300;8,25;
120331;0400;12,2;
120331;0500;32,74;
120331;0600;359,7;
120331;0700;301,8;
120331;0800;5,032;
120331;0900;88,2;
120331;1000;230,8;
120331;1100;209,4;
120331;1200;208,6;
120331;1300;197,4;
120331;1400;215,3;
120331;1500;214,6;
120331;1600;202,6;
120331;1700;213,4;
120331;1800;204,5;
120331;1900;192,1;
120331;2000;184,5;
120331;2100;180,7;
120331;2200;175,2;
120331;2300;96,6;
120401;0000;21,61;
120401;0100;78,2999;
120401;0200;45,7599;
120401;0300;345,8;
120401;0400;23,24;
120401;0500;359,2;
120401;0600;11,73;
120401;0700;31,45;
120401;0800;32,6299;
120401;0900;355,4;
120401;1000;205,5;
120401;1100;204;
120401;1200;193,1;
120401;1300;192,1;
120401;1400;205,7;
120401;1500;196;
120401;1600;180;
120401;1700;179,7;
120401;1800;179,6;
120401;1900;179,9;
120401;2000;211,3;
120401;2100;158,1;
120401;2200;69,24;
120401;2300;26,64;
120402;0000;359,8;
120402;0100;28,14;
120402;0200;17,18;
120402;0300;1,445;
120402;0400;22,53;
120402;0500;39,04;
120402;0600;22,06;
120402;0700;2,708;
120402;0800;11,98;
120402;0900;11,07;
120402;1000;255,6;
120402;1100;214,9;
120402;1200;205;
120402;1300;208,2;
120402;1400;216;
120402;1500;204,6;
120402;1600;223,5;
120402;1700;227,9;
120402;1800;224,6;
120402;1900;189,6;
120402;2000;184,2;
120402;2100;193,7;
120402;2200;119,7;
120402;2300;77,3899;
120403;0000;354,1;
120403;0100;4,992;
120403;0200;13,91;
120403;0300;3,721;
120403;0400;14,33;
120403;0500;34,17;
120403;0600;359,5;
120403;0700;39,87;
120403;0800;5,835;
120403;0900;76,2;
120403;1000;319,5;
120403;1100;178,5;
120403;1200;209,5;
120403;1300;198,2;
120403;1400;225,2;
120403;1500;223,4;
120403;1600;209,3;
120403;1700;196,6;
120403;1800;210,7;
120403;1900;197,8;
120403;2000;196,3;
120403;2100;193,7;
120403;2200;210,4;
120403;2300;169,2;
120404;0000;14,47;
120404;0100;17,33;
120404;0200;357,6;
120404;0300;358,1;
120404;0400;7,64899;
120404;0500;1,237;
120404;0600;78,49;
120404;0700;34,37;
120404;0800;41,25;
120404;0900;145,5;
120404;1000;347,7;
120404;1100;212,7;
120404;1200;209,7;
120404;1300;221,6;
120404;1400;199,1;
120404;1500;191,6;
120404;1600;182,8;
120404;1700;176,1;
120404;1800;176,3;
120404;1900;169,7;
120404;2000;145,8;
120404;2100;91,8999;
120404;2200;17,75;
120404;2300;33,52;
120405;0000;39,23;
120405;0100;12,57;
120405;0200;24,17;
120405;0300;32,2599;
120405;0400;23,16;
120405;0500;0,025;
120405;0600;54,09;
120405;0700;13,58;
120405;0800;24,57;
120405;0900;15,95;
120405;1000;273,2;
120405;1100;230,3;
120405;1200;198,8;
120405;1300;200,9;
120405;1400;220,6;
120405;1500;192,6;
120405;1600;225,7;
120405;1700;213,6;
120405;1800;196,8;
120405;1900;153;
120405;2000;132,5;
120405;2100;11,93;
120405;2200;9,26999;
120405;2300;1,608;
120406;0000;10,96;
120406;0100;3,443;
120406;0200;14,63;
120406;0300;353,4;
120406;0400;2,866;
120406;0500;37,2599;
120406;0600;29,81;
120406;0700;1,971;
120406;0800;4,897;
120406;0900;339,1;
120406;1000;175,6;
120406;1100;203,6;
120406;1200;204,2;
120406;1300;200,2;
120406;1400;214,3;
120406;1500;208,7;
120406;1600;207,2;
120406;1700;210,4;
120406;1800;186,7;
120406;1900;180,9;
120406;2000;189,3;
120406;2100;186,6;
120406;2200;215;
120406;2300;131,9;
120407;0000;353,9;
120407;0100;76,47;
120407;0200;17,69;
120407;0300;350,5;
120407;0400;31,78;
120407;0500;195,4;
120407;0600;210,9;
120407;0700;357,7;
120407;0800;77,2699;
120407;0900;10,03;
120407;1000;194,2;
120407;1100;219,6;
120407;1200;193,1;
120407;1300;215,8;
120407;1400;208,6;
120407;1500;198,3;
120407;1600;205,8;
120407;1700;173,2;
120407;1800;204,1;
120407;1900;155,2;
120407;2000;171,8;
120407;2100;138,7;
120407;2200;352,1;
120407;2300;79,0299;
120408;0000;29,17;
120408;0100;7,14;
120408;0200;163,5;
120408;0300;182,1;
120408;0400;356,2;
120408;0500;323,8;
