FECHA (YYMMDD);HORA (HHMM);;
120321;0100;;
120321;0200;;
120321;0300;;
120321;0400;;
120321;0500;;
120321;0600;;
120321;0700;;
120321;0800;;
120321;0900;;
120321;1000;;
120321;1100;;
120321;1200;69,1299;
120321;1300;62,54;
120321;1400;59,87;
120321;1500;61,25;
120321;1600;60,7;
120321;1700;60,46;
120321;1800;63,98;
120321;1900;65,3099;
120321;2000;69,9399;
120321;2100;74,5699;
120321;2200;77,95;
120321;2300;82,7999;
120322;0000;85,3999;
120322;0100;87,8999;
120322;0200;87,7999;
120322;0300;89,1;
120322;0400;89,2999;
120322;0500;89,3999;
120322;0600;89,2999;
120322;0700;89;
120322;0800;86,2999;
120322;0900;73,2899;
120322;1000;67,9199;
120322;1100;56,39;
120322;1200;45,78;
120322;1300;50,58;
120322;1400;49,6;
120322;1500;56,8;
120322;1600;58,42;
120322;1700;61,18;
120322;1800;56,9;
120322;1900;69,1299;
120322;2000;73,12;
120322;2100;77,72;
120322;2200;79,74;
120322;2300;85,1;
120323;0000;85,3999;
120323;0100;87;
120323;0200;87,1;
120323;0300;88,2;
120323;0400;88,7;
120323;0500;88,8999;
120323;0600;88,7;
120323;0700;88,8999;
120323;0800;86,1;
120323;0900;74,1;
120323;1000;67,48;
120323;1100;60,04;
120323;1200;53,6899;
120323;1300;47,74;
120323;1400;50,04;
120323;1500;46,22;
120323;1600;53,31;
120323;1700;56;
120323;1800;60,5;
120323;1900;60,16;
120323;2000;64,2999;
120323;2100;69,6699;
120323;2200;72,3799;
120323;2300;80,1;
120324;0000;82,1;
120324;0100;84,6;
120324;0200;86,6;
120324;0300;86,8999;
120324;0400;87,8999;
120324;0500;87,7999;
120324;0600;88,7999;
120324;0700;89,1;
120324;0800;87;
120324;0900;74,1699;
120324;1000;76,87;
120324;1100;65,86;
120324;1200;57,78;
120324;1300;52,17;
120324;1400;56,02;
120324;1500;56,55;
120324;1600;63,34;
120324;1700;61;
120324;1800;61,4399;
120324;1900;66,6299;
120324;2000;68,7599;
120324;2100;71,1299;
120324;2200;72,2799;
120324;2300;78,6599;
120325;0000;83,2;
120325;0100;84,3999;
120325;0200;84;
120325;0300;85,6;
120325;0400;86,3999;
120325;0500;87,3999;
120325;0600;87,7999;
120325;0700;88,1;
120325;0800;85,7999;
120325;0900;74,34;
120325;1000;70,62;
120325;1100;68,1899;
120325;1200;54,1299;
120325;1300;48,42;
120325;1400;57,41;
120325;1500;61,09;
120325;1600;59,49;
120325;1700;56,58;
120325;1800;59,84;
120325;1900;60,28;
120325;2000;66,1899;
120325;2100;72,4099;
120325;2200;77,8199;
120325;2300;81,2999;
120326;0000;83,2999;
120326;0100;85,1;
120326;0200;86,5;
120326;0300;87,2;
120326;0400;87,3999;
120326;0500;87,5;
120326;0600;87,1;
120326;0700;88;
120326;0800;84,5;
120326;0900;72,5099;
120326;1000;67,85;
120326;1100;62,71;
120326;1200;56,87;
120326;1300;51,52;
120326;1400;49,55;
120326;1500;47,66;
120326;1600;50,7599;
120326;1700;37,48;
120326;1800;31,54;
120326;1900;33,58;
120326;2000;35,71;
120326;2100;39,16;
120326;2200;42,4399;
120326;2300;35,79;
120327;0000;39,98;
120327;0100;21,06;
120327;0200;12,27;
120327;0300;12,68;
120327;0400;15,11;
120327;0500;13,49;
120327;0600;9,79999;
120327;0700;8,64999;
120327;0800;32,75;
120327;0900;36,84;
120327;1000;31,6;
120327;1100;31,49;
120327;1200;26,22;
120327;1300;21,46;
120327;1400;26,39;
120327;1500;27,83;
120327;1600;28,27;
120327;1700;28,24;
120327;1800;33,61;
120327;1900;47,3199;
120327;2000;59,74;
120327;2100;59,1299;
120327;2200;66,36;
120327;2300;71,84;
120328;0000;75,5;
120328;0100;85,1;
120328;0200;87,8999;
120328;0300;89;
120328;0400;89,7;
120328;0500;90,2;
120328;0600;90,5;
120328;0700;90,5;
120328;0800;90,6;
120328;0900;90,5;
120328;1000;82,1;
120328;1100;68,9299;
120328;1200;51,05;
120328;1300;57,56;
120328;1400;46,24;
120328;1500;58,3;
120328;1600;58,64;
120328;1700;61,61;
120328;1800;63,5;
120328;1900;66,4299;
120328;2000;67,58;
120328;2100;70,1799;
120328;2200;75,0099;
120328;2300;80,6;
120329;0000;82,3999;
120329;0100;84,2999;
120329;0200;85,5;
120329;0300;86,5;
120329;0400;87,6;
120329;0500;87,7;
120329;0600;88,1;
120329;0700;88,3999;
120329;0800;85,2;
120329;0900;71,5;
120329;1000;73,59;
120329;1100;67,85;
120329;1200;60,52;
120329;1300;48,59;
120329;1400;41,83;
120329;1500;57,56;
120329;1600;50,46;
120329;1700;48,34;
120329;1800;52,83;
120329;1900;69,1499;
120329;2000;74,98;
120329;2100;78,3199;
120329;2200;79,34;
120329;2300;84,2999;
120330;0000;84,2999;
120330;0100;84,7999;
120330;0200;86,2;
120330;0300;87,2;
120330;0400;87,6;
120330;0500;88,3999;
120330;0600;88,3999;
120330;0700;88,2999;
120330;0800;87,5;
120330;0900;77,0499;
120330;1000;74,7799;
120330;1100;68,3899;
120330;1200;63,83;
120330;1300;63,93;
120330;1400;51,43;
120330;1500;51,66;
120330;1600;58,12;
120330;1700;51,8;
120330;1800;57,9399;
120330;1900;66,1299;
120330;2000;71,6699;
120330;2100;76,74;
120330;2200;80,3999;
120330;2300;82,5;
120331;0000;84,2999;
120331;0100;85,1;
120331;0200;86,3999;
120331;0300;87,7;
120331;0400;88,3999;
120331;0500;89;
120331;0600;89,3999;
120331;0700;89,2;
120331;0800;89,2;
120331;0900;85,2999;
120331;1000;77,1499;
120331;1100;69,61;
120331;1200;65,59;
120331;1300;62,21;
120331;1400;60,3799;
120331;1500;62,64;
120331;1600;63,18;
120331;1700;62,8;
120331;1800;63,3199;
120331;1900;70,86;
120331;2000;74,6399;
120331;2100;77,35;
120331;2200;79,8199;
120331;2300;83,8999;
120401;0000;85,2999;
120401;0100;86,1;
120401;0200;86,7;
120401;0300;88,2;
120401;0400;88,2999;
120401;0500;88,3999;
120401;0600;88,7999;
120401;0700;89,1;
120401;0800;89,1;
120401;0900;86,2999;
120401;1000;72,5199;
120401;1100;64,2999;
120401;1200;59,5699;
120401;1300;52,68;
120401;1400;50,41;
120401;1500;53,05;
120401;1600;52,74;
120401;1700;53,49;
120401;1800;60,28;
120401;1900;66,7699;
120401;2000;67,99;
120401;2100;74,1399;
120401;2200;80,3999;
120401;2300;83,2;
120402;0000;84,6;
120402;0100;85,3999;
120402;0200;85,5;
120402;0300;86,2999;
120402;0400;86;
120402;0500;85,8999;
120402;0600;86,5;
120402;0700;87,1;
120402;0800;84,7;
120402;0900;73,2999;
120402;1000;65,0499;
120402;1100;57,95;
120402;1200;49,1299;
120402;1300;54,77;
120402;1400;50,48;
120402;1500;46,46;
120402;1600;47,5099;
120402;1700;57,64;
120402;1800;59,06;
120402;1900;59,17;
120402;2000;69,61;
120402;2100;68,7999;
120402;2200;77,49;
120402;2300;81,3999;
120403;0000;83,5;
120403;0100;85,6;
120403;0200;86,3999;
120403;0300;87,2;
120403;0400;87,1;
120403;0500;87,8999;
120403;0600;88,7;
120403;0700;88,1;
120403;0800;89;
120403;0900;78,6299;
120403;1000;75,7899;
120403;1100;63,6899;
120403;1200;57,21;
120403;1300;48,96;
120403;1400;48,05;
120403;1500;56,67;
120403;1600;59,9399;
120403;1700;61,23;
120403;1800;67,1399;
120403;1900;72,1399;
120403;2000;72,86;
120403;2100;75,7;
120403;2200;77,6699;
120403;2300;79,49;
120404;0000;81,7999;
120404;0100;81,2;
120404;0200;79,11;
120404;0300;78,34;
120404;0400;79,11;
120404;0500;79,11;
120404;0600;84,8999;
120404;0700;88,3999;
120404;0800;89;
120404;0900;88,7999;
120404;1000;84;
120404;1100;72,6899;
120404;1200;70,7899;
120404;1300;74,37;
120404;1400;66,9399;
120404;1500;49,97;
120404;1600;44,77;
120404;1700;47,37;
120404;1800;54,91;
120404;1900;48,29;
120404;2000;54,1;
120404;2100;70,8999;
120404;2200;74,72;
120404;2300;78,2699;
120405;0000;80,2999;
120405;0100;81,8999;
120405;0200;82,3999;
120405;0300;84,2;
120405;0400;85,2;
120405;0500;80,1;
120405;0600;82,6;
120405;0700;76,8099;
120405;0800;73,2599;
120405;0900;63,1899;
120405;1000;52,31;
120405;1100;46,4;
120405;1200;52,58;
120405;1300;58,56;
120405;1400;63,73;
120405;1500;61,53;
120405;1600;61,2599;
120405;1700;66,2999;
120405;1800;70,1499;
120405;1900;74,95;
120405;2000;75,2899;
120405;2100;78,8799;
120405;2200;81,6;
120405;2300;81,7;
120406;0000;79,7599;
120406;0100;77,8999;
120406;0200;79,9199;
120406;0300;80,7;
120406;0400;79,8199;
120406;0500;81;
120406;0600;82,5;
120406;0700;86,7;
120406;0800;86,7;
120406;0900;83,7999;
120406;1000;80;
120406;1100;79,6799;
120406;1200;79,1399;
120406;1300;82,2;
120406;1400;72,1699;
120406;1500;78,2599;
120406;1600;80,6;
120406;1700;73,6299;
120406;1800;80,2999;
120406;1900;82,7;
120406;2000;84,2;
120406;2100;83,7999;
120406;2200;84,2;
120406;2300;86,2;
120407;0000;88,1;
120407;0100;87,7999;
120407;0200;88,3999;
120407;0300;88;
120407;0400;88,7;
120407;0500;89,2;
120407;0600;89,3999;
120407;0700;89,7999;
120407;0800;90,1;
120407;0900;89,6;
120407;1000;82;
120407;1100;76,6;
120407;1200;75,7599;
120407;1300;78,6299;
120407;1400;84,3999;
120407;1500;85,8999;
