FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120322;0000;;;73,0132;
120323;0000;;;68,5715;
120324;0000;;;63,4037;
120325;0000;;;42,8441;
120326;0000;;;74,1732;
120327;0000;;;67,6482;
120328;0000;;;70,1711;
120329;0000;;;94,8932;
120330;0000;;;116,209;
120331;0000;;;67,0599;
120401;0000;;;55,6266;
120402;0000;;;86,0757;
120403;0000;;;72,152;
120404;0000;;;48,7504;
120405;0000;;;83,0969;
120406;0000;;;53,0925;
120407;0000;;;52,0424;
120408;0000;;;53,5412;
120409;0000;;;73,4919;
120410;0000;;;80,7374;
120411;0000;;;133,359;
120412;0000;;;114,532;
120413;0000;;;82,9124;
120414;0000;;;81,6694;
120415;0000;;;70,6965;
120416;0000;;;107,749;
120417;0000;;;115,409;
120418;0000;;;88,1373;
120419;0000;;;102,737;
120420;0000;;;114,807;
120421;0000;;;164,027;
120422;0000;;;92,8624;
120423;0000;;;72,4344;
120424;0000;;;94,5715;
120425;0000;;;97,5491;
120426;0000;;;116,994;
120427;0000;;;96,719;
120428;0000;;;37,5254;
120429;0000;;;45,4874;
120430;0000;;;47,3029;
120501;0000;;;59,7558;
120502;0000;;;58,9354;
120503;0000;;;103,558;
120504;0000;;;144,47;
120505;0000;;;51,7316;
120506;0000;;;25,9985;
120507;0000;;;54,2187;
120508;0000;;;100,943;
120509;0000;;;71,2269;
120510;0000;;;52,9816;
120511;0000;;;80,8445;
120512;0000;;;124,587;
120513;0000;;;95,272;
120514;0000;;;99,8162;
120515;0000;;;52,9241;
120516;0000;;;102,186;
120517;0000;;;76,0344;
120518;0000;;;89,0853;
120519;0000;;;57,1008;
120520;0000;;;67,9403;
120521;0000;;;100,286;
120522;0000;;;143,043;
120523;0000;;;228,3;
120524;0000;;;247,55;
120525;0000;;;99,4767;
120526;0000;;;;
120527;0000;;;;
120528;0000;;;33,5275;
120529;0000;;;108,505;
120530;0000;;;153,65;
120531;0000;;;162,743;
120601;0000;;;52,7328;
120602;0000;;;62,5704;
120603;0000;;;81,6183;
120604;0000;;;103,584;
120605;0000;;;101,24;
120606;0000;;;141,996;
120607;0000;;;199,893;
120608;0000;;;200,519;
120609;0000;;;92,161;
120610;0000;;;91,3127;
120611;0000;;;50,8779;
120612;0000;;;21,6179;
120613;0000;;;73,1262;
120614;0000;;;89,8353;
120615;0000;;;31,9047;
120616;0000;;;25,2799;
120617;0000;;;34,5791;
120618;0000;;;40,4274;
120619;0000;;;49,8099;
120620;0000;;;31,5079;
120621;0000;;;59,7933;
120622;0000;;;30,4354;
120623;0000;;;53,652;
120624;0000;;;70,0745;
120625;0000;;;139,173;
120626;0000;;;109,436;
120627;0000;;;40,1729;
120628;0000;;;42,8887;
120629;0000;;;54,8126;
120630;0000;;;51,8812;
120701;0000;;;53,0212;
120702;0000;;;101,442;
120703;0000;;;81,9249;
120704;0000;;;53,5962;
120705;0000;;;96,4545;
120706;0000;;;59,4024;
120707;0000;;;56,9341;
120708;0000;;;59,9796;
120709;0000;;;103,818;
120710;0000;;;104,602;
120711;0000;;;81,4904;
120712;0000;;;89,4336;
120713;0000;;;104,501;
120714;0000;;;71,4332;
120715;0000;;;57,0941;
120716;0000;;;115,02;
120717;0000;;;155,037;
120718;0000;;;84,1694;
120719;0000;;;126,676;
120720;0000;;;84,317;
120721;0000;;;70,8112;
120722;0000;;;87,567;
120723;0000;;;68,8491;
120724;0000;;;89,8666;
120725;0000;;;102,801;
120726;0000;;;110,148;
120727;0000;;;108,909;
120728;0000;;;109,357;
120729;0000;;;106,855;
120730;0000;;;123,087;
120731;0000;;;61,3751;
120801;0000;;;20,807;
120802;0000;;;31,895;
120803;0000;;;59,8746;
120804;0000;;;108,421;
120805;0000;;;64,2445;
120806;0000;;;80,0911;
120807;0000;;;94,6174;
120808;0000;;;85,6948;
120809;0000;;;79,7578;
120810;0000;;;99,442;
120811;0000;;;92,3011;
120812;0000;;;50,3375;
120813;0000;;;69,5211;
120814;0000;;;19,888;
120815;0000;;;23,0771;
120816;0000;;;21,3938;
120817;0000;;;42,2162;
120818;0000;;;77,4144;
120819;0000;;;50,85;
120820;0000;;;54,0079;
120821;0000;;;46,4385;
120822;0000;;;52,5925;
120823;0000;;;71,3545;
120824;0000;;;100,856;
120825;0000;;;115,507;
120826;0000;;;96,3041;
120827;0000;;;116,24;
120828;0000;;;115,819;
120829;0000;;;98,8265;
120830;0000;;;96,4194;
120831;0000;;;76,892;
120901;0000;;;107,193;
120902;0000;;;87,394;
120903;0000;;;54,4966;
120904;0000;;;47,8599;
120905;0000;;;75,0061;
120906;0000;;;60,752;
120907;0000;;;78,1832;
120908;0000;;;76,5916;
120909;0000;;;79,9648;
120910;0000;;;72,6899;
120911;0000;;;63,6662;
120912;0000;;;99,4415;
120913;0000;;;88,8065;
120914;0000;;;28,5754;
120915;0000;;;27,587;
120916;0000;;;42,9924;
120917;0000;;;48,9362;
120918;0000;;;45,9033;
120919;0000;;;46,2533;
120920;0000;;;37,7324;
120921;0000;;;60,2878;
120922;0000;;;51,1208;
120923;0000;;;49,9254;
120924;0000;;;90,3649;
120925;0000;;;129,12;
120926;0000;;;70,587;
120927;0000;;;55,9383;
120928;0000;;;86,4224;
120929;0000;;;55,9274;
120930;0000;;;52,3478;
121001;0000;;;59,0658;
121002;0000;;;47,1441;
121003;0000;;;53,8204;
121004;0000;;;52,515;
121005;0000;;;30,3529;
121006;0000;;;50,7412;
121007;0000;;;58,0491;
121008;0000;;;44,1683;
121009;0000;;;61,7712;
121010;0000;;;66,6353;
121011;0000;;;76,0116;
121012;0000;;;44,5693;
121013;0000;;;32,7916;
121014;0000;;;37,5145;
121015;0000;;;32,0641;
121016;0000;;;65,6682;
121017;0000;;;45,7725;
121018;0000;;;56,7433;
121019;0000;;;42,786;
121020;0000;;;32,5054;
121021;0000;;;35,3754;
121022;0000;;;27,7966;
121023;0000;;;55,3004;
121024;0000;;;45,6575;
121025;0000;;;56,9841;
121026;0000;;;45,1212;
121027;0000;;;69,627;
121028;0000;;;44,6899;
121029;0000;;;56,5154;
121030;0000;;;56,017;
121031;0000;;;62,7766;
121101;0000;;;42,8262;
121102;0000;;;44,4625;
121103;0000;;;49,1362;
121104;0000;;;38,3112;
121105;0000;;;62,1466;
121106;0000;;;59,4449;
121107;0000;;;26,5871;
121108;0000;;;27,0941;
121109;0000;;;36,1129;
121110;0000;;;69,8265;
121111;0000;;;41,5654;
121112;0000;;;42,5803;
121113;0000;;;35,0366;
121114;0000;;;26,1691;
121115;0000;;;35,9979;
121116;0000;;;49,9924;
121117;0000;;;29,4546;
121118;0000;;;38,6287;
121119;0000;;;49,7078;
121120;0000;;;76,9749;
121121;0000;;;66,9857;
121122;0000;;;68,5278;
121123;0000;;;68,8165;
121124;0000;;;66,7516;
121125;0000;;;49,0416;
121126;0000;;;79,4857;
121127;0000;;;104,671;
121128;0000;;;98,3932;
121129;0000;;;30,7304;
121130;0000;;;35,6254;
121201;0000;;;30,8621;
121202;0000;;;16,2647;
121203;0000;;;40,6608;
121204;0000;;;57,6262;
121205;0000;;;21,2216;
121206;0000;;;19,6991;
121207;0000;;;34,1866;
121208;0000;;;53,6037;
121209;0000;;;48,8375;
121210;0000;;;27,6771;
121211;0000;;;41,8466;
121212;0000;;;37,5412;
121213;0000;;;65,9429;
121214;0000;;;26,5558;
121215;0000;;;43,4595;
121216;0000;;;23,7949;
121217;0000;;;44,0058;
121218;0000;;;22,8507;
121219;0000;;;25,0171;
121220;0000;;;23,2691;
121221;0000;;;32,3857;
121222;0000;;;33,8304;
121223;0000;;;23,8125;
121224;0000;;;23,74;
121225;0000;;;16,48;
121226;0000;;;30,4816;
121227;0000;;;39,8887;
121228;0000;;;46,6566;
121229;0000;;;48,2412;
121230;0000;;;23,2533;
121231;0000;;;39,0854;
130101;0000;;;53,0529;
130102;0000;;;48,3437;
130103;0000;;;41,722;
130104;0000;;;42,3887;
130105;0000;;;44,6741;
130106;0000;;;18,5008;
130107;0000;;;20,7372;
130108;0000;;;34,9033;
130109;0000;;;52,0887;
130110;0000;;;67,9016;
130111;0000;;;39,8187;
130112;0000;;;49,5825;
130113;0000;;;41,0412;
130114;0000;;;45,1058;
130115;0000;;;31,6315;
130116;0000;;;44,8116;
130117;0000;;;54,3166;
130118;0000;;;48,9862;
130119;0000;;;34,4087;
130120;0000;;;12,5437;
130121;0000;;;16,6959;
130122;0000;;;29,7014;
130123;0000;;;53,3907;
130124;0000;;;52,0974;
130125;0000;;;53,3662;
130126;0000;;;62,402;
130127;0000;;;46,6083;
130128;0000;;;34,9891;
130129;0000;;;54,0287;
130130;0000;;;59,9716;
130131;0000;;;50,0312;
130201;0000;;;40,3979;
130202;0000;;;44,5287;
130203;0000;;;47,0324;
130204;0000;;;63,1358;
130205;0000;;;56,075;
130206;0000;;;44,3191;
130207;0000;;;63,4341;
130208;0000;;;51,9708;
130209;0000;;;56,8841;
130210;0000;;;18,8342;
130211;0000;;;16,96;
130212;0000;;;39,6797;
130213;0000;;;33,3995;
130214;0000;;;38,3907;
130215;0000;;;19,6196;
130216;0000;;;18,3199;
130217;0000;;;25,1987;
130218;0000;;;36,0495;
130219;0000;;;47,1362;
130220;0000;;;44,5212;
130221;0000;;;47,9433;
130222;0000;;;49,8183;
130223;0000;;;32,0403;
130224;0000;;;38,0278;
130225;0000;;;52,9649;
130226;0000;;;52,1937;
130227;0000;;;40,6974;
130228;0000;;;44,5116;
130301;0000;;;42,8704;
130302;0000;;;81,2;
130303;0000;;;81,2;
130304;0000;;;81,1957;
130305;0000;;;68,6112;
130306;0000;;;35,3624;
130307;0000;;;54,8804;
130308;0000;;;60,9637;
130309;0000;;;40,9645;
130310;0000;;;40,2641;
130311;0000;;;42,7562;
130312;0000;;;75,6603;
130313;0000;;;70,4753;
130314;0000;;;108,547;
130315;0000;;;155,242;
130316;0000;;;134,24;
130317;0000;;;62,4249;
130318;0000;;;50,5809;
130319;0000;;;55,6307;
130320;0000;;;42,6016;
130321;0000;;;51,3341;
130322;0000;;;81,4191;
130323;0000;;;73,9769;
130324;0000;;;43,4749;
130325;0000;;;63,2362;
130326;0000;;;82,1779;
130327;0000;;;83,4391;
130328;0000;;;91,8436;
130329;0000;;;34,0391;
130330;0000;;;29,5021;
130331;0000;;;37,6491;
130401;0000;;;44,6475;
130402;0000;;;71,8049;
130403;0000;;;84,3519;
130404;0000;;;41,8699;
130405;0000;;;25,9452;
130406;0000;;;42,1783;
130407;0000;;;52,7153;
130408;0000;;;99,9899;
130409;0000;;;52,212;
130410;0000;;;18,5558;
130411;0000;;;46,5441;
130412;0000;;;75,6836;
130413;0000;;;96,3315;
130414;0000;;;89,682;
130415;0000;;;89,8029;
130416;0000;;;34,3531;
130417;0000;;;80,212;
130418;0000;;;74,3312;
130419;0000;;;51,5878;
130420;0000;;;36,9791;
130421;0000;;;18,3882;
130422;0000;;;33,0533;
130423;0000;;;70,3499;
130424;0000;;;84,0444;
130425;0000;;;64,2874;
130426;0000;;;66,6083;
130427;0000;;;88,5311;
130428;0000;;;74,2198;
130429;0000;;;63,6887;
130430;0000;;;46,5978;
130501;0000;;;27,4075;
130502;0000;;;21,1233;
130503;0000;;;37,5449;
130504;0000;;;74,7386;
130505;0000;;;73,0712;
130506;0000;;;88,1245;
130507;0000;;;142,489;
130508;0000;;;116,311;
130509;0000;;;53,27;
130510;0000;;;51,7991;
130511;0000;;;70,5437;
130512;0000;;;66,4224;
130513;0000;;;76,399;
130514;0000;;;70,8737;
130515;0000;;;97,0753;
130516;0000;;;107,344;
130517;0000;;;120,789;
130518;0000;;;83,8099;
130519;0000;;;65,6228;
130520;0000;;;83,5353;
130521;0000;;;84,749;
130522;0000;;;89,7808;
130523;0000;;;80,167;
130524;0000;;;74,8107;
130525;0000;;;54,1087;
130526;0000;;;29,6875;
130527;0000;;;29,384;
130528;0000;;;36,7091;
130529;0000;;;62,0674;
130530;0000;;;38,9202;
130531;0000;;;36,4758;
130601;0000;;;56,335;
130602;0000;;;59,9262;
130603;0000;;;86,3295;
130604;0000;;;74,0758;
130605;0000;;;74,5791;
130606;0000;;;120,687;
130607;0000;;;105,057;
130608;0000;;;108,572;
130609;0000;;;97,6915;
130610;0000;;;111,093;
130611;0000;;;110,65;
130612;0000;;;121,514;
130613;0000;;;109,834;
130614;0000;;;75,4032;
130615;0000;;;46,6358;
130616;0000;;;79,4478;
130617;0000;;;70,0579;
130618;0000;;;85,3215;
130619;0000;;;114,379;
130620;0000;;;74,5649;
130621;0000;;;35,4733;
130622;0000;;;64,984;
130623;0000;;;70,9653;
130624;0000;;;95,1782;
130625;0000;;;97,2369;
130626;0000;;;41,1408;
130627;0000;;;27,2862;
130628;0000;;;56,8008;
130629;0000;;;59,5545;
130630;0000;;;52,8004;
130701;0000;;;54,6349;
130702;0000;;;21,3871;
130703;0000;;;65,6049;
130704;0000;;;91,4769;
130705;0000;;;121,461;
130706;0000;;;130,796;
130707;0000;;;142,676;
130708;0000;;;63,382;
130709;0000;;;18,6901;
130710;0000;;;18,306;
130711;0000;;;54,0699;
130712;0000;;;80,392;
130713;0000;;;59,1283;
130714;0000;;;71,8578;
130715;0000;;;105,882;
130716;0000;;;79,0308;
130717;0000;;;45,0841;
130718;0000;;;94,7799;
130719;0000;;;133,566;
130720;0000;;;75,3158;
130721;0000;;;47,8854;
130722;0000;;;98,952;
130723;0000;;;150,701;
130724;0000;;;151,188;
130725;0000;;;128,905;
130726;0000;;;61,5249;
130727;0000;;;69,0132;
130728;0000;;;76,2153;
130729;0000;;;62,7679;
130730;0000;;;30,5564;
130731;0000;;;66,8174;
130801;0000;;;79,6178;
130802;0000;;;66,2212;
130803;0000;;;34,1516;
130804;0000;;;34,0462;
130805;0000;;;87,1661;
130806;0000;;;47,4349;
130807;0000;;;50,142;
130808;0000;;;91,6508;
130809;0000;;;79,3044;
130810;0000;;;58,4954;
130811;0000;;;24,1954;
130812;0000;;;63,1733;
130813;0000;;;109,57;
130814;0000;;;102,814;
130815;0000;;;71,0366;
130816;0000;;;143,482;
130817;0000;;;125,819;
130818;0000;;;56,8204;
130819;0000;;;45,2169;
130820;0000;;;79,2395;
130821;0000;;;60,3958;
130822;0000;;;78,9774;
130823;0000;;;121,344;
130824;0000;;;131,075;
130825;0000;;;73,0953;
130826;0000;;;107,647;
130827;0000;;;63,3766;
130828;0000;;;57,952;
130829;0000;;;45,3366;
130830;0000;;;44,3366;
130831;0000;;;37,1658;
130901;0000;;;49,6062;
130902;0000;;;53,0866;
130903;0000;;;89,4116;
130904;0000;;;38,9562;
130905;0000;;;21,5129;
130906;0000;;;31,1804;
130907;0000;;;25,2196;
130908;0000;;;35,6036;
130909;0000;;;20,1775;
130910;0000;;;60,967;
130911;0000;;;66,9774;
130912;0000;;;57,8712;
130913;0000;;;85,302;
130914;0000;;;67,9598;
130915;0000;;;44,3137;
130916;0000;;;88,1375;
