FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120322;0000;;;23,7477;
120323;0000;;;22,7964;
120324;0000;;;18,48;
120325;0000;;;8,59886;
120326;0000;;;46,5523;
120327;0000;;;15,6906;
120328;0000;;;17,3016;
120329;0000;;;33,1187;
120330;0000;;;26,3524;
120331;0000;;;14,9361;
120401;0000;;;7,63686;
120402;0000;;;23,8293;
120403;0000;;;16,4005;
120404;0000;;;8,0829;
120405;0000;;;27,5436;
120406;0000;;;7,83566;
120407;0000;;;10,6809;
120408;0000;;;10,6144;
120409;0000;;;26,7308;
120410;0000;;;16,817;
120411;0000;;;42,5756;
120412;0000;;;31,7446;
120413;0000;;;18,5735;
120414;0000;;;25,7503;
120415;0000;;;11,3703;
120416;0000;;;31,2652;
120417;0000;;;32,4984;
120418;0000;;;24,9365;
120419;0000;;;33,75;
120420;0000;;;32,7953;
120421;0000;;;40,46;
120422;0000;;;11,9833;
120423;0000;;;13,4912;
120424;0000;;;14,27;
120425;0000;;;12,6416;
120426;0000;;;41,0899;
120427;0000;;;23,908;
120428;0000;;;3,22105;
120429;0000;;;6,52449;
120430;0000;;;9,33173;
120501;0000;;;9,8261;
120502;0000;;;7,86558;
120503;0000;;;35,5802;
120504;0000;;;54,4153;
120505;0000;;;5,46195;
120506;0000;;;1,38039;
120507;0000;;;25,0671;
120508;0000;;;32,6659;
120509;0000;;;22,9517;
120510;0000;;;10,7388;
120511;0000;;;25,1249;
120512;0000;;;30,8427;
120513;0000;;;11,2811;
120514;0000;;;14,0713;
120515;0000;;;3,45809;
120516;0000;;;21,4568;
120517;0000;;;11,9528;
120518;0000;;;19,2511;
120519;0000;;;;
120520;0000;;;5,67872;
120521;0000;;;17,7399;
120522;0000;;;35,9348;
120523;0000;;;56,2128;
120524;0000;;;66,4548;
120525;0000;;;;
120526;0000;;;;
120527;0000;;;;
120528;0000;;;;
120529;0000;;;28,2487;
120530;0000;;;46,3818;
120531;0000;;;33,7982;
120601;0000;;;;
120602;0000;;;;
120603;0000;;;;
120604;0000;;;25,6861;
120605;0000;;;17,5025;
120606;0000;;;29,6867;
120607;0000;;;59,28;
120608;0000;;;56,8752;
120609;0000;;;;
120610;0000;;;;
120611;0000;;;;
120612;0000;;;;
120613;0000;;;;
120614;0000;;;23,9155;
120615;0000;;;1,87946;
120616;0000;;;1,96529;
120617;0000;;;1,10045;
120618;0000;;;9,75415;
120619;0000;;;16,2182;
120620;0000;;;20,3591;
120621;0000;;;10,4466;
120622;0000;;;0,729226;
120623;0000;;;5,76291;
120624;0000;;;;
120625;0000;;;35,317;
120626;0000;;;;
120627;0000;;;;
120628;0000;;;7,80529;
120629;0000;;;12,2438;
120630;0000;;;6,34734;
120701;0000;;;2,59642;
120702;0000;;;7,3082;
120703;0000;;;11,8768;
120704;0000;;;13,3963;
120705;0000;;;12,1333;
120706;0000;;;7,05988;
120707;0000;;;;
120708;0000;;;;
120709;0000;;;14,7154;
120710;0000;;;17,7134;
120711;0000;;;11,4819;
120712;0000;;;27,5431;
120713;0000;;;34,8914;
120714;0000;;;16,6892;
120715;0000;;;;
120716;0000;;;13,6887;
120717;0000;;;32,9799;
120718;0000;;;23,5995;
120719;0000;;;20,6041;
120720;0000;;;;
120721;0000;;;;
120722;0000;;;;
120723;0000;;;;
120724;0000;;;23,8931;
120725;0000;;;29,4142;
120726;0000;;;37,5709;
120727;0000;;;28,0634;
120728;0000;;;23,8015;
120729;0000;;;;
120730;0000;;;48,7409;
120731;0000;;;;
120801;0000;;;;
120802;0000;;;;
120803;0000;;;21,7081;
120804;0000;;;16,0926;
120805;0000;;;;
120806;0000;;;20,2256;
120807;0000;;;19,5399;
120808;0000;;;15,3808;
120809;0000;;;;
120810;0000;;;11,171;
120811;0000;;;10,3086;
120812;0000;;;;
120813;0000;;;;
120814;0000;;;;
120815;0000;;;0,468166;
120816;0000;;;1,04979;
120817;0000;;;6,92279;
120818;0000;;;4,35952;
120819;0000;;;;
120820;0000;;;;
120821;0000;;;;
120822;0000;;;2,36773;
