FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
061122;0000;;;12,5575;
061123;0000;;;8,69611;
061124;0000;;;9,78352;
061125;0000;;;13,6767;
061126;0000;;;5,76305;
061127;0000;;;6,04727;
061128;0000;;;10,3096;
061129;0000;;;12,0553;
061130;0000;;;12,422;
061201;0000;;;13,5749;
061202;0000;;;10,2018;
061203;0000;;;8,54752;
061204;0000;;;8,36064;
061205;0000;;;11,8419;
061206;0000;;;12,8654;
061207;0000;;;9,90681;
061208;0000;;;8,69322;
061209;0000;;;9,2188;
061210;0000;;;9,78006;
061211;0000;;;7,44544;
061212;0000;;;13,7338;
061213;0000;;;14,2097;
061214;0000;;;16,317;
061215;0000;;;7,93598;
061216;0000;;;5,34415;
061217;0000;;;5,76542;
061218;0000;;;12,711;
061219;0000;;;9,74483;
061220;0000;;;11,2246;
061221;0000;;;15,1288;
061222;0000;;;14,0544;
061223;0000;;;7,29344;
061224;0000;;;10,8137;
061225;0000;;;10,0284;
061226;0000;;;11,2254;
061227;0000;;;10,6724;
061228;0000;;;13,8557;
061229;0000;;;12,588;
061230;0000;;;9,56732;
061231;0000;;;9,58484;
070101;0000;;;3,35871;
070102;0000;;;6,13197;
070103;0000;;;8,43805;
070104;0000;;;9,92572;
070105;0000;;;10,2236;
070106;0000;;;17,3152;
070107;0000;;;4,85696;
070108;0000;;;5,99561;
070109;0000;;;8,40979;
070110;0000;;;11,063;
070111;0000;;;6,98032;
070112;0000;;;14,4382;
070113;0000;;;8,05251;
070114;0000;;;6,46603;
070115;0000;;;8,36284;
070116;0000;;;5,60454;
070117;0000;;;11,1348;
070118;0000;;;30,8737;
070119;0000;;;24,2227;
070120;0000;;;5,77715;
070121;0000;;;2,26751;
070122;0000;;;2,95935;
070123;0000;;;5,45346;
070124;0000;;;7,23436;
070125;0000;;;5,39345;
070126;0000;;;4,45551;
070127;0000;;;5,6875;
070128;0000;;;4,29687;
070129;0000;;;4,88209;
070130;0000;;;7,70609;
070131;0000;;;5,43579;
070201;0000;;;27,7841;
070202;0000;;;38,7995;
070203;0000;;;11,8177;
070204;0000;;;17,9547;
070205;0000;;;25,6592;
070206;0000;;;8,36198;
070207;0000;;;11,4063;
070208;0000;;;20,4415;
070209;0000;;;21,7375;
070210;0000;;;24,0473;
070211;0000;;;6,48796;
070212;0000;;;19,2332;
070213;0000;;;15,8728;
070214;0000;;;19,9365;
070215;0000;;;11,8399;
070216;0000;;;11,1543;
070217;0000;;;16,5872;
070218;0000;;;10,319;
070219;0000;;;19,6669;
070220;0000;;;20,9823;
070221;0000;;;12,5526;
070222;0000;;;17,1664;
070223;0000;;;19,751;
070224;0000;;;15,0257;
070225;0000;;;12,4642;
070226;0000;;;10,6525;
070227;0000;;;22,0144;
070228;0000;;;18,8615;
070301;0000;;;17,8684;
070302;0000;;;20,9121;
070303;0000;;;25,8916;
070304;0000;;;7,47712;
070305;0000;;;18,4825;
070306;0000;;;21,0248;
070307;0000;;;19,855;
070308;0000;;;18,0201;
070309;0000;;;20,3859;
070310;0000;;;20,1154;
070311;0000;;;5,12696;
070312;0000;;;11,5617;
070313;0000;;;12,8989;
070314;0000;;;16,9273;
070315;0000;;;11,3892;
070316;0000;;;13,6129;
070317;0000;;;23,0482;
070318;0000;;;9,48651;
070319;0000;;;13,1528;
070320;0000;;;19,1758;
070321;0000;;;12,0664;
070322;0000;;;11,9892;
070323;0000;;;25,5702;
070324;0000;;;18,9529;
070325;0000;;;16,8433;
070326;0000;;;16,8771;
070327;0000;;;35,2515;
070328;0000;;;29,5274;
070329;0000;;;14,5696;
070330;0000;;;33,133;
070331;0000;;;25,6888;
070401;0000;;;10,468;
070402;0000;;;20,2505;
070403;0000;;;35,4652;
070404;0000;;;36,1758;
070405;0000;;;27,4845;
070406;0000;;;18,4581;
070407;0000;;;13,6368;
070408;0000;;;19,8483;
070409;0000;;;17,1296;
070410;0000;;;18,925;
070411;0000;;;32,9986;
070412;0000;;;33,5245;
070413;0000;;;21,0085;
070414;0000;;;24,6846;
070415;0000;;;18,7363;
070416;0000;;;5,61346;
070417;0000;;;7,5074;
070418;0000;;;13,7866;
070419;0000;;;20,6595;
070420;0000;;;31,3779;
070421;0000;;;27,4702;
070422;0000;;;21,5369;
070423;0000;;;25,973;
070424;0000;;;37,5421;
070425;0000;;;42,3705;
070426;0000;;;46,6938;
070427;0000;;;76,5529;
070428;0000;;;47,8355;
070429;0000;;;10,6157;
070430;0000;;;4,95506;
070501;0000;;;2,84487;
070502;0000;;;12,475;
070503;0000;;;26,5441;
070504;0000;;;32,7657;
070505;0000;;;30,2154;
070506;0000;;;19,0384;
070507;0000;;;49,173;
070508;0000;;;54,8828;
070509;0000;;;40,9194;
070510;0000;;;25,5221;
070511;0000;;;51,9983;
070512;0000;;;28,9253;
070513;0000;;;15,3851;
070514;0000;;;36,8264;
070515;0000;;;41,1979;
070516;0000;;;50,4144;
070517;0000;;;34,2901;
070518;0000;;;43,2222;
070519;0000;;;12,1091;
070520;0000;;;15,1985;
070521;0000;;;15,5959;
070522;0000;;;30,5971;
070523;0000;;;71,2062;
070524;0000;;;80,4619;
070525;0000;;;32,1207;
070526;0000;;;32,0422;
070527;0000;;;23,8452;
070528;0000;;;47,6849;
070529;0000;;;10,8551;
070530;0000;;;9,61208;
070531;0000;;;28,3789;
070601;0000;;;21,6164;
070602;0000;;;36,6309;
070603;0000;;;41,3987;
070604;0000;;;12,5985;
070605;0000;;;17,3857;
070606;0000;;;11,6795;
070607;0000;;;14,557;
070608;0000;;;17,045;
070609;0000;;;28,3124;
070610;0000;;;14,024;
070611;0000;;;13,0777;
070612;0000;;;20,528;
070613;0000;;;22,1239;
070614;0000;;;38,9941;
070615;0000;;;36,6167;
070616;0000;;;40,4412;
070617;0000;;;17,0195;
070618;0000;;;32,2855;
070619;0000;;;17,6534;
070620;0000;;;16,3629;
070621;0000;;;7,60503;
070622;0000;;;15,6562;
070623;0000;;;27,1386;
070624;0000;;;21,9841;
070625;0000;;;48,3543;
070626;0000;;;17,0993;
070627;0000;;;51,7433;
070628;0000;;;113,765;
070629;0000;;;126,628;
070630;0000;;;20,5483;
070701;0000;;;9,74486;
070702;0000;;;11,0126;
070703;0000;;;16,0719;
070704;0000;;;14,1303;
070705;0000;;;26,7462;
070706;0000;;;34,7507;
070707;0000;;;29,9867;
