FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
061122;0000;;;15,807;
061123;0000;;;15,9227;
061124;0000;;;15,6053;
061125;0000;;;14,0583;
061126;0000;;;14,686;
061127;0000;;;17,3593;
061128;0000;;;13,8669;
061129;0000;;;15,0706;
061130;0000;;;14,0014;
061201;0000;;;18,3604;
061202;0000;;;18,0984;
061203;0000;;;16,4973;
061204;0000;;;18,0101;
061205;0000;;;14,1005;
061206;0000;;;14,2467;
061207;0000;;;16,5375;
061208;0000;;;16,6456;
061209;0000;;;14,7753;
061210;0000;;;12,9882;
061211;0000;;;15,5203;
061212;0000;;;10,6064;
061213;0000;;;9,28004;
061214;0000;;;13,1367;
061215;0000;;;8,19217;
061216;0000;;;15,6892;
061217;0000;;;12,0256;
061218;0000;;;9,66983;
061219;0000;;;13,9702;
061220;0000;;;13,4866;
061221;0000;;;12,7062;
061222;0000;;;6,8463;
061223;0000;;;7,20191;
061224;0000;;;9,32788;
061225;0000;;;9,04057;
061226;0000;;;9,58049;
061227;0000;;;12,7601;
061228;0000;;;9,08855;
061229;0000;;;4,11284;
061230;0000;;;6,15152;
061231;0000;;;4,96546;
070101;0000;;;15,7717;
070102;0000;;;11,0254;
070103;0000;;;10,8343;
070104;0000;;;12,202;
070105;0000;;;11,849;
070106;0000;;;17,8569;
070107;0000;;;30,7188;
070108;0000;;;15,9907;
070109;0000;;;9,59894;
070110;0000;;;13,3947;
070111;0000;;;16,6385;
070112;0000;;;12,0858;
070113;0000;;;15,654;
070114;0000;;;28,8838;
070115;0000;;;30,8753;
070116;0000;;;33,4036;
070117;0000;;;15,432;
070118;0000;;;8,54037;
070119;0000;;;11,0457;
070120;0000;;;14,7822;
070121;0000;;;8,68988;
070122;0000;;;7,63931;
070123;0000;;;11,6032;
070124;0000;;;8,01941;
070125;0000;;;7,69756;
070126;0000;;;9,9465;
070127;0000;;;14,4241;
070128;0000;;;12,7192;
070129;0000;;;12,3967;
070130;0000;;;11,8792;
070131;0000;;;14,057;
070201;0000;;;13,8997;
070202;0000;;;13,4287;
070203;0000;;;12,7688;
070204;0000;;;8,97249;
070205;0000;;;4,8485;
070206;0000;;;18,8751;
070207;0000;;;15,9608;
070208;0000;;;16,6518;
070209;0000;;;20,2326;
070210;0000;;;25,4015;
070211;0000;;;21,6049;
070212;0000;;;12,6429;
070213;0000;;;11,0803;
070214;0000;;;12,4605;
