FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
061122;0000;;;2,06078;
061123;0000;;;0,963524;
061124;0000;;;1,29412;
061125;0000;;;4,22602;
061126;0000;;;1,03095;
061127;0000;;;2,02734;
061128;0000;;;1,03719;
061129;0000;;;1,4462;
061130;0000;;;1,21736;
061201;0000;;;5,91472;
061202;0000;;;1,68769;
061203;0000;;;2,8801;
061204;0000;;;1,50311;
061205;0000;;;1,54737;
061206;0000;;;3,17533;
061207;0000;;;1,39849;
061208;0000;;;2,26197;
061209;0000;;;2,53376;
061210;0000;;;3,6786;
061211;0000;;;1,3799;
061212;0000;;;2,59686;
061213;0000;;;2,2484;
061214;0000;;;6,42181;
061215;0000;;;1,43014;
061216;0000;;;0,715519;
061217;0000;;;0,521632;
061218;0000;;;3,37516;
061219;0000;;;1,3479;
061220;0000;;;1,06556;
061221;0000;;;3,72152;
061222;0000;;;1,93009;
061223;0000;;;0,754152;
061224;0000;;;6,04981;
061225;0000;;;2,94239;
061226;0000;;;1,79837;
061227;0000;;;1,77436;
061228;0000;;;4,56497;
061229;0000;;;1,57464;
061230;0000;;;1,63587;
061231;0000;;;1,35801;
070101;0000;;;;
070102;0000;;;;
070103;0000;;;;
070104;0000;;;;
070105;0000;;;;
070106;0000;;;;
070107;0000;;;;
070108;0000;;;;
070109;0000;;;;
070110;0000;;;;
070111;0000;;;;
070112;0000;;;;
070113;0000;;;;
070114;0000;;;;
070115;0000;;;;
070116;0000;;;;
070117;0000;;;;
070118;0000;;;;
070119;0000;;;;
070120;0000;;;;
070121;0000;;;;
070122;0000;;;;
070123;0000;;;;
070124;0000;;;;
070125;0000;;;;
070126;0000;;;;
070127;0000;;;;
070128;0000;;;;
070129;0000;;;;
070130;0000;;;;
070131;0000;;;;
070201;0000;;;;
070202;0000;;;;
070203;0000;;;;
070204;0000;;;;
070205;0000;;;;
070206;0000;;;;
070207;0000;;;;
070208;0000;;;;
070209;0000;;;;
070210;0000;;;;
070211;0000;;;;
070212;0000;;;;
070213;0000;;;;
070214;0000;;;;
070215;0000;;;;
070216;0000;;;;
070217;0000;;;;
070218;0000;;;;
070219;0000;;;;
070220;0000;;;;
070221;0000;;;;
070222;0000;;;;
070223;0000;;;;
070224;0000;;;;
070225;0000;;;;
070226;0000;;;;
070227;0000;;;;
070228;0000;;;;
070301;0000;;;;
070302;0000;;;;
070303;0000;;;;
070304;0000;;;;
070305;0000;;;;
070306;0000;;;;
070307;0000;;;;
070308;0000;;;;
070309;0000;;;;
070310;0000;;;;
070311;0000;;;;
070312;0000;;;;
070313;0000;;;;
070314;0000;;;;
070315;0000;;;;
070316;0000;;;;
070317;0000;;;;
070318;0000;;;;
070319;0000;;;;
070320;0000;;;;
070321;0000;;;;
070322;0000;;;;
070323;0000;;;;
070324;0000;;;;
070325;0000;;;;
070326;0000;;;;
070327;0000;;;;
070328;0000;;;;
070329;0000;;;;
070330;0000;;;;
070331;0000;;;;
070401;0000;;;;
070402;0000;;;;
070403;0000;;;;
070404;0000;;;;
070405;0000;;;;
070406;0000;;;;
070407;0000;;;;
070408;0000;;;;
070409;0000;;;;
070410;0000;;;;
070411;0000;;;;
070412;0000;;;;
070413;0000;;;;
070414;0000;;;;
070415;0000;;;;
070416;0000;;;;
070417;0000;;;;
070418;0000;;;;
070419;0000;;;;
070420;0000;;;;
070421;0000;;;;
070422;0000;;;;
070423;0000;;;;
070424;0000;;;;
070425;0000;;;;
070426;0000;;;;
070427;0000;;;;
070428;0000;;;;
070429;0000;;;;
070430;0000;;;;
070501;0000;;;;
070502;0000;;;;
070503;0000;;;;
070504;0000;;;;
070505;0000;;;;
070506;0000;;;;
070507;0000;;;;
070508;0000;;;;
070509;0000;;;;
070510;0000;;;;
070511;0000;;;;
070512;0000;;;;
070513;0000;;;;
070514;0000;;;;
070515;0000;;;;
070516;0000;;;;
070517;0000;;;;
070518;0000;;;;
070519;0000;;;;
070520;0000;;;;
