FECHA (YYMMDD);HORA (HHMM);;
120321;0100;;
120321;0200;;
120321;0300;;
120321;0400;;
120321;0500;;
120321;0600;;
120321;0700;;
120321;0800;;
120321;0900;;
120321;1000;;
120321;1100;;
120321;1200;17,66;
120321;1300;19,74;
120321;1400;20,44;
120321;1500;21,04;
120321;1600;20,4;
120321;1700;20,12;
120321;1800;18,85;
120321;1900;17,25;
120321;2000;15,74;
120321;2100;14,42;
120321;2200;13,57;
120321;2300;12,59;
120322;0000;11,42;
120322;0100;10,37;
120322;0200;9,68999;
120322;0300;9,09999;
120322;0400;8,84;
120322;0500;8,37;
120322;0600;8,17;
120322;0700;8,37;
120322;0800;8,79999;
120322;0900;12,25;
120322;1000;14,31;
120322;1100;16,09;
120322;1200;17,8;
120322;1300;19,35;
120322;1400;19,51;
120322;1500;20,01;
120322;1600;20,15;
120322;1700;19,16;
120322;1800;18,91;
120322;1900;18,36;
120322;2000;16,52;
120322;2100;15,41;
120322;2200;14,29;
120322;2300;12,78;
120323;0000;11,96;
120323;0100;11,13;
120323;0200;10,62;
120323;0300;10,21;
120323;0400;9,56;
120323;0500;9,31;
120323;0600;9;
120323;0700;8,34999;
120323;0800;9,18999;
120323;0900;12,91;
120323;1000;14,07;
120323;1100;15,26;
120323;1200;16,29;
120323;1300;19,14;
120323;1400;19,68;
120323;1500;20,35;
120323;1600;21,28;
120323;1700;20,18;
120323;1800;19,08;
120323;1900;17,56;
120323;2000;16,32;
120323;2100;15,16;
120323;2200;14,42;
120323;2300;13,07;
120324;0000;11,83;
120324;0100;10,97;
120324;0200;10,26;
120324;0300;9,73999;
120324;0400;9,15999;
120324;0500;8,95999;
120324;0600;8,43999;
120324;0700;8,14;
120324;0800;8,42999;
120324;0900;11,69;
120324;1000;13,8;
120324;1100;14,34;
120324;1200;16,12;
120324;1300;17,81;
120324;1400;19,4;
120324;1500;19,18;
120324;1600;19,43;
120324;1700;18,69;
120324;1800;18,21;
120324;1900;16,87;
120324;2000;16,02;
120324;2100;15,27;
120324;2200;14,51;
120324;2300;13,33;
120325;0000;12,01;
120325;0100;10,97;
120325;0200;10,64;
120325;0300;10,08;
120325;0400;9,59;
120325;0500;8,84;
120325;0600;8,34999;
120325;0700;8,00999;
120325;0800;8,34999;
120325;0900;11,31;
120325;1000;13,36;
120325;1100;13,79;
120325;1200;15,36;
120325;1300;17,24;
120325;1400;18,18;
120325;1500;17,75;
120325;1600;18;
120325;1700;17,7;
120325;1800;16,84;
120325;1900;15,22;
120325;2000;14;
120325;2100;12,77;
120325;2200;11,25;
120325;2300;10,07;
120326;0000;9,17999;
120326;0100;8,42999;
120326;0200;7,52599;
120326;0300;7,231;
120326;0400;6,88599;
120326;0500;6,643;
120326;0600;6,258;
120326;0700;5,95499;
120326;0800;6,754;
120326;0900;10,67;
120326;1000;13,1;
120326;1100;13,21;
120326;1200;15,32;
120326;1300;17,84;
120326;1400;18,87;
120326;1500;20,06;
120326;1600;21,21;
120326;1700;23,99;
120326;1800;25,03;
120326;1900;24,81;
120326;2000;21,72;
120326;2100;20,95;
120326;2200;19,27;
120326;2300;18,68;
120327;0000;18,75;
120327;0100;19,77;
120327;0200;22,55;
120327;0300;22,67;
120327;0400;20,54;
120327;0500;21,76;
120327;0600;21,56;
120327;0700;22,25;
120327;0800;19,8;
120327;0900;17,58;
120327;1000;18,33;
120327;1100;19,39;
120327;1200;21,63;
120327;1300;23,89;
120327;1400;24,82;
120327;1500;25,28;
120327;1600;24,98;
120327;1700;26,23;
120327;1800;24,74;
120327;1900;22,03;
120327;2000;19,27;
120327;2100;17,42;
120327;2200;15,78;
120327;2300;14,47;
120328;0000;13,35;
120328;0100;12,16;
120328;0200;11,39;
120328;0300;11,29;
120328;0400;11,13;
120328;0500;11,09;
120328;0600;11,04;
120328;0700;10,99;
120328;0800;10,86;
120328;0900;11,08;
120328;1000;12,32;
120328;1100;14,39;
120328;1200;18,38;
120328;1300;18,05;
120328;1400;18,42;
120328;1500;20,06;
120328;1600;20,98;
120328;1700;20,46;
120328;1800;19,19;
120328;1900;17,94;
120328;2000;16,74;
120328;2100;15,75;
120328;2200;14,71;
120328;2300;13,36;
120329;0000;12,63;
120329;0100;11,64;
120329;0200;10,66;
120329;0300;10,13;
120329;0400;9,45;
120329;0500;9,09999;
120329;0600;8,35999;
120329;0700;8,14;
120329;0800;8,64;
120329;0900;13,17;
120329;1000;15,23;
120329;1100;15,53;
120329;1200;16,37;
120329;1300;17,01;
120329;1400;19;
120329;1500;19,95;
120329;1600;18,66;
120329;1700;19,81;
120329;1800;20,57;
120329;1900;18,6;
120329;2000;16,75;
120329;2100;15,03;
120329;2200;13,87;
120329;2300;12,92;
120330;0000;12,32;
120330;0100;11,55;
120330;0200;10,77;
120330;0300;9,89999;
120330;0400;9,7;
120330;0500;9,50999;
120330;0600;8,87;
120330;0700;8,29999;
120330;0800;8,73;
120330;0900;12,21;
120330;1000;15,15;
120330;1100;14,44;
120330;1200;17,2;
120330;1300;17,79;
120330;1400;18,93;
120330;1500;19,31;
120330;1600;19,32;
120330;1700;19,96;
120330;1800;19,39;
120330;1900;18,16;
120330;2000;16,71;
120330;2100;15,17;
120330;2200;13,95;
120330;2300;13,15;
120331;0000;12,4;
120331;0100;11,93;
120331;0200;11,13;
120331;0300;10,64;
120331;0400;10,06;
120331;0500;9,67;
120331;0600;9,42;
120331;0700;9,39999;
120331;0800;9,35999;
120331;0900;11,51;
120331;1000;13,53;
120331;1100;14,6;
120331;1200;16,72;
120331;1300;18,7;
120331;1400;19,51;
120331;1500;20;
120331;1600;19,73;
120331;1700;19,66;
120331;1800;19,62;
120331;1900;18,3;
120331;2000;16,97;
120331;2100;15,59;
120331;2200;14,73;
120331;2300;13,58;
120401;0000;12,53;
120401;0100;11,7;
120401;0200;11,04;
120401;0300;10,94;
120401;0400;10,51;
120401;0500;10,15;
120401;0600;9,54999;
120401;0700;8,90999;
120401;0800;9,54999;
120401;0900;11,63;
120401;1000;14,31;
120401;1100;15,55;
120401;1200;16,81;
120401;1300;18,45;
120401;1400;19,35;
120401;1500;19,54;
120401;1600;18,8;
120401;1700;18,46;
120401;1800;17,5;
120401;1900;16,11;
120401;2000;14,81;
120401;2100;13,31;
120401;2200;11,5;
120401;2300;10,45;
120402;0000;9,40999;
120402;0100;8,76999;
120402;0200;8,42;
120402;0300;8,10999;
120402;0400;7,94399;
120402;0500;7,48399;
120402;0600;7,119;
120402;0700;7,31;
120402;0800;7,716;
120402;0900;10,53;
120402;1000;13,79;
120402;1100;14,62;
120402;1200;17,57;
120402;1300;17,45;
120402;1400;19,23;
120402;1500;19,57;
120402;1600;20,36;
120402;1700;20,42;
120402;1800;18,6;
120402;1900;17,47;
120402;2000;15,89;
120402;2100;14,45;
120402;2200;13;
120402;2300;11,46;
120403;0000;10,49;
120403;0100;9,46999;
120403;0200;8,82999;
120403;0300;8,14;
120403;0400;7,98;
120403;0500;7,222;
120403;0600;7,099;
120403;0700;6,896;
120403;0800;6,50999;
120403;0900;9,87999;
120403;1000;12,31;
120403;1100;13,42;
120403;1200;15,24;
120403;1300;17,13;
120403;1400;17,64;
120403;1500;18,14;
120403;1600;17,83;
120403;1700;16,94;
120403;1800;15,91;
120403;1900;14,75;
120403;2000;14,12;
120403;2100;13,83;
120403;2200;13,17;
120403;2300;12,81;
120404;0000;11,75;
120404;0100;11,65;
120404;0200;11,79;
120404;0300;12,06;
120404;0400;12,28;
120404;0500;12,39;
120404;0600;12,86;
120404;0700;12,55;
120404;0800;12,63;
120404;0900;12,93;
120404;1000;13,75;
120404;1100;14,67;
120404;1200;15,35;
120404;1300;15,31;
120404;1400;15,13;
120404;1500;16,87;
120404;1600;17,45;
120404;1700;16,71;
120404;1800;15,77;
120404;1900;14,53;
120404;2000;13,46;
120404;2100;11,44;
120404;2200;9,34;
120404;2300;8,31999;
120405;0000;7,544;
120405;0100;6,92999;
120405;0200;6,606;
120405;0300;5,98299;
120405;0400;5,619;
120405;0500;5,903;
120405;0600;5,294;
120405;0700;4,736;
120405;0800;5,49599;
120405;0900;8,70999;
120405;1000;12,23;
120405;1100;14,91;
120405;1200;12,95;
120405;1300;14,61;
120405;1400;15,08;
120405;1500;15,56;
120405;1600;15,41;
120405;1700;14,75;
120405;1800;14,14;
120405;1900;13,34;
120405;2000;12,95;
120405;2100;11,89;
120405;2200;10,95;
120405;2300;10,42;
120406;0000;11,23;
120406;0100;11,92;
120406;0200;12,12;
120406;0300;11,94;
120406;0400;12,3;
120406;0500;12,4;
120406;0600;12,48;
120406;0700;12,72;
120406;0800;13,02;
120406;0900;13,82;
120406;1000;14,74;
120406;1100;14,44;
120406;1200;14,92;
120406;1300;15,12;
120406;1400;15,59;
120406;1500;16,76;
120406;1600;15,96;
120406;1700;16,89;
120406;1800;16,66;
120406;1900;15,02;
120406;2000;14,4;
120406;2100;14,27;
120406;2200;13,82;
120406;2300;12,84;
120407;0000;12,35;
120407;0100;11,46;
120407;0200;11,22;
120407;0300;12,47;
120407;0400;12,65;
120407;0500;12,86;
120407;0600;12,94;
120407;0700;12,63;
120407;0800;12,43;
120407;0900;13,03;
120407;1000;14,21;
120407;1100;15,46;
120407;1200;15,65;
120407;1300;15,66;
120407;1400;15,61;
120407;1500;15,32;
120407;1600;15,3;
120407;1700;16,05;
120407;1800;15,82;
120407;1900;15,21;
120407;2000;14,85;
120407;2100;14,78;
120407;2200;14,72;
120407;2300;13,69;
