FECHA (YYMMDD);HORA (HHMM);;
120321;0100;;
120321;0200;;
120321;0300;;
120321;0400;;
120321;0500;;
120321;0600;;
120321;0700;;
120321;0800;;
120321;0900;;
120321;1000;;
120321;1100;;
120321;1200;1,698;
120321;1300;2,222;
120321;1400;2,558;
120321;1500;3,116;
120321;1600;3,427;
120321;1700;2,72;
120321;1800;5,224;
120321;1900;4,30299;
120321;2000;3,027;
120321;2100;1,953;
120321;2200;1,149;
120321;2300;0,509999;
120322;0000;0,373;
120322;0100;1,094;
120322;0200;0,294;
120322;0300;1,668;
120322;0400;1,469;
120322;0500;1,443;
120322;0600;0,759999;
120322;0700;1,029;
120322;0800;0,539;
120322;0900;0,521;
120322;1000;2,03;
120322;1100;1,683;
120322;1200;1,659;
120322;1300;1,93;
120322;1400;2,512;
120322;1500;3,012;
120322;1600;4,007;
120322;1700;4,66199;
120322;1800;3,133;
120322;1900;2,349;
120322;2000;1,289;
120322;2100;0,889999;
120322;2200;0,832;
120322;2300;0,863;
120323;0000;0,514999;
120323;0100;0,754;
120323;0200;0,950999;
120323;0300;0,879;
120323;0400;1,207;
120323;0500;0,676;
120323;0600;0,924999;
120323;0700;1,099;
120323;0800;0,686999;
120323;0900;0,48;
120323;1000;0,891;
120323;1100;1,324;
120323;1200;2,166;
120323;1300;1,834;
120323;1400;2,604;
120323;1500;1,982;
120323;1600;2,487;
120323;1700;3,111;
120323;1800;3,572;
120323;1900;3,716;
120323;2000;3,938;
120323;2100;2,869;
120323;2200;1,906;
120323;2300;0,535;
120324;0000;0,338;
120324;0100;0,919;
120324;0200;1,084;
120324;0300;0,971999;
120324;0400;1,116;
120324;0500;0,528999;
120324;0600;1,431;
120324;0700;1,495;
120324;0800;0,563999;
120324;0900;1,489;
120324;1000;1,678;
120324;1100;2,109;
120324;1200;2,584;
120324;1300;2,399;
120324;1400;2,28;
120324;1500;2,609;
120324;1600;2,208;
120324;1700;2,944;
120324;1800;3,761;
120324;1900;3,575;
120324;2000;1,398;
120324;2100;1,253;
120324;2200;1,079;
120324;2300;0,898;
120325;0000;0,568999;
120325;0100;0,437;
120325;0200;0,511999;
120325;0300;0,481;
120325;0400;0,882;
120325;0500;0,954;
120325;0600;0,841;
120325;0700;1,148;
120325;0800;1,058;
120325;0900;0,629;
120325;1000;1,001;
120325;1100;1,717;
120325;1200;2,149;
120325;1300;2,458;
120325;1400;2,867;
120325;1500;3,319;
120325;1600;3,359;
120325;1700;3,556;
120325;1800;3,677;
120325;1900;5,061;
120325;2000;3,746;
120325;2100;1,874;
120325;2200;0,959999;
120325;2300;1,1;
120326;0000;0,884;
120326;0100;0,853;
120326;0200;1,026;
120326;0300;1,183;
120326;0400;0,924;
120326;0500;0,912999;
120326;0600;0,4;
120326;0700;1,402;
120326;0800;0,404;
120326;0900;0,671;
120326;1000;0,934;
120326;1100;2,036;
120326;1200;1,938;
120326;1300;1,841;
120326;1400;2,334;
120326;1500;2,515;
120326;1600;2,431;
120326;1700;2,487;
120326;1800;2,144;
120326;1900;1,519;
120326;2000;1,843;
120326;2100;1,441;
120326;2200;1,509;
120326;2300;2,137;
120327;0000;2,358;
120327;0100;1,892;
120327;0200;2,315;
120327;0300;1,309;
120327;0400;1,453;
120327;0500;1,324;
120327;0600;1,638;
120327;0700;1,74;
120327;0800;2,008;
120327;0900;2,129;
120327;1000;1,548;
120327;1100;1,657;
120327;1200;1,594;
120327;1300;1,909;
120327;1400;1,924;
120327;1500;2,046;
120327;1600;1,498;
120327;1700;1,216;
120327;1800;1,083;
120327;1900;0,787;
120327;2000;1,159;
120327;2100;1,205;
120327;2200;0,846999;
120327;2300;0,509;
120328;0000;0,263;
120328;0100;0,735;
120328;0200;0,369;
120328;0300;0,627;
120328;0400;0,526;
120328;0500;0,477;
120328;0600;0,589999;
120328;0700;0,801999;
120328;0800;0,766;
120328;0900;0,712;
120328;1000;1,542;
120328;1100;1,244;
120328;1200;1,104;
120328;1300;1,778;
120328;1400;1,749;
120328;1500;1,742;
120328;1600;1,926;
120328;1700;2,735;
120328;1800;3,881;
120328;1900;3,526;
120328;2000;2,342;
120328;2100;1,597;
120328;2200;0,783999;
120328;2300;0,309;
120329;0000;0,792;
120329;0100;0,47;
120329;0200;0,376;
120329;0300;0,919999;
120329;0400;0,945;
120329;0500;0,773999;
120329;0600;0,632;
120329;0700;0,813999;
120329;0800;0,495;
120329;0900;0,459;
120329;1000;1,249;
120329;1100;1,392;
120329;1200;1,984;
120329;1300;2,193;
120329;1400;1,922;
120329;1500;1,783;
120329;1600;1,901;
120329;1700;1,548;
120329;1800;1,061;
120329;1900;0,573999;
120329;2000;0,507;
120329;2100;0,352;
120329;2200;0,735999;
120329;2300;1,463;
120330;0000;1,356;
120330;0100;0,535999;
120330;0200;0,792;
120330;0300;1,131;
120330;0400;1,341;
120330;0500;1,394;
120330;0600;1,381;
120330;0700;0,537;
120330;0800;1,056;
120330;0900;0,981999;
120330;1000;1,096;
120330;1100;1,705;
120330;1200;1,208;
120330;1300;1,957;
120330;1400;2,169;
120330;1500;1,672;
120330;1600;1,83;
120330;1700;1,492;
120330;1800;1,488;
120330;1900;0,449;
120330;2000;0,528999;
120330;2100;0,907;
120330;2200;0,657;
120330;2300;0,898999;
120331;0000;0,568999;
120331;0100;0,599;
120331;0200;0,849999;
120331;0300;0,987;
120331;0400;1,006;
120331;0500;1,002;
120331;0600;1,33;
120331;0700;0,65;
120331;0800;1,259;
120331;0900;0,565;
120331;1000;1,347;
120331;1100;1,764;
120331;1200;1,893;
120331;1300;2,307;
120331;1400;2,356;
120331;1500;2,283;
120331;1600;2,638;
120331;1700;2,268;
120331;1800;1,828;
120331;1900;2,045;
120331;2000;1,901;
120331;2100;2,152;
120331;2200;1,167;
120331;2300;0,321;
120401;0000;0,42;
120401;0100;0,367;
120401;0200;0,733;
120401;0300;1,19;
120401;0400;1,126;
120401;0500;0,952;
120401;0600;1,254;
120401;0700;1,07;
120401;0800;0,799999;
120401;0900;0,924999;
120401;1000;1,062;
120401;1100;2,217;
120401;1200;2,398;
120401;1300;2,401;
120401;1400;2,281;
120401;1500;2,678;
120401;1600;4,779;
120401;1700;3,627;
120401;1800;3,458;
120401;1900;2,004;
120401;2000;1,23;
120401;2100;0,686999;
120401;2200;0,528;
120401;2300;0,780999;
120402;0000;1,181;
120402;0100;0,988;
120402;0200;0,842999;
120402;0300;1,086;
120402;0400;0,981;
120402;0500;0,336;
120402;0600;0,776999;
120402;0700;1,249;
120402;0800;1,433;
120402;0900;1,115;
120402;1000;0,95;
120402;1100;1,446;
120402;1200;1,358;
120402;1300;2,044;
120402;1400;1,589;
120402;1500;1,921;
120402;1600;1,54;
120402;1700;1,432;
120402;1800;1,966;
120402;1900;2,387;
120402;2000;0,41;
120402;2100;1,337;
120402;2200;0,428;
120402;2300;0,319;
120403;0000;0,639;
120403;0100;0,952;
120403;0200;0,936;
120403;0300;1,153;
120403;0400;0,780999;
120403;0500;0,632;
120403;0600;1,364;
120403;0700;0,653;
120403;0800;1,556;
120403;0900;0,603;
120403;1000;2,43;
120403;1100;1,681;
120403;1200;1,908;
120403;1300;2,076;
120403;1400;2,681;
120403;1500;2,638;
120403;1600;2,012;
120403;1700;3,191;
120403;1800;3,797;
120403;1900;3,232;
120403;2000;3,336;
120403;2100;2,801;
120403;2200;3,103;
120403;2300;1,681;
120404;0000;0,825;
120404;0100;0,790999;
120404;0200;1,172;
120404;0300;0,851;
120404;0400;0,752;
120404;0500;0,757999;
120404;0600;0,799999;
120404;0700;1,075;
120404;0800;0,622;
120404;0900;0,938;
120404;1000;1,019;
120404;1100;1,626;
120404;1200;2,035;
120404;1300;2,628;
120404;1400;2,922;
120404;1500;3,559;
120404;1600;4,146;
120404;1700;5,355;
120404;1800;5,35799;
120404;1900;4,53699;
120404;2000;2,08;
120404;2100;0,702999;
120404;2200;1,186;
120404;2300;0,823;
120405;0000;0,794;
120405;0100;0,936;
120405;0200;1,009;
120405;0300;0,806999;
120405;0400;0,537999;
120405;0500;1,678;
120405;0600;0,815;
120405;0700;1,415;
120405;0800;1,258;
120405;0900;0,893;
120405;1000;0,863999;
120405;1100;0,853;
120405;1200;2,321;
120405;1300;2,22;
120405;1400;3,172;
120405;1500;2,538;
120405;1600;3,858;
120405;1700;4,155;
120405;1800;3,03;
120405;1900;1,513;
120405;2000;1,127;
120405;2100;0,73;
120405;2200;0,867999;
120405;2300;1,497;
120406;0000;0,962;
120406;0100;0,683;
120406;0200;0,622;
120406;0300;0,73;
120406;0400;0,121;
120406;0500;0,418;
120406;0600;1,523;
120406;0700;0,518;
120406;0800;0,728999;
120406;0900;0,584999;
120406;1000;1,012;
120406;1100;2,033;
120406;1200;2,356;
120406;1300;2,932;
120406;1400;2,675;
120406;1500;2,114;
120406;1600;1,787;
120406;1700;1,276;
120406;1800;2,293;
120406;1900;2,722;
120406;2000;2,507;
120406;2100;1,78;
120406;2200;1,266;
120406;2300;0,776;
120407;0000;1,618;
120407;0100;0,39;
120407;0200;1,015;
120407;0300;0,914;
120407;0400;0,856999;
120407;0500;0,832;
120407;0600;1,102;
120407;0700;1,177;
120407;0800;0,872;
120407;0900;0,575;
120407;1000;0,702999;
120407;1100;1,509;
120407;1200;1,599;
120407;1300;2,049;
120407;1400;2,063;
120407;1500;1,242;
120407;1600;0,955;
120407;1700;0,509999;
120407;1800;1,141;
120407;1900;0,587999;
120407;2000;0,406;
120407;2100;0,295;
