FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
201225;0000;;;0,29;
201226;0000;;;0,35;
201227;0000;;;0,37;
201228;0000;;;0,33;
201229;0000;;;0,21;
201230;0000;;;0,21;
201231;0000;;;0,24;
210101;0000;;;0,26;
210102;0000;;;0,25;
210103;0000;;;0,26;
210104;0000;;;0,88;
210105;0000;;;0,26;
210106;0000;;;0,26;
210107;0000;;;0,37;
210108;0000;;;0,2;
210109;0000;;;0,09;
210110;0000;;;0,17;
210111;0000;;;0,07;
210112;0000;;;0,13;
210113;0000;;;0,11;
210114;0000;;;0,23;
210115;0000;;;0,18;
210116;0000;;;0,2;
210117;0000;;;0,27;
210118;0000;;;0,25;
210119;0000;;;0,26;
210120;0000;;;0,23;
210121;0000;;;0,21;
210122;0000;;;0,32;
210123;0000;;;0,09;
210124;0000;;;0,04;
210125;0000;;;;
210126;0000;;;0,05;
210127;0000;;;0,11;
210128;0000;;;;
210129;0000;;;;
210130;0000;;;0,11;
210131;0000;;;0,07;
210201;0000;;;;
210202;0000;;;0,28;
210203;0000;;;0,73;
210204;0000;;;0,19;
210205;0000;;;0,13;
210206;0000;;;0,09;
210207;0000;;;0,14;
210208;0000;;;0,1;
210209;0000;;;0,11;
210210;0000;;;0,18;
210211;0000;;;;
210212;0000;;;;
210213;0000;;;;
210214;0000;;;;
210215;0000;;;;
210216;0000;;;;
210217;0000;;;;
210218;0000;;;;
210219;0000;;;;
210220;0000;;;;
210221;0000;;;;
210222;0000;;;;
210223;0000;;;;
210224;0000;;;;
210225;0000;;;;
210226;0000;;;;
210227;0000;;;;
210228;0000;;;;
210301;0000;;;;
210302;0000;;;;
210303;0000;;;;
210304;0000;;;;
210305;0000;;;;
210306;0000;;;;
210307;0000;;;;
210308;0000;;;;
210309;0000;;;;
210310;0000;;;;
210311;0000;;;;
210312;0000;;;0,06;
210313;0000;;;;
210314;0000;;;0,27;
210315;0000;;;0,66;
210316;0000;;;0,24;
210317;0000;;;0,29;
210318;0000;;;0,24;
210319;0000;;;0,33;
210320;0000;;;0,36;
210321;0000;;;0,45;
210322;0000;;;0,71;
210323;0000;;;0,33;
210324;0000;;;0,36;
210325;0000;;;0,42;
210326;0000;;;0,44;
210327;0000;;;0,34;
210328;0000;;;0,32;
210329;0000;;;0,77;
210330;0000;;;0,37;
210331;0000;;;0,42;
210401;0000;;;0,38;
210402;0000;;;0,38;
210403;0000;;;0,38;
210404;0000;;;0,37;
210405;0000;;;0,58;
210406;0000;;;0,29;
210407;0000;;;0,49;
210408;0000;;;0,37;
210409;0000;;;0,52;
210410;0000;;;0,57;
210411;0000;;;0,54;
210412;0000;;;0,76;
210413;0000;;;0,34;
210414;0000;;;;
210415;0000;;;0,52;
210416;0000;;;0,45;
210417;0000;;;0,43;
210418;0000;;;0,44;
210419;0000;;;0,61;
210420;0000;;;0,34;
210421;0000;;;0,42;
210422;0000;;;0,36;
210423;0000;;;0,64;
210424;0000;;;0,56;
210425;0000;;;0,5;
210426;0000;;;0,77;
210427;0000;;;0,65;
210428;0000;;;0,84;
210429;0000;;;1,17;
210430;0000;;;0,45;
210501;0000;;;0,31;
210502;0000;;;0,46;
210503;0000;;;1,02;
210504;0000;;;0,71;
210505;0000;;;0,96;
210506;0000;;;0,68;
210507;0000;;;0,67;
210508;0000;;;0,71;
210509;0000;;;0,52;
210510;0000;;;0,91;
210511;0000;;;0,96;
210512;0000;;;1,01;
210513;0000;;;0,94;
210514;0000;;;0,61;
210515;0000;;;0,84;
210516;0000;;;0,83;
210517;0000;;;1,11;
210518;0000;;;0,44;
210519;0000;;;;
210520;0000;;;0,65;
210521;0000;;;0,5;
210522;0000;;;0,46;
210523;0000;;;0,62;
210524;0000;;;0,47;
210525;0000;;;0,4;
210526;0000;;;0,57;
210527;0000;;;0,2;
210528;0000;;;0,21;
210529;0000;;;0,8;
210530;0000;;;0,68;
210531;0000;;;0,57;
210601;0000;;;0,43;
210602;0000;;;0,43;
210603;0000;;;0,34;
210604;0000;;;0,38;
210605;0000;;;0,82;
210606;0000;;;0,51;
210607;0000;;;0,81;
210608;0000;;;0,24;
210609;0000;;;0,28;
210610;0000;;;0,51;
210611;0000;;;0,67;
210612;0000;;;0,37;
210613;0000;;;0,44;
210614;0000;;;0,63;
210615;0000;;;0,6;
210616;0000;;;0,45;
210617;0000;;;1,11;
210618;0000;;;0,93;
210619;0000;;;0,81;
210620;0000;;;0,84;
210621;0000;;;0,27;
210622;0000;;;0,26;
210623;0000;;;0,26;
210624;0000;;;0,46;
210625;0000;;;1,24;
210626;0000;;;1,05;
210627;0000;;;1,31;
210628;0000;;;7,19;
210629;0000;;;4,99;
210630;0000;;;6,74;
210701;0000;;;3,15;
210702;0000;;;;
210703;0000;;;;
210704;0000;;;;
210705;0000;;;;
210706;0000;;;;
210707;0000;;;0,42;
210708;0000;;;0,92;
210709;0000;;;0,55;
210710;0000;;;0,95;
210711;0000;;;0,98;
210712;0000;;;1,07;
210713;0000;;;;
210714;0000;;;1,12;
210715;0000;;;1,36;
