FECHA (YYMMDD);HORA (HHMM);;
201224;0100;;
201224;0200;;
201224;0300;;
201224;0400;;
201224;0500;;
201224;0600;;
201224;0700;157,1;
201224;0800;240,7;
201224;0900;;
201224;1000;;
201224;1100;238,3;
201224;1200;218,2;
201224;1300;201,4;
201224;1400;193,8;
201224;1500;189,6;
201224;1600;176;
201224;1700;181,5;
201224;1800;182,5;
201224;1900;179,1;
201224;2000;173,5;
201224;2100;171,5;
201224;2200;170,8;
201224;2300;166,9;
201225;0000;169,5;
201225;0100;169;
201225;0200;172,6;
201225;0300;175,7;
201225;0400;173,6;
201225;0500;180,3;
201225;0600;180;
201225;0700;172,3;
201225;0800;174;
201225;0900;211;
201225;1000;244,8;
201225;1100;245,7;
201225;1200;231,2;
201225;1300;193,5;
201225;1400;185,5;
201225;1500;182,6;
201225;1600;185;
201225;1700;188,3;
201225;1800;186,1;
201225;1900;184,2;
201225;2000;175,9;
201225;2100;176,4;
201225;2200;173,6;
201225;2300;173,8;
201226;0000;171,7;
201226;0100;164,3;
201226;0200;170,2;
201226;0300;171,1;
201226;0400;188,7;
201226;0500;195,1;
201226;0600;175,3;
201226;0700;176,2;
201226;0800;176,8;
201226;0900;179;
201226;1000;231,6;
201226;1100;227,5;
201226;1200;235,2;
201226;1300;217,9;
201226;1400;198,1;
201226;1500;185,4;
201226;1600;179,1;
201226;1700;178,1;
201226;1800;185,1;
201226;1900;193,3;
201226;2000;177,2;
201226;2100;170,8;
201226;2200;175,8;
201226;2300;31,27;
201227;0000;31,05;
201227;0100;47,21;
201227;0200;177,2;
201227;0300;175;
201227;0400;180,8;
201227;0500;189,6;
201227;0600;349;
201227;0700;349,2;
201227;0800;338,6;
201227;0900;326,1;
201227;1000;324;
201227;1100;327,2;
201227;1200;334,9;
201227;1300;329,4;
201227;1400;324,9;
201227;1500;325,9;
201227;1600;319,1;
201227;1700;324,7;
201227;1800;331,8;
201227;1900;338;
201227;2000;20,97;
201227;2100;28,21;
201227;2200;35,85;
201227;2300;53,9;
201228;0000;139,2;
201228;0100;13,07;
201228;0200;23,58;
201228;0300;14,31;
201228;0400;90,3;
201228;0500;56,96;
201228;0600;112,5;
201228;0700;341,8;
201228;0800;292,7;
201228;0900;295,4;
201228;1000;279,1;
201228;1100;265,3;
201228;1200;267,8;
201228;1300;249,9;
201228;1400;227,1;
201228;1500;203,5;
201228;1600;249,7;
201228;1700;225;
201228;1800;180,8;
201228;1900;170,9;
201228;2000;162,6;
201228;2100;173,4;
201228;2200;170,5;
201228;2300;161,9;
201229;0000;162,8;
201229;0100;0;
201229;0200;27,38;
201229;0300;130,7;
201229;0400;1,259;
201229;0500;31,38;
201229;0600;12,15;
201229;0700;1,595;
201229;0800;331,2;
201229;0900;344,5;
201229;1000;332,2;
201229;1100;338,3;
201229;1200;343,5;
201229;1300;336;
201229;1400;302,5;
201229;1500;244,6;
201229;1600;230,3;
201229;1700;205,5;
201229;1800;196,3;
201229;1900;190;
201229;2000;179;
201229;2100;175,1;
201229;2200;154,3;
201229;2300;92,2;
201230;0000;92;
201230;0100;185,9;
201230;0200;165,3;
201230;0300;189,7;
201230;0400;172,6;
201230;0500;172;
201230;0600;170,5;
201230;0700;170,2;
201230;0800;152,7;
201230;0900;177,9;
201230;1000;186,8;
201230;1100;206,4;
201230;1200;212,7;
201230;1300;215,6;
201230;1400;210,4;
201230;1500;203,5;
201230;1600;196,8;
201230;1700;184,9;
201230;1800;182,5;
201230;1900;172,9;
201230;2000;166,7;
201230;2100;167,8;
201230;2200;161,4;
201230;2300;164;
201231;0000;168;
201231;0100;169,7;
201231;0200;157,6;
201231;0300;168,2;
201231;0400;189,4;
201231;0500;67,4;
201231;0600;41,6;
201231;0700;135,8;
201231;0800;142,7;
201231;0900;235,2;
201231;1000;;
201231;1100;;
201231;1200;225,9;
201231;1300;188,2;
201231;1400;195;
201231;1500;183,3;
201231;1600;178,8;
201231;1700;182,7;
201231;1800;174,8;
201231;1900;169,1;
201231;2000;178,2;
201231;2100;175,3;
201231;2200;173,6;
201231;2300;173,4;
210101;0000;172,7;
210101;0100;173,3;
210101;0200;168,8;
210101;0300;172,3;
210101;0400;164,3;
210101;0500;172,7;
210101;0600;164;
210101;0700;157,4;
210101;0800;178,1;
210101;0900;238,7;
210101;1000;229,5;
210101;1100;234,3;
210101;1200;228,2;
210101;1300;217;
210101;1400;201;
210101;1500;191,3;
210101;1600;181,1;
210101;1700;187,3;
210101;1800;180,6;
210101;1900;174,8;
210101;2000;170,3;
210101;2100;174,5;
210101;2200;175;
210101;2300;175,5;
210102;0000;172,3;
210102;0100;172,2;
210102;0200;169,8;
210102;0300;159,1;
210102;0400;123,3;
210102;0500;33,47;
210102;0600;26,81;
210102;0700;68,3199;
210102;0800;241,9;
210102;0900;206,2;
210102;1000;279,3;
210102;1100;266,1;
210102;1200;291,2;
210102;1300;299,9;
210102;1400;308,5;
210102;1500;330,2;
210102;1600;300;
210102;1700;183,7;
210102;1800;186,6;
210102;1900;183;
210102;2000;174,2;
210102;2100;173,7;
210102;2200;174;
210102;2300;173,9;
210103;0000;175,2;
210103;0100;167,1;
210103;0200;73,67;
210103;0300;150,6;
210103;0400;13,94;
210103;0500;40,21;
210103;0600;18,46;
210103;0700;43,99;
210103;0800;241,1;
210103;0900;247,2;
210103;1000;249,3;
210103;1100;246,9;
210103;1200;236,3;
210103;1300;203,3;
210103;1400;179,1;
210103;1500;197,3;
210103;1600;184,9;
210103;1700;186,9;
210103;1800;185,6;
210103;1900;178,7;
210103;2000;176,4;
210103;2100;176,1;
210103;2200;176,6;
210103;2300;178,4;
210104;0000;175,6;
210104;0100;172,2;
210104;0200;163,7;
210104;0300;164,2;
210104;0400;163,9;
210104;0500;156,7;
210104;0600;169,3;
210104;0700;163,6;
210104;0800;171,7;
210104;0900;189,4;
210104;1000;226,6;
210104;1100;219,1;
210104;1200;208,5;
210104;1300;203,8;
210104;1400;187,2;
210104;1500;182;
210104;1600;184,4;
210104;1700;183,4;
210104;1800;180,9;
210104;1900;175,7;
210104;2000;175,1;
210104;2100;169,7;
210104;2200;173,3;
210104;2300;176,1;
210105;0000;175,7;
210105;0100;170,5;
210105;0200;169,3;
210105;0300;121,8;
210105;0400;141,3;
210105;0500;142,5;
210105;0600;156,1;
210105;0700;167;
210105;0800;176,4;
210105;0900;172,1;
210105;1000;172,6;
210105;1100;216,3;
210105;1200;210,5;
210105;1300;195,9;
210105;1400;194;
210105;1500;183,3;
210105;1600;182,4;
210105;1700;183,7;
210105;1800;177,9;
210105;1900;174,4;
210105;2000;176,1;
210105;2100;172,3;
210105;2200;174,9;
210105;2300;175,7;
210106;0000;174,2;
210106;0100;175,6;
210106;0200;175,1;
210106;0300;170,5;
210106;0400;169,7;
210106;0500;168,6;
210106;0600;168,6;
210106;0700;160;
