FECHA (YYMMDD);HORA (HHMM);;
201224;0100;;
201224;0200;;
201224;0300;;
201224;0400;;
201224;0500;;
201224;0600;;
201224;0700;81,5;
201224;0800;58,16;
201224;0900;;
201224;1000;;
201224;1100;59,6;
201224;1200;59,8;
201224;1300;58,57;
201224;1400;59,94;
201224;1500;58,57;
201224;1600;57,95;
201224;1700;61,72;
201224;1800;61,72;
201224;1900;62,21;
201224;2000;66,1801;
201224;2100;72,84;
201224;2200;78,74;
201224;2300;83;
201225;0000;86,3;
201225;0100;88,3;
201225;0200;93;
201225;0300;94,5;
201225;0400;96,3;
201225;0500;97,5;
201225;0600;98,1;
201225;0700;75,17;
201225;0800;62;
201225;0900;57,95;
201225;1000;55,89;
201225;1100;56,1;
201225;1200;59,53;
201225;1300;58,51;
201225;1400;55,42;
201225;1500;58,65;
201225;1600;58,72;
201225;1700;55,35;
201225;1800;66,47;
201225;1900;73,88;
201225;2000;75,1901;
201225;2100;82;
201225;2200;86,5;
201225;2300;88,9;
201226;0000;91,2;
201226;0100;94,1;
201226;0200;96;
201226;0300;97,2;
201226;0400;98;
201226;0500;98,7;
201226;0600;95,5;
201226;0700;85,5;
201226;0800;74,6901;
201226;0900;66,87;
201226;1000;67,6901;
201226;1100;64,48;
201226;1200;61,19;
201226;1300;63,04;
201226;1400;63,66;
201226;1500;61,94;
201226;1600;62,7;
201226;1700;65,45;
201226;1800;68,4;
201226;1900;73,8101;
201226;2000;79,78;
201226;2100;86;
201226;2200;88,8;
201226;2300;95,8;
201227;0000;97;
201227;0100;98;
201227;0200;92,7;
201227;0300;90,4;
201227;0400;89,7;
201227;0500;89,9;
201227;0600;90,9;
201227;0700;87,6;
201227;0800;81,2;
201227;0900;83,6;
201227;1000;78,0699;
201227;1100;74,02;
201227;1200;76,28;
201227;1300;75,73;
201227;1400;76,5601;
201227;1500;80,7;
201227;1600;78,41;
201227;1700;84,4;
201227;1800;89,7;
201227;1900;89,7;
201227;2000;95,1;
201227;2100;96,6;
201227;2200;97,7;
201227;2300;98,4;
201228;0000;98,7;
201228;0100;98,8;
201228;0200;99;
201228;0300;99,2;
201228;0400;99,2;
201228;0500;99,3;
201228;0600;99,7;
201228;0700;98,2;
201228;0800;78,0601;
201228;0900;73,53;
201228;1000;70,3101;
201228;1100;69,97;
201228;1200;67,29;
201228;1300;71,27;
201228;1400;70,45;
201228;1500;74,7;
201228;1600;74,91;
201228;1700;82,1;
201228;1800;87,1;
201228;1900;91;
201228;2000;92,2;
201228;2100;90,3;
201228;2200;89,3;
201228;2300;89,7;
201229;0000;95,7;
201229;0100;97,8;
201229;0200;98,7;
201229;0300;99;
201229;0400;98,9;
201229;0500;99,3;
201229;0600;99,6;
201229;0700;90;
201229;0800;83,2;
201229;0900;79,4401;
201229;1000;84,7;
201229;1100;98,2;
201229;1200;96;
201229;1300;85,5;
201229;1400;73,6801;
201229;1500;67,64;
201229;1600;65,58;
201229;1700;70,9301;
201229;1800;79,23;
201229;1900;75,67;
201229;2000;78,27;
201229;2100;78,14;
201229;2200;89,7;
201229;2300;96,1;
201230;0000;97,5;
201230;0100;97,4;
201230;0200;97,7;
201230;0300;98,3;
201230;0400;98,4;
201230;0500;98,9;
201230;0600;98,1;
201230;0700;63,45;
201230;0800;43,41;
201230;0900;50,14;
201230;1000;41,9;
201230;1100;41,15;
201230;1200;38,47;
201230;1300;48,08;
201230;1400;54,05;
201230;1500;58,51;
201230;1600;56,04;
201230;1700;51,78;
201230;1800;52,61;
201230;1900;59,95;
201230;2000;65,71;
201230;2100;69,83;
201230;2200;75,8;
201230;2300;79,71;
201231;0000;82,5;
201231;0100;84;
201231;0200;88,5;
201231;0300;89;
201231;0400;94,3;
201231;0500;96;
201231;0600;93,4;
201231;0700;72,64;
201231;0800;55,08;
201231;0900;51,64;
201231;1000;;
201231;1100;;
201231;1200;51,1;
201231;1300;45,47;
201231;1400;48,97;
201231;1500;43,96;
201231;1600;49,11;
201231;1700;60,77;
201231;1800;60,43;
201231;1900;64,96;
201231;2000;70,38;
201231;2100;74,36;
201231;2200;79,5699;
201231;2300;82,7;
210101;0000;87,6;
210101;0100;88,8;
210101;0200;89,9;
210101;0300;93,7;
210101;0400;95;
210101;0500;96;
210101;0600;91,9;
210101;0700;80,1;
210101;0800;67,36;
210101;0900;62,97;
210101;1000;58,03;
210101;1100;55,01;
210101;1200;54,6;
210101;1300;54,6;
210101;1400;59,47;
210101;1500;58,51;
210101;1600;58,51;
210101;1700;57,82;
210101;1800;57,48;
210101;1900;63,17;
210101;2000;70,45;
210101;2100;74,63;
210101;2200;80,9;
210101;2300;83,6;
210102;0000;86,1;
210102;0100;88,8;
210102;0200;89,2;
210102;0300;90,1;
210102;0400;95,9;
210102;0500;97,5;
210102;0600;95,7;
210102;0700;79,4301;
210102;0800;67,36;
210102;0900;56,72;
210102;1000;55,97;
210102;1100;60,08;
210102;1200;61,73;
210102;1300;56,93;
210102;1400;62,28;
210102;1500;72,5;
210102;1600;65,23;
210102;1700;65,16;
210102;1800;71;
210102;1900;74,63;
210102;2000;78,54;
210102;2100;80,7;
210102;2200;83,2;
210102;2300;84,1;
210103;0000;86,9;
210103;0100;90,5;
210103;0200;96,5;
210103;0300;97,4;
210103;0400;98,4;
210103;0500;98,8;
210103;0600;98,8;
210103;0700;86,6;
210103;0800;72,02;
210103;0900;62,14;
210103;1000;56,65;
210103;1100;68,52;
210103;1200;61,18;
210103;1300;57,89;
210103;1400;59,26;
210103;1500;63,44;
210103;1600;67,49;
210103;1700;64,75;
210103;1800;55,97;
210103;1900;59,39;
210103;2000;66,1901;
210103;2100;69,96;
210103;2200;71,75;
210103;2300;74,97;
210104;0000;76,6801;
210104;0100;77,85;
210104;0200;82,7;
210104;0300;85,5;
210104;0400;87,5;
210104;0500;91;
210104;0600;86,7;
210104;0700;75,59;
210104;0800;58,23;
210104;0900;58,44;
210104;1000;49,52;
210104;1100;44,85;
210104;1200;47,25;
210104;1300;51,71;
210104;1400;49,52;
210104;1500;53,36;
210104;1600;48,35;
210104;1700;48,49;
210104;1800;54,39;
210104;1900;58,98;
210104;2000;67,36;
210104;2100;75,1801;
210104;2200;78,47;
210104;2300;81,5;
210105;0000;84,1;
210105;0100;87,1;
210105;0200;88,8;
210105;0300;94,3;
210105;0400;96,8;
210105;0500;97,6;
210105;0600;97,7;
210105;0700;79,98;
210105;0800;67,29;
210105;0900;55,14;
210105;1000;50,89;
210105;1100;50,06;
210105;1200;52,05;
210105;1300;52,26;
210105;1400;53,77;
210105;1500;54,18;
210105;1600;59,88;
210105;1700;59,26;
210105;1800;60,77;
210105;1900;64,54;
210105;2000;70,65;
210105;2100;75,79;
210105;2200;79,5601;
210105;2300;81,7;
210106;0000;83,4;
210106;0100;85,3;
210106;0200;87,7;
210106;0300;89,5;
210106;0400;92,1;
