FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
201225;0000;;;19;
201226;0000;;;24;
201227;0000;;;9;
201228;0000;;;19;
201229;0000;;;13;
201230;0000;;;36;
201231;0000;;;30;
210101;0000;;;27;
210102;0000;;;22;
210103;0000;;;24;
210104;0000;;;38;
210105;0000;;;35;
210106;0000;;;38;
210107;0000;;;36;
210108;0000;;;38;
210109;0000;;;9;
210110;0000;;;7;
210111;0000;;;18;
210112;0000;;;22;
210113;0000;;;29;
210114;0000;;;37;
210115;0000;;;26;
210116;0000;;;16;
210117;0000;;;16;
210118;0000;;;33;
210119;0000;;;42;
210120;0000;;;31;
210121;0000;;;15;
210122;0000;;;17;
210123;0000;;;21;
210124;0000;;;20;
210125;0000;;;;
210126;0000;;;10;
210127;0000;;;19;
210128;0000;;;10;
210129;0000;;;4;
210130;0000;;;9;
210131;0000;;;10;
210201;0000;;;3;
210202;0000;;;4;
210203;0000;;;23;
210204;0000;;;2;
210205;0000;;;15;
210206;0000;;;3;
210207;0000;;;3;
210208;0000;;;1;
210209;0000;;;0;
210210;0000;;;6;
210211;0000;;;11;
210212;0000;;;1;
210213;0000;;;10;
210214;0000;;;0;
210215;0000;;;0;
210216;0000;;;0;
210217;0000;;;4;
210218;0000;;;13;
210219;0000;;;1;
210220;0000;;;4;
210221;0000;;;6;
210222;0000;;;1;
210223;0000;;;0;
210224;0000;;;1;
210225;0000;;;1;
210226;0000;;;5;
210227;0000;;;4;
210228;0000;;;15;
210301;0000;;;12;
210302;0000;;;15;
210303;0000;;;18;
210304;0000;;;11;
210305;0000;;;0;
210306;0000;;;7;
210307;0000;;;5;
210308;0000;;;23;
210309;0000;;;27;
210310;0000;;;12;
210311;0000;;;27;
210312;0000;;;25;
210313;0000;;;20;
210314;0000;;;17;
210315;0000;;;18;
210316;0000;;;37;
210317;0000;;;28;
210318;0000;;;17;
210319;0000;;;18;
210320;0000;;;14;
210321;0000;;;22;
210322;0000;;;35;
210323;0000;;;18;
210324;0000;;;41;
210325;0000;;;41;
210326;0000;;;55;
210327;0000;;;42;
210328;0000;;;29;
210329;0000;;;26;
210330;0000;;;40;
210331;0000;;;38;
210401;0000;;;40;
210402;0000;;;29;
210403;0000;;;28;
210404;0000;;;22;
210405;0000;;;16;
210406;0000;;;10;
210407;0000;;;35;
210408;0000;;;22;
210409;0000;;;42;
210410;0000;;;42;
210411;0000;;;39;
210412;0000;;;39;
210413;0000;;;33;
210414;0000;;;6;
210415;0000;;;13;
210416;0000;;;57;
210417;0000;;;31;
210418;0000;;;22;
210419;0000;;;7;
210420;0000;;;15;
210421;0000;;;29;
210422;0000;;;26;
210423;0000;;;39;
210424;0000;;;56;
210425;0000;;;21;
210426;0000;;;70;
210427;0000;;;16;
210428;0000;;;53;
210429;0000;;;27;
210430;0000;;;23;
210501;0000;;;7;
210502;0000;;;16;
210503;0000;;;26;
210504;0000;;;38;
210505;0000;;;48;
210506;0000;;;51;
210507;0000;;;76;
210508;0000;;;49;
210509;0000;;;39;
210510;0000;;;41;
210511;0000;;;75;
210512;0000;;;26;
210513;0000;;;54;
210514;0000;;;63;
210515;0000;;;63;
210516;0000;;;75;
210517;0000;;;106;
210518;0000;;;62;
210519;0000;;;;
210520;0000;;;18;
210521;0000;;;36;
210522;0000;;;42;
210523;0000;;;57;
210524;0000;;;30;
210525;0000;;;38;
210526;0000;;;17;
210527;0000;;;9;
210528;0000;;;21;
210529;0000;;;73;
210530;0000;;;44;
210531;0000;;;10;
210601;0000;;;6;
210602;0000;;;19;
210603;0000;;;7;
210604;0000;;;37;
210605;0000;;;60;
210606;0000;;;28;
210607;0000;;;23;
210608;0000;;;6;
210609;0000;;;14;
210610;0000;;;43;
210611;0000;;;61;
210612;0000;;;27;
210613;0000;;;27;
210614;0000;;;46;
210615;0000;;;39;
210616;0000;;;44;
210617;0000;;;72;
210618;0000;;;69;
210619;0000;;;65;
210620;0000;;;54;
210621;0000;;;11;
210622;0000;;;8;
210623;0000;;;10;
210624;0000;;;1;
210625;0000;;;30;
210626;0000;;;17;
210627;0000;;;8;
210628;0000;;;;
210629;0000;;;;
210630;0000;;;;
210701;0000;;;;
210702;0000;;;;
210703;0000;;;;
210704;0000;;;;
210705;0000;;;;
210706;0000;;;;
210707;0000;;;0;
210708;0000;;;9;
210709;0000;;;25;
210710;0000;;;2;
210711;0000;;;5;
210712;0000;;;35;
210713;0000;;;;
210714;0000;;;3;
210715;0000;;;0;
210716;0000;;;0;
210717;0000;;;0;
210718;0000;;;0;
210719;0000;;;0;
210720;0000;;;21;
210721;0000;;;67;
210722;0000;;;56;
210723;0000;;;59;
210724;0000;;;25;
210725;0000;;;19;
210726;0000;;;56;
210727;0000;;;85;
210728;0000;;;72;
210729;0000;;;51;
210730;0000;;;40;
210731;0000;;;65;
210801;0000;;;39;
210802;0000;;;58;
210803;0000;;;45;
210804;0000;;;43;
210805;0000;;;16;
210806;0000;;;10;
210807;0000;;;25;
210808;0000;;;46;
210809;0000;;;70;
210810;0000;;;76;
210811;0000;;;64;
210812;0000;;;51;
210813;0000;;;47;
210814;0000;;;43;
210815;0000;;;16;
210816;0000;;;1;
210817;0000;;;1;
210818;0000;;;13;
210819;0000;;;10;
210820;0000;;;14;
210821;0000;;;1;
210822;0000;;;23;
210823;0000;;;29;
210824;0000;;;47;
210825;0000;;;10;
210826;0000;;;11;
210827;0000;;;14;
210828;0000;;;31;
210829;0000;;;26;
210830;0000;;;7;
210831;0000;;;11;
210901;0000;;;48;
210902;0000;;;38;
210903;0000;;;23;
210904;0000;;;8;
210905;0000;;;11;
210906;0000;;;9;
210907;0000;;;21;
210908;0000;;;62;
210909;0000;;;47;
210910;0000;;;27;
210911;0000;;;10;
210912;0000;;;12;
210913;0000;;;22;
210914;0000;;;40;
210915;0000;;;17;
210916;0000;;;0;
210917;0000;;;19;
210918;0000;;;21;
210919;0000;;;34;
210920;0000;;;61;
210921;0000;;;30;
210922;0000;;;21;
210923;0000;;;57;
210924;0000;;;34;
210925;0000;;;14;
210926;0000;;;28;
210927;0000;;;;
210928;0000;;;;
210929;0000;;;3;
210930;0000;;;8;
211001;0000;;;13;
211002;0000;;;20;
211003;0000;;;25;
211004;0000;;;37;
211005;0000;;;43;
211006;0000;;;56;
211007;0000;;;38;
211008;0000;;;40;
211009;0000;;;30;
211010;0000;;;32;
211011;0000;;;41;
211012;0000;;;18;
211013;0000;;;3;
211014;0000;;;;
211015;0000;;;;
211016;0000;;;33;
211017;0000;;;31;
211018;0000;;;36;
211019;0000;;;26;
211020;0000;;;12;
211021;0000;;;26;
211022;0000;;;30;
211023;0000;;;28;
211024;0000;;;17;
211025;0000;;;30;
211026;0000;;;15;
211027;0000;;;3;
211028;0000;;;20;
211029;0000;;;41;
211030;0000;;;35;
211031;0000;;;25;
211101;0000;;;19;
211102;0000;;;22;
211103;0000;;;9;
211104;0000;;;24;
211105;0000;;;19;
211106;0000;;;21;
211107;0000;;;20;
211108;0000;;;28;
211109;0000;;;19;
211110;0000;;;17;
211111;0000;;;13;
211112;0000;;;6;
211113;0000;;;12;
211114;0000;;;7;
211115;0000;;;23;
211116;0000;;;33;
211117;0000;;;35;
211118;0000;;;30;
211119;0000;;;22;
211120;0000;;;32;
211121;0000;;;29;
211122;0000;;;39;
211123;0000;;;28;
211124;0000;;;14;
211125;0000;;;31;
211126;0000;;;20;
211127;0000;;;24;
211128;0000;;;21;
211129;0000;;;30;
211130;0000;;;17;
211201;0000;;;2;
211202;0000;;;;
211203;0000;;;;
211204;0000;;;;
211205;0000;;;;
211206;0000;;;;
211207;0000;;;;
211208;0000;;;;
211209;0000;;;;
211210;0000;;;;
211211;0000;;;;
211212;0000;;;;
211213;0000;;;;
211214;0000;;;;
211215;0000;;;;
211216;0000;;;;
211217;0000;;;;
211218;0000;;;;
211219;0000;;;;
211220;0000;;;;
211221;0000;;;;
211222;0000;;;;
211223;0000;;;;
211224;0000;;;;
211225;0000;;;;
211226;0000;;;;
211227;0000;;;;
211228;0000;;;;
211229;0000;;;;
211230;0000;;;;
211231;0000;;;;
220101;0000;;;;
220102;0000;;;;
220103;0000;;;;
220104;0000;;;;
220105;0000;;;;
220106;0000;;;;
220107;0000;;;;
220108;0000;;;;
220109;0000;;;;
220110;0000;;;;
220111;0000;;;;
220112;0000;;;;
220113;0000;;;;
220114;0000;;;;
220115;0000;;;;
220116;0000;;;;
220117;0000;;;;
220118;0000;;;;
220119;0000;;;;
220120;0000;;;;
220121;0000;;;;
220122;0000;;;;
220123;0000;;;;
220124;0000;;;;
220125;0000;;21;;
