FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
201225;0000;;;10;
201226;0000;;;10;
201227;0000;;;7;
201228;0000;;;10;
201229;0000;;;8;
201230;0000;;;12;
201231;0000;;;13;
210101;0000;;;16;
210102;0000;;;12;
210103;0000;;;11;
210104;0000;;;16;
210105;0000;;;15;
210106;0000;;;17;
210107;0000;;;13;
210108;0000;;;16;
210109;0000;;;5;
210110;0000;;;5;
210111;0000;;;6;
210112;0000;;;9;
210113;0000;;;14;
210114;0000;;;25;
210115;0000;;;12;
210116;0000;;;11;
210117;0000;;;12;
210118;0000;;;17;
210119;0000;;;37;
210120;0000;;;28;
210121;0000;;;7;
210122;0000;;;8;
210123;0000;;;13;
210124;0000;;;17;
210125;0000;;;;
210126;0000;;;5;
210127;0000;;;12;
210128;0000;;;7;
210129;0000;;;4;
210130;0000;;;8;
210131;0000;;;8;
210201;0000;;;2;
210202;0000;;;3;
210203;0000;;;22;
210204;0000;;;2;
210205;0000;;;13;
210206;0000;;;3;
210207;0000;;;2;
210208;0000;;;1;
210209;0000;;;0;
210210;0000;;;6;
210211;0000;;;11;
210212;0000;;;1;
210213;0000;;;7;
210214;0000;;;0;
210215;0000;;;0;
210216;0000;;;0;
210217;0000;;;3;
210218;0000;;;13;
210219;0000;;;1;
210220;0000;;;3;
210221;0000;;;5;
210222;0000;;;1;
210223;0000;;;0;
210224;0000;;;1;
210225;0000;;;1;
210226;0000;;;1;
210227;0000;;;3;
210228;0000;;;12;
210301;0000;;;3;
210302;0000;;;10;
210303;0000;;;13;
210304;0000;;;6;
210305;0000;;;0;
210306;0000;;;5;
210307;0000;;;2;
210308;0000;;;8;
210309;0000;;;15;
210310;0000;;;10;
210311;0000;;;13;
210312;0000;;;13;
210313;0000;;;15;
210314;0000;;;14;
210315;0000;;;14;
210316;0000;;;24;
210317;0000;;;18;
210318;0000;;;11;
210319;0000;;;12;
210320;0000;;;8;
210321;0000;;;15;
210322;0000;;;18;
210323;0000;;;9;
210324;0000;;;15;
210325;0000;;;17;
210326;0000;;;24;
210327;0000;;;20;
210328;0000;;;19;
210329;0000;;;20;
210330;0000;;;29;
210331;0000;;;26;
210401;0000;;;26;
210402;0000;;;21;
210403;0000;;;20;
210404;0000;;;17;
210405;0000;;;7;
210406;0000;;;7;
210407;0000;;;27;
210408;0000;;;17;
210409;0000;;;31;
210410;0000;;;32;
210411;0000;;;31;
210412;0000;;;22;
210413;0000;;;19;
210414;0000;;;3;
210415;0000;;;6;
210416;0000;;;35;
210417;0000;;;24;
210418;0000;;;18;
210419;0000;;;7;
210420;0000;;;13;
210421;0000;;;27;
210422;0000;;;22;
210423;0000;;;38;
210424;0000;;;49;
210425;0000;;;19;
210426;0000;;;63;
210427;0000;;;14;
210428;0000;;;49;
210429;0000;;;24;
210430;0000;;;21;
210501;0000;;;6;
210502;0000;;;15;
210503;0000;;;23;
210504;0000;;;34;
210505;0000;;;40;
210506;0000;;;43;
210507;0000;;;70;
210508;0000;;;45;
210509;0000;;;34;
210510;0000;;;33;
210511;0000;;;66;
210512;0000;;;22;
210513;0000;;;49;
210514;0000;;;58;
210515;0000;;;59;
210516;0000;;;69;
210517;0000;;;94;
210518;0000;;;59;
210519;0000;;;;
210520;0000;;;14;
210521;0000;;;32;
210522;0000;;;37;
210523;0000;;;50;
210524;0000;;;26;
210525;0000;;;31;
210526;0000;;;14;
210527;0000;;;8;
210528;0000;;;17;
210529;0000;;;64;
210530;0000;;;38;
210531;0000;;;8;
210601;0000;;;5;
210602;0000;;;15;
210603;0000;;;6;
210604;0000;;;29;
210605;0000;;;50;
210606;0000;;;22;
210607;0000;;;18;
210608;0000;;;5;
210609;0000;;;11;
210610;0000;;;33;
210611;0000;;;47;
210612;0000;;;21;
210613;0000;;;24;
210614;0000;;;40;
210615;0000;;;34;
210616;0000;;;37;
210617;0000;;;61;
210618;0000;;;59;
210619;0000;;;56;
210620;0000;;;51;
210621;0000;;;9;
210622;0000;;;7;
210623;0000;;;7;
210624;0000;;;1;
210625;0000;;;28;
210626;0000;;;16;
210627;0000;;;8;
210628;0000;;;0;
210629;0000;;;0;
210630;0000;;;;
210701;0000;;;;
210702;0000;;;;
210703;0000;;;;
210704;0000;;;;
210705;0000;;;;
210706;0000;;;;
210707;0000;;;0;
210708;0000;;;9;
210709;0000;;;24;
210710;0000;;;2;
210711;0000;;;4;
210712;0000;;;32;
210713;0000;;;;
210714;0000;;;3;
210715;0000;;;0;
210716;0000;;;0;
210717;0000;;;0;
210718;0000;;;0;
210719;0000;;;0;
210720;0000;;;18;
210721;0000;;;64;
210722;0000;;;51;
210723;0000;;;51;
210724;0000;;;22;
210725;0000;;;17;
210726;0000;;;48;
210727;0000;;;75;
210728;0000;;;47;
210729;0000;;;41;
210730;0000;;;36;
210731;0000;;;58;
210801;0000;;;38;
210802;0000;;;47;
210803;0000;;;32;
210804;0000;;;41;
210805;0000;;;14;
210806;0000;;;10;
210807;0000;;;20;
210808;0000;;;41;
210809;0000;;;58;
210810;0000;;;65;
210811;0000;;;52;
210812;0000;;;47;
210813;0000;;;38;
210814;0000;;;32;
210815;0000;;;13;
210816;0000;;;1;
210817;0000;;;1;
210818;0000;;;11;
210819;0000;;;7;
210820;0000;;;10;
210821;0000;;;1;
210822;0000;;;18;
210823;0000;;;23;
210824;0000;;;35;
210825;0000;;;8;
210826;0000;;;8;
210827;0000;;;11;
210828;0000;;;26;
210829;0000;;;22;
210830;0000;;;5;
210831;0000;;;8;
210901;0000;;;37;
210902;0000;;;29;
210903;0000;;;16;
210904;0000;;;6;
210905;0000;;;9;
210906;0000;;;6;
210907;0000;;;16;
210908;0000;;;46;
210909;0000;;;33;
210910;0000;;;19;
210911;0000;;;8;
210912;0000;;;9;
210913;0000;;;15;
210914;0000;;;28;
210915;0000;;;12;
210916;0000;;;0;
210917;0000;;;14;
210918;0000;;;15;
210919;0000;;;23;
210920;0000;;;40;
210921;0000;;;20;
210922;0000;;;14;
210923;0000;;;34;
210924;0000;;;22;
210925;0000;;;10;
210926;0000;;;22;
210927;0000;;;;
210928;0000;;;;
210929;0000;;;2;
210930;0000;;;5;
211001;0000;;;10;
211002;0000;;;15;
211003;0000;;;19;
211004;0000;;;22;
211005;0000;;;21;
211006;0000;;;27;
211007;0000;;;24;
211008;0000;;;21;
211009;0000;;;20;
211010;0000;;;23;
211011;0000;;;30;
211012;0000;;;11;
211013;0000;;;2;
211014;0000;;;;
211015;0000;;;;
211016;0000;;;19;
211017;0000;;;20;
211018;0000;;;19;
211019;0000;;;15;
211020;0000;;;9;
211021;0000;;;11;
211022;0000;;;12;
211023;0000;;;16;
211024;0000;;;12;
211025;0000;;;15;
211026;0000;;;9;
211027;0000;;;1;
211028;0000;;;9;
211029;0000;;;18;
211030;0000;;;17;
211031;0000;;;16;
211101;0000;;;12;
211102;0000;;;13;
211103;0000;;;6;
211104;0000;;;10;
211105;0000;;;6;
211106;0000;;;14;
211107;0000;;;12;
211108;0000;;;13;
211109;0000;;;13;
211110;0000;;;9;
211111;0000;;;9;
211112;0000;;;4;
211113;0000;;;6;
211114;0000;;;4;
211115;0000;;;7;
211116;0000;;;13;
211117;0000;;;14;
211118;0000;;;11;
211119;0000;;;13;
211120;0000;;;20;
211121;0000;;;15;
211122;0000;;;13;
211123;0000;;;14;
211124;0000;;;10;
211125;0000;;;15;
211126;0000;;;10;
211127;0000;;;9;
211128;0000;;;9;
211129;0000;;;11;
211130;0000;;;11;
211201;0000;;;1;
211202;0000;;;;
211203;0000;;;;
211204;0000;;;;
211205;0000;;;;
211206;0000;;;;
211207;0000;;;;
211208;0000;;;;
211209;0000;;;;
211210;0000;;;;
211211;0000;;;;
211212;0000;;;;
211213;0000;;;;
211214;0000;;;;
211215;0000;;;;
211216;0000;;;;
211217;0000;;;;
211218;0000;;;;
211219;0000;;;;
211220;0000;;;;
211221;0000;;;;
211222;0000;;;;
211223;0000;;;;
211224;0000;;;;
211225;0000;;;;
211226;0000;;;;
211227;0000;;;;
211228;0000;;;;
211229;0000;;;;
211230;0000;;;;
211231;0000;;;;
220101;0000;;;;
220102;0000;;;;
220103;0000;;;;
220104;0000;;;;
220105;0000;;;;
220106;0000;;;;
220107;0000;;;;
220108;0000;;;;
220109;0000;;;;
220110;0000;;;;
220111;0000;;;;
220112;0000;;;;
220113;0000;;;;
220114;0000;;;;
220115;0000;;;;
220116;0000;;;;
220117;0000;;;;
220118;0000;;;;
220119;0000;;;;
220120;0000;;;;
220121;0000;;;;
220122;0000;;;;
220123;0000;;;;
220124;0000;;;;
220125;0000;;10;;
220126;0000;;12;;
220127;0000;;11;;
220128;0000;;8;;
220129;0000;;9;;
220130;0000;;8;;
220131;0000;;10;;
220201;0000;;14;;
220202;0000;;15;;
220203;0000;;13;;
220204;0000;;9;;
220205;0000;;11;;
220206;0000;;15;;
220207;0000;;12;;
220208;0000;;12;;
220209;0000;;15;;
220210;0000;;28;;
220211;0000;;31;;
220212;0000;;27;;
220213;0000;;20;;
220214;0000;;14;;
220215;0000;;10;;
220216;0000;;16;;
220217;0000;;21;;
220218;0000;;19;;
220219;0000;;11;;
