FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220117;0000;;;;
220118;0000;;;;
220119;0000;;;;
220120;0000;;;;
220121;0000;;3,07;;
220122;0000;;1,92;;
220123;0000;;2,63;;
220124;0000;;2,58;;
220125;0000;;3,46;;
220126;0000;;3,64;;
220127;0000;;3,18;;
220128;0000;;1,87;;
220129;0000;;1,89;;
220130;0000;;2,32;;
220131;0000;;3,81;;
220201;0000;;4,97;;
220202;0000;;4,51;;
220203;0000;;3,41;;
220204;0000;;3,2;;
220205;0000;;4,94;;
220206;0000;;5,9;;
220207;0000;;3,67;;
220208;0000;;4,03;;
220209;0000;;5,62;;
220210;0000;;7,11;;
220211;0000;;8,41;;
220212;0000;;9,74;;
220213;0000;;2,15;;
220214;0000;;2,37;;
220215;0000;;2,49;;
220216;0000;;5,25;;
220217;0000;;6,03;;
220218;0000;;5,3;;
220219;0000;;3,69;;
220220;0000;;2,48;;
220221;0000;;5,12;;
220222;0000;;2,56;;
220223;0000;;2,82;;
220224;0000;;2,57;;
220225;0000;;3,58;;
220226;0000;;2,6;;
220227;0000;;1,35;;
220228;0000;;4,6;;
220301;0000;;4,72;;
220302;0000;;5,34;;
220303;0000;;3,07;;
220304;0000;;4,86;;
220305;0000;;4,4;;
220306;0000;;2,28;;
220307;0000;;3,28;;
220308;0000;;3,32;;
220309;0000;;4,33;;
220310;0000;;5,42;;
220311;0000;;6,94;;
220312;0000;;4,97;;
220313;0000;;5,82;;
220314;0000;;9,37;;
220315;0000;;6,04;;
220316;0000;;4,07;;
220317;0000;;6,28;;
220318;0000;;6,31;;
220319;0000;;6,63;;
220320;0000;;4,15;;
220321;0000;;3,95;;
220322;0000;;3,83;;
220323;0000;;4,48;;
220324;0000;;7,72;;
220325;0000;;9,31;;
220326;0000;;4,79;;
220327;0000;;3,03;;
220328;0000;;5,76;;
220329;0000;;5,61;;
220330;0000;;7,9;;
220331;0000;;7,86;;
220401;0000;;7,45;;
220402;0000;;6,48;;
220403;0000;;3,94;;
220404;0000;;7,81;;
220405;0000;;6,95;;
220406;0000;;7,52;;
220407;0000;;7,46;;
220408;0000;;8,9;;
220409;0000;;3,35;;
220410;0000;;2,68;;
220411;0000;;5,78;;
220412;0000;;7,14;;
220413;0000;;9,72;;
220414;0000;;7,42;;
220415;0000;;3,71;;
220416;0000;;4,14;;
220417;0000;;3,97;;
220418;0000;;6,35;;
220419;0000;;6,09;;
220420;0000;;6,84;;
220421;0000;;5,18;;
220422;0000;;4,63;;
220423;0000;;4,42;;
220424;0000;;1,52;;
220425;0000;;2,79;;
220426;0000;;3,75;;
220427;0000;;;;
220428;0000;;6,17;;
220429;0000;;8,69;;
220430;0000;;8,49;;
220501;0000;;7,5;;
220502;0000;;9,63;;
220503;0000;;12,68;;
220504;0000;;9,88;;
220505;0000;;8,74;;
220506;0000;;9,85;;
220507;0000;;7,89;;
220508;0000;;2,79;;
220509;0000;;7,25;;
220510;0000;;11,03;;
220511;0000;;10,27;;
220512;0000;;6,48;;
220513;0000;;7,92;;
220514;0000;;9,4;;
220515;0000;;6,85;;
220516;0000;;8,5;;
220517;0000;;15,53;;
220518;0000;;5,92;;
220519;0000;;1,53;;
220520;0000;;4,71;;
220521;0000;;6,5;;
220522;0000;;4,73;;
220523;0000;;8,76;;
220524;0000;;8,41;;
220525;0000;;10,06;;
220526;0000;;8,14;;
220527;0000;;8,39;;
220528;0000;;8,38;;
220529;0000;;6,65;;
220530;0000;;10,03;;
220531;0000;;7,67;;
220601;0000;;5,85;;
220602;0000;;1,89;;
220603;0000;;1,28;;
220604;0000;;;;
220605;0000;;;;
220606;0000;;;;
220607;0000;;3,41;;
220608;0000;;6,23;;
220609;0000;;3,45;;
220610;0000;;8,69;;
220611;0000;;6,5;;
220612;0000;;1,59;;
220613;0000;;2,39;;
220614;0000;;1,66;;
220615;0000;;5,35;;
220616;0000;;7,4;;
220617;0000;;6,26;;
220618;0000;;5,42;;
220619;0000;;2,62;;
220620;0000;;3,47;;
220621;0000;;1,19;;
220622;0000;;2,14;;
220623;0000;;1,36;;
220624;0000;;7,9;;
220625;0000;;4,07;;
220626;0000;;1,76;;
220627;0000;;2,47;;
220628;0000;;2,94;;
220629;0000;;3,07;;
220630;0000;;5,28;;
220701;0000;;3,82;;
220702;0000;;1,33;;
220703;0000;;3,07;;
220704;0000;;4,97;;
220705;0000;;4,87;;
220706;0000;;4,35;;
220707;0000;;7;;
220708;0000;;2,08;;
220709;0000;;1,34;;
220710;0000;;1,92;;
220711;0000;;6,17;;
220712;0000;;4,56;;
220713;0000;;6,28;;
220714;0000;;;;
220715;0000;;;;
220716;0000;;;;
220717;0000;;;;
220718;0000;;;;
220719;0000;;1,9;;
220720;0000;;0,35;;
220721;0000;;0,54;;
220722;0000;;0,19;;
220723;0000;;0,02;;
220724;0000;;0;;
220725;0000;;;;
220726;0000;;;;
220727;0000;;1,75;;
220728;0000;;9;;
220729;0000;;11,65;;
220730;0000;;5,11;;
220731;0000;;3;;
220801;0000;;6,06;;
220802;0000;;10,32;;
220803;0000;;7,55;;
220804;0000;;2,4;;
220805;0000;;3,52;;
220806;0000;;2,67;;
220807;0000;;2,37;;
220808;0000;;4,56;;
220809;0000;;7,41;;
220810;0000;;7,37;;
220811;0000;;6,28;;
220812;0000;;3,47;;
220813;0000;;2,13;;
220814;0000;;1,79;;
220815;0000;;2,28;;
220816;0000;;3,18;;
220817;0000;;5,03;;
220818;0000;;8,11;;
220819;0000;;11,23;;
220820;0000;;11,45;;
220821;0000;;7,36;;
220822;0000;;7,51;;
220823;0000;;3,73;;
220824;0000;;8,11;;
220825;0000;;8,1;;
220826;0000;;5,7;;
220827;0000;;7,25;;
220828;0000;;8,59;;
220829;0000;;6,56;;
220830;0000;;4,12;;
220831;0000;;6,16;;
220901;0000;;7,48;;
220902;0000;;11,51;;
220903;0000;;9,92;;
220904;0000;;7,9;;
220905;0000;;7,47;;
220906;0000;;6;;
220907;0000;;2,78;;
220908;0000;;4,74;;
220909;0000;;5,04;;
220910;0000;;3,11;;
220911;0000;;2,84;;
220912;0000;;3,35;;
220913;0000;;2,74;;
220914;0000;;3,3;;
220915;0000;;1,43;;
220916;0000;;;;
220917;0000;;2,74;;
220918;0000;;2,97;;
220919;0000;;3,49;;
220920;0000;;3,62;;
220921;0000;;1,49;;
220922;0000;;;;
220923;0000;;2,78;;
220924;0000;;4,53;;
220925;0000;;;;
220926;0000;;1,78;;
220927;0000;;5,81;;
220928;0000;;4,24;;
220929;0000;;;2,59;
220930;0000;;2,74;;
221001;0000;;1,55;;
221002;0000;;;;
221003;0000;;;;
221004;0000;;;;
221005;0000;;1,55;;
221006;0000;;1,32;;
221007;0000;;2,33;;
221008;0000;;1,73;;
221009;0000;;2,15;;
221010;0000;;1,82;;
221011;0000;;1,65;;
221012;0000;;2,01;;
221013;0000;;2,7;;
221014;0000;;3,36;;
221015;0000;;3,79;;
221016;0000;;1,46;;
221017;0000;;1,23;;
221018;0000;;1,2;;
221019;0000;;2,52;;
221020;0000;;0,73;;
221021;0000;;2,25;;
221022;0000;;1,22;;
221023;0000;;;;
221024;0000;;1,02;;
221025;0000;;;;
221026;0000;;1,18;;
221027;0000;;;;
221028;0000;;2,63;;
221029;0000;;0,65;;
221030;0000;;;;
221031;0000;;;;
221101;0000;;;;
221102;0000;;;;
221103;0000;;1,31;;
221104;0000;;1,27;;
221105;0000;;0,89;;
221106;0000;;1,21;;
221107;0000;;2,91;;
221108;0000;;3,58;;
221109;0000;;;;
221110;0000;;;;
221111;0000;;0,76;;
221112;0000;;;;
221113;0000;;;;
221114;0000;;0,56;;
221115;0000;;1,02;;
221116;0000;;0,92;;
221117;0000;;0,3;;
221118;0000;;0,66;;
221119;0000;;0,66;;
221120;0000;;;;
221121;0000;;2,46;;
221122;0000;;1,68;;
221123;0000;;1,11;;
221124;0000;;2,34;;
221125;0000;;3,65;;
221126;0000;;3,58;;
221127;0000;;1,39;;
221128;0000;;1,42;;
221129;0000;;0,96;;
221130;0000;;1,64;;
221201;0000;;2,93;;
221202;0000;;2,45;;
221203;0000;;0,72;;
221204;0000;;;;
221205;0000;;1,07;;
221206;0000;;1,47;;
221207;0000;;0,58;;
221208;0000;;;;
221209;0000;;;;
221210;0000;;0,97;;
221211;0000;;1,81;;
221212;0000;;1,55;;
221213;0000;;1,79;;
221214;0000;;0,98;;
221215;0000;;2,44;;
221216;0000;;3,04;;
221217;0000;;;;
221218;0000;;;;
221219;0000;;;;
221220;0000;;;;
221221;0000;;5,29;;
221222;0000;;6,72;;
221223;0000;;6,05;;
221224;0000;;6,89;;
221225;0000;;8,57;;
221226;0000;;8,61;;
221227;0000;;6,42;;
221228;0000;;7,18;;
221229;0000;;5,97;;
221230;0000;;6,15;;
221231;0000;;2,39;;
230101;0000;;0,91;;
230102;0000;;2,2;;
230103;0000;;3;;
230104;0000;;5,26;;
230105;0000;;2,68;;
230106;0000;;2,85;;
230107;0000;;1,36;;
230108;0000;;1,42;;
230109;0000;;;;
230110;0000;;;;
230111;0000;;;;
230112;0000;;4,39;;
230113;0000;;4,17;;
230114;0000;;3,12;;
230115;0000;;2,59;;
230116;0000;;4,58;;
230117;0000;;3,84;;
230118;0000;;5,41;;
230119;0000;;3,19;;
230120;0000;;2,46;;
230121;0000;;2,23;;
230122;0000;;2,47;;
230123;0000;;1,88;;
230124;0000;;2,03;;
230125;0000;;3,55;;
230126;0000;;2,8;;
230127;0000;;4;;
230128;0000;;4,75;;
230129;0000;;2,5;;
230130;0000;;;;
230131;0000;;;;
230201;0000;;;;
230202;0000;;;;
230203;0000;;;;
230204;0000;;;;
230205;0000;;;;
230206;0000;;;;
230207;0000;;7,74;;
230208;0000;;5,64;;
230209;0000;;4,95;;
230210;0000;;3,85;;
230211;0000;;4,65;;
230212;0000;;2,49;;
230213;0000;;2,65;;
230214;0000;;3,82;;
230215;0000;;3,9;;
230216;0000;;5,57;;
230217;0000;;8,71;;
230218;0000;;7,29;;
230219;0000;;4,24;;
230220;0000;;7,79;;
230221;0000;;8,77;;
230222;0000;;6,73;;
230223;0000;;5,81;;
230224;0000;;4,52;;
230225;0000;;2,6;;
230226;0000;;3,98;;
230227;0000;;6,72;;
230228;0000;;6,22;;
230301;0000;;5,98;;
230302;0000;;6,66;;
230303;0000;;6,17;;
230304;0000;;7,01;;
230305;0000;;6,35;;
230306;0000;;2,54;;
230307;0000;;2,98;;
230308;0000;;2,41;;
230309;0000;;;;
230310;0000;;6,29;;
230311;0000;;2,96;;
230312;0000;;1,66;;
230313;0000;;4,75;;
230314;0000;;4,17;;
230315;0000;;3,62;;
230316;0000;;2,81;;
230317;0000;;3,3;;
230318;0000;;4,85;;
230319;0000;;4,14;;
230320;0000;;6,01;;
230321;0000;;6,7;;
230322;0000;;7,98;;
230323;0000;;8,03;;
230324;0000;;8,76;;
230325;0000;;6,84;;
230326;0000;;4,39;;
230327;0000;;4,56;;
230328;0000;;4,53;;
230329;0000;;5,49;;
230330;0000;;6,99;;
230331;0000;;8,77;;
230401;0000;;7,79;;
230402;0000;;5,41;;
230403;0000;;8,1;;
230404;0000;;9,2;;
230405;0000;;3,84;;
230406;0000;;2,97;;
230407;0000;;3,42;;
230408;0000;;;;
230409;0000;;;;
230410;0000;;4,81;;
230411;0000;;4,83;;
230412;0000;;7,59;;
230413;0000;;4,78;;
230414;0000;;5,08;;
230415;0000;;5,16;;
230416;0000;;3,28;;
230417;0000;;6,34;;
230418;0000;;5,19;;
230419;0000;;6,02;;
230420;0000;;3,33;;
230421;0000;;3,8;;
230422;0000;;5,12;;
230423;0000;;3,96;;
230424;0000;;5,09;;
230425;0000;;7,67;;
230426;0000;;2,47;;
230427;0000;;;;
230428;0000;;2,43;;
230429;0000;;3,33;;
230430;0000;;2,8;;
230501;0000;;4,96;;
230502;0000;;7,69;;
230503;0000;;6,09;;
230504;0000;;4,16;;
230505;0000;;6,32;;
230506;0000;;;;
230507;0000;;;;
230508;0000;;;;
230509;0000;;9,99;;
230510;0000;;7,27;;
230511;0000;;7,5;;
230512;0000;;5,85;;
230513;0000;;;;
230514;0000;;;;
230515;0000;;;;
230516;0000;;3,33;;
230517;0000;;5,49;;
230518;0000;;5,83;;
230519;0000;;4,6;;
230520;0000;;2,75;;
230521;0000;;;;
230522;0000;;1,3;;
230523;0000;;;;
230524;0000;;1,64;;
230525;0000;;2,38;;
230526;0000;;3,69;;
230527;0000;;4,9;;
230528;0000;;3,51;;
230529;0000;;7,52;;
230530;0000;;6,93;;
230531;0000;;7,75;;
230601;0000;;4,03;;
230602;0000;;3,81;;
230603;0000;;2,37;;
230604;0000;;3,78;;
230605;0000;;7,61;;
230606;0000;;4,7;;
230607;0000;;5,91;;
230608;0000;;;;
230609;0000;;;;
230610;0000;;;;
230611;0000;;;;
230612;0000;;;;
230613;0000;;12,31;;
230614;0000;;10,55;;
230615;0000;;7,56;;
230616;0000;;10,16;;
230617;0000;;8,12;;
230618;0000;;3,54;;
230619;0000;;4,16;;
230620;0000;;5,21;;
230621;0000;;1,84;;
230622;0000;;0,87;;
230623;0000;;0,44;;
230624;0000;;;;
230625;0000;;;;
230626;0000;;;;
230627;0000;;;;
230628;0000;;2,5;;
230629;0000;;5,29;;
230630;0000;;5,37;;
230701;0000;;1,79;;
230702;0000;;;;
230703;0000;;;;
230704;0000;;;;
230705;0000;;1,65;;
230706;0000;;3,68;;
230707;0000;;3,34;;
230708;0000;;1,99;;
230709;0000;;1,9;;
230710;0000;;6,92;;
230711;0000;;3,15;;
230712;0000;;3,8;;
230713;0000;;5,06;;
230714;0000;;6,8;;
230715;0000;;5,94;;
230716;0000;;4,56;;
230717;0000;;4,31;;
230718;0000;;7,06;;
230719;0000;;1,46;;
230720;0000;;0,77;;
230721;0000;;1,65;;
230722;0000;;;;
230723;0000;;;;
230724;0000;;;;
230725;0000;;;;
230726;0000;;;;
230727;0000;;;;
230728;0000;;6,35;;
230729;0000;;;;
230730;0000;;1,71;;
230731;0000;;;;
230801;0000;;4,1;;
230802;0000;;6,27;;
230803;0000;;6,02;;
230804;0000;;8,6;;
230805;0000;;3,57;;
230806;0000;;2,34;;
230807;0000;;6,77;;
230808;0000;;5,9;;
230809;0000;;2,94;;
230810;0000;;4,14;;
230811;0000;;5,01;;
230812;0000;;4,64;;
230813;0000;;3,8;;
230814;0000;;4,52;;
230815;0000;;1,48;;
230816;0000;;1,96;;
230817;0000;;3,49;;
230818;0000;;2,65;;
230819;0000;;;;
230820;0000;;;;
230821;0000;;2,49;;
230822;0000;;3,57;;
230823;0000;;2,91;;
230824;0000;;3,39;;
230825;0000;;2,83;;
230826;0000;;3,25;;
230827;0000;;3,46;;
230828;0000;;3,02;;
230829;0000;;4,34;;
230830;0000;;3,35;;
230831;0000;;5,33;;
230901;0000;;4,26;;
230902;0000;;2,43;;
230903;0000;;3,78;;
230904;0000;;3,54;;
230905;0000;;1,07;;
230906;0000;;3,38;;
230907;0000;;5,69;;
230908;0000;;11,31;;
230909;0000;;2,32;;
230910;0000;;1,39;;
230911;0000;;2,07;;
230912;0000;;5,69;;
230913;0000;;2,2;;
230914;0000;;3,48;;
230915;0000;;3,4;;
230916;0000;;1,9;;
230917;0000;;2,55;;
230918;0000;;3,4;;
230919;0000;;4,44;;
230920;0000;;2,03;;
230921;0000;;0,71;;
230922;0000;;3,37;;
230923;0000;;2,9;;
230924;0000;;1,5;;
230925;0000;;3,53;;
230926;0000;;5,37;;
230927;0000;;4,54;;
230928;0000;;4,81;;
230929;0000;;6,92;;
230930;0000;;2,89;;
231001;0000;;0,61;;
231002;0000;;1,51;;
231003;0000;;3,42;;
231004;0000;;3,5;;
231005;0000;;3,51;;
231006;0000;;1,76;;
231007;0000;;2,89;;
231008;0000;;2,6;;
231009;0000;;3,08;;
231010;0000;;2,96;;
231011;0000;;5,34;;
231012;0000;;4,16;;
231013;0000;;4,62;;
231014;0000;;3,48;;
231015;0000;;2,83;;
231016;0000;;4,5;;
231017;0000;;6,32;;
231018;0000;;1,65;;
231019;0000;;6,12;;
231020;0000;;5,48;;
231021;0000;;4,31;;
231022;0000;;;;
