FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220117;0000;;;;
220118;0000;;;;
220119;0000;;;;
220120;0000;;;;
220121;0000;;8,54083;;
220122;0000;;2,27167;;
220123;0000;;7,68913;;
220124;0000;;8,84875;;
220125;0000;;8,48204;;
220126;0000;;7,69158;;
220127;0000;;4,78958;;
220128;0000;;2,69971;;
220129;0000;;2,74196;;
220130;0000;;4,58471;;
220131;0000;;8,1395;;
220201;0000;;9,26059;;
220202;0000;;6,38674;;
220203;0000;;5,86471;;
220204;0000;;7,87016;;
220205;0000;;10,167;;
220206;0000;;10,7432;;
220207;0000;;8,13196;;
220208;0000;;13,0912;;
220209;0000;;10,9193;;
220210;0000;;12,8183;;
220211;0000;;15,0654;;
220212;0000;;18,3297;;
220213;0000;;3,74125;;
220214;0000;;4,19025;;
220215;0000;;4,27196;;
220216;0000;;13,9103;;
220217;0000;;13,2157;;
220218;0000;;11,6949;;
220219;0000;;9,43417;;
220220;0000;;5,34459;;
220221;0000;;10,7343;;
220222;0000;;5,18048;;
220223;0000;;5,39554;;
220224;0000;;4,74179;;
220225;0000;;8,5663;;
220226;0000;;4,70096;;
220227;0000;;3,28205;;
220228;0000;;10,0927;;
220301;0000;;13,7143;;
220302;0000;;14,5363;;
220303;0000;;8,23105;;
220304;0000;;9,84784;;
220305;0000;;10,2205;;
220306;0000;;4,96091;;
220307;0000;;8,54608;;
220308;0000;;8,87587;;
220309;0000;;9,50166;;
220310;0000;;19,9113;;
220311;0000;;20,1981;;
220312;0000;;6,66004;;
220313;0000;;13,4271;;
220314;0000;;24,3332;;
220315;0000;;11,3745;;
220316;0000;;5,02917;;
220317;0000;;10,6609;;
220318;0000;;13,572;;
220319;0000;;12,0956;;
220320;0000;;6,34908;;
220321;0000;;5,83392;;
220322;0000;;16,3368;;
220323;0000;;6,70445;;
220324;0000;;16,9154;;
220325;0000;;21,6948;;
220326;0000;;7,11058;;
220327;0000;;6,47917;;
220328;0000;;20,2971;;
220329;0000;;11,8855;;
220330;0000;;20,3907;;
220331;0000;;20,5544;;
220401;0000;;20,8722;;
220402;0000;;14,8582;;
220403;0000;;8,48334;;
220404;0000;;24,2341;;
220405;0000;;20,0269;;
220406;0000;;23,9159;;
220407;0000;;22,7683;;
220408;0000;;23,4085;;
220409;0000;;4,72746;;
220410;0000;;4,62837;;
220411;0000;;14,8274;;
220412;0000;;21,8814;;
220413;0000;;21,2799;;
220414;0000;;18,9572;;
220415;0000;;4,26405;;
220416;0000;;5,86422;;
220417;0000;;9,37096;;
220418;0000;;23,2005;;
220419;0000;;9,36342;;
220420;0000;;21,0124;;
220421;0000;;10,8243;;
220422;0000;;6,67384;;
220423;0000;;5,90259;;
220424;0000;;1,98333;;
220425;0000;;4,00029;;
220426;0000;;4,80079;;
220427;0000;;;;
220428;0000;;15,659;;
220429;0000;;22,2455;;
220430;0000;;19,9914;;
220501;0000;;16,0686;;
220502;0000;;28,1891;;
220503;0000;;42,1269;;
220504;0000;;39,7335;;
220505;0000;;21,439;;
220506;0000;;26,9826;;
220507;0000;;13,1162;;
220508;0000;;5,35887;;
220509;0000;;11,844;;
220510;0000;;24,1321;;
220511;0000;;29,5697;;
220512;0000;;10,9867;;
220513;0000;;19,7695;;
220514;0000;;18,0706;;
220515;0000;;17,6846;;
220516;0000;;21,8028;;
220517;0000;;28,7784;;
220518;0000;;6,26273;;
220519;0000;;1,60975;;
220520;0000;;7,02596;;
220521;0000;;17,0551;;
220522;0000;;5,4558;;
220523;0000;;24,4538;;
220524;0000;;15,1576;;
220525;0000;;28,9316;;
220526;0000;;19,6721;;
220527;0000;;19,8273;;
220528;0000;;20,868;;
220529;0000;;14,7542;;
220530;0000;;33,546;;
220531;0000;;23,1004;;
220601;0000;;13,4812;;
220602;0000;;2,87521;;
220603;0000;;1,70204;;
220604;0000;;;;
220605;0000;;;;
220606;0000;;;;
220607;0000;;4,92979;;
220608;0000;;9,6037;;
220609;0000;;8,90634;;
220610;0000;;24,5871;;
220611;0000;;18,6186;;
220612;0000;;2,11054;;
220613;0000;;5,23788;;
220614;0000;;2,70341;;
220615;0000;;11,9615;;
220616;0000;;14,1247;;
220617;0000;;8,49458;;
220618;0000;;12,4625;;
220619;0000;;5,90042;;
220620;0000;;7,77834;;
220621;0000;;2,68867;;
220622;0000;;3,76878;;
220623;0000;;2,35575;;
220624;0000;;17,2087;;
220625;0000;;8,3555;;
220626;0000;;3,52275;;
220627;0000;;3,65658;;
220628;0000;;3,84417;;
220629;0000;;4,944;;
220630;0000;;18,3194;;
220701;0000;;5,70209;;
220702;0000;;2,50154;;
220703;0000;;7,76315;;
220704;0000;;12,127;;
220705;0000;;6,22237;;
220706;0000;;7,08692;;
220707;0000;;29,1566;;
220708;0000;;7,29908;;
220709;0000;;1,99288;;
220710;0000;;6,33963;;
220711;0000;;13,4929;;
220712;0000;;6,20275;;
220713;0000;;9,63745;;
220714;0000;;;;
220715;0000;;;;
220716;0000;;;;
220717;0000;;;;
220718;0000;;;;
220719;0000;;11,5624;;
220720;0000;;3,91454;;
220721;0000;;1,27354;;
220722;0000;;0,696417;;
220723;0000;;0,222792;;
220724;0000;;0;;
220725;0000;;;;
220726;0000;;;;
220727;0000;;2,40921;;
220728;0000;;32,9485;;
220729;0000;;29,7282;;
220730;0000;;7,63225;;
220731;0000;;4,47721;;
220801;0000;;13,2462;;
220802;0000;;29,3774;;
220803;0000;;16,0331;;
220804;0000;;3,04979;;
220805;0000;;4,16354;;
220806;0000;;3,17308;;
220807;0000;;2,87571;;
220808;0000;;12,6127;;
220809;0000;;20,6208;;
220810;0000;;17,4207;;
220811;0000;;18,2214;;
220812;0000;;4,00961;;
220813;0000;;2,45708;;
220814;0000;;2,15954;;
220815;0000;;2,74008;;
220816;0000;;4,17612;;
220817;0000;;6,64675;;
220818;0000;;24,9289;;
220819;0000;;26,8452;;
220820;0000;;26,8066;;
220821;0000;;17,5769;;
220822;0000;;13,6371;;
220823;0000;;4,62546;;
220824;0000;;13,5703;;
220825;0000;;19,2104;;
220826;0000;;9,90016;;
220827;0000;;13,3311;;
220828;0000;;13,4015;;
220829;0000;;14,6613;;
220830;0000;;4,749;;
220831;0000;;11,7052;;
220901;0000;;17,6984;;
220902;0000;;23,0835;;
220903;0000;;19,5691;;
220904;0000;;12,0642;;
220905;0000;;16,8773;;
220906;0000;;16,1328;;
220907;0000;;4,24204;;
220908;0000;;12,536;;
220909;0000;;14,4515;;
220910;0000;;7,90359;;
220911;0000;;4,48742;;
220912;0000;;11,0735;;
220913;0000;;11,7357;;
220914;0000;;13,942;;
220915;0000;;2,58738;;
220916;0000;;;;
220917;0000;;4,42438;;
220918;0000;;6,82567;;
220919;0000;;9,39337;;
220920;0000;;11,8746;;
220921;0000;;4,44788;;
220922;0000;;4,07765;;
220923;0000;;5,02425;;
220924;0000;;8,25679;;
220925;0000;;2,86428;;
220926;0000;;3,46357;;
220927;0000;;13,0677;;
220928;0000;;13,0257;;
220929;0000;;3,88591;;
220930;0000;;5,70541;;
221001;0000;;4,25946;;
221002;0000;;3,20195;;
221003;0000;;;;
221004;0000;;2,45846;;
221005;0000;;4,84454;;
221006;0000;;2,90059;;
221007;0000;;5,77837;;
221008;0000;;6,25579;;
221009;0000;;4,76204;;
221010;0000;;5,44508;;
221011;0000;;4,98512;;
221012;0000;;4,68971;;
221013;0000;;7,87563;;
221014;0000;;10,5664;;
221015;0000;;9,31262;;
221016;0000;;4,275;;
221017;0000;;4,80971;;
221018;0000;;3,90175;;
221019;0000;;6,69721;;
221020;0000;;3,54679;;
221021;0000;;5,57384;;
221022;0000;;5,601;;
221023;0000;;1,30323;;
221024;0000;;5,19721;;
221025;0000;;3,25117;;
221026;0000;;4,60763;;
221027;0000;;4,30448;;
221028;0000;;5,67645;;
221029;0000;;2,27608;;
221030;0000;;3,41156;;
221031;0000;;;;
221101;0000;;;;
221102;0000;;;;
221103;0000;;4,06033;;
221104;0000;;3,44461;;
221105;0000;;3,17762;;
221106;0000;;4,70309;;
221107;0000;;7,98737;;
221108;0000;;8,48679;;
221109;0000;;2,08761;;
221110;0000;;3,6847;;
221111;0000;;3,01162;;
221112;0000;;2,61217;;
221113;0000;;2,90971;;
221114;0000;;5,33933;;
221115;0000;;6,902;;
221116;0000;;9,63083;;
221117;0000;;4,84596;;
221118;0000;;5,52921;;
221119;0000;;4,02033;;
221120;0000;;3,32463;;
221121;0000;;8,37254;;
221122;0000;;6,52426;;
221123;0000;;7,66029;;
221124;0000;;10,5991;;
221125;0000;;10,9983;;
221126;0000;;11,0337;;
221127;0000;;5,10367;;
221128;0000;;6,49108;;
221129;0000;;8,06134;;
221130;0000;;6,27548;;
221201;0000;;8,78967;;
221202;0000;;8,3893;;
221203;0000;;6,07475;;
221204;0000;;3,78367;;
221205;0000;;6,93163;;
221206;0000;;9,63969;;
221207;0000;;4,45441;;
221208;0000;;2,60317;;
221209;0000;;6,81817;;
221210;0000;;6,28967;;
221211;0000;;4,72379;;
221212;0000;;4,92892;;
221213;0000;;6,08742;;
221214;0000;;4,10216;;
221215;0000;;7,39029;;
221216;0000;;6,99354;;
221217;0000;;2,69616;;
221218;0000;;3,41247;;
221219;0000;;;;
221220;0000;;;;
221221;0000;;40,8771;;
221222;0000;;31,355;;
221223;0000;;27,9665;;
221224;0000;;30,5576;;
221225;0000;;23,9872;;
221226;0000;;28,2513;;
221227;0000;;35,1708;;
221228;0000;;30,5662;;
221229;0000;;22,4953;;
221230;0000;;9,90192;;
221231;0000;;3,906;;
230101;0000;;1,16308;;
230102;0000;;3,25471;;
230103;0000;;5,76725;;
230104;0000;;8,09756;;
230105;0000;;3,50671;;
230106;0000;;4,31992;;
230107;0000;;2,46375;;
230108;0000;;4,87996;;
230109;0000;;;;
230110;0000;;;;
230111;0000;;;;
230112;0000;;9,18008;;
230113;0000;;8,77831;;
230114;0000;;6,65075;;
230115;0000;;4,23752;;
230116;0000;;8,05708;;
230117;0000;;7,04596;;
230118;0000;;9,42775;;
230119;0000;;4,2735;;
230120;0000;;4,603;;
230121;0000;;5,726;;
230122;0000;;6,16384;;
230123;0000;;5,90208;;
230124;0000;;4,14071;;
230125;0000;;7,64;;
230126;0000;;6,401;;
230127;0000;;8,35992;;
230128;0000;;8,68887;;
230129;0000;;4,72054;;
230130;0000;;;;
230131;0000;;;;
230201;0000;;;;
230202;0000;;;;
230203;0000;;;;
230204;0000;;;;
230205;0000;;;;
230206;0000;;;;
230207;0000;;13,4196;;
230208;0000;;11,4457;;
230209;0000;;13,5174;;
230210;0000;;15,2267;;
230211;0000;;8,16646;;
230212;0000;;4,14375;;
230213;0000;;6,1198;;
230214;0000;;8,66275;;
230215;0000;;8,89992;;
230216;0000;;9,02721;;
230217;0000;;16,2009;;
230218;0000;;8,8584;;
230219;0000;;5,83242;;
230220;0000;;12,1343;;
230221;0000;;15,735;;
230222;0000;;9,79018;;
230223;0000;;14,3552;;
230224;0000;;10,0306;;
230225;0000;;5,59238;;
230226;0000;;6,03413;;
230227;0000;;12,9273;;
230228;0000;;12,4263;;
230301;0000;;12,2421;;
230302;0000;;13,009;;
230303;0000;;12,4543;;
230304;0000;;12,3047;;
230305;0000;;10,1087;;
230306;0000;;7,80388;;
230307;0000;;7,83161;;
230308;0000;;5,15175;;
230309;0000;;;;
230310;0000;;19,4006;;
230311;0000;;4,72334;;
230312;0000;;3,21437;;
230313;0000;;12,842;;
230314;0000;;14,7704;;
230315;0000;;8,438;;
230316;0000;;5,25059;;
230317;0000;;8,84804;;
230318;0000;;11,2465;;
230319;0000;;9,0125;;
230320;0000;;11,7856;;
230321;0000;;13,3437;;
230322;0000;;17,4894;;
230323;0000;;18,2897;;
230324;0000;;17,8137;;
230325;0000;;12,6302;;
230326;0000;;7,12733;;
230327;0000;;6,58366;;
230328;0000;;8,17677;;
230329;0000;;18,5982;;
230330;0000;;16,8329;;
230331;0000;;21,0166;;
230401;0000;;15,8342;;
230402;0000;;10,317;;
230403;0000;;19,7538;;
230404;0000;;17,854;;
230405;0000;;9,03448;;
230406;0000;;6,72975;;
230407;0000;;8,96805;;
230408;0000;;4,2323;;
230409;0000;;5,85748;;
230410;0000;;23,6538;;
230411;0000;;11,4367;;
230412;0000;;19,7056;;
230413;0000;;7,86213;;
230414;0000;;9,21558;;
230415;0000;;10,95;;
230416;0000;;8,45187;;
230417;0000;;16,9145;;
230418;0000;;9,36166;;
230419;0000;;21,9985;;
230420;0000;;9,05573;;
230421;0000;;9,159;;
230422;0000;;17,9687;;
230423;0000;;9,86821;;
230424;0000;;9,80533;;
230425;0000;;12,0179;;
230426;0000;;14,1258;;
230427;0000;;;;
230428;0000;;3,36837;;
230429;0000;;4,33733;;
230430;0000;;4,48396;;
230501;0000;;10,5832;;
230502;0000;;20,6464;;
230503;0000;;24,1132;;
230504;0000;;16,8184;;
230505;0000;;25,4926;;
230506;0000;;;;
230507;0000;;;;
230508;0000;;;;
230509;0000;;28,7367;;
230510;0000;;33,1591;;
230511;0000;;37,6734;;
230512;0000;;33,7578;;
230513;0000;;;;
230514;0000;;;;
230515;0000;;;;
230516;0000;;5,43646;;
230517;0000;;14,8172;;
230518;0000;;21,7387;;
230519;0000;;19,5443;;
230520;0000;;7,15338;;
230521;0000;;;;
230522;0000;;1,96609;;
230523;0000;;;;
230524;0000;;4,43274;;
230525;0000;;8,61766;;
230526;0000;;6,91745;;
230527;0000;;12,054;;
230528;0000;;9,99496;;
230529;0000;;26,2714;;
230530;0000;;27,8354;;
230531;0000;;20,4287;;
230601;0000;;11,8613;;
230602;0000;;5,37109;;
230603;0000;;4,03721;;
230604;0000;;8,50392;;
230605;0000;;21,3479;;
230606;0000;;7,18071;;
230607;0000;;12,6562;;
230608;0000;;;;
230609;0000;;;;
230610;0000;;;;
230611;0000;;;;
230612;0000;;;;
230613;0000;;35,2494;;
230614;0000;;31,6423;;
230615;0000;;15,7586;;
230616;0000;;19,8987;;
230617;0000;;18,3088;;
230618;0000;;7,45708;;
230619;0000;;6,19696;;
230620;0000;;14,8732;;
230621;0000;;2,39808;;
230622;0000;;2,18865;;
230623;0000;;2,56467;;
230624;0000;;3,27204;;
230625;0000;;1,21179;;
230626;0000;;0,816056;;
230627;0000;;;;
230628;0000;;5,194;;
230629;0000;;18,7002;;
230630;0000;;18,1025;;
230701;0000;;19,8673;;
230702;0000;;;;
230703;0000;;;;
230704;0000;;;;
230705;0000;;3,81538;;
230706;0000;;13,3976;;
230707;0000;;11,7899;;
230708;0000;;;;
230709;0000;;7,33595;;
230710;0000;;18,8374;;
230711;0000;;4,99333;;
230712;0000;;8,18275;;
230713;0000;;13,9239;;
230714;0000;;19,1002;;
230715;0000;;14,9917;;
230716;0000;;8,08891;;
230717;0000;;17,6237;;
230718;0000;;14,5782;;
230719;0000;;1,93096;;
230720;0000;;1,27975;;
230721;0000;;2,93243;;
230722;0000;;1,46105;;
230723;0000;;2,58105;;
230724;0000;;;;
230725;0000;;;;
230726;0000;;9,99934;;
230727;0000;;;;
230728;0000;;18,026;;
230729;0000;;;;
230730;0000;;;;
230731;0000;;;;
230801;0000;;8,30966;;
230802;0000;;12,9561;;
230803;0000;;13,2959;;
230804;0000;;18,7637;;
230805;0000;;7,81717;;
230806;0000;;5,32875;;
230807;0000;;23,0899;;
230808;0000;;10,21;;
230809;0000;;3,5265;;
230810;0000;;5,47061;;
230811;0000;;16,3804;;
230812;0000;;12,2217;;
230813;0000;;11,1542;;
230814;0000;;18,2943;;
230815;0000;;2,28942;;
230816;0000;;3,28038;;
230817;0000;;5,42765;;
230818;0000;;3,79924;;
230819;0000;;0,559778;;
230820;0000;;0,565619;;
230821;0000;;3,86952;;
230822;0000;;4,68346;;
230823;0000;;4,11234;;
230824;0000;;8,76408;;
230825;0000;;6,94891;;
230826;0000;;7,92934;;
230827;0000;;6,70179;;
230828;0000;;4,55512;;
230829;0000;;18,3726;;
230830;0000;;4,94513;;
230831;0000;;12,9232;;
230901;0000;;5,86713;;
230902;0000;;3,32375;;
230903;0000;;6,10783;;
230904;0000;;5,73917;;
230905;0000;;1,64279;;
230906;0000;;4,27729;;
230907;0000;;18,0702;;
230908;0000;;47,8547;;
230909;0000;;2,72148;;
230910;0000;;1,50633;;
230911;0000;;2,81475;;
230912;0000;;14,077;;
230913;0000;;3,37709;;
230914;0000;;4,32478;;
230915;0000;;4,25338;;
230916;0000;;2,53067;;
230917;0000;;3,86748;;
230918;0000;;5,94817;;
230919;0000;;7,26733;;
230920;0000;;2,90287;;
230921;0000;;0,914591;;
230922;0000;;4,55105;;
230923;0000;;4,95875;;
230924;0000;;2,35917;;
230925;0000;;7,06883;;
230926;0000;;8,25383;;
230927;0000;;6,07817;;
230928;0000;;7,3203;;
