FECHA (YYMMDD);HORA (HHMM);;
201224;0100;;
201224;0200;;
201224;0300;;
201224;0400;;
201224;0500;;
201224;0600;;
201224;0700;13,97;
201224;0800;21,62;
201224;0900;;
201224;1000;;
201224;1100;21,92;
201224;1200;22,03;
201224;1300;22,24;
201224;1400;22,4;
201224;1500;21,99;
201224;1600;21,97;
201224;1700;22,02;
201224;1800;21,01;
201224;1900;20,6;
201224;2000;19,65;
201224;2100;18,46;
201224;2200;17,59;
201224;2300;16,56;
201225;0000;15,81;
201225;0100;15,09;
201225;0200;13,79;
201225;0300;12,64;
201225;0400;11,45;
201225;0500;9,82001;
201225;0600;10,28;
201225;0700;15,17;
201225;0800;18,84;
201225;0900;21,33;
201225;1000;22,74;
201225;1100;23,58;
201225;1200;24,35;
201225;1300;24,17;
201225;1400;24,49;
201225;1500;24,03;
201225;1600;23,31;
201225;1700;24,01;
201225;1800;21,31;
201225;1900;19,85;
201225;2000;19,12;
201225;2100;18,43;
201225;2200;17,26;
201225;2300;16,6;
201226;0000;16,14;
201226;0100;15,34;
201226;0200;14,68;
201226;0300;13,12;
201226;0400;10,86;
201226;0500;10,22;
201226;0600;13,79;
201226;0700;16,04;
201226;0800;18,26;
201226;0900;20,5;
201226;1000;22,09;
201226;1100;22,52;
201226;1200;23,66;
201226;1300;24,42;
201226;1400;24,58;
201226;1500;24,52;
201226;1600;24,38;
201226;1700;23,41;
201226;1800;22,28;
201226;1900;20,44;
201226;2000;19,21;
201226;2100;17,73;
201226;2200;16,76;
201226;2300;15,22;
201227;0000;14,11;
201227;0100;13,63;
201227;0200;15,6;
201227;0300;16,07;
201227;0400;16,27;
201227;0500;16,36;
201227;0600;16,18;
201227;0700;16,76;
201227;0800;17,8;
201227;0900;18,14;
201227;1000;18,99;
201227;1100;20,08;
201227;1200;20,02;
201227;1300;19,93;
201227;1400;19,95;
201227;1500;18,74;
201227;1600;19,4;
201227;1700;18,89;
201227;1800;17,21;
201227;1900;17,48;
201227;2000;16,53;
201227;2100;15,14;
201227;2200;14,17;
201227;2300;13,57;
201228;0000;13,07;
201228;0100;12,6;
201228;0200;12,55;
201228;0300;12,1;
201228;0400;11,78;
201228;0500;11,64;
201228;0600;12,42;
201228;0700;15,73;
201228;0800;19,14;
201228;0900;21,08;
201228;1000;21,79;
201228;1100;22,34;
201228;1200;23,3;
201228;1300;22,65;
201228;1400;22,01;
201228;1500;21,9;
201228;1600;21,26;
201228;1700;20,62;
201228;1800;19,02;
201228;1900;18,11;
201228;2000;17,16;
201228;2100;17,19;
201228;2200;17,23;
201228;2300;16,55;
201229;0000;14,82;
201229;0100;13,29;
201229;0200;12,31;
201229;0300;11,7;
201229;0400;10,87;
201229;0500;11,79;
201229;0600;13,45;
201229;0700;16,77;
201229;0800;18,91;
201229;0900;19,84;
201229;1000;20,72;
201229;1100;17,63;
201229;1200;17,99;
201229;1300;19,97;
201229;1400;21,39;
201229;1500;21,82;
201229;1600;21,68;
201229;1700;20,82;
201229;1800;18,96;
201229;1900;17,9;
201229;2000;17,47;
201229;2100;16,68;
201229;2200;15,28;
201229;2300;12,76;
201230;0000;11,86;
201230;0100;11,57;
201230;0200;10,81;
201230;0300;9,95;
201230;0400;8,93001;
201230;0500;8,25;
201230;0600;9,97;
201230;0700;13,7;
201230;0800;17,04;
201230;0900;18,57;
201230;1000;19,86;
201230;1100;21,11;
201230;1200;22,46;
201230;1300;22,79;
201230;1400;22,23;
201230;1500;21,18;
201230;1600;20,66;
201230;1700;21,33;
201230;1800;20,98;
201230;1900;19,27;
201230;2000;17,5;
201230;2100;16,5;
201230;2200;15,44;
201230;2300;14,52;
201231;0000;13,79;
201231;0100;13,01;
201231;0200;11,95;
201231;0300;11,57;
201231;0400;9,8;
201231;0500;9,21001;
201231;0600;9,82001;
201231;0700;13,5;
201231;0800;17,44;
201231;0900;22,46;
201231;1000;;
201231;1100;;
201231;1200;23,05;
201231;1300;24,52;
201231;1400;24,71;
201231;1500;24,67;
201231;1600;24,18;
201231;1700;22,08;
201231;1800;20,72;
201231;1900;20,26;
201231;2000;18,63;
201231;2100;17,65;
201231;2200;16,61;
201231;2300;15,64;
210101;0000;14,95;
210101;0100;14,28;
210101;0200;13,79;
210101;0300;12,87;
210101;0400;11,97;
210101;0500;11,71;
210101;0600;12,47;
210101;0700;14,82;
210101;0800;17,86;
210101;0900;20,38;
210101;1000;21,58;
210101;1100;23,14;
210101;1200;23,56;
210101;1300;24,4;
210101;1400;23,46;
210101;1500;23,12;
210101;1600;22,85;
210101;1700;22,78;
210101;1800;22,08;
210101;1900;20,95;
210101;2000;18,64;
210101;2100;17,31;
210101;2200;16,54;
210101;2300;15,73;
210102;0000;14,96;
210102;0100;14,24;
210102;0200;13,88;
210102;0300;13,14;
210102;0400;11,67;
210102;0500;10,82;
210102;0600;11,47;
210102;0700;14,3;
210102;0800;17,5;
210102;0900;20,29;
210102;1000;22,27;
210102;1100;22,73;
210102;1200;21,68;
210102;1300;22,94;
210102;1400;22,31;
210102;1500;21;
210102;1600;20,09;
210102;1700;21,26;
210102;1800;19,92;
210102;1900;18,76;
210102;2000;18,12;
210102;2100;17,61;
210102;2200;17,25;
210102;2300;16,95;
210103;0000;16,15;
210103;0100;15,33;
210103;0200;13,5;
210103;0300;12,33;
210103;0400;11,57;
210103;0500;11,07;
210103;0600;11,47;
210103;0700;14,85;
210103;0800;18,06;
210103;0900;20,78;
210103;1000;22,52;
210103;1100;22,93;
210103;1200;23,52;
210103;1300;24,21;
210103;1400;24,08;
210103;1500;23,62;
210103;1600;22,38;
210103;1700;21,4;
210103;1800;21,23;
210103;1900;20,06;
210103;2000;18,35;
210103;2100;16,56;
210103;2200;15,35;
210103;2300;14,55;
210104;0000;13,86;
210104;0100;13,54;
210104;0200;12,81;
210104;0300;12,35;
210104;0400;11,92;
210104;0500;11,26;
210104;0600;11,04;
210104;0700;13,23;
210104;0800;16,26;
210104;0900;18,91;
210104;1000;20,41;
210104;1100;22,22;
210104;1200;22,67;
210104;1300;22,17;
210104;1400;21,64;
210104;1500;21,84;
210104;1600;22,39;
210104;1700;22,15;
210104;1800;20,61;
210104;1900;19,16;
210104;2000;17,6;
210104;2100;15,73;
210104;2200;14,81;
210104;2300;14,09;
210105;0000;13,4;
210105;0100;12,82;
210105;0200;12,14;
210105;0300;11,22;
210105;0400;9,92;
210105;0500;9,35001;
210105;0600;9,89999;
210105;0700;13,11;
210105;0800;16,1;
210105;0900;18,72;
210105;1000;20,99;
210105;1100;22,45;
210105;1200;23,24;
210105;1300;23,44;
210105;1400;23,47;
210105;1500;22,85;
210105;1600;21,77;
210105;1700;20,86;
210105;1800;20,91;
210105;1900;19,73;
210105;2000;18,51;
210105;2100;16,98;
210105;2200;15,8;
210105;2300;15,01;
210106;0000;14,43;
210106;0100;13,78;
