FECHA (YYMMDD);HORA (HHMM);;
201224;0100;;
201224;0200;;
201224;0300;;
201224;0400;;
201224;0500;;
201224;0600;;
201224;0700;0,951;
201224;0800;1,257;
201224;0900;;
201224;1000;;
201224;1100;1,181;
201224;1200;1,705;
201224;1300;2,127;
201224;1400;2,549;
201224;1500;2,39;
201224;1600;3,193;
201224;1700;2,91;
201224;1800;2,537;
201224;1900;2,558;
201224;2000;2,016;
201224;2100;1,486;
201224;2200;1,434;
201224;2300;1,592;
201225;0000;1,398;
201225;0100;1,15;
201225;0200;0,705;
201225;0300;0,515;
201225;0400;0,328;
201225;0500;0,564;
201225;0600;0,472;
201225;0700;1,551;
201225;0800;1,597;
201225;0900;1,085;
201225;1000;0,914;
201225;1100;0,887;
201225;1200;1,126;
201225;1300;2,149;
201225;1400;2,941;
201225;1500;2,969;
201225;1600;2,242;
201225;1700;2,139;
201225;1800;2,035;
201225;1900;1,763;
201225;2000;1,902;
201225;2100;1,753;
201225;2200;1,322;
201225;2300;1,367;
201226;0000;1,271;
201226;0100;1,138;
201226;0200;0,845;
201226;0300;0,563;
201226;0400;0,298;
201226;0500;0,369;
201226;0600;1,32;
201226;0700;1,998;
201226;0800;2,044;
201226;0900;2,056;
201226;1000;1,261;
201226;1100;1,198;
201226;1200;1,073;
201226;1300;1,315;
201226;1400;1,771;
201226;1500;2,158;
201226;1600;2,41;
201226;1700;2,561;
201226;1800;2,293;
201226;1900;1,767;
201226;2000;1,725;
201226;2100;1,519;
201226;2200;1,22;
201226;2300;0,355;
201227;0000;0,683;
201227;0100;0,371;
201227;0200;1,793;
201227;0300;1,327;
201227;0400;1,16;
201227;0500;0,863;
201227;0600;0,555;
201227;0700;1,31;
201227;0800;1,516;
201227;0900;1,761;
201227;1000;2,448;
201227;1100;2,254;
201227;1200;2,583;
201227;1300;2,06;
201227;1400;2,172;
201227;1500;2,259;
201227;1600;1,686;
201227;1700;1,586;
201227;1800;1,572;
201227;1900;0,753;
201227;2000;0,451;
201227;2100;0,186;
201227;2200;0,076;
201227;2300;0,032;
201228;0000;0,063;
201228;0100;0,205;
201228;0200;0,385;
201228;0300;0,208;
201228;0400;0,075;
201228;0500;0,176;
201228;0600;0,302;
201228;0700;0,534;
201228;0800;0,64;
201228;0900;0,725;
201228;1000;0,779;
201228;1100;0,905;
201228;1200;0,797;
201228;1300;1,097;
201228;1400;1,718;
201228;1500;1,562;
201228;1600;1,404;
201228;1700;1,293;
201228;1800;1,518;
201228;1900;1,498;
201228;2000;0,877;
201228;2100;1,207;
201228;2200;1,477;
201228;2300;0,989;
201229;0000;0,225;
201229;0100;0;
201229;0200;0,071;
201229;0300;0,008;
201229;0400;0,143;
201229;0500;0,374;
201229;0600;0,408;
201229;0700;1,185;
201229;0800;1,167;
201229;0900;2,491;
201229;1000;2,724;
201229;1100;2,299;
201229;1200;2,02;
201229;1300;1,899;
201229;1400;1,184;
201229;1500;1,061;
201229;1600;1,311;
201229;1700;1,491;
201229;1800;1,609;
201229;1900;1,568;
201229;2000;2,313;
201229;2100;1,966;
201229;2200;0,637;
201229;2300;0,059;
201230;0000;0,203;
201230;0100;0,244;
201230;0200;0,333;
201230;0300;0,147;
201230;0400;0,091;
201230;0500;0,474;
201230;0600;0,601;
201230;0700;1,011;
201230;0800;1,091;
201230;0900;2,455;
201230;1000;2,617;
201230;1100;2,069;
201230;1200;1,944;
201230;1300;1,982;
201230;1400;2,026;
201230;1500;2,444;
201230;1600;2,284;
201230;1700;2,79;
201230;1800;2,997;
201230;1900;2,398;
201230;2000;2,004;
201230;2100;1,561;
201230;2200;1,28;
201230;2300;1,345;
201231;0000;1,222;
201231;0100;0,971;
201231;0200;0,346;
201231;0300;0,63;
201231;0400;0,544;
201231;0500;0,116;
201231;0600;0,472;
201231;0700;0,497;
201231;0800;0,58;
201231;0900;1,025;
201231;1000;;
201231;1100;;
201231;1200;1,704;
201231;1300;2,82;
201231;1400;2,515;
201231;1500;3,332;
201231;1600;3,501;
201231;1700;2,561;
201231;1800;2,587;
201231;1900;2,207;
201231;2000;1,866;
201231;2100;1,638;
201231;2200;1,664;
201231;2300;1,541;
210101;0000;1,236;
210101;0100;0,857;
210101;0200;1,255;
210101;0300;0,629;
210101;0400;0,411;
210101;0500;0,4;
210101;0600;0,564;
210101;0700;1,155;
210101;0800;1,537;
210101;0900;0,938;
210101;1000;1,094;
210101;1100;1,215;
210101;1200;1,442;
210101;1300;1,554;
210101;1400;2,051;
210101;1500;1,912;
210101;1600;2,555;
210101;1700;2,526;
210101;1800;2,882;
210101;1900;2,741;
210101;2000;2,318;
210101;2100;1,681;
210101;2200;2,001;
210101;2300;1,756;
210102;0000;1,735;
210102;0100;1,249;
210102;0200;1,318;
210102;0300;0,739;
210102;0400;0,052;
210102;0500;0,46;
210102;0600;0,697001;
210102;0700;0,269;
210102;0800;0,64;
210102;0900;1,056;
210102;1000;0,919;
210102;1100;0,881;
210102;1200;1,017;
210102;1300;1,093;
210102;1400;1,537;
210102;1500;1,759;
210102;1600;1,122;
210102;1700;3,223;
210102;1800;2,227;
210102;1900;1,964;
210102;2000;2,3;
210102;2100;1,77;
210102;2200;1,654;
210102;2300;1,446;
210103;0000;1,068;
210103;0100;0,703;
210103;0200;0,115;
210103;0300;0,087;
210103;0400;0,052;
210103;0500;0,111;
210103;0600;0,254;
210103;0700;0,28;
210103;0800;0,603;
210103;0900;0,814;
210103;1000;0,945;
210103;1100;1,01;
210103;1200;1,106;
210103;1300;1,861;
210103;1400;2,758;
210103;1500;2,031;
210103;1600;2,442;
210103;1700;2,115;
210103;1800;2,618;
210103;1900;3,848;
210103;2000;3,128;
210103;2100;2,889;
210103;2200;2,061;
210103;2300;1,983;
210104;0000;1,616;
210104;0100;1,825;
210104;0200;1,471;
210104;0300;1,431;
210104;0400;1,16;
210104;0500;0,683;
210104;0600;0,381;
210104;0700;1,242;
210104;0800;2,544;
210104;0900;1,767;
210104;1000;1,457;
210104;1100;1,574;
210104;1200;1,883;
210104;1300;2,064;
210104;1400;2,75;
210104;1500;3,332;
210104;1600;2,704;
210104;1700;3,209;
210104;1800;3,836;
210104;1900;3,05;
210104;2000;2,307;
210104;2100;2,37;
210104;2200;2,073;
210104;2300;1,682;
210105;0000;1,448;
210105;0100;1,29;
210105;0200;0,956;
210105;0300;0,31;
210105;0400;0,097;
210105;0500;0,04;
210105;0600;0,397;
210105;0700;1,319;
210105;0800;1,85;
210105;0900;2,375;
210105;1000;2,443;
210105;1100;1,598;
210105;1200;1,979;
210105;1300;2,119;
210105;1400;2,033;
210105;1500;2,681;
210105;1600;2,746;
210105;1700;2,648;
210105;1800;3,254;
210105;1900;2,507;
210105;2000;1,89;
210105;2100;1,647;
210105;2200;1,792;
210105;2300;1,468;
210106;0000;1,508;
210106;0100;1,477;
