FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
161126;0000;;11,1939;;
161127;0000;;11,4603;;
161128;0000;;19,6524;;
161129;0000;;28,208;;
161130;0000;;26,2788;;
161201;0000;;34,2434;;
161202;0000;;28,2438;;
161203;0000;;30,7713;;
161204;0000;;19,0829;;
161205;0000;;14,2485;;
161206;0000;;13,4736;;
161207;0000;;18,719;;
161208;0000;;20,5188;;
161209;0000;;17,6451;;
161210;0000;;13,8404;;
161211;0000;;13,971;;
161212;0000;;16,3108;;
161213;0000;;22,4905;;
161214;0000;;43,2734;;
161215;0000;;39,1868;;
161216;0000;;24,348;;
161217;0000;;23,1342;;
161218;0000;;24,5463;;
161219;0000;;29,7192;;
161220;0000;;19,1639;;
161221;0000;;15,5621;;
161222;0000;;25,5138;;
161223;0000;;22,4359;;
161224;0000;;18,0418;;
161225;0000;;11,5463;;
161226;0000;;12,2322;;
161227;0000;;14,6777;;
161228;0000;;21,0273;;
161229;0000;;14,798;;
161230;0000;;11,6657;;
161231;0000;;15,5834;;
170101;0000;24,2;;;
170102;0000;20,7083;;;
170103;0000;23,8333;;;
170104;0000;22,3333;;;
170105;0000;32,1042;;;
170106;0000;25,6667;;;
170107;0000;21,5417;;;
170108;0000;15,9583;;;
170109;0000;;;;
170110;0000;;;;
170111;0000;26,5833;;;
170112;0000;23,015;;;
170113;0000;30,125;;;
170114;0000;34,7083;;;
170115;0000;;;46,2917;
170116;0000;24,5283;;;
170117;0000;33,125;;;
170118;0000;43,6667;;;
170119;0000;31,0833;;;
170120;0000;40,9167;;;
170121;0000;50,875;;;
170122;0000;51,625;;;
170123;0000;36,8333;;;
170124;0000;36,0833;;;
170125;0000;39,7286;;;
170126;0000;105,883;;;
170127;0000;;;254,583;
170128;0000;;;263,652;
170129;0000;120,229;;;
170130;0000;69,25;;;
170131;0000;67,2682;;;
170201;0000;58,7542;;;
170202;0000;43,4459;;;
170203;0000;42,3583;;;
170204;0000;22,6208;;;
170205;0000;32,8333;;;
170206;0000;38,3333;;;
170207;0000;37,0917;;;
170208;0000;38,7619;;;
170209;0000;47,75;;;
170210;0000;48,625;;;
170211;0000;49,7792;;;
170212;0000;;;46,6667;
170213;0000;;;47;
170214;0000;;;45,9167;
170215;0000;34,4167;;;
170216;0000;18,2083;;;
170217;0000;16,4187;;;
170218;0000;21,1625;;;
170219;0000;20,2842;;;
170220;0000;23,6917;;;
170221;0000;30,3182;;;
170222;0000;34,5001;;;
170223;0000;32,75;;;
170224;0000;35;;;
170225;0000;36,4583;;;
170226;0000;23,0834;;;
170227;0000;23,219;;;
170228;0000;23,9667;;;
170301;0000;15,2334;;;
170302;0000;26,5334;;;
170303;0000;24,0625;;;
170304;0000;30,561;;;
170305;0000;31,9833;;;
170306;0000;34,5833;;;
170307;0000;39,8;;;
170308;0000;13,4435;;;
170309;0000;14,7829;;;
170310;0000;18,8826;;;
170311;0000;21,7478;;;
170312;0000;20,3;;;
170313;0000;28,4417;;;
170314;0000;32,2083;;;
170315;0000;36,9083;;;
170316;0000;46,0909;;;
170317;0000;48,0292;;;
170318;0000;34,9583;;;
170319;0000;35,1667;;;
170320;0000;46,125;;;
170321;0000;46,6667;;;
170322;0000;47,4083;;;
170323;0000;33,1958;;;
170324;0000;24,0625;;;
170325;0000;36,125;;;
170326;0000;29,0583;;;
170327;0000;18,1667;;;
170328;0000;25,2357;;;
170329;0000;28,1238;;;
170330;0000;19,1917;;;
170331;0000;32,8208;;;
170401;0000;33,4375;;;
