FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
161126;0000;;;4,78409;
161127;0000;;;7,1071;
161128;0000;;;;
161129;0000;;;11,3569;
161130;0000;;;14,3904;
161201;0000;;;14,0033;
161202;0000;;;10,0407;
161203;0000;;;10,8048;
161204;0000;;;8,91557;
161205;0000;;;8,67943;
161206;0000;;;8,30611;
161207;0000;;;6,92995;
161208;0000;;;8,44301;
161209;0000;;;8,40909;
161210;0000;;;10,8321;
161211;0000;;;6,69919;
161212;0000;;;5,62846;
161213;0000;;;6,60527;
161214;0000;;;14,123;
161215;0000;;;17,649;
161216;0000;;;12,0678;
161217;0000;;;7,51283;
161218;0000;;;10,2189;
161219;0000;;;6,95065;
161220;0000;;;7,04964;
161221;0000;;;5,9159;
161222;0000;;;8,47432;
161223;0000;;;6,8028;
161224;0000;;;8,62683;
161225;0000;;;5,83057;
161226;0000;;;6,99505;
161227;0000;;;;
161228;0000;;;9,4922;
161229;0000;;;18,8622;
161230;0000;;;4,88863;
161231;0000;;;5,65092;
170101;0000;9,36037;;;
170102;0000;7,91133;;;
170103;0000;7,31683;;;
170104;0000;6,94752;;;
170105;0000;9,20177;;;
170106;0000;9,36751;;;
170107;0000;9,00018;;;
170108;0000;6,36255;;;
170109;0000;;;;
170110;0000;;;;
170111;0000;6,61279;;;
170112;0000;6,43109;;;
170113;0000;9,38116;;;
170114;0000;8,35437;;;
170115;0000;9,78342;;;
170116;0000;5,43821;;;
170117;0000;7,03488;;;
170118;0000;13,7899;;;
170119;0000;9,66675;;;
170120;0000;10,0215;;;
170121;0000;12,9228;;;
170122;0000;18,355;;;
170123;0000;11,0147;;;
170124;0000;10,7673;;;
170125;0000;15,836;;;
170126;0000;55,6457;;;
170127;0000;105,049;;;
170128;0000;126,711;;;
170129;0000;83,8538;;;
170130;0000;36,7358;;;
170131;0000;28,8558;;;
170201;0000;27,3263;;;
170202;0000;17,5688;;;
170203;0000;25,1204;;;
170204;0000;9,51405;;;
170205;0000;11,6633;;;
170206;0000;9,27942;;;
170207;0000;15,0276;;;
170208;0000;10,9549;;;
170209;0000;10,0258;;;
170210;0000;12,3097;;;
170211;0000;12,4722;;;
170212;0000;10,4976;;;
170213;0000;12,5252;;;
170214;0000;13,9361;;;
170215;0000;15,6405;;;
170216;0000;8,17856;;;
170217;0000;6,1667;;;
170218;0000;8,46365;;;
170219;0000;6,34864;;;
170220;0000;6,38677;;;
170221;0000;5,0313;;;
170222;0000;8,26224;;;
170223;0000;8,45284;;;
170224;0000;8,73688;;;
170225;0000;11,2495;;;
170226;0000;9,97758;;;
170227;0000;5,65863;;;
170228;0000;;;;
170301;0000;;;;
170302;0000;10,0003;;;
170303;0000;10,5484;;;
170304;0000;8,58591;;;
170305;0000;11,1899;;;
170306;0000;10,5174;;;
170307;0000;13,8775;;;
170308;0000;;;;
170309;0000;6,15474;;;
170310;0000;8,39056;;;
170311;0000;11,1613;;;
170312;0000;;;;
170313;0000;13,1869;;;
170314;0000;12,5614;;;
170315;0000;13,9124;;;
170316;0000;20,911;;;
170317;0000;24,6454;;;
170318;0000;16,4694;;;
170319;0000;13,7507;;;
170320;0000;12,8966;;;
170321;0000;16,4639;;;
170322;0000;18,0167;;;
170323;0000;19,4979;;;
170324;0000;10,4798;;;
170325;0000;14,8247;;;
170326;0000;13,8307;;;
170327;0000;9,222;;;
170328;0000;14,9552;;;
170329;0000;15,1849;;;
170330;0000;11,1904;;;
170331;0000;17,9874;;;
170401;0000;20,067;;;
170402;0000;17,9604;;;
170403;0000;9,75522;;;
170404;0000;14,9754;;;
170405;0000;13,0795;;;
170406;0000;16,669;;;
170407;0000;13,2408;;;
170408;0000;8,69626;;;
170409;0000;20,2684;;;
170410;0000;12,3111;;;
170411;0000;19,0426;;;
170412;0000;21,6364;;;
170413;0000;23,1775;;;
170414;0000;27,1301;;;
170415;0000;22,4125;;;
170416;0000;19,6038;;;
170417;0000;22,3774;;;
170418;0000;20,5808;;;
170419;0000;13,379;;;
170420;0000;;;12,4767;
170421;0000;18,9249;;;
170422;0000;20,9635;;;
170423;0000;22,8133;;;
170424;0000;27,8233;;;
170425;0000;31,4283;;;
170426;0000;34,91;;;
170427;0000;21,054;;;
170428;0000;24,5044;;;
170429;0000;25,7523;;;
170430;0000;27,8926;;;
170501;0000;15;;;
170502;0000;;;18;
170503;0000;16;;;
170504;0000;26;;;
170505;0000;15;;;
170506;0000;;;;
170507;0000;20;;;
170508;0000;14;;;
170509;0000;27;;;
170510;0000;32;;;
170511;0000;13;;;
170512;0000;;;;
170513;0000;11;;;
170514;0000;19;;;
170515;0000;19;;;
170516;0000;15;;;
170517;0000;24;;;
170518;0000;28;;;
170519;0000;36;;;
170520;0000;44;;;
170521;0000;37;;;
170522;0000;26;;;
170523;0000;28;;;
170524;0000;32;;;
170525;0000;51;;;
170526;0000;61;;;
170527;0000;56;;;
170528;0000;47;;;
170529;0000;49;;;
170530;0000;26;;;
170531;0000;44;;;
170601;0000;50;;;
170602;0000;48;;;
170603;0000;19;;;
170604;0000;25;;;
170605;0000;32;;;
170606;0000;30;;;
170607;0000;15;;;
170608;0000;29;;;
170609;0000;23;;;
170610;0000;12;;;
170611;0000;51;;;
170612;0000;50;;;
170613;0000;49;;;
170614;0000;56;;;
170615;0000;;;12;
170616;0000;;;;
170617;0000;;;;
170618;0000;29;;;
170619;0000;39;;;
170620;0000;39;;;
170621;0000;20;;;
170622;0000;;;19;
170623;0000;25;;;
170624;0000;32;;;
170625;0000;;;;
170626;0000;;;;
170627;0000;25;;;
170628;0000;15;;;
170629;0000;24;;;
170630;0000;21;;;
170701;0000;34;;;
170702;0000;27;;;
170703;0000;14;;;
170704;0000;33;;;
170705;0000;24;;;
170706;0000;29;;;
170707;0000;34;;;
170708;0000;24;;;
170709;0000;39;;;
170710;0000;72;;;
170711;0000;56;;;
170712;0000;33;;;
170713;0000;10;;;
170714;0000;10;;;
170715;0000;25;;;
170716;0000;30;;;
170717;0000;44;;;
170718;0000;55;;;
170719;0000;63;;;
170720;0000;63;;;
170721;0000;33;;;
170722;0000;15;;;
170723;0000;34;;;
170724;0000;45;;;
170725;0000;69;;;
170726;0000;56;;;
170727;0000;39;;;
170728;0000;37;;;
170729;0000;53;;;
170730;0000;43;;;
170731;0000;58;;;
170801;0000;55;;;
170802;0000;58;;;
170803;0000;48;;;
170804;0000;44;;;
170805;0000;;;;
170806;0000;;;;
170807;0000;31;;;
170808;0000;13;;;
170809;0000;22;;;
170810;0000;20;;;
170811;0000;41;;;
170812;0000;30;;;
170813;0000;;;;
170814;0000;27;;;
170815;0000;41;;;
170816;0000;30;;;
170817;0000;23;;;
170818;0000;23;;;
170819;0000;27;;;
170820;0000;27;;;
170821;0000;21;;;
170822;0000;22;;;
170823;0000;14;;;
170824;0000;12;;;
170825;0000;19;;;
170826;0000;;;33;
170827;0000;26;;;
170828;0000;26;;;
170829;0000;19;;;
170830;0000;50;;;
170831;0000;;;38;
170901;0000;28;;;
170902;0000;33;;;
170903;0000;21;;;
170904;0000;24;;;
170905;0000;;;32;
170906;0000;;;;
170907;0000;34;;;
170908;0000;37;;;
170909;0000;57;;;
170910;0000;44;;;
170911;0000;33;;;
170912;0000;44;;;
170913;0000;25;;;
170914;0000;6;;;
170915;0000;24;;;
170916;0000;37;;;
170917;0000;24;;;
170918;0000;23;;;
170919;0000;19;;;
170920;0000;;;20;
170921;0000;19;;;
170922;0000;19;;;
170923;0000;16;;;
170924;0000;21;;;
170925;0000;26;;;
170926;0000;33;;;
170927;0000;26;;;
170928;0000;27;;;
170929;0000;10;;;
170930;0000;10;;;
171001;0000;14;;;
171002;0000;23;;;
171003;0000;8;;;
171004;0000;16;;;
171005;0000;12;;;
171006;0000;16;;;
171007;0000;19;;;
171008;0000;13;;;
171009;0000;11;;;
171010;0000;;;23;
171011;0000;13;;;
171012;0000;14;;;
171013;0000;20;;;
171014;0000;15;;;
171015;0000;17;;;
171016;0000;16;;;
171017;0000;7;;;
171018;0000;7;;;
171019;0000;7;;;
171020;0000;16;;;
