FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
161125;0000;;;9,68311;
161126;0000;;2,22929;;
161127;0000;;2,66273;;
161128;0000;;3,33526;;
161129;0000;;2,30606;;
161130;0000;;1,00038;;
161201;0000;;1,414;;
161202;0000;;1,51006;;
161203;0000;;1,95125;;
161204;0000;;1;;
161205;0000;;1,26012;;
161206;0000;;1,76806;;
161207;0000;;2,3641;;
161208;0000;;2,11696;;
161209;0000;;1,18723;;
161210;0000;;2,22454;;
161211;0000;;2,41412;;
161212;0000;;1,89631;;
161213;0000;;1,63044;;
161214;0000;;1,85606;;
161215;0000;;1,63788;;
161216;0000;;1,17626;;
161217;0000;;2,30291;;
161218;0000;;1,85378;;
161219;0000;;2,27314;;
161220;0000;;1,83426;;
161221;0000;;1,1622;;
161222;0000;;1,62178;;
161223;0000;;1,35143;;
161224;0000;;1,35601;;
161225;0000;;1,04648;;
161226;0000;;1,36088;;
161227;0000;;1,83867;;
161228;0000;;1,86701;;
161229;0000;;1,31007;;
161230;0000;;2,35414;;
161231;0000;;1,93634;;
170101;0000;;3,37113;;
170102;0000;;3,03082;;
170103;0000;;1,82694;;
170104;0000;;1,84046;;
170105;0000;;2,35756;;
170106;0000;;2,78529;;
170107;0000;;3,7935;;
170108;0000;;3,86447;;
170109;0000;;;;
170110;0000;;;;
170111;0000;;2,52324;;
170112;0000;;3,73974;;
170113;0000;;3,7243;;
170114;0000;;3,71273;;
170115;0000;;2,71296;;
170116;0000;;2,93471;;
170117;0000;;2,71375;;
170118;0000;;2,27409;;
170119;0000;;2,55829;;
170120;0000;;2,9771;;
170121;0000;;2,31495;;
170122;0000;;2,42268;;
170123;0000;;2,60079;;
170124;0000;;2,68721;;
170125;0000;;2,47302;;
170126;0000;;3,44722;;
170127;0000;;1,58995;;
170128;0000;;4,30085;;
170129;0000;;2,45741;;
170130;0000;;2,18119;;
170131;0000;;2,6187;;
170201;0000;;2,58443;;
170202;0000;;3,53325;;
170203;0000;;2,77149;;
170204;0000;;3,04013;;
170205;0000;;2,97713;;
170206;0000;;2,64274;;
170207;0000;;2,6077;;
170208;0000;;2,24482;;
170209;0000;;3,01242;;
170210;0000;;3,40875;;
170211;0000;;3,69128;;
170212;0000;;3,39351;;
170213;0000;;2,63158;;
170214;0000;;2,59687;;
170215;0000;;2,25191;;
170216;0000;;4,01733;;
170217;0000;;4,20992;;
170218;0000;;4,25001;;
170219;0000;;6,59118;;
170220;0000;;5,62637;;
170221;0000;;6,30166;;
170222;0000;;7,3477;;
170223;0000;;6,59669;;
170224;0000;;4,95798;;
170225;0000;;3,91615;;
170226;0000;;3,77449;;
170227;0000;;3,17451;;
170228;0000;;1,90072;;
