FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
161125;0000;;;6,44215;
161126;0000;;1;;
161127;0000;;1;;
161128;0000;;;;
161129;0000;;1,05524;;
161130;0000;;1;;
161201;0000;;2,1596;;
161202;0000;;2,14133;;
161203;0000;;1,69985;;
161204;0000;;1,00624;;
161205;0000;;1,10243;;
161206;0000;;1,49715;;
161207;0000;;1;;
161208;0000;;1;;
161209;0000;;1,5216;;
161210;0000;;3,03819;;
161211;0000;;2,01275;;
161212;0000;;1,93378;;
161213;0000;;1,7207;;
161214;0000;;3,61353;;
161215;0000;;2,54513;;
161216;0000;;3,04212;;
161217;0000;;2,64675;;
161218;0000;;10,179;;
161219;0000;;16,5787;;
161220;0000;;7,43933;;
161221;0000;;1,69891;;
161222;0000;;2,52448;;
161223;0000;;2,62331;;
161224;0000;;1,40138;;
161225;0000;;1,22409;;
161226;0000;;2,43142;;
161227;0000;;2,03281;;
161228;0000;;2,04546;;
161229;0000;;10,4722;;
161230;0000;;19,5816;;
161231;0000;;18,9861;;
170101;0000;;19,8696;;
170102;0000;;20,2635;;
170103;0000;;18,6266;;
170104;0000;;7,59221;;
170105;0000;;5,03995;;
170106;0000;;4,61315;;
170107;0000;;3,42184;;
170108;0000;;2,29752;;
170109;0000;;;;
170110;0000;;;;
170111;0000;;3,72804;;
170112;0000;;4,35376;;
170113;0000;;4,02956;;
170114;0000;;4,65239;;
170115;0000;;3,82483;;
170116;0000;;3,4394;;
170117;0000;;4,22368;;
170118;0000;;5,21562;;
170119;0000;;4,5692;;
170120;0000;;3,14005;;
170121;0000;;4,37286;;
170122;0000;;5,00306;;
170123;0000;;4,9549;;
170124;0000;;3,78592;;
170125;0000;;4,36513;;
170126;0000;;9,24527;;
170127;0000;;15,1073;;
170128;0000;;11,1447;;
170129;0000;;6,8606;;
170130;0000;;4,89717;;
170131;0000;;9,27371;;
170201;0000;;10,2027;;
170202;0000;;11,094;;
170203;0000;;9,59836;;
170204;0000;;8,7502;;
170205;0000;;8,97531;;
170206;0000;;9,38644;;
170207;0000;;9,39929;;
170208;0000;;9,40622;;
170209;0000;;11,6265;;
170210;0000;;12,6801;;
170211;0000;;12,4172;;
170212;0000;;12,0241;;
170213;0000;;11,6229;;
170214;0000;;10,7092;;
170215;0000;;9,4032;;
170216;0000;;7,73535;;
170217;0000;;7,80578;;
170218;0000;;7,59885;;
170219;0000;;7,74321;;
170220;0000;;7,14188;;
170221;0000;;13,4616;;
170222;0000;;18,5801;;
170223;0000;;19,5466;;
170224;0000;;21,773;;
170225;0000;;21,5271;;
170226;0000;;21,2542;;
170227;0000;;19,0636;;
170228;0000;;10,5427;;
170301;0000;;8,08269;;
170302;0000;;8,06116;;
170303;0000;;9,38562;;
170304;0000;;9,12497;;
170305;0000;;8,85516;;
170306;0000;;9,87141;;
170307;0000;;11,8116;;
170308;0000;;14,6309;;
170309;0000;;14,5364;;
170310;0000;;15,8848;;
170311;0000;;17,3459;;
170312;0000;;17,863;;
170313;0000;;21,6484;;
170314;0000;;20,21;;
170315;0000;;19,3997;;
170316;0000;;18,3436;;
170317;0000;;16,6298;;
170318;0000;;17,278;;
170319;0000;;14,3457;;
170320;0000;;15,9971;;
170321;0000;;18,2004;;
170322;0000;;18,0874;;
170323;0000;;19,6324;;
170324;0000;;15,7002;;
170325;0000;;14,1134;;
170326;0000;;13,1689;;
170327;0000;;14,1759;;
170328;0000;;11,8234;;
170329;0000;;10,2119;;
170330;0000;;9,14478;;
170331;0000;;9,34929;;
170401;0000;;8,53145;;
170402;0000;;6,71226;;
170403;0000;;8,15404;;
170404;0000;;8,16528;;
