FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
161125;0000;;;15,8023;
161126;0000;;2,25499;;
161127;0000;;2,34626;;
161128;0000;;3,18523;;
161129;0000;;2,34602;;
161130;0000;;1;;
161201;0000;;2,88704;;
161202;0000;;2,80145;;
161203;0000;;3,09081;;
161204;0000;;1,03495;;
161205;0000;;1,52713;;
161206;0000;;2,64537;;
161207;0000;;2,8327;;
161208;0000;;2,52358;;
161209;0000;;2,33447;;
161210;0000;;5,1804;;
161211;0000;;4,21815;;
161212;0000;;3,58628;;
161213;0000;;2,9158;;
161214;0000;;5,54794;;
161215;0000;;4,24635;;
161216;0000;;4,04264;;
161217;0000;;4,82273;;
161218;0000;;11,8763;;
161219;0000;;18,8518;;
161220;0000;;9,09114;;
161221;0000;;2,64205;;
161222;0000;;3,87205;;
161223;0000;;3,72337;;
161224;0000;;2,28678;;
161225;0000;;1,58792;;
161226;0000;;3,33714;;
161227;0000;;3,33024;;
161228;0000;;3,74152;;
161229;0000;;11,5595;;
161230;0000;;21,9358;;
161231;0000;;20,9225;;
170101;0000;;23,2408;;
170102;0000;;23,2943;;
170103;0000;;20,4535;;
170104;0000;;9,5316;;
170105;0000;;7,39293;;
170106;0000;;7,47598;;
170107;0000;;7,4052;;
170108;0000;;6,5034;;
170109;0000;;;;
170110;0000;;;;
170111;0000;;6,64583;;
170112;0000;;8,24188;;
170113;0000;;7,80305;;
170114;0000;;8,50612;;
170115;0000;;6,76917;;
170116;0000;;6,55731;;
170117;0000;;7,06003;;
170118;0000;;7,58669;;
170119;0000;;7,23322;;
170120;0000;;6,26973;;
170121;0000;;6,72291;;
170122;0000;;7,58766;;
170123;0000;;7,60759;;
170124;0000;;6,51958;;
170125;0000;;6,95803;;
170126;0000;;12,6724;;
170127;0000;;16,6973;;
170128;0000;;15,4455;;
170129;0000;;9,44063;;
170130;0000;;7,13766;;
170131;0000;;11,8924;;
170201;0000;;12,7871;;
170202;0000;;14,6272;;
170203;0000;;12,3699;;
170204;0000;;11,7903;;
170205;0000;;11,9524;;
170206;0000;;12,0292;;
170207;0000;;12,007;;
170208;0000;;11,651;;
170209;0000;;14,6389;;
170210;0000;;16,0888;;
170211;0000;;16,1085;;
170212;0000;;15,4176;;
170213;0000;;14,2545;;
170214;0000;;13,306;;
170215;0000;;11,6551;;
170216;0000;;11,7527;;
170217;0000;;12,0157;;
170218;0000;;11,8488;;
170219;0000;;14,3344;;
170220;0000;;12,7682;;
170221;0000;;19,7633;;
170222;0000;;25,9279;;
170223;0000;;26,1432;;
170224;0000;;26,731;;
170225;0000;;25,4432;;
170226;0000;;25,0286;;
170227;0000;;22,2381;;
170228;0000;;12,4396;;
170301;0000;;9,92986;;
170302;0000;;11,0831;;
170303;0000;;13,3709;;
170304;0000;;12,9559;;
170305;0000;;11,3004;;
170306;0000;;12,5768;;
170307;0000;;14,0102;;
170308;0000;;17,5517;;
170309;0000;;17,9695;;
170310;0000;;20,32;;
170311;0000;;21,5703;;
170312;0000;;21,3373;;
170313;0000;;27,2802;;
170314;0000;;26,3766;;
170315;0000;;24,3099;;
170316;0000;;21,4193;;
170317;0000;;19,8013;;
170318;0000;;21,8858;;
170319;0000;;17,9041;;
170320;0000;;19,9274;;
170321;0000;;22,6691;;
170322;0000;;23,7983;;
170323;0000;;22,8833;;
170324;0000;;16,8015;;
170325;0000;;16,3985;;
170326;0000;;15,6826;;
170327;0000;;18,2885;;
170328;0000;;18,5402;;
170329;0000;;16,5591;;
170330;0000;;14,4371;;
170331;0000;;16,4586;;
170401;0000;;14,6629;;
170402;0000;;10,3873;;
170403;0000;;10,8231;;
170404;0000;;11,9938;;
170405;0000;;14,684;;
170406;0000;;15,0218;;
170407;0000;;14,1802;;
170408;0000;;11,5069;;
170409;0000;;12,2435;;
170410;0000;;14,2695;;
170411;0000;;13,8522;;
170412;0000;;12,0282;;
170413;0000;;12,2221;;
170414;0000;;14,8304;;
170415;0000;;13,0076;;
170416;0000;;11,369;;
170417;0000;;13,4982;;
170418;0000;;13,7407;;
170419;0000;;9,27841;;
170420;0000;;9,02734;;
170421;0000;;9,65324;;
170422;0000;;10,3527;;
170423;0000;;9,1275;;
170424;0000;;10,6856;;
170425;0000;;12,0181;;
170426;0000;;10,3601;;
170427;0000;;12,0283;;
170428;0000;;12,7922;;
170429;0000;;14,3885;;
170430;0000;;13,2588;;
170501;0000;;9,51367;;
170502;0000;;9,35129;;
170503;0000;;10,5926;;
170504;0000;;12,8632;;
170505;0000;;11,6089;;
170506;0000;;14,4816;;
170507;0000;;14,6414;;
170508;0000;;15,575;;
170509;0000;;18,2546;;
170510;0000;;15,6447;;
170511;0000;;19,3001;;
170512;0000;;;14,8158;
170513;0000;;;20,7555;
170514;0000;;;21,8945;
170515;0000;;;20,7729;
170516;0000;;;19,6564;
170517;0000;;;15,1362;
170518;0000;;;16,7084;
170519;0000;;;17,0046;
170520;0000;;;17,6893;
170521;0000;;;15,7887;
170522;0000;;;14,3066;
170523;0000;;;11,3246;
170524;0000;;;11,8202;
170525;0000;;;14,9758;
170526;0000;;;18,7998;
170527;0000;;;18,5781;
170528;0000;;;17,9774;
170529;0000;;;20,1472;
170530;0000;;;15,9293;
170531;0000;;;20,1548;
170601;0000;;;19,0976;
170602;0000;;;11,5924;
170603;0000;;;5,3736;
170604;0000;;;5,87367;
170605;0000;;;7,29136;
170606;0000;;;11,8659;
170607;0000;;;6,34186;
170608;0000;;;9,81888;
170609;0000;;;7,90493;
170610;0000;;;6,34414;
170611;0000;;;8,96486;
170612;0000;;;8,84525;
170613;0000;;;9,92378;
170614;0000;;11,8804;;
170615;0000;;4,87424;;
170616;0000;;3,82685;;
170617;0000;;7,00471;;
170618;0000;;4,98477;;
170619;0000;;8,31871;;
170620;0000;;8,63774;;
170621;0000;;4,51102;;
170622;0000;;4,46983;;
170623;0000;;6,69368;;
170624;0000;;7,0813;;
170625;0000;;1,96416;;
170626;0000;;3,30415;;
170627;0000;;7,46125;;
170628;0000;;6,53672;;
170629;0000;;8,13651;;
170630;0000;;6,17751;;
170701;0000;;13,7111;;
170702;0000;;7,79145;;
170703;0000;;4,68346;;
170704;0000;;8,87051;;
170705;0000;;4,01727;;
170706;0000;;6,02505;;
170707;0000;;6,2798;;
170708;0000;;5,43144;;
170709;0000;;3,68003;;
170710;0000;;5,84946;;
170711;0000;;8,58769;;
170712;0000;;5,32603;;
170713;0000;;3,51645;;
170714;0000;;2,85318;;
170715;0000;;4,22665;;
170716;0000;;4,33685;;
170717;0000;;6,37206;;
170718;0000;;7,9764;;
170719;0000;;10,0621;;
170720;0000;;12,0966;;
170721;0000;;9,01367;;
170722;0000;;5,44638;;
170723;0000;;5,09887;;
170724;0000;;6,62418;;
170725;0000;;9,84721;;
170726;0000;;10,2675;;
170727;0000;;8,78902;;
170728;0000;;6,75207;;
170729;0000;;8,46165;;
170730;0000;;5,93549;;
170731;0000;;6,79172;;
170801;0000;;7,71312;;
170802;0000;;6,68002;;
170803;0000;;6,7955;;
170804;0000;;6,18511;;
170805;0000;;3,01176;;
170806;0000;;3,94838;;
170807;0000;;6,56342;;
170808;0000;;3,54074;;
170809;0000;;3,94636;;
170810;0000;;3,46487;;
170811;0000;;6,14323;;
170812;0000;;7,16718;;
170813;0000;;3,07272;;
170814;0000;;4,92487;;
170815;0000;;4,57967;;
170816;0000;;8,57933;;
170817;0000;;5,5181;;
170818;0000;;6,48629;;
170819;0000;;5,37337;;
170820;0000;;3,26349;;
170821;0000;;4,25163;;
170822;0000;;3,3432;;
170823;0000;;4,04365;;
170824;0000;;2,65011;;
170825;0000;;3,72203;;
170826;0000;;6,00551;;
170827;0000;;3,86842;;
170828;0000;;4,01382;;
170829;0000;;3,26434;;
170830;0000;;5,93237;;
170831;0000;;3,70211;;
170901;0000;;3,95275;;
170902;0000;;5,38768;;
170903;0000;;2,90964;;
170904;0000;;4,75871;;
170905;0000;;5,59915;;
170906;0000;;2,26404;;
170907;0000;;5,01332;;
170908;0000;;3,28535;;
170909;0000;;6,54282;;
170910;0000;;3,83116;;
170911;0000;;4,35936;;
170912;0000;;7,51056;;
170913;0000;;5,3608;;
