FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130411;0000;;;24,9204;
130412;0000;;;27,4917;
130413;0000;;;21,7935;
130414;0000;;;27,075;
130415;0000;;;29,5912;
130416;0000;;;18,8929;
130417;0000;;;18,9977;
130418;0000;;;12,9477;
130419;0000;;;16,3086;
130420;0000;;;42,0042;
130421;0000;;;40,9087;
130422;0000;;;29,7139;
130423;0000;;;19,075;
130424;0000;;;18,1041;
130425;0000;;;9,73006;
130426;0000;;;30,7681;
130427;0000;;;15,8955;
130428;0000;;;19,7238;
130429;0000;;;23,4783;
130430;0000;;;17,4526;
130501;0000;;;54,5201;
130502;0000;;;44,9736;
130503;0000;;;141,04;
130504;0000;;;6,58904;
130505;0000;;;8,24883;
130506;0000;;;15,9621;
130507;0000;;;15,2767;
130508;0000;;;10,0669;
130509;0000;;;26,5559;
130510;0000;;;30,247;
130511;0000;;;16,0874;
130512;0000;;;19,166;
130513;0000;;;19,0238;
130514;0000;;;;
130515;0000;;;;
130516;0000;;;14,5165;
130517;0000;;;13,7576;
130518;0000;;;4,17696;
130519;0000;;;6,9715;
130520;0000;;;7,74796;
130521;0000;;;11,4923;
130522;0000;;;9,53816;
130523;0000;;;10,442;
130524;0000;;;11,0659;
130525;0000;;;6,46551;
130526;0000;;;29,3548;
130527;0000;;;29,2316;
130528;0000;;;35,502;
130529;0000;;;24,3125;
130530;0000;;;15,0417;
130531;0000;;;54,9911;
130601;0000;;;35,7242;
130602;0000;;;11,7931;
130603;0000;;;16,1938;
130604;0000;;;5,91364;
130605;0000;;;18,0344;
130606;0000;;;27,8942;
130607;0000;;;16,1368;
130608;0000;;;14,3253;
130609;0000;;;10,5985;
130610;0000;;;9,27049;
130611;0000;;;9,80501;
130612;0000;;;9,00931;
130613;0000;;;;
130614;0000;;;;
130615;0000;;;;
130616;0000;;;16,9717;
130617;0000;;;19,7988;
130618;0000;;;24,485;
130619;0000;;;17,9051;
130620;0000;;;8,98509;
130621;0000;;;14,787;
130622;0000;;;28,1109;
130623;0000;;;11,6813;
130624;0000;;;9,04022;
130625;0000;;;6,0984;
130626;0000;;;25,5968;
130627;0000;;;45,0463;
130628;0000;;;33,9079;
130629;0000;;;15,8658;
130630;0000;;;9,71941;
130701;0000;;;11,9475;
130702;0000;;;57,5461;
130703;0000;;;32,1972;
130704;0000;;;16,5412;
130705;0000;;;6,41155;
130706;0000;;;12,8661;
130707;0000;;;11,5089;
130708;0000;;;5,69893;
130709;0000;;;16,5757;
130710;0000;;;23,3985;
130711;0000;;;24,1776;
130712;0000;;;18,6492;
130713;0000;;;26,0434;
130714;0000;;;10,1732;
130715;0000;;;12,0748;
130716;0000;;;14,2214;
130717;0000;;;19,567;
130718;0000;;;17,4429;
130719;0000;;;18,8795;
130720;0000;;;19,0904;
130721;0000;;;30,4638;
130722;0000;;;21,5147;
130723;0000;;;15,3539;
130724;0000;;;12,8255;
130725;0000;;;16,4086;
130726;0000;;;3,87476;
130727;0000;;;7,28854;
130728;0000;;;6,22871;
130729;0000;;;4,48878;
130730;0000;;;16,9802;
130731;0000;;;12,0298;
130801;0000;;;11,9099;
130802;0000;;;19,1755;
130803;0000;;;47,3468;
130804;0000;;;50,1491;
130805;0000;;;34,9955;
130806;0000;;;23,6729;
130807;0000;;;46,173;
130808;0000;;;19,1914;
130809;0000;;;17,2995;
130810;0000;;;16,6704;
130811;0000;;;20,6987;
