FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
161125;0000;;;26,5592;
161126;0000;;;1,42646;
161127;0000;;;1,29137;
161128;0000;;;1,26147;
161129;0000;;;4,06067;
161130;0000;;;0,397194;
161201;0000;;;0,907847;
161202;0000;;;0,701307;
161203;0000;;;0,711915;
161204;0000;;;;
161205;0000;;;;
161206;0000;;;;
161207;0000;;;;
161208;0000;;;;
161209;0000;;;;
161210;0000;;;0,251572;
161211;0000;;;;
161212;0000;;;;
161213;0000;;;;
161214;0000;;;;
161215;0000;;;;
161216;0000;;;;
161217;0000;;;;
161218;0000;;;0,774756;
161219;0000;;;1,1541;
161220;0000;;;2,60471;
161221;0000;;;0,450816;
161222;0000;;;0,514117;
161223;0000;;;0,82196;
161224;0000;;;0,488801;
161225;0000;;;0,191978;
161226;0000;;;;
161227;0000;;;0,215452;
161228;0000;;;;
161229;0000;;;;
161230;0000;;;;
161231;0000;;;0,279362;
170101;0000;;1,0696;;
170102;0000;;1,02992;;
170103;0000;;1,00796;;
170104;0000;;1,16958;;
170105;0000;;2,0074;;
170106;0000;;2,00567;;
170107;0000;;2,20212;;
170108;0000;;1,53194;;
170109;0000;;;;
170110;0000;;;;
170111;0000;;1,61827;;
170112;0000;;1,88949;;
170113;0000;;1,79638;;
170114;0000;;2,10923;;
170115;0000;;1,77432;;
170116;0000;;1,72074;;
170117;0000;;1,45193;;
170118;0000;;1,82924;;
170119;0000;;1,64328;;
170120;0000;;1,44577;;
170121;0000;;1,38931;;
170122;0000;;1,84275;;
170123;0000;;1,67809;;
170124;0000;;1,30335;;
170125;0000;;1,80582;;
170126;0000;;1,56742;;
170127;0000;;1,61317;;
170128;0000;;1,94829;;
170129;0000;;1,83231;;
170130;0000;;1,48792;;
170131;0000;;1,56241;;
170201;0000;;2,21444;;
170202;0000;;2,39618;;
170203;0000;;1,5234;;
170204;0000;;1,46263;;
170205;0000;;1,71296;;
170206;0000;;2,09141;;
170207;0000;;2,33879;;
170208;0000;;1,66618;;
170209;0000;;1,57285;;
170210;0000;;2,19409;;
170211;0000;;1,76658;;
170212;0000;;1,71374;;
170213;0000;;1,67392;;
170214;0000;;1,44683;;
170215;0000;;1,69723;;
170216;0000;;1,3231;;
170217;0000;;1,43049;;
170218;0000;;1,38216;;
170219;0000;;1,74808;;
170220;0000;;1,54322;;
170221;0000;;1,53381;;
170222;0000;;1,62389;;
170223;0000;;1,67606;;
170224;0000;;1,94667;;
170225;0000;;1,87004;;
170226;0000;;1,75368;;
170227;0000;;1,58398;;
170228;0000;;1,38953;;
170301;0000;;1,45516;;
170302;0000;;1,52427;;
170303;0000;;1,71362;;
170304;0000;;1,77901;;
170305;0000;;1,67247;;
170306;0000;;1,81402;;
170307;0000;;1,35547;;
170308;0000;;1,35042;;
170309;0000;;1,37969;;
170310;0000;;1,63397;;
170311;0000;;1,3858;;
170312;0000;;1,38041;;
170313;0000;;2,40603;;
170314;0000;;1,99446;;
170315;0000;;1,65654;;
170316;0000;;1,96495;;
170317;0000;;1,36299;;
170318;0000;;1,71278;;
170319;0000;;1,11163;;
170320;0000;;1,35639;;
170321;0000;;1,82824;;
170322;0000;;1,05368;;
170323;0000;;1,05924;;
170324;0000;;1,00062;;
170325;0000;;1;;
170326;0000;;1;;
170327;0000;;;;
170328;0000;;1,80288;;
170329;0000;;1,06861;;
170330;0000;;1,81175;;
170331;0000;;1,31328;;
170401;0000;;1,00414;;
170402;0000;;1;;
170403;0000;;1,42025;;
170404;0000;;1,17589;;
170405;0000;;1,60085;;
170406;0000;;1,05128;;
170407;0000;;1,05003;;
170408;0000;;1,00185;;
170409;0000;;1,02611;;
170410;0000;;1;;
170411;0000;;1;;
170412;0000;;1;;
170413;0000;;1;;
170414;0000;;;;
170415;0000;;1,18264;;
170416;0000;;1,03103;;
170417;0000;;1,21248;;
170418;0000;;1,05802;;
170419;0000;;1;;
170420;0000;;1;;
170421;0000;;1,01088;;
170422;0000;;1,01786;;
170423;0000;;1,00023;;
170424;0000;;1;;
170425;0000;;1,29831;;
170426;0000;;1,04116;;
170427;0000;;1,03746;;
170428;0000;;1,13317;;
170429;0000;;1,39896;;
170430;0000;;1,31736;;
170501;0000;;1;;
170502;0000;;1,01;;
170503;0000;;1,13;;
170504;0000;;1,15;;
170505;0000;;1,01;;
170506;0000;;1;;
170507;0000;;1;;
170508;0000;;1;;
170509;0000;;1;;
170510;0000;;1;;
170511;0000;;1;;
170512;0000;;1,01;;
170513;0000;;1,01;;
170514;0000;;1,25;;
170515;0000;;1,17;;
170516;0000;;1,01;;
170517;0000;;1;;
170518;0000;;1,06;;
170519;0000;;1,11;;
170520;0000;;1,01;;
170521;0000;;1;;
170522;0000;;1,04;;
170523;0000;;1;;
170524;0000;;1;;
170525;0000;;;;
170526;0000;;1,03;;
170527;0000;;1,07;;
170528;0000;;1,02;;
170529;0000;;1,03;;
170530;0000;;1;;
170531;0000;;1;;
170601;0000;;1,04;;
170602;0000;;1;;
170603;0000;;1;;
170604;0000;;1;;
170605;0000;;1;;
170606;0000;;;;
170607;0000;;1,08;;
170608;0000;;1,05;;
170609;0000;;1,07;;
170610;0000;;1,15;;
170611;0000;;1,02;;
170612;0000;;1,06;;
170613;0000;;1,07;;
170614;0000;;1,04;;
170615;0000;;1,01;;
170616;0000;;;;
170617;0000;;1,12;;
170618;0000;;1,02;;
170619;0000;;1,03;;
170620;0000;;1,08;;
170621;0000;;1,02;;
170622;0000;;1,09;;
170623;0000;;1,05;;
170624;0000;;1,01;;
170625;0000;;1,01;;
170626;0000;;1,02;;
170627;0000;;1,02;;
170628;0000;;1,53;;
170629;0000;;1,16;;
170630;0000;;1,02;;
170701;0000;;1;;
170702;0000;;1;;
170703;0000;;;;
170704;0000;;1,02;;
170705;0000;;1,03;;
170706;0000;;1;;
170707;0000;;1,02;;
170708;0000;;1,04;;
170709;0000;;1,02;;
170710;0000;;1,09;;
170711;0000;;1,07;;
170712;0000;;1,04;;
170713;0000;;1,02;;
170714;0000;;1,12;;
170715;0000;;1,2;;
170716;0000;;1,07;;
170717;0000;;1,09;;
170718;0000;;1,15;;
170719;0000;;1,31;;
170720;0000;;1,42;;
170721;0000;;1,11;;
170722;0000;;1,15;;
170723;0000;;1,13;;
170724;0000;;1,17;;
170725;0000;;1,58;;
170726;0000;;1,27;;
170727;0000;;1,23;;
170728;0000;;1,22;;
170729;0000;;1,55;;
170730;0000;;1,59;;
170731;0000;;1,14;;
170801;0000;;1,13;;
170802;0000;;1,82;;
170803;0000;;2,72;;
170804;0000;;2,68;;
170805;0000;;1,83;;
170806;0000;;1,9;;
170807;0000;;2,08;;
170808;0000;;1,69;;
170809;0000;;1,79;;
170810;0000;;1,47;;
170811;0000;;1,27;;
170812;0000;;1,36;;
170813;0000;;1,33;;
170814;0000;;1,25;;
170815;0000;;1,25;;
170816;0000;;2,15;;
170817;0000;;1,48;;
170818;0000;;1,29;;
170819;0000;;1,55;;
170820;0000;;1,16;;
170821;0000;;1,45;;
170822;0000;;1,18;;
170823;0000;;1,21;;
170824;0000;;1,16;;
170825;0000;;1,23;;
170826;0000;;1,26;;
170827;0000;;1,29;;
170828;0000;;1,49;;
170829;0000;;1,26;;
170830;0000;;1,35;;
170831;0000;;1,26;;
170901;0000;;1,23;;
170902;0000;;1,82;;
170903;0000;;1,58;;
170904;0000;;1,54;;
170905;0000;;1,5;;
170906;0000;;1,32;;
170907;0000;;1,44;;
170908;0000;;1,25;;
170909;0000;;1,77;;
170910;0000;;1,67;;
170911;0000;;1,45;;
170912;0000;;1,83;;
170913;0000;;1,6;;
170914;0000;;1,17;;
170915;0000;;1,35;;
170916;0000;;1,69;;
170917;0000;;1,34;;
170918;0000;;2,15;;
170919;0000;;1,15;;
170920;0000;;1,22;;
170921;0000;;1,83;;
170922;0000;;1,41;;
170923;0000;;1,87;;
170924;0000;;1,65;;
170925;0000;;1,58;;
170926;0000;;1,75;;
170927;0000;;1,67;;
170928;0000;;1,68;;
170929;0000;;1,21;;
170930;0000;;1,22;;
171001;0000;;1,18;;
171002;0000;;1,32;;
171003;0000;;1,18;;
171004;0000;;1,2;;
171005;0000;;1,34;;
171006;0000;;1,43;;
171007;0000;;1,45;;
171008;0000;;1,57;;
171009;0000;;1,48;;
171010;0000;;1,37;;
171011;0000;;1,58;;
171012;0000;;1,88;;
171013;0000;;1,94;;
171014;0000;;1,45;;
171015;0000;;1,39;;
171016;0000;;1,36;;
171017;0000;;1,36;;
171018;0000;;1,82;;
171019;0000;;1,97;;
171020;0000;;1,53;;
171021;0000;;1,87;;
171022;0000;;;;
171023;0000;;1,65;;
171024;0000;;1,86;;
171025;0000;;1,82;;
171026;0000;;1,64;;
171027;0000;;1,49;;
171028;0000;;1,44;;
171029;0000;;1,48;;
171030;0000;;1,52;;
171031;0000;;1,45;;
171101;0000;;1,49;;
171102;0000;;1,44;;
171103;0000;;1,51;;
171104;0000;;1,48;;
171105;0000;;1,53;;
171106;0000;;1,74;;
171107;0000;;1,62;;
171108;0000;;;;
171109;0000;;;;
171110;0000;;1,42;;
171111;0000;;1,53;;
171112;0000;;1,49;;
171113;0000;;1,48;;
171114;0000;;1,57;;
171115;0000;;1,4;;
171116;0000;;1,3;;
171117;0000;;1,4;;
171118;0000;;1,4;;
171119;0000;;1,51;;
171120;0000;;1,5;;
171121;0000;;1,47;;
171122;0000;;1,18;;
171123;0000;;1;;
171124;0000;;1;;
171125;0000;;1;;
171126;0000;;1;;
171127;0000;;1,04;;
171128;0000;;1,01;;
171129;0000;;1;;
171130;0000;;1,13;;
171201;0000;;1,07;;
171202;0000;;1,13;;
171203;0000;;1,01;;
171204;0000;;1,08;;
171205;0000;;1;;
171206;0000;;1,02;;
171207;0000;;1,13;;
171208;0000;;1,01;;
171209;0000;;1,1;;
171210;0000;;1,06;;
171211;0000;;1;;
171212;0000;;1;;
171213;0000;;1,08;;
171214;0000;;1,13;;
171215;0000;;1,13;;
171216;0000;;1,03;;
171217;0000;;1,09;;
171218;0000;;1,21;;
171219;0000;;1,21;;
171220;0000;;1,14;;
171221;0000;;1,01;;
171222;0000;;1;;
171223;0000;;1;;
171224;0000;;;;
171225;0000;;;;
171226;0000;;;;
171227;0000;;1,01;;
171228;0000;;1,03;;
171229;0000;;1,05;;
171230;0000;;1,04;;
171231;0000;;1,16;;
180101;0000;;1,28;;
180102;0000;;1,36;;
180103;0000;;1;;
180104;0000;;1,15;;
180105;0000;;1;;
180106;0000;;1;;
180107;0000;;1,04;;
180108;0000;;1;;
180109;0000;;1,37;;
180110;0000;;1,32;;
180111;0000;;1,27;;
180112;0000;;1,36;;
180113;0000;;1,26;;
180114;0000;;1,02;;
180115;0000;;1,01;;
180116;0000;;1,3;;
180117;0000;;1,3;;
180118;0000;;1,36;;
180119;0000;;1,14;;
180120;0000;;1,03;;
180121;0000;;1,06;;
180122;0000;;1,49;;
180123;0000;;1,17;;
180124;0000;;1,38;;
180125;0000;;1,57;;
180126;0000;;1,16;;
180127;0000;;1,15;;
180128;0000;;1,15;;
180129;0000;;1,27;;
180130;0000;;1,1;;
180131;0000;;1,21;;
180201;0000;;1,27;;
180202;0000;;1,01;;
180203;0000;;1,47;;
180204;0000;;1,48;;
180205;0000;;1;;
180206;0000;;1,29;;
180207;0000;;1,05;;
180208;0000;;1,13;;
180209;0000;;1;;
180210;0000;;1;;
180211;0000;;1,12;;
180212;0000;;1,15;;
180213;0000;;1,11;;
180214;0000;;1;;
180215;0000;;;;
180216;0000;;1,28;;
180217;0000;;1,04;;
180218;0000;;1,03;;
