FECHA (YYMMDD);HORA (HHMM);;
090811;0100;;
090811;0200;;
090811;0300;;
090811;0400;;
090811;0500;;
090811;0600;;
090811;0700;;
090811;0800;;
090811;0900;;
090811;1000;;
090811;1100;;
090811;1200;;
090811;1300;4,94469;
090811;1400;322,364;
090811;1500;341,063;
090811;1600;292,339;
090811;1700;280,029;
090811;1800;289,375;
090811;1900;203,796;
090811;2000;313,574;
090811;2100;258,669;
090811;2200;37,6628;
090811;2300;345,352;
090812;0000;312,116;
090812;0100;332,85;
090812;0200;259,22;
090812;0300;290,57;
090812;0400;251,698;
090812;0500;231,267;
090812;0600;294,161;
090812;0700;43,0162;
090812;0800;30,1805;
090812;0900;262,149;
090812;1000;264,877;
090812;1100;243,962;
090812;1200;229,956;
090812;1300;238,117;
090812;1400;226,67;
090812;1500;228,298;
090812;1600;242,021;
090812;1700;231,098;
090812;1800;258,579;
090812;1900;337,896;
090812;2000;60,8169;
090812;2100;81,8577;
090812;2200;106,906;
090812;2300;95,9485;
090813;0000;108,888;
090813;0100;110,174;
090813;0200;115,279;
090813;0300;100,047;
090813;0400;114,869;
090813;0500;113,059;
090813;0600;81,5165;
090813;0700;114,574;
090813;0800;116,493;
090813;0900;96,5536;
090813;1000;90,1703;
090813;1100;87,4346;
090813;1200;89,7926;
090813;1300;63,9375;
090813;1400;78,8477;
090813;1500;77,8975;
090813;1600;329,583;
090813;1700;288,439;
090813;1800;302,113;
090813;1900;270,801;
090813;2000;316,676;
090813;2100;286,919;
090813;2200;268,042;
090813;2300;45,8851;
090814;0000;34,8196;
090814;0100;31,4685;
090814;0200;315,325;
090814;0300;352,524;
090814;0400;330,497;
090814;0500;342,104;
090814;0600;303,496;
090814;0700;233,906;
090814;0800;243,682;
090814;0900;321,019;
090814;1000;224,052;
090814;1100;206,511;
090814;1200;292,002;
090814;1300;304,603;
090814;1400;284,398;
090814;1500;257,932;
090814;1600;274,611;
090814;1700;239,858;
090814;1800;246,528;
090814;1900;259,087;
090814;2000;253,791;
090814;2100;242,778;
090814;2200;247,502;
090814;2300;240,784;
090815;0000;267,055;
090815;0100;222,25;
090815;0200;260,925;
090815;0300;302,508;
090815;0400;308,25;
090815;0500;56,7498;
090815;0600;52,2098;
090815;0700;72,1305;
090815;0800;75,4093;
090815;0900;37,8171;
090815;1000;332,332;
090815;1100;336,383;
090815;1200;225,14;
090815;1300;315,705;
090815;1400;301,202;
090815;1500;269,853;
090815;1600;236,81;
090815;1700;246,709;
090815;1800;338,487;
090815;1900;356,939;
090815;2000;76,2168;
090815;2100;63,7048;
090815;2200;15,9153;
090815;2300;20,7089;
090816;0000;12,2752;
090816;0100;229,633;
090816;0200;82,7245;
090816;0300;84,4613;
090816;0400;77,2354;
090816;0500;97,4026;
090816;0600;97,0192;
090816;0700;78,8411;
090816;0800;180,688;
090816;0900;20,4757;
090816;1000;335,913;
090816;1100;28,6176;
090816;1200;56,3427;
090816;1300;232,571;
090816;1400;276,317;
090816;1500;233,042;
090816;1600;283,724;
090816;1700;267,703;
090816;1800;277,124;
090816;1900;332,994;
090816;2000;33,0469;
090816;2100;78,4723;
090816;2200;78,7931;
090816;2300;81,33;
090817;0000;104,825;
090817;0100;98,1698;
090817;0200;99,2643;
090817;0300;143,207;
090817;0400;85,203;
090817;0500;104,286;
090817;0600;95,6382;
090817;0700;126,154;
090817;0800;106,349;
090817;0900;54,7499;
090817;1000;10,9038;
090817;1100;264,854;
090817;1200;310,995;
090817;1300;219,389;
090817;1400;14,5507;
090817;1500;187,002;
090817;1600;254,412;
090817;1700;337,659;
090817;1800;354,146;
090817;1900;351,365;
090817;2000;30,9575;
090817;2100;354,23;
090817;2200;18,9037;
090817;2300;335,838;
090818;0000;30,6317;
090818;0100;95,5813;
090818;0200;96,2172;
090818;0300;31,6623;
090818;0400;33,692;
090818;0500;43,8683;
090818;0600;27,8674;
090818;0700;33,5892;
090818;0800;30,7066;
090818;0900;37,9174;
090818;1000;31,2071;
090818;1100;22,2626;
090818;1200;22,5598;
090818;1300;32,9537;
090818;1400;355,004;
090818;1500;32,2698;
090818;1600;29,9305;
090818;1700;43,0386;
090818;1800;41,3116;
090818;1900;27,0172;
090818;2000;18,8078;
090818;2100;24,7778;
090818;2200;30,535;
090818;2300;42,516;
090819;0000;33,4824;
090819;0100;98,9353;
090819;0200;63,3006;
090819;0300;46,9979;
090819;0400;37,8459;
090819;0500;93,5066;
090819;0600;84,2007;
090819;0700;102,76;
090819;0800;18,2578;
090819;0900;323,978;
090819;1000;329,659;
090819;1100;302,457;
090819;1200;202,417;
090819;1300;353,429;
090819;1400;298,83;
090819;1500;309,05;
090819;1600;324,308;
090819;1700;307,526;
090819;1800;323,959;
090819;1900;357,948;
090819;2000;303,939;
090819;2100;30,1581;
090819;2200;20,6773;
090819;2300;10,3295;
090820;0000;60,9639;
090820;0100;131,848;
090820;0200;124,559;
090820;0300;106,713;
090820;0400;107,645;
090820;0500;218,8;
090820;0600;63,3313;
090820;0700;53,7805;
090820;0800;31,3055;
090820;0900;312,605;
090820;1000;;
090820;1100;285,576;
090820;1200;244,908;
090820;1300;326,017;
090820;1400;1,88077;
090820;1500;6,55286;
090820;1600;341,636;
090820;1700;340,182;
090820;1800;306,494;
090820;1900;294,788;
090820;2000;345,185;
090820;2100;318,056;
090820;2200;304,888;
090820;2300;306,55;
090821;0000;327,729;
090821;0100;306,518;
090821;0200;337,133;
090821;0300;302,681;
090821;0400;337,711;
090821;0500;244,962;
090821;0600;37,2446;
090821;0700;291,832;
090821;0800;252,907;
090821;0900;317,218;
090821;1000;288,575;
090821;1100;269,622;
090821;1200;286,014;
090821;1300;41,6467;
090821;1400;344,895;
090821;1500;247,766;
090821;1600;276,933;
090821;1700;287,638;
090821;1800;51,5242;
090821;1900;272,02;
090821;2000;234,261;
090821;2100;241,183;
090821;2200;202,18;
090821;2300;121,545;
090822;0000;91,6239;
090822;0100;112,626;
090822;0200;93,6619;
090822;0300;95,1132;
090822;0400;104,559;
090822;0500;98,7394;
090822;0600;82,4955;
090822;0700;105,965;
090822;0800;82,3484;
090822;0900;26,8732;
090822;1000;338,28;
090822;1100;350,883;
090822;1200;218,275;
090822;1300;309,029;
090822;1400;245,487;
090822;1500;321,229;
090822;1600;302,493;
090822;1700;282,81;
090822;1800;342,363;
090822;1900;314,924;
090822;2000;332,677;
090822;2100;304,588;
090822;2200;251,672;
090822;2300;316,072;
090823;0000;338,279;
090823;0100;326,11;
090823;0200;313,716;
090823;0300;33,6299;
090823;0400;323,286;
090823;0500;252,834;
090823;0600;270,377;
090823;0700;332,824;
090823;0800;324,238;
090823;0900;274,797;
090823;1000;0,297433;
090823;1100;250,761;
090823;1200;319,083;
090823;1300;33,3936;
090823;1400;332,796;
090823;1500;296,575;
090823;1600;177,673;
090823;1700;274,355;
090823;1800;302,249;
090823;1900;294,249;
090823;2000;311,615;
090823;2100;359,518;
090823;2200;326,67;
090823;2300;286,051;
090824;0000;264,211;
090824;0100;281,297;
090824;0200;85,5746;
090824;0300;266,386;
090824;0400;306,195;
090824;0500;243,409;
090824;0600;215,96;
090824;0700;279,819;
090824;0800;275,768;
090824;0900;279,616;
090824;1000;306,795;
090824;1100;277,606;
090824;1200;308,452;
090824;1300;302,73;
090824;1400;331,143;
090824;1500;344,432;
090824;1600;290,97;
090824;1700;315,894;
090824;1800;348,827;
090824;1900;336,485;
090824;2000;334,433;
090824;2100;345,376;
090824;2200;321,505;
090824;2300;348,995;
090825;0000;330,116;
090825;0100;310,837;
090825;0200;321,56;
090825;0300;30,8796;
090825;0400;324,277;
090825;0500;42,7959;
090825;0600;331,403;
090825;0700;331,788;
090825;0800;301,926;
090825;0900;318,921;
090825;1000;13,5719;
090825;1100;194,598;
090825;1200;275,67;
090825;1300;147,009;
090825;1400;289,682;
090825;1500;301,465;
090825;1600;195,351;
090825;1700;236,562;
090825;1800;345,02;
090825;1900;341,606;
090825;2000;270,822;
090825;2100;23,2867;
090825;2200;44,0687;
090825;2300;257,5;
090826;0000;323,258;
090826;0100;355,101;
090826;0200;333,617;
090826;0300;316,869;
090826;0400;254,603;
090826;0500;325,309;
090826;0600;303,974;
090826;0700;359,458;
090826;0800;37,5862;
090826;0900;20,4292;
090826;1000;5,03886;
090826;1100;309,701;
090826;1200;196,189;
090826;1300;201,936;
090826;1400;205,216;
090826;1500;244,34;
090826;1600;228,964;
090826;1700;211,851;
090826;1800;208,778;
090826;1900;183,035;
090826;2000;203,109;
090826;2100;170,268;
090826;2200;202,609;
090826;2300;171,822;
090827;0000;154,69;
090827;0100;159,069;
090827;0200;145,251;
090827;0300;166,192;
090827;0400;169,564;
090827;0500;163,986;
090827;0600;135,159;
090827;0700;161,506;
090827;0800;135,976;
090827;0900;199,893;
090827;1000;197,831;
090827;1100;197,184;
090827;1200;177,376;
090827;1300;197,4;
090827;1400;201,377;
090827;1500;222,074;
090827;1600;225,495;
090827;1700;226,352;
090827;1800;220,937;
090827;1900;234,741;
090827;2000;206,968;
090827;2100;208,413;
090827;2200;233,622;
090827;2300;272,497;
090828;0000;272,912;
090828;0100;9,15604;
090828;0200;61,1913;
090828;0300;90,5625;
090828;0400;66,673;
090828;0500;64,084;
090828;0600;61,5547;
090828;0700;191,62;
090828;0800;306,351;
090828;0900;83,1797;
090828;1000;296,509;
090828;1100;330,686;
090828;1200;332,172;
090828;1300;278,045;
090828;1400;271,422;
090828;1500;31,0815;
090828;1600;358,944;
090828;1700;309,848;
090828;1800;266,163;
090828;1900;213,419;
090828;2000;298,359;
090828;2100;258,764;
090828;2200;294,505;
090828;2300;335,894;
090829;0000;314,103;
090829;0100;330,377;
090829;0200;278,317;
090829;0300;359,303;
090829;0400;5,32053;
090829;0500;10,4752;
090829;0600;177,26;
090829;0700;252,023;
090829;0800;342,569;
090829;0900;317,139;
090829;1000;293,788;
090829;1100;316,95;
090829;1200;198,419;
090829;1300;318,11;
090829;1400;296,604;
090829;1500;219,012;
090829;1600;297,358;
090829;1700;279,528;
090829;1800;327,74;
090829;1900;328,103;
090829;2000;265,055;
090829;2100;224,056;
090829;2200;202,183;
090829;2300;160,994;
090830;0000;96,8716;
090830;0100;86,797;
090830;0200;111,325;
090830;0300;111,131;
090830;0400;100,232;
090830;0500;111,658;
090830;0600;124,179;
090830;0700;93,4557;
090830;0800;;
090830;0900;154,486;
090830;1000;166,325;
090830;1100;164,876;
090830;1200;193,757;
090830;1300;200,083;
090830;1400;200,65;
090830;1500;193,662;
090830;1600;203,65;
090830;1700;198,643;
090830;1800;181,686;
090830;1900;197,126;
090830;2000;209,508;
090830;2100;203,615;
090830;2200;212,349;
090830;2300;170,865;
090831;0000;133,76;
090831;0100;178,207;
090831;0200;159,266;
090831;0300;122,326;
090831;0400;113,429;
090831;0500;149,188;
090831;0600;102,992;
090831;0700;125,032;
090831;0800;93,2793;
090831;0900;141,223;
090831;1000;206,684;
090831;1100;189,034;
090831;1200;219,147;
090831;1300;218,038;
090831;1400;225,934;
090831;1500;211,477;
090831;1600;219,479;
090831;1700;207,247;
090831;1800;198,378;
090831;1900;185,558;
090831;2000;207,892;
090831;2100;188,098;
090831;2200;132,47;
090831;2300;192,029;
090901;0000;183,633;
090901;0100;137,197;
090901;0200;134,631;
090901;0300;124,839;
090901;0400;130,323;
090901;0500;146,055;
090901;0600;136,081;
090901;0700;135,023;
090901;0800;194,443;
090901;0900;148,37;
090901;1000;180,212;
090901;1100;208,386;
090901;1200;227,433;
090901;1300;237,06;
090901;1400;215,586;
090901;1500;209,779;
090901;1600;212,975;
090901;1700;209,183;
090901;1800;206,479;
090901;1900;205,8;
090901;2000;197,52;
090901;2100;204,236;
090901;2200;158,129;
090901;2300;129,911;
090902;0000;122,566;
090902;0100;126,404;
090902;0200;168,54;
090902;0300;147,048;
090902;0400;136,658;
090902;0500;145,681;
090902;0600;94,1642;
090902;0700;111,74;
090902;0800;119,731;
090902;0900;80,8517;
090902;1000;327,923;
090902;1100;348,518;
090902;1200;268,483;
090902;1300;350,6;
090902;1400;239,542;
090902;1500;220,767;
090902;1600;209,085;
090902;1700;209,484;
090902;1800;207,563;
090902;1900;190,781;
090902;2000;193,519;
090902;2100;154,374;
090902;2200;139,583;
090902;2300;149,836;
090903;0000;103,736;
090903;0100;116,728;
090903;0200;100,688;
090903;0300;124,87;
090903;0400;114,249;
090903;0500;114,676;
090903;0600;117,19;
090903;0700;119,169;
090903;0800;133,964;
090903;0900;144,872;
090903;1000;161,031;
090903;1100;212,484;
090903;1200;218,04;
090903;1300;225,575;
090903;1400;239,809;
090903;1500;215,579;
090903;1600;232,444;
090903;1700;244,243;
090903;1800;252,107;
090903;1900;253,4;
090903;2000;241,484;
090903;2100;71,5813;
090903;2200;92,4948;
090903;2300;103,744;
090904;0000;124,412;
090904;0100;99,8739;
090904;0200;102,192;
090904;0300;110,45;
090904;0400;115,389;
090904;0500;118,774;
090904;0600;100,523;
090904;0700;124,891;
090904;0800;99,6653;
090904;0900;71,089;
090904;1000;23,1952;
090904;1100;333,356;
090904;1200;221,405;
090904;1300;303,512;
090904;1400;328,558;
090904;1500;273,521;
090904;1600;327,125;
090904;1700;322,154;
090904;1800;349,42;
090904;1900;318,101;
090904;2000;270,295;
090904;2100;284,59;
090904;2200;345,06;
090904;2300;277,801;
090905;0000;283,297;
090905;0100;0,732454;
090905;0200;277,101;
090905;0300;237,401;
090905;0400;258,608;
090905;0500;246,452;
090905;0600;290,723;
090905;0700;325,887;
090905;0800;309,358;
090905;0900;313,667;
090905;1000;330,129;
090905;1100;203,049;
090905;1200;206,889;
090905;1300;299,726;
090905;1400;269,274;
090905;1500;267,024;
090905;1600;66,9181;
090905;1700;302,74;
090905;1800;278,854;
090905;1900;275,1;
090905;2000;215,72;
090905;2100;249,048;
090905;2200;344,986;
090905;2300;279,859;
090906;0000;329,988;
090906;0100;306,592;
090906;0200;302,198;
090906;0300;282,263;
090906;0400;281,146;
090906;0500;264,132;
090906;0600;255,569;
090906;0700;292,854;
090906;0800;260,793;
090906;0900;241,388;
090906;1000;260,331;
090906;1100;227,665;
090906;1200;213,665;
090906;1300;215,067;
090906;1400;226,24;
090906;1500;208,158;
090906;1600;209,161;
090906;1700;204,084;
090906;1800;197,874;
090906;1900;182,614;
090906;2000;197,54;
090906;2100;183,993;
090906;2200;142,503;
090906;2300;198,652;
090907;0000;199,868;
090907;0100;148,43;
090907;0200;146,545;
090907;0300;137,052;
090907;0400;123,792;
090907;0500;119,18;
090907;0600;116,759;
090907;0700;96,2616;
090907;0800;139,865;
090907;0900;164,515;
090907;1000;157,843;
090907;1100;202,861;
090907;1200;215,165;
090907;1300;200,693;
090907;1400;216,553;
090907;1500;199,85;
090907;1600;201,94;
090907;1700;206,174;
090907;1800;203,949;
090907;1900;186,297;
090907;2000;186,917;
090907;2100;175,284;
090907;2200;150,153;
090907;2300;114,293;
090908;0000;126,088;
090908;0100;119,394;
090908;0200;131,73;
090908;0300;132,045;
090908;0400;95,1896;
090908;0500;144,952;
090908;0600;125,626;
090908;0700;116,75;
090908;0800;158,726;
090908;0900;192,138;
090908;1000;215,28;
090908;1100;205,492;
090908;1200;209,293;
090908;1300;216,945;
090908;1400;206,942;
090908;1500;216,639;
090908;1600;195,546;
090908;1700;208,745;
090908;1800;196,704;
090908;1900;195,075;
090908;2000;203,19;
090908;2100;201,664;
090908;2200;189,999;
090908;2300;139,074;
090909;0000;122,116;
090909;0100;145,024;
090909;0200;125,472;
090909;0300;142,787;
090909;0400;143,389;
090909;0500;125,256;
090909;0600;119,396;
090909;0700;91,3965;
090909;0800;147,569;
090909;0900;178,974;
090909;1000;205,037;
090909;1100;219,337;
090909;1200;240,871;
090909;1300;210,619;
090909;1400;216,712;
090909;1500;220,086;
090909;1600;216,727;
090909;1700;;
090909;1800;;
090909;1900;;
090909;2000;;
090909;2100;;
090909;2200;;
090909;2300;;
090910;0000;;
090910;0100;;
090910;0200;;
090910;0300;;
090910;0400;;
090910;0500;;
090910;0600;;
090910;0700;;
090910;0800;;
090910;0900;;
090910;1000;;
090910;1100;;
090910;1200;;
090910;1300;;
090910;1400;;
090910;1500;;
090910;1600;;
090910;1700;196,578;
090910;1800;198,846;
090910;1900;211,946;
090910;2000;209,286;
090910;2100;203,685;
090910;2200;199,885;
090910;2300;126,327;
090911;0000;179,058;
090911;0100;197,771;
090911;0200;173,704;
090911;0300;175,664;
090911;0400;178,548;
090911;0500;151,383;
090911;0600;144,538;
090911;0700;113,867;
090911;0800;158,062;
090911;0900;;
090911;1000;;
090911;1100;;
090911;1200;;
090911;1300;;
090911;1400;;
090911;1500;;
090911;1600;;
090911;1700;;
090911;1800;;
090911;1900;214,932;
