FECHA (YYMMDD);HORA (HHMM);;
090811;0100;;
090811;0200;;
090811;0300;;
090811;0400;;
090811;0500;;
090811;0600;;
090811;0700;;
090811;0800;;
090811;0900;;
090811;1000;;
090811;1100;;
090811;1200;;
090811;1300;78,3822;
090811;1400;79,1099;
090811;1500;78,8599;
090811;1600;78,2249;
090811;1700;80,5923;
090811;1800;83,7;
090811;1900;85,9999;
090811;2000;85,7749;
090811;2100;86,7749;
090811;2200;86,4999;
090811;2300;86,4247;
090812;0000;81,975;
090812;0100;84,2749;
090812;0200;87,4247;
090812;0300;89,325;
090812;0400;89,6499;
090812;0500;90,0497;
090812;0600;90,2;
090812;0700;90,2;
090812;0800;90,3246;
090812;0900;89,85;
090812;1000;79,3971;
090812;1100;74,4872;
090812;1200;69,6947;
090812;1300;61,6675;
090812;1400;57,2125;
090812;1500;57,6924;
090812;1600;61,8199;
090812;1700;65,1521;
090812;1800;69,9324;
090812;1900;70,4447;
090812;2000;73,7;
090812;2100;81,4198;
090812;2200;81,3975;
090812;2300;80,5072;
090813;0000;81,2249;
090813;0100;80,965;
090813;0200;83,0249;
090813;0300;83,0497;
090813;0400;83,1747;
090813;0500;84,4247;
090813;0600;83,1996;
090813;0700;82,7;
090813;0800;81,1648;
090813;0900;77,9999;
090813;1000;77,3749;
090813;1100;74,6249;
090813;1200;75,8197;
090813;1300;73,2349;
090813;1400;65,0121;
090813;1500;53,4874;
090813;1600;59,1849;
090813;1700;74,3024;
090813;1800;75,8573;
090813;1900;77,7499;
090813;2000;79,6199;
090813;2100;82,5746;
090813;2200;77,5099;
090813;2300;79,5348;
090814;0000;70,3423;
090814;0100;78,8999;
090814;0200;85,6499;
090814;0300;87,325;
090814;0400;87,8999;
090814;0500;88,4999;
090814;0600;88,7499;
090814;0700;89,3999;
090814;0800;89,9749;
090814;0900;90,1;
090814;1000;90,0497;
090814;1100;90,0497;
090814;1200;90,0497;
090814;1300;90,1499;
090814;1400;90,1;
090814;1500;90,2249;
090814;1600;89,6747;
090814;1700;88,4999;
090814;1800;83,6249;
090814;1900;80,0497;
090814;2000;77,5398;
090814;2100;75,4274;
090814;2200;74,1674;
090814;2300;74,1974;
090815;0000;71,965;
090815;0100;69,0574;
090815;0200;69,4247;
090815;0300;69,2273;
090815;0400;73,1272;
090815;0500;75,1847;
090815;0600;78,7649;
090815;0700;80,9297;
090815;0800;77,9823;
090815;0900;72,5348;
090815;1000;68,3749;
090815;1100;65,3296;
090815;1200;62,3974;
090815;1300;71,215;
090815;1400;62,6849;
090815;1500;52,0474;
090815;1600;53,5624;
090815;1700;64,5474;
090815;1800;71,6824;
090815;1900;75,6924;
090815;2000;78,4574;
090815;2100;80,1172;
090815;2200;80,6;
090815;2300;80,0497;
090816;0000;81,7;
090816;0100;83,325;
090816;0200;81,5199;
090816;0300;85,575;
090816;0400;85,2749;
090816;0500;85,1249;
090816;0600;84,575;
090816;0700;83,6499;
090816;0800;83,4999;
090816;0900;84,1249;
090816;1000;79,1499;
090816;1100;81,8899;
090816;1200;73,3346;
090816;1300;64,2749;
090816;1400;63,5074;
090816;1500;73,0298;
090816;1600;61,4299;
090816;1700;65,9174;
090816;1800;69,5199;
090816;1900;70,6;
090816;2000;73,0022;
090816;2100;76,8573;
090816;2200;79,6471;
090816;2300;82,1747;
090817;0000;81,4247;
090817;0100;83,325;
090817;0200;83,8999;
090817;0300;84,1249;
090817;0400;85,6499;
090817;0500;86,5497;
090817;0600;86,4999;
090817;0700;86,1747;
090817;0800;84,6499;
090817;0900;79,5374;
090817;1000;76,8274;
090817;1100;70,0497;
090817;1200;69,7499;
090817;1300;65,3047;
090817;1400;62,1349;
090817;1500;62,025;
090817;1600;68,5774;
090817;1700;72,7974;
090817;1800;78,2948;
090817;1900;81,3499;
090817;2000;80,9999;
090817;2100;81,6996;
090817;2200;79,575;
090817;2300;78,2422;
090818;0000;74,4524;
090818;0100;71,1674;
090818;0200;61,6699;
090818;0300;58,8799;
090818;0400;66,0375;
090818;0500;67,6349;
090818;0600;66,6797;
090818;0700;73,3473;
090818;0800;74,4148;
090818;0900;80,2223;
090818;1000;81,575;
090818;1100;83,4749;
090818;1200;84,0497;
090818;1300;85,9247;
090818;1400;85,4247;
090818;1500;85,5497;
090818;1600;80,83;
090818;1700;78,7096;
090818;1800;81,3871;
090818;1900;85,2749;
090818;2000;87,075;
090818;2100;85,0249;
090818;2200;82,3499;
090818;2300;80,532;
090819;0000;79,5125;
090819;0100;79,2725;
090819;0200;75,9274;
090819;0300;78,1548;
090819;0400;80,1322;
090819;0500;84,725;
090819;0600;86,4749;
090819;0700;87,6747;
090819;0800;88,45;
090819;0900;88,7499;
090819;1000;87,9999;
090819;1100;86,4749;
090819;1200;85,2249;
090819;1300;82,4247;
090819;1400;78,9872;
090819;1500;81,3799;
090819;1600;81,8749;
090819;1700;83,9247;
090819;1800;86,35;
090819;1900;86,3999;
090819;2000;86,075;
090819;2100;86,7749;
090819;2200;86,4247;
090819;2300;86,2499;
090820;0000;85,7749;
090820;0100;85,5746;
090820;0200;85,325;
090820;0300;85,1;
090820;0400;85,45;
090820;0500;86,2749;
090820;0600;87,2749;
090820;0700;87,7249;
090820;0800;87,7249;
090820;0900;85,3749;
090820;1000;79,8899;
090820;1100;76,0697;
090820;1200;77,1499;
090820;1300;74,1222;
090820;1400;69,8324;
090820;1500;69,3799;
090820;1600;75,9224;
090820;1700;77,1322;
090820;1800;80,3074;
090820;1900;83,2749;
090820;2000;84,0746;
090820;2100;84,6499;
090820;2200;86,2749;
090820;2300;87,35;
090821;0000;87,6499;
090821;0100;87,8999;
090821;0200;87,5249;
090821;0300;86,8246;
090821;0400;84,4247;
090821;0500;81,7;
090821;0600;77,3822;
090821;0700;80,0448;
090821;0800;78,6847;
090821;0900;77,6897;
090821;1000;76,8925;
090821;1100;79,1698;
090821;1200;74,9297;
090821;1300;79,7;
090821;1400;86,4247;
090821;1500;85,6499;
090821;1600;79,6797;
090821;1700;81,215;
090821;1800;84,7249;
090821;1900;86,0999;
090821;2000;84,6499;
090821;2100;85,9247;
090821;2200;86,7249;
090821;2300;83,2749;
090822;0000;85,3999;
090822;0100;87,7499;
090822;0200;88,2249;
090822;0300;88,1;
090822;0400;88,0497;
090822;0500;88,075;
090822;0600;88,2;
090822;0700;88,2749;
090822;0800;88,1499;
090822;0900;87,3749;
090822;1000;84,95;
090822;1100;78,2349;
090822;1200;70,2599;
090822;1300;62,4249;
090822;1400;61,9099;
090822;1500;65,0398;
090822;1600;69,6797;
090822;1700;73,83;
090822;1800;79,0774;
090822;1900;79,6249;
090822;2000;81,1747;
090822;2100;81,3999;
090822;2200;81,325;
090822;2300;82,7499;
090823;0000;83,3499;
090823;0100;83,4749;
090823;0200;84,95;
090823;0300;85,6499;
090823;0400;85,075;
090823;0500;84,4247;
090823;0600;84,45;
090823;0700;84,4999;
090823;0800;83,5249;
090823;0900;77,5999;
090823;1000;78,7522;
090823;1100;80,0149;
090823;1200;82,3246;
090823;1300;82,6499;
090823;1400;85,0497;
090823;1500;87,0249;
090823;1600;87,4749;
090823;1700;88,4247;
090823;1800;88,8246;
090823;1900;88,7499;
090823;2000;88,7249;
090823;2100;88,825;
090823;2200;89,1;
090823;2300;89,3246;
090824;0000;89,3499;
090824;0100;89,2749;
090824;0200;88,9247;
090824;0300;88,9247;
090824;0400;88,7499;
090824;0500;89,1499;
090824;0600;89,1;
090824;0700;88,9247;
090824;0800;88,6747;
090824;0900;88,7;
090824;1000;88,5999;
090824;1100;87,6249;
090824;1200;87,8749;
090824;1300;87,9247;
090824;1400;85,85;
090824;1500;83,0497;
090824;1600;83,7499;
090824;1700;85,2499;
090824;1800;85,9247;
090824;1900;86,9247;
090824;2000;87,4247;
090824;2100;87,45;
090824;2200;87,8749;
090824;2300;88,1249;
090825;0000;88,2749;
090825;0100;88,475;
090825;0200;88,3749;
090825;0300;88,2249;
090825;0400;88,3246;
090825;0500;88,7249;
090825;0600;88,6747;
090825;0700;88,7499;
090825;0800;88,325;
090825;0900;86,075;
090825;1000;84,075;
090825;1100;78,7825;
090825;1200;74,2798;
090825;1300;74,9474;
090825;1400;77,3573;
090825;1500;76,6847;
090825;1600;78,5524;
090825;1700;80,8999;
090825;1800;83,4247;
090825;1900;85,7499;
090825;2000;86,2249;
090825;2100;85,2499;
090825;2200;81,4247;
090825;2300;81,0746;
090826;0000;82,4247;
090826;0100;82,5497;
090826;0200;82,2;
090826;0300;82,0999;
090826;0400;83,825;
090826;0500;84,1499;
090826;0600;84,9247;
090826;0700;85,6499;
090826;0800;84,0497;
090826;0900;83,9247;
090826;1000;82,2323;
090826;1100;76,6947;
090826;1200;71,3047;
090826;1300;72,1648;
090826;1400;77,0271;
090826;1500;76,2721;
090826;1600;85,7749;
090826;1700;88,4999;
090826;1800;89,2;
090826;1900;89,3749;
090826;2000;89,5497;
090826;2100;89,7;
090826;2200;89,7;
090826;2300;89,7499;
090827;0000;89,8999;
090827;0100;89,9247;
090827;0200;89,6747;
090827;0300;89,6;
090827;0400;89,6249;
090827;0500;89,8499;
090827;0600;89,9247;
090827;0700;89,8749;
090827;0800;89,8499;
090827;0900;89,9247;
090827;1000;89,4749;
090827;1100;86,95;
090827;1200;74,4574;
090827;1300;73,3499;
090827;1400;76,2223;
090827;1500;79,9274;
090827;1600;81,9247;
090827;1700;82,9999;
090827;1800;80,5497;
090827;1900;80,7249;
090827;2000;84,8499;
090827;2100;88,9247;
090827;2200;89,4247;
090827;2300;89,3246;
090828;0000;89,45;
090828;0100;89,5497;
090828;0200;89,575;
090828;0300;89,4247;
090828;0400;89,3246;
090828;0500;89,5249;
090828;0600;89,6249;
090828;0700;89,7;
090828;0800;89,6;
090828;0900;89,3749;
090828;1000;89,0497;
090828;1100;86,7;
090828;1200;82,6747;
090828;1300;79,7472;
090828;1400;78,0298;
090828;1500;78,9224;
090828;1600;80,6947;
090828;1700;83,325;
090828;1800;84,6499;
090828;1900;84,7499;
090828;2000;85,45;
090828;2100;87,0249;
090828;2200;86,95;
090828;2300;87,4247;
090829;0000;87,9749;
090829;0100;87,6499;
090829;0200;86,6996;
090829;0300;86,2749;
090829;0400;88,575;
090829;0500;88,9999;
090829;0600;89,2499;
090829;0700;89,475;
090829;0800;89,5;
090829;0900;89,575;
090829;1000;89,575;
090829;1100;89,5497;
090829;1200;89,2;
090829;1300;89,1;
090829;1400;88,8499;
090829;1500;88,5249;
090829;1600;88,8246;
090829;1700;88,6747;
090829;1800;88,8499;
090829;1900;89,1747;
090829;2000;88,8499;
090829;2100;85,85;
090829;2200;83,9247;
090829;2300;84,7749;
090830;0000;87,2499;
090830;0100;87,9247;
090830;0200;88,45;
090830;0300;88,4999;
090830;0400;87,5249;
090830;0500;87,9247;
090830;0600;88,45;
090830;0700;88,6747;
090830;0800;88,5249;
090830;0900;88,325;
090830;1000;86,325;
090830;1100;74,5524;
090830;1200;66,6172;
090830;1300;65,0424;
090830;1400;66,0398;
090830;1500;68,1521;
090830;1600;69,1724;
090830;1700;70,6;
090830;1800;73,7074;
090830;1900;74,5049;
090830;2000;73,3197;
090830;2100;75,8573;
090830;2200;79,7649;
090830;2300;82,3999;
090831;0000;84,85;
090831;0100;86,9247;
090831;0200;85,9666;
090831;0300;82,2499;
090831;0400;79,4496;
090831;0500;79,4646;
090831;0600;75,7649;
090831;0700;78,2874;
090831;0800;77,21;
090831;0900;71,7522;
090831;1000;75,4949;
090831;1100;69,7798;
090831;1200;68,7249;
090831;1300;61,665;
090831;1400;59,5125;
090831;1500;59,8199;
090831;1600;59,0474;
090831;1700;60,9199;
090831;1800;65,6947;
090831;1900;68,6322;
090831;2000;66,8374;
090831;2100;70,2875;
090831;2200;78,2472;
090831;2300;75,8949;
090901;0000;79,3074;
090901;0100;81,6499;
090901;0200;76,9922;
090901;0300;74,34;
090901;0400;77,325;
090901;0500;78,2223;
090901;0600;79,9048;
090901;0700;79,8047;
090901;0800;74,7522;
090901;0900;64,6824;
090901;1000;53,5975;
090901;1100;56,5275;
090901;1200;53,64;
090901;1300;47,8524;
090901;1400;49,2474;
090901;1500;51,8549;
090901;1600;56,4124;
090901;1700;59,1099;
090901;1800;64,0374;
090901;1900;67,8473;
090901;2000;70,3396;
090901;2100;73,6049;
090901;2200;78,6199;
090901;2300;81,8999;
090902;0000;82,6996;
090902;0100;81,1249;
090902;0200;80,9148;
090902;0300;84,0249;
090902;0400;84,1747;
090902;0500;84,2499;
090902;0600;80,0049;
090902;0700;80,1023;
090902;0800;76,0271;
090902;0900;67,4347;
090902;1000;57,8049;
090902;1100;51,2825;
090902;1200;45,9274;
090902;1300;48,3699;
090902;1400;58,075;
090902;1500;55,0049;
090902;1600;52,17;
090902;1700;52,3749;
090902;1800;61,6099;
090902;1900;65,7522;
090902;2000;66,8124;
090902;2100;72,1049;
090902;2200;79,085;
090902;2300;80,9247;
090903;0000;77,5249;
090903;0100;73,6774;
090903;0200;72,8699;
090903;0300;72,0249;
090903;0400;73,3799;
090903;0500;72,9148;
090903;0600;73,2699;
090903;0700;72,2749;
090903;0800;66,9695;
090903;0900;61,22;
090903;1000;56,155;
090903;1100;52,0925;
090903;1200;54,0574;
090903;1300;52,0024;
090903;1400;47,8849;
090903;1500;50,3425;
090903;1600;53,6599;
090903;1700;54,6099;
090903;1800;57,2349;
090903;1900;62,3074;
090903;2000;64,7249;
090903;2100;69,407;
090903;2200;73,1299;
090903;2300;76,6499;
090904;0000;78,7349;
090904;0100;79,5624;
090904;0200;80,2449;
090904;0300;79,2699;
090904;0400;78,4646;
090904;0500;78,8799;
090904;0600;79,3374;
090904;0700;79,0574;
090904;0800;78,3749;
090904;0900;76,1548;
090904;1000;75,2024;
090904;1100;74,8599;
090904;1200;76,6449;
090904;1300;81,6499;
090904;1400;86,3999;
090904;1500;87,6249;
090904;1600;87,0999;
090904;1700;85,8499;
090904;1800;84,575;
090904;1900;85,825;
090904;2000;86,3999;
090904;2100;87,8999;
090904;2200;88,5497;
090904;2300;88,4999;
090905;0000;89,1;
090905;0100;89,3246;
090905;0200;89,6;
090905;0300;89,6747;
090905;0400;89,7499;
090905;0500;89,6747;
090905;0600;89,7249;
090905;0700;90,0249;
090905;0800;90,0497;
090905;0900;90,075;
090905;1000;89,9247;
090905;1100;89,7249;
090905;1200;89,5249;
090905;1300;89,075;
090905;1400;88,9749;
090905;1500;88,6747;
090905;1600;88,45;
090905;1700;88,6996;
090905;1800;88,825;
090905;1900;87,9749;
090905;2000;87,0249;
090905;2100;86,9749;
090905;2200;86,3999;
090905;2300;86,3246;
090906;0000;87,0999;
090906;0100;86,7499;
090906;0200;87,825;
090906;0300;86,6499;
090906;0400;88,35;
090906;0500;88,5497;
090906;0600;86,075;
090906;0700;85,1249;
090906;0800;78,2349;
090906;0900;83,9247;
090906;1000;77,0149;
090906;1100;72,0724;
090906;1200;71,7499;
090906;1300;65,3599;
090906;1400;63,5524;
090906;1500;63,5024;
090906;1600;56,5599;
090906;1700;53,165;
090906;1800;58,03;
090906;1900;63,4999;
090906;2000;63,8724;
090906;2100;66,0298;
090906;2200;73,7725;
090906;2300;71,085;
090907;0000;70,3024;
090907;0100;70,8672;
090907;0200;73,5249;
090907;0300;78,0221;
090907;0400;80,9148;
090907;0500;81,6249;
090907;0600;81,9247;
090907;0700;80,1598;
090907;0800;76,1724;
090907;0900;68,7323;
090907;1000;59,1249;
090907;1100;49,5524;
090907;1200;48,2075;
090907;1300;49,0699;
090907;1400;50,0399;
090907;1500;51,2549;
090907;1600;55,2299;
090907;1700;58,155;
090907;1800;63,6474;
090907;1900;65,0099;
090907;2000;69,4596;
090907;2100;73,6774;
090907;2200;77,9899;
090907;2300;78,8849;
090908;0000;79,8999;
090908;0100;80,9999;
090908;0200;78,2572;
090908;0300;78,7372;
090908;0400;79,4374;
090908;0500;79,9247;
090908;0600;80,4324;
090908;0700;78,3722;
090908;0800;68,0049;
090908;0900;60,0125;
090908;1000;54,345;
090908;1100;54,6;
090908;1200;47,285;
090908;1300;47,6674;
090908;1400;45,4874;
090908;1500;45,525;
090908;1600;47,3649;
090908;1700;50,6274;
090908;1800;57,0775;
090908;1900;61,0724;
090908;2000;63,28;
090908;2100;65,6222;
090908;2200;63,9099;
090908;2300;65,6023;
090909;0000;68,1874;
090909;0100;70,5597;
090909;0200;71,1122;
090909;0300;69,8274;
090909;0400;74,6674;
090909;0500;75,3949;
090909;0600;76,0647;
090909;0700;73,6747;
090909;0800;69,1199;
090909;0900;60,5474;
090909;1000;56,1249;
090909;1100;56,0825;
090909;1200;58,7725;
090909;1300;58,3624;
090909;1400;59,0049;
090909;1500;60,3674;
090909;1600;62,4224;
