FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090814;0000;;;16,645;
090815;0000;;;36,4741;
090816;0000;;;25,3079;
090817;0000;;;21,5787;
090818;0000;;;12,2429;
090819;0000;;;14,0946;
090820;0000;;;21,805;
090821;0000;;;16,8504;
090822;0000;;;27,6212;
090823;0000;;;20,3495;
090824;0000;;;18,0687;
090825;0000;;;31,0295;
090826;0000;;;36,2899;
090827;0000;;;33,4653;
090828;0000;;;15,3854;
090829;0000;;;13,4333;
090830;0000;;;42,5566;
090831;0000;;;34,4862;
090901;0000;;;41,4841;
090902;0000;;;42,5587;
090903;0000;;;44,8741;
090904;0000;;;30,4216;
090905;0000;;;10,6123;
090906;0000;;;25,7393;
090907;0000;;;30,9891;
090908;0000;;;28,2233;
090909;0000;;;;
090910;0000;;;;
090911;0000;;;;
090912;0000;;;34,5975;
090913;0000;;;11,2329;
090914;0000;;;15,1271;
090915;0000;;;;
090916;0000;;;;
090917;0000;;;;
090918;0000;;;;
090919;0000;;;;
090920;0000;;;;
090921;0000;;;;
090922;0000;;;;
090923;0000;;;;
090924;0000;;;;
090925;0000;;;;
090926;0000;;;;
090927;0000;;;;
090928;0000;;;;
090929;0000;;;;
090930;0000;;;;
091001;0000;;;;
091002;0000;;;;
091003;0000;;;;
091004;0000;;;;
091005;0000;;;;
091006;0000;;;;
091007;0000;;;44,998;
091008;0000;;;;
091009;0000;;;;
091010;0000;;;;
091011;0000;;;;
091012;0000;;;;
091013;0000;;;;
091014;0000;;;;
091015;0000;;;;
091016;0000;;;;
091017;0000;;;;
091018;0000;;;;
091019;0000;;;;
091020;0000;;;;
091021;0000;;;;
091022;0000;;;;
091023;0000;;;;
091024;0000;;;;
091025;0000;;;;
091026;0000;;;;
091027;0000;;;;
091028;0000;;;;
091029;0000;;;;
091030;0000;;;;
091031;0000;;;;
091101;0000;;;;
091102;0000;;;;
091103;0000;;;;
091104;0000;;;;
091105;0000;;;;
091106;0000;;;;
091107;0000;;;;
091108;0000;;;;
091109;0000;;;;
091110;0000;;;;
091111;0000;;;;
091112;0000;;;;
091113;0000;;;;
091114;0000;;;;
091115;0000;;;;
091116;0000;;;;
091117;0000;;;;
091118;0000;;;;
091119;0000;;;;
091120;0000;;;;
091121;0000;;;;
091122;0000;;;;
091123;0000;;;;
091124;0000;;;;
091125;0000;;;;
091126;0000;;;;
091127;0000;;;;
091128;0000;;;;
091129;0000;;;;
091130;0000;;;;
091201;0000;;;;
091202;0000;;;;
091203;0000;;;;
091204;0000;;;;
091205;0000;;;;
091206;0000;;;;
091207;0000;;;;
091208;0000;;;;
091209;0000;;;;
091210;0000;;;;
091211;0000;;;;
091212;0000;;;;
091213;0000;;;;
091214;0000;;;;
091215;0000;;;;
091216;0000;;;;
091217;0000;;;;
091218;0000;;;;
091219;0000;;;;
091220;0000;;;;
091221;0000;;;;
091222;0000;;;;
091223;0000;;;;
091224;0000;;;;
091225;0000;;;;
091226;0000;;;;
091227;0000;;;;
091228;0000;;;;
091229;0000;;;;
091230;0000;;;;
091231;0000;;;;
100101;0000;;;27,2044;
100102;0000;;;21,5596;
100103;0000;;;21,1086;
100104;0000;;;48,7641;
100105;0000;;;53,8425;
100106;0000;;;47,1824;
