FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
161223;0000;;;;
161224;0000;;1,36135;;
161225;0000;;1;;
161226;0000;;1;;
161227;0000;;1,09773;;
161228;0000;;2,92165;;
161229;0000;;1,00116;;
161230;0000;;1;;
161231;0000;;1;;
170101;0000;;;;
170102;0000;;;;
170103;0000;;;;
170104;0000;;1,38998;;
170105;0000;;1,95701;;
170106;0000;;2,03595;;
170107;0000;;6,01313;;
170108;0000;;6,23894;;
170109;0000;;3,73991;;
170110;0000;;2,25326;;
170111;0000;;2,51699;;
170112;0000;;3,16577;;
170113;0000;;1,68623;;
170114;0000;;1,18572;;
170115;0000;;1,41335;;
170116;0000;;2,23342;;
170117;0000;;2,89378;;
170118;0000;;2,65386;;
170119;0000;;2,5733;;
170120;0000;;1,81614;;
170121;0000;;2,22704;;
170122;0000;;1,87915;;
170123;0000;;1,917;;
170124;0000;;1,87868;;
170125;0000;;4,11546;;
170126;0000;;4,08826;;
170127;0000;;1,03506;;
170128;0000;;1,05577;;
170129;0000;;1;;
170130;0000;;1;;
170131;0000;;;;
170201;0000;;;;
170202;0000;;;;
170203;0000;;;;
170204;0000;;1;;
170205;0000;;1;;
170206;0000;;;;
170207;0000;;;;
170208;0000;;1;;
170209;0000;;1;;
170210;0000;;1;;
170211;0000;;1,0058;;
170212;0000;;1,0667;;
170213;0000;;1,76175;;
170214;0000;;1;;
170215;0000;;1;;
170216;0000;;1;;
170217;0000;;1;;
170218;0000;;1,25816;;
170219;0000;;1,04143;;
170220;0000;;1,02137;;
170221;0000;;1,87551;;
170222;0000;;1,32173;;
170223;0000;;1,0407;;
170224;0000;;1,3204;;
170225;0000;;1,42776;;
170226;0000;;1;;
170227;0000;;1,00888;;
170228;0000;;1;;
170301;0000;;1;;
170302;0000;;;;
170303;0000;;;;
170304;0000;;1;;
170305;0000;;1;;
170306;0000;;;;
170307;0000;;;;
170308;0000;;;;
170309;0000;;;;
170310;0000;;;;
170311;0000;;1;;
170312;0000;;1;;
170313;0000;;;;
170314;0000;;1,06652;;
170315;0000;;1;;
170316;0000;;1,46676;;
170317;0000;;1;;
170318;0000;;1;;
170319;0000;;1;;
170320;0000;;;;
170321;0000;;;;
170322;0000;;1;;
170323;0000;;1;;
170324;0000;;1;;
