FECHA (YYMMDD);HORA (HHMM);;
090811;0100;;
090811;0200;;
090811;0300;;
090811;0400;;
090811;0500;;
090811;0600;;
090811;0700;;
090811;0800;;
090811;0900;;
090811;1000;;
090811;1100;;
090811;1200;;
090811;1300;14,6875;
090811;1400;14,51;
090811;1500;14,375;
090811;1600;13,905;
090811;1700;12,9725;
090811;1800;11,9;
090811;1900;11,6475;
090811;2000;11,9675;
090811;2100;12,0375;
090811;2200;11,6475;
090811;2300;11,855;
090812;0000;12,295;
090812;0100;12,1025;
090812;0200;11,725;
090812;0300;11,6125;
090812;0400;11,75;
090812;0500;11,9325;
090812;0600;11,865;
090812;0700;11,7325;
090812;0800;11,955;
090812;0900;12,2075;
090812;1000;12,4225;
090812;1100;13,18;
090812;1200;14;
090812;1300;14,355;
090812;1400;13,92;
090812;1500;13,8025;
090812;1600;13,13;
090812;1700;12,4075;
090812;1800;11,175;
090812;1900;10,39;
090812;2000;9,62749;
090812;2100;8,29497;
090812;2200;7,83099;
090812;2300;7,48373;
090813;0000;6,97849;
090813;0100;6,618;
090813;0200;6,13248;
090813;0300;5,89973;
090813;0400;5,46399;
090813;0500;4,85249;
090813;0600;5,42;
090813;0700;5,448;
090813;0800;6,04449;
090813;0900;7,20448;
090813;1000;7,96098;
090813;1100;9,07747;
090813;1200;9,44249;
090813;1300;10,06;
090813;1400;12,0875;
090813;1500;13,2425;
090813;1600;12,08;
090813;1700;10,81;
090813;1800;10,455;
090813;1900;10,4525;
090813;2000;10,7225;
090813;2100;10,525;
090813;2200;9,66248;
090813;2300;8,71747;
090814;0000;9,89998;
090814;0100;9,74747;
090814;0200;10,4175;
090814;0300;10,7225;
090814;0400;10,705;
090814;0500;11,0025;
090814;0600;11,3325;
090814;0700;11,5025;
090814;0800;11,7825;
090814;0900;12,1525;
090814;1000;12,1375;
090814;1100;11,975;
090814;1200;12,01;
090814;1300;12,2025;
090814;1400;12,305;
090814;1500;12,4025;
090814;1600;11,58;
090814;1700;11,4;
090814;1800;11,91;
090814;1900;11,14;
090814;2000;11,37;
090814;2100;10,9625;
090814;2200;10,6125;
090814;2300;10,52;
090815;0000;10,0475;
090815;0100;9,74997;
090815;0200;9,49747;
090815;0300;9,14499;
090815;0400;8,00824;
090815;0500;7,66248;
090815;0600;7,51999;
090815;0700;6,87899;
090815;0800;7,4315;
090815;0900;9,70749;
090815;1000;12,05;
090815;1100;13,23;
090815;1200;12,65;
090815;1300;10,87;
090815;1400;12,7975;
090815;1500;13,535;
090815;1600;13,2275;
090815;1700;11,37;
090815;1800;9,53249;
090815;1900;9,18999;
090815;2000;8,37;
090815;2100;7,80874;
090815;2200;7,83723;
090815;2300;8,16748;
090816;0000;8,05249;
090816;0100;8,24498;
090816;0200;7,90224;
090816;0300;7,27048;
090816;0400;6,869;
090816;0500;6,54274;
090816;0600;6,22549;
090816;0700;6,545;
090816;0800;6,93175;
090816;0900;8,11272;
090816;1000;9,71999;
090816;1100;9,91748;
090816;1200;11,2575;
090816;1300;12,465;
090816;1400;13,5625;
090816;1500;11,0075;
090816;1600;12,2575;
090816;1700;11,0575;
090816;1800;10,025;
090816;1900;9,31247;
090816;2000;8,79749;
090816;2100;8,53748;
090816;2200;8,12473;
090816;2300;7,49274;
090817;0000;7,42223;
090817;0100;6,81649;
090817;0200;6,60249;
090817;0300;6,38573;
090817;0400;6,56324;
090817;0500;6,11024;
090817;0600;5,75848;
090817;0700;5,76823;
090817;0800;6,71949;
090817;0900;9,19498;
090817;1000;11,31;
090817;1100;13,3775;
090817;1200;13,3775;
090817;1300;14,1175;
090817;1400;14,1875;
090817;1500;13,8525;
090817;1600;12,8075;
090817;1700;11,745;
090817;1800;10,4975;
090817;1900;9,87999;
090817;2000;9,965;
090817;2100;9,81499;
090817;2200;9,93248;
090817;2300;9,71248;
090818;0000;9,98247;
090818;0100;9,50748;
090818;0200;9,69748;
090818;0300;10,385;
090818;0400;9,95998;
090818;0500;10,05;
090818;0600;9,64998;
090818;0700;9,01749;
090818;0800;9,13997;
090818;0900;8,73499;
090818;1000;9,03499;
090818;1100;9,19498;
090818;1200;9,34998;
090818;1300;9,43497;
090818;1400;9,69249;
090818;1500;9,79248;
090818;1600;10,5275;
090818;1700;10,9125;
090818;1800;10,3825;
090818;1900;10,1075;
090818;2000;10,375;
090818;2100;11,2225;
090818;2200;11,1725;
090818;2300;11,2775;
090819;0000;11,235;
090819;0100;11,0725;
090819;0200;11,5725;
090819;0300;11,39;
090819;0400;11,2575;
090819;0500;10,75;
090819;0600;10,6325;
090819;0700;11,04;
090819;0800;11,8;
090819;0900;12,435;
090819;1000;13,265;
090819;1100;13,6725;
090819;1200;13,785;
090819;1300;14,665;
090819;1400;14,4675;
090819;1500;13,7725;
090819;1600;13,3425;
090819;1700;12,7475;
090819;1800;12,2575;
090819;1900;11,8775;
090819;2000;11,46;
090819;2100;11,055;
090819;2200;11,205;
090819;2300;11,3575;
090820;0000;11,385;
090820;0100;11,1675;
090820;0200;10,98;
090820;0300;10,845;
090820;0400;10,705;
090820;0500;10,625;
090820;0600;10,53;
090820;0700;10,4025;
090820;0800;10,69;
090820;0900;12,3925;
090820;1000;13,6075;
090820;1100;14,5225;
090820;1200;14,1375;
090820;1300;14,435;
090820;1400;14,4325;
090820;1500;14,6175;
090820;1600;13,7275;
090820;1700;12,795;
090820;1800;11,65;
090820;1900;11,16;
090820;2000;11,1275;
090820;2100;11,1475;
090820;2200;11,0875;
090820;2300;10,945;
090821;0000;10,995;
090821;0100;11,01;
090821;0200;10,8075;
090821;0300;10,635;
090821;0400;10,4575;
090821;0500;10,5175;
090821;0600;10,66;
090821;0700;10,59;
090821;0800;11,04;
090821;0900;11,3775;
090821;1000;11,8825;
090821;1100;12,175;
090821;1200;13,0875;
090821;1300;12,7025;
090821;1400;12,095;
090821;1500;13,385;
090821;1600;13,9725;
090821;1700;13,3425;
090821;1800;12,745;
090821;1900;12,48;
090821;2000;12,3225;
090821;2100;11,69;
090821;2200;11,1075;
090821;2300;10,725;
090822;0000;9,69498;
090822;0100;8,33748;
090822;0200;7,61599;
090822;0300;7,19524;
090822;0400;6,74949;
090822;0500;6,69524;
090822;0600;7,17525;
090822;0700;7,50298;
090822;0800;7,73849;
090822;0900;9,43999;
090822;1000;11,67;
090822;1100;13,71;
090822;1200;15,065;
090822;1300;15,375;
090822;1400;15,1275;
090822;1500;14,635;
090822;1600;13,7775;
090822;1700;13,06;
090822;1800;11,9575;
090822;1900;11,5425;
090822;2000;11,4525;
090822;2100;11,3175;
090822;2200;11,2825;
090822;2300;11,325;
090823;0000;11,2075;
090823;0100;11,205;
090823;0200;11,135;
090823;0300;11,03;
090823;0400;11,005;
090823;0500;10,845;
090823;0600;10,8175;
090823;0700;10,9175;
090823;0800;11,4825;
090823;0900;12,9925;
090823;1000;12,5875;
090823;1100;12,85;
090823;1200;12,575;
090823;1300;12,34;
090823;1400;11,9225;
090823;1500;11,69;
090823;1600;11,62;
090823;1700;11,4125;
090823;1800;11,375;
090823;1900;11,5275;
090823;2000;11,6225;
090823;2100;11,6375;
090823;2200;11,6225;
090823;2300;11,4275;
090824;0000;11,3525;
090824;0100;11,275;
090824;0200;11,3275;
090824;0300;11,5025;
090824;0400;11,545;
090824;0500;11,74;
090824;0600;11,99;
090824;0700;12,3025;
090824;0800;12,53;
090824;0900;12,6975;
090824;1000;13,0925;
090824;1100;13,3925;
090824;1200;13,31;
090824;1300;13,6675;
090824;1400;14,1575;
090824;1500;14,4575;
090824;1600;14,0175;
090824;1700;13,5525;
090824;1800;13,285;
090824;1900;12,775;
090824;2000;12,6625;
090824;2100;12,58;
090824;2200;12,2175;
090824;2300;12,2625;
090825;0000;12,2375;
090825;0100;12,2175;
090825;0200;12,2375;
090825;0300;12,035;
090825;0400;11,7625;
090825;0500;11,51;
090825;0600;11,4625;
090825;0700;11,5575;
090825;0800;12,0375;
090825;0900;13,0275;
090825;1000;13,9275;
090825;1100;15,3475;
090825;1200;16,925;
090825;1300;16,6775;
090825;1400;15,9575;
090825;1500;16,2025;
090825;1600;15,46;
090825;1700;14,7;
090825;1800;13,8825;
090825;1900;13,2825;
090825;2000;13,305;
090825;2100;13,43;
090825;2200;13,765;
090825;2300;13,6;
090826;0000;13,3;
090826;0100;13,1875;
090826;0200;13,205;
090826;0300;13,3325;
090826;0400;13,3625;
090826;0500;13,24;
090826;0600;13,3375;
090826;0700;13,4025;
090826;0800;13,8925;
090826;0900;14,36;
090826;1000;15,7075;
090826;1100;17,22;
090826;1200;18,5325;
090826;1300;18,48;
090826;1400;17,51;
090826;1500;17,6325;
090826;1600;14,5925;
090826;1700;13,725;
090826;1800;13,2;
090826;1900;12,3075;
090826;2000;12,355;
090826;2100;12,4125;
090826;2200;12,35;
090826;2300;12,2025;
090827;0000;12,43;
090827;0100;12,5325;
090827;0200;12,36;
090827;0300;12,0325;
090827;0400;11,8525;
090827;0500;11,55;
090827;0600;11,5775;
090827;0700;11,2475;
090827;0800;11,66;
090827;0900;12,155;
090827;1000;12,845;
090827;1100;15,11;
090827;1200;16,6525;
090827;1300;17,0875;
090827;1400;16,1975;
090827;1500;15,545;
090827;1600;14,8675;
090827;1700;14,2475;
090827;1800;14,48;
090827;1900;14,36;
090827;2000;13,5425;
090827;2100;12,385;
090827;2200;11,99;
090827;2300;11,76;
090828;0000;11,6875;
090828;0100;11,5875;
090828;0200;11,445;
090828;0300;11,0375;
090828;0400;11,105;
090828;0500;10,8275;
090828;0600;10,695;
090828;0700;10,97;
090828;0800;11,5375;
090828;0900;11,5475;
090828;1000;11,8275;
090828;1100;12,8325;
090828;1200;13,3475;
090828;1300;13,995;
090828;1400;14,335;
090828;1500;14,1325;
090828;1600;13,5875;
090828;1700;13,1125;
090828;1800;12,8725;
090828;1900;12,88;
090828;2000;12,4725;
090828;2100;12,5025;
090828;2200;12,6625;
090828;2300;12,71;
090829;0000;12,655;
090829;0100;12,6725;
090829;0200;12,7625;
090829;0300;12,7625;
090829;0400;12,3975;
090829;0500;12,3125;
090829;0600;12,1775;
090829;0700;12,0775;
090829;0800;12,0875;
090829;0900;12,19;
090829;1000;12,3225;
090829;1100;12,9775;
090829;1200;13,1875;
090829;1300;13,0575;
090829;1400;13,325;
090829;1500;13,4575;
090829;1600;13,365;
090829;1700;13,0175;
090829;1800;11,87;
090829;1900;12,025;
090829;2000;12,205;
090829;2100;12,16;
090829;2200;11,875;
090829;2300;11,575;
090830;0000;10,905;
090830;0100;10,54;
090830;0200;9,96747;
090830;0300;9,71747;
090830;0400;9,50249;
090830;0500;9,15749;
090830;0600;8,70749;
090830;0700;8,66248;
090830;0800;8,87;
090830;0900;9,63498;
090830;1000;10,6725;
090830;1100;12,25;
090830;1200;13,5575;
090830;1300;14,0975;
090830;1400;14,02;
090830;1500;13,645;
090830;1600;13,2675;
090830;1700;12,7275;
090830;1800;12,14;
090830;1900;11,845;
090830;2000;11,4325;
090830;2100;10,8175;
090830;2200;10,235;
090830;2300;9,74997;
090831;0000;9,23499;
090831;0100;8,81998;
090831;0200;8,84331;
090831;0300;8,68497;
090831;0400;8,60248;
090831;0500;8,37497;
090831;0600;8,44748;
090831;0700;8,02997;
090831;0800;8,62749;
090831;0900;10,3525;
090831;1000;10,685;
090831;1100;11,835;
090831;1200;12,255;
090831;1300;12,84;
090831;1400;12,7825;
090831;1500;12,8075;
090831;1600;12,55;
090831;1700;11,7125;
090831;1800;11,035;
090831;1900;10,55;
090831;2000;10,2575;
090831;2100;9,93248;
090831;2200;9,12;
090831;2300;9,11748;
090901;0000;8,66997;
090901;0100;8,29999;
090901;0200;8,30997;
090901;0300;7,58149;
090901;0400;6,81573;
090901;0500;6,3165;
090901;0600;6,25825;
090901;0700;5,91949;
090901;0800;7,25449;
090901;0900;9,63498;
090901;1000;10,8725;
090901;1100;11,5625;
090901;1200;12,37;
090901;1300;12,73;
090901;1400;12,47;
090901;1500;12,3875;
090901;1600;11,72;
090901;1700;10,8125;
090901;1800;9,95247;
090901;1900;9,33249;
090901;2000;8,68999;
090901;2100;7,90199;
090901;2200;6,88573;
090901;2300;6,02573;
090902;0000;5,48248;
090902;0100;5,57098;
090902;0200;4,63148;
090902;0300;3,821;
090902;0400;3,321;
090902;0500;3,1075;
090902;0600;4,30524;
090902;0700;3,96325;
090902;0800;5,69099;
090902;0900;8,25174;
090902;1000;10,2425;
090902;1100;11,95;
090902;1200;12,975;
090902;1300;13,495;
090902;1400;11,6;
090902;1500;12,0525;
090902;1600;12,005;
090902;1700;11,05;
090902;1800;10,215;
090902;1900;9,53499;
090902;2000;8,78249;
090902;2100;7,97699;
090902;2200;6,48199;
090902;2300;5,75848;
090903;0000;6,0005;
090903;0100;6,229;
090903;0200;5,98273;
090903;0300;5,76849;
090903;0400;5,29475;
090903;0500;5,26574;
090903;0600;5,03349;
090903;0700;5,15224;
090903;0800;6,77724;
090903;0900;8,76999;
090903;1000;10,5075;
090903;1100;11,6075;
090903;1200;12,3875;
090903;1300;13,0625;
090903;1400;12,645;
090903;1500;12,0325;
090903;1600;11,9825;
090903;1700;11,48;
090903;1800;9,89748;
090903;1900;8,85747;
090903;2000;8,46248;
090903;2100;7,78123;
090903;2200;6,85873;
090903;2300;6,04298;
090904;0000;5,43723;
090904;0100;5,12349;
090904;0200;4,86499;
090904;0300;4,79049;
090904;0400;4,68499;
090904;0500;4,39223;
090904;0600;4,1675;
090904;0700;4,35223;
090904;0800;5,18375;
090904;0900;6,84499;
090904;1000;9,63997;
090904;1100;10,74;
090904;1200;10,8525;
090904;1300;10,27;
090904;1400;9,68497;
090904;1500;9,61998;
090904;1600;9,30249;
090904;1700;8,74248;
090904;1800;8,47998;
090904;1900;8,44997;
090904;2000;8,62497;
090904;2100;8,63747;
090904;2200;9,25998;
090904;2300;9,14249;
090905;0000;9,46747;
090905;0100;9,87749;
090905;0200;10,5275;
090905;0300;11,605;
090905;0400;12,6975;
090905;0500;12,8975;
090905;0600;12,67;
090905;0700;12,4075;
090905;0800;12,5175;
090905;0900;12,6925;
090905;1000;12,8025;
090905;1100;13,12;
090905;1200;13,41;
090905;1300;13,755;
090905;1400;13,6225;
090905;1500;13,9225;
090905;1600;13,7525;
090905;1700;13,385;
090905;1800;13,5525;
090905;1900;13,67;
090905;2000;13,785;
090905;2100;13,725;
090905;2200;13,62;
090905;2300;13,68;
090906;0000;13,585;
090906;0100;13,5325;
090906;0200;12,88;
090906;0300;12,2425;
090906;0400;12,57;
090906;0500;12,37;
090906;0600;12,05;
090906;0700;12,42;
090906;0800;12,615;
090906;0900;10,9175;
090906;1000;12,6525;
090906;1100;12,535;
090906;1200;11,9875;
090906;1300;12,2425;
090906;1400;12,2775;
090906;1500;11,6275;
090906;1600;11,5425;
090906;1700;11,28;
090906;1800;10,3425;
090906;1900;9,56247;
090906;2000;8,98499;
090906;2100;8,49248;
090906;2200;7,42049;
090906;2300;7,4005;
090907;0000;7,28299;
090907;0100;6,97523;
090907;0200;6,11649;
090907;0300;5,08125;
090907;0400;4,34924;
090907;0500;3,84624;
090907;0600;3,36275;
090907;0700;3,83324;
090907;0800;5,35825;
090907;0900;7,69349;
090907;1000;9,87999;
090907;1100;10,7125;
090907;1200;11,3125;
090907;1300;11,605;
090907;1400;11,7175;
090907;1500;11,8875;
090907;1600;11,7025;
090907;1700;11,4;
090907;1800;10,565;
090907;1900;9,90247;
090907;2000;8,80748;
090907;2100;8,03148;
090907;2200;6,93848;
090907;2300;6,203;
090908;0000;5,32124;
090908;0100;4,76324;
090908;0200;4,61774;
090908;0300;3,80275;
090908;0400;3,3755;
090908;0500;2,8585;
090908;0600;2,52575;
090908;0700;2,89125;
090908;0800;5,67075;
090908;0900;8,72173;
090908;1000;10,445;
090908;1100;11,0825;
090908;1200;12,005;
090908;1300;12,4375;
090908;1400;13,225;
090908;1500;13,105;
090908;1600;12,9625;
090908;1700;12,2125;
090908;1800;10,88;
090908;1900;9,98749;
090908;2000;9,25499;
090908;2100;8,78998;
090908;2200;8,61499;
090908;2300;7,76299;
090909;0000;7,16325;
090909;0100;6,1395;
090909;0200;5,71323;
090909;0300;5,34425;
090909;0400;4,10199;
090909;0500;3,929;
090909;0600;3,5265;
090909;0700;4,29799;
090909;0800;6,22224;
090909;0900;9,18248;
090909;1000;11,41;
090909;1100;12,255;
090909;1200;12,5775;
090909;1300;12,9225;
090909;1400;13,13;
090909;1500;13,1125;
090909;1600;12,64;
090909;1700;;
090909;1800;;
090909;1900;;
090909;2000;;
090909;2100;;
090909;2200;;
090909;2300;;
090910;0000;;
090910;0100;;
090910;0200;;
090910;0300;;
090910;0400;;
090910;0500;;
090910;0600;;
090910;0700;;
