FECHA (YYMMDD);HORA (HHMM);;
090811;0100;;
090811;0200;;
090811;0300;;
090811;0400;;
090811;0500;;
090811;0600;;
090811;0700;;
090811;0800;;
090811;0900;;
090811;1000;;
090811;1100;;
090811;1200;;
090811;1300;0,565059;
090811;1400;0,727402;
090811;1500;0,490465;
090811;1600;0,600897;
090811;1700;0,641273;
090811;1800;0,337412;
090811;1900;0,35232;
090811;2000;0,304657;
090811;2100;0,496547;
090811;2200;0,211975;
090811;2300;1,06162;
090812;0000;1,03893;
090812;0100;1,37427;
090812;0200;0,626925;
090812;0300;1,02898;
090812;0400;0,174865;
090812;0500;0,435428;
090812;0600;0,298331;
090812;0700;0,248094;
090812;0800;0,201427;
090812;0900;0,427303;
090812;1000;1,03846;
090812;1100;1,07286;
090812;1200;1,82441;
090812;1300;2,92323;
090812;1400;3,4056;
090812;1500;1,94632;
090812;1600;2,0387;
090812;1700;1,91046;
090812;1800;0,740927;
090812;1900;0,40548;
090812;2000;1,05977;
090812;2100;0,811049;
090812;2200;1,42491;
090812;2300;0,949247;
090813;0000;0,675442;
090813;0100;0,670815;
090813;0200;1,47686;
090813;0300;1,76104;
090813;0400;1,37905;
090813;0500;2,20815;
090813;0600;2,2228;
090813;0700;2,3424;
090813;0800;1,41099;
090813;0900;1,78017;
090813;1000;1,39528;
090813;1100;1,08863;
090813;1200;1,91913;
090813;1300;1,58422;
090813;1400;1,7693;
090813;1500;1,29971;
090813;1600;0,814902;
090813;1700;0,403816;
090813;1800;0,671432;
090813;1900;0,572067;
090813;2000;1,17736;
090813;2100;1,49378;
090813;2200;1,29601;
090813;2300;2,58227;
090814;0000;5,08688;
090814;0100;1,61062;
090814;0200;2,43161;
090814;0300;1,71385;
090814;0400;2,68287;
090814;0500;2,28539;
090814;0600;1,56569;
090814;0700;2,5775;
090814;0800;0,535656;
090814;0900;1,41645;
090814;1000;1,04924;
090814;1100;0,986829;
090814;1200;2,23033;
090814;1300;1,1036;
090814;1400;0,934603;
090814;1500;1,43286;
090814;1600;1,30863;
090814;1700;1,12261;
090814;1800;1,41123;
090814;1900;2,09295;
090814;2000;2,05015;
090814;2100;1,21646;
090814;2200;1,1672;
090814;2300;1,64176;
090815;0000;0,694592;
090815;0100;0,590449;
090815;0200;0,441457;
090815;0300;0,28433;
090815;0400;0,663407;
090815;0500;1,24086;
090815;0600;1,1403;
090815;0700;0,68094;
090815;0800;0,552743;
090815;0900;0,694534;
090815;1000;0,746998;
090815;1100;0,668128;
090815;1200;0,520003;
090815;1300;0,379161;
090815;1400;0,573144;
090815;1500;0,918776;
090815;1600;0,914938;
090815;1700;0,283832;
090815;1800;0,557368;
090815;1900;0,636831;
090815;2000;0,671203;
090815;2100;0,62073;
090815;2200;0,630695;
090815;2300;0,327779;
090816;0000;0,375539;
090816;0100;0,634227;
090816;0200;1,41703;
090816;0300;1,0851;
090816;0400;0,670153;
090816;0500;0,620814;
090816;0600;0,675196;
090816;0700;0,664907;
090816;0800;0,433924;
090816;0900;1,53753;
090816;1000;0,738328;
090816;1100;0,586452;
090816;1200;0,105106;
090816;1300;0,488689;
090816;1400;0,619967;
090816;1500;0,955209;
090816;1600;0,642386;
090816;1700;0,645278;
090816;1800;0,661118;
090816;1900;0,557738;
090816;2000;0,620877;
090816;2100;0,50209;
090816;2200;0,978724;
090816;2300;0,690512;
090817;0000;0,578917;
090817;0100;0,764666;
090817;0200;1,34321;
090817;0300;1,85264;
090817;0400;2,26342;
090817;0500;1,87811;
090817;0600;1,80995;
090817;0700;1,83599;
090817;0800;1,8121;
090817;0900;1,08437;
090817;1000;0,7315;
090817;1100;0,710959;
090817;1200;0,694072;
090817;1300;0,129238;
090817;1400;0,685229;
090817;1500;0,3356;
090817;1600;0,420967;
090817;1700;0,282214;
090817;1800;0,661283;
090817;1900;0,644602;
090817;2000;1,3781;
090817;2100;0,815845;
090817;2200;0,579458;
090817;2300;0,795462;
090818;0000;1,97421;
090818;0100;1,16326;
090818;0200;0,663382;
090818;0300;2,4719;
090818;0400;1,25232;
090818;0500;2,35503;
090818;0600;3,60629;
090818;0700;3,12815;
090818;0800;3,22308;
090818;0900;2,50709;
090818;1000;2,83131;
090818;1100;2,57768;
090818;1200;2,87017;
090818;1300;2,36664;
090818;1400;1,8379;
090818;1500;1,51958;
090818;1600;2,95284;
090818;1700;2,65854;
090818;1800;2,72104;
090818;1900;1,61744;
090818;2000;1,04232;
090818;2100;2,47646;
090818;2200;3,20629;
090818;2300;2,20201;
090819;0000;2,31569;
090819;0100;1,90251;
090819;0200;2,4408;
090819;0300;2,18958;
090819;0400;1,46163;
090819;0500;0,688105;
090819;0600;0,753708;
090819;0700;0,2422;
090819;0800;0,29914;
090819;0900;0,514081;
090819;1000;0,525806;
090819;1100;0,403604;
090819;1200;0,129832;
090819;1300;0,14702;
090819;1400;0,35498;
090819;1500;0,522383;
090819;1600;0,479057;
090819;1700;0,420311;
090819;1800;0,621508;
090819;1900;0,40821;
090819;2000;0,629405;
090819;2100;0,689888;
090819;2200;0,67112;
090819;2300;0,362484;
090820;0000;0,584102;
090820;0100;0,601836;
090820;0200;0,474758;
090820;0300;0,703743;
090820;0400;0,420902;
090820;0500;0,633062;
090820;0600;0,50316;
090820;0700;0,339143;
090820;0800;0,340802;
090820;0900;0,383922;
090820;1000;;
090820;1100;0,691946;
090820;1200;0,487107;
090820;1300;0,638734;
090820;1400;0,554749;
090820;1500;0,722099;
090820;1600;0,66004;
090820;1700;0,557148;
090820;1800;0,563066;
090820;1900;0,662024;
090820;2000;0,515504;
090820;2100;0,350908;
090820;2200;0,59236;
090820;2300;0,620279;
090821;0000;0,601952;
090821;0100;0,542517;
090821;0200;0,617058;
090821;0300;0,648317;
090821;0400;0,436775;
090821;0500;0,468548;
090821;0600;0,143584;
090821;0700;0,299053;
090821;0800;0,584635;
090821;0900;0,513556;
090821;1000;0,313682;
090821;1100;0,916091;
090821;1200;0,590672;
090821;1300;0,467482;
090821;1400;0,754169;
090821;1500;0,663964;
090821;1600;0,813947;
090821;1700;0,530226;
090821;1800;0,321766;
090821;1900;0,801377;
090821;2000;1,62947;
090821;2100;0,972932;
090821;2200;1,97297;
090821;2300;0,613235;
090822;0000;0,717721;
090822;0100;1,35856;
090822;0200;1,63788;
090822;0300;1,57528;
090822;0400;1,42334;
090822;0500;0,907371;
090822;0600;1,72464;
090822;0700;1,01947;
090822;0800;0,605432;
090822;0900;0,638237;
090822;1000;0,45409;
090822;1100;0,597332;
090822;1200;0,418771;
090822;1300;0,647712;
090822;1400;0,693396;
090822;1500;0,319274;
090822;1600;0,46014;
090822;1700;0,145477;
090822;1800;0,460537;
090822;1900;0,375924;
090822;2000;0,0715591;
090822;2100;0,357123;
090822;2200;0,486956;
090822;2300;0,62229;
090823;0000;0,1206;
090823;0100;0,420144;
090823;0200;0,604625;
090823;0300;0,347596;
090823;0400;0,388375;
090823;0500;0,450854;
090823;0600;0,505939;
090823;0700;0,443305;
090823;0800;0,699634;
090823;0900;0,902392;
090823;1000;0,847198;
090823;1100;0,639049;
090823;1200;1,04265;
090823;1300;0,334364;
090823;1400;0,98505;
090823;1500;1,37571;
090823;1600;0,186019;
090823;1700;1,71233;
090823;1800;2,31701;
090823;1900;0,706268;
090823;2000;1,60238;
090823;2100;1,51277;
090823;2200;1,38825;
090823;2300;0,739089;
090824;0000;0,860703;
090824;0100;1,32777;
090824;0200;0,544643;
090824;0300;0,117851;
090824;0400;0,316701;
090824;0500;0,763163;
090824;0600;0,489893;
090824;0700;0,794024;
090824;0800;0,572371;
090824;0900;0,343673;
090824;1000;0,937855;
090824;1100;0,792912;
090824;1200;0,330043;
090824;1300;0,741453;
090824;1400;0,654512;
090824;1500;0,601587;
090824;1600;0,759844;
090824;1700;0,652529;
090824;1800;0,368326;
090824;1900;0,484817;
090824;2000;0,610923;
090824;2100;0,554996;
090824;2200;0,453486;
090824;2300;0,543839;
090825;0000;0,650594;
090825;0100;0,582067;
090825;0200;0,73587;
090825;0300;0,324302;
090825;0400;0,31879;
090825;0500;0,746134;
090825;0600;0,463107;
090825;0700;0,319175;
090825;0800;0,288777;
090825;0900;0,514736;
090825;1000;0,548697;
090825;1100;0,30653;
090825;1200;0,333337;
090825;1300;0,291998;
090825;1400;0,321894;
090825;1500;0,388264;
090825;1600;0,332798;
090825;1700;0,419675;
090825;1800;0,621115;
090825;1900;0,581762;
090825;2000;0,344729;
090825;2100;0,573705;
090825;2200;0,805112;
090825;2300;0,30014;
090826;0000;0,647408;
090826;0100;0,575548;
090826;0200;0,456601;
090826;0300;0,675678;
090826;0400;0,480357;
090826;0500;0,664992;
090826;0600;0,610643;
090826;0700;0,596006;
090826;0800;0,287459;
090826;0900;0,337128;
090826;1000;0,316412;
090826;1100;0,249253;
090826;1200;0,509054;
090826;1300;2,55904;
090826;1400;2,75772;
090826;1500;2,05543;
090826;1600;2,78986;
090826;1700;2,26797;
090826;1800;2,56724;
090826;1900;1,3863;
090826;2000;0,686956;
090826;2100;0,662045;
090826;2200;0,689112;
090826;2300;1,04918;
090827;0000;0,676779;
090827;0100;0,567126;
090827;0200;0,571419;
090827;0300;0,685227;
090827;0400;0,701137;
090827;0500;0,788797;
090827;0600;0,629679;
090827;0700;0,752059;
090827;0800;0,886168;
090827;0900;1,90701;
090827;1000;0,973041;
090827;1100;1,12307;
090827;1200;2,4575;
090827;1300;3,22183;
090827;1400;3,30616;
090827;1500;1,46975;
090827;1600;2,30536;
090827;1700;1,28889;
090827;1800;1,51241;
090827;1900;0,650542;
090827;2000;1,29131;
090827;2100;1,30964;
090827;2200;0,647639;
090827;2300;0,209732;
090828;0000;0,106253;
090828;0100;0,460735;
090828;0200;0,316912;
090828;0300;0,662498;
090828;0400;0,669106;
090828;0500;0,67198;
090828;0600;0,623384;
090828;0700;0,32277;
090828;0800;0,463631;
090828;0900;0,40496;
090828;1000;0,514022;
090828;1100;0,800459;
090828;1200;0,56782;
090828;1300;0,600416;
090828;1400;0,597404;
090828;1500;0,611195;
090828;1600;0,536119;
090828;1700;0,381013;
090828;1800;0,514044;
090828;1900;0,0388886;
090828;2000;0,43158;
090828;2100;0,441554;
090828;2200;0,340283;
090828;2300;0,647187;
090829;0000;0,598039;
090829;0100;0,710558;
090829;0200;0,396218;
090829;0300;0,52061;
090829;0400;1,15937;
090829;0500;0,547269;
090829;0600;0,167022;
090829;0700;0,916585;
090829;0800;0,452116;
090829;0900;0,371734;
090829;1000;0,417758;
090829;1100;0,552111;
090829;1200;0,381993;
090829;1300;0,607301;
090829;1400;0,65643;
090829;1500;0,566542;
090829;1600;0,552326;
090829;1700;0,085984;
090829;1800;0,618495;
090829;1900;0,619327;
090829;2000;0,481146;
090829;2100;0,740287;
090829;2200;0,679852;
090829;2300;0,612554;
090830;0000;0,517118;
090830;0100;0,635283;
090830;0200;0,589931;
090830;0300;0,683993;
090830;0400;0,665947;
090830;0500;0,631466;
090830;0600;0,680234;
090830;0700;0,210447;
090830;0800;;
090830;0900;0,605079;
090830;1000;0,890469;
090830;1100;1,27397;
090830;1200;3,15086;
090830;1300;3,40396;
090830;1400;3,50484;
090830;1500;3,71421;
090830;1600;4,51176;
090830;1700;4,66219;
090830;1800;3,91046;
090830;1900;3,85647;
090830;2000;3,16953;
090830;2100;3,7779;
090830;2200;3,86813;
090830;2300;1,91185;
090831;0000;0,510637;
090831;0100;0,597499;
090831;0200;0,617846;
090831;0300;0,724332;
090831;0400;0,994925;
090831;0500;0,757443;
090831;0600;0,97648;
090831;0700;0,593264;
090831;0800;0,647305;
090831;0900;0,191641;
090831;1000;1,52316;
090831;1100;0,854031;
090831;1200;2,19496;
090831;1300;2,94107;
090831;1400;3,88438;
090831;1500;3,46227;
090831;1600;4,21494;
090831;1700;5,14291;
090831;1800;3,80545;
090831;1900;3,87277;
090831;2000;3,23942;
090831;2100;1,14155;
090831;2200;0,669338;
090831;2300;1,23172;
090901;0000;0,758699;
090901;0100;0,508832;
090901;0200;0,796798;
090901;0300;0,745885;
090901;0400;0,993825;
090901;0500;0,650146;
090901;0600;0,656945;
090901;0700;0,644094;
090901;0800;0,459239;
090901;0900;0,609749;
090901;1000;1,76409;
090901;1100;2,19482;
090901;1200;1,98393;
090901;1300;2,23029;
090901;1400;4,00945;
090901;1500;5,03766;
090901;1600;5,91541;
090901;1700;6,36854;
090901;1800;5,3313;
090901;1900;4,15585;
090901;2000;4,08778;
090901;2100;2,76368;
090901;2200;0,721106;
090901;2300;0,662948;
090902;0000;0,766873;
090902;0100;0,648748;
090902;0200;0,658445;
090902;0300;0,612947;
090902;0400;1,22386;
090902;0500;1,25489;
090902;0600;1,56517;
090902;0700;1,26379;
090902;0800;0,480649;
090902;0900;0,840731;
090902;1000;0,340621;
090902;1100;0,165309;
090902;1200;0,6534;
090902;1300;0,480512;
090902;1400;2,09583;
090902;1500;2,28315;
090902;1600;2,16321;
090902;1700;3,67332;
090902;1800;4,36069;
090902;1900;4,00052;
090902;2000;1,79588;
090902;2100;0,415742;
090902;2200;0,503967;
090902;2300;0,602527;
090903;0000;1,38088;
090903;0100;2,51672;
090903;0200;2,91095;
090903;0300;1,81799;
090903;0400;1,22816;
090903;0500;2,15201;
090903;0600;2,59295;
090903;0700;2,21785;
090903;0800;1,59083;
090903;0900;1,0018;
090903;1000;1,3941;
090903;1100;2,30616;
090903;1200;2,6652;
090903;1300;3,16987;
090903;1400;3,69441;
090903;1500;3,77316;
090903;1600;2,82907;
090903;1700;1,83552;
090903;1800;0,908237;
090903;1900;0,689645;
090903;2000;0,640409;
090903;2100;0,675509;
090903;2200;1,24135;
090903;2300;0,751569;
090904;0000;0,686401;
090904;0100;1,32821;
090904;0200;0,674131;
090904;0300;1,06467;
090904;0400;1,04212;
090904;0500;1,54682;
090904;0600;1,76648;
090904;0700;1,23382;
090904;0800;1,23785;
090904;0900;0,753693;
090904;1000;0,734488;
090904;1100;0,514633;
090904;1200;0,407332;
090904;1300;0,57598;
090904;1400;0,244486;
090904;1500;1,08956;
090904;1600;0,462264;
090904;1700;1,29552;
090904;1800;0,813715;
090904;1900;1,44248;
090904;2000;1,19474;
090904;2100;1,07222;
090904;2200;0,616773;
090904;2300;1,27314;
090905;0000;1,08582;
090905;0100;0,630795;
090905;0200;0,323433;
090905;0300;0,506764;
090905;0400;0,647509;
090905;0500;0,681895;
090905;0600;0,450975;
090905;0700;0,540887;
090905;0800;0,413737;
090905;0900;0,487517;
090905;1000;0,400872;
090905;1100;0,627001;
090905;1200;0,659472;
090905;1300;0,295274;
090905;1400;0,210681;
090905;1500;0,423719;
090905;1600;0,181641;
090905;1700;0,472864;
090905;1800;0,676067;
090905;1900;0,507336;
090905;2000;0,760637;
090905;2100;0,797549;
090905;2200;0,264312;
090905;2300;1,21395;
090906;0000;0,189726;
090906;0100;0,908461;
090906;0200;0,212034;
090906;0300;0,913047;
090906;0400;0,853655;
090906;0500;0,420191;
090906;0600;1,2182;
090906;0700;0,604084;
090906;0800;1,74539;
090906;0900;1,50598;
090906;1000;2,12854;
090906;1100;4,14426;
090906;1200;5,71621;
090906;1300;6,11491;
090906;1400;5,21928;
090906;1500;5,92521;
090906;1600;5,72491;
090906;1700;5,70464;
090906;1800;4,64256;
090906;1900;2,14321;
090906;2000;1,78605;
090906;2100;1,02383;
090906;2200;0,332983;
090906;2300;1,79184;
090907;0000;1,8007;
090907;0100;1,18247;
090907;0200;0,438551;
090907;0300;0,680258;
090907;0400;0,687696;
090907;0500;1,20879;
090907;0600;0,711168;
090907;0700;0,859857;
090907;0800;0,684301;
090907;0900;0,778808;
090907;1000;1,10754;
090907;1100;3,13256;
090907;1200;3,70376;
090907;1300;5,16621;
090907;1400;5,36092;
090907;1500;5,64275;
090907;1600;5,31516;
090907;1700;5,84079;
090907;1800;4,99348;
090907;1900;2,99758;
090907;2000;0,674831;
090907;2100;0,939933;
090907;2200;0,536843;
090907;2300;0,646555;
090908;0000;0,448442;
090908;0100;0,527452;
090908;0200;0,723844;
090908;0300;0,711617;
090908;0400;0,541399;
090908;0500;1,12661;
090908;0600;1,02559;
090908;0700;1,07914;
090908;0800;1,03654;
090908;0900;2,03072;
090908;1000;3,54234;
090908;1100;4,29777;
090908;1200;4,5765;
090908;1300;5,7674;
090908;1400;5,57988;
090908;1500;7,87672;
090908;1600;7,80006;
090908;1700;7,14268;
090908;1800;4,30811;
090908;1900;3,12656;
090908;2000;2,70583;
090908;2100;4,97186;
090908;2200;3,92011;
090908;2300;0,797299;
090909;0000;0,828722;
090909;0100;0,587228;
090909;0200;1,04226;
090909;0300;0,541115;
090909;0400;0,735721;
090909;0500;0,874436;
090909;0600;1,10653;
