FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
201225;0000;;;0,56;
201226;0000;;;0,54;
201227;0000;;;0,54;
201228;0000;;;0,68;
201229;0000;;;0,74;
201230;0000;;;0,75;
201231;0000;;;0,82;
210101;0000;;;0,8;
210102;0000;;;0,71;
210103;0000;;;0,76;
210104;0000;;;0,8;
210105;0000;;;0,8;
210106;0000;;;0,76;
210107;0000;;;0,79;
210108;0000;;;0,87;
210109;0000;;;0,77;
210110;0000;;;0,8;
210111;0000;;;0,76;
210112;0000;;;0,83;
210113;0000;;;0,81;
210114;0000;;;0,35;
210115;0000;;;0,23;
210116;0000;;;0,42;
210117;0000;;;0,5;
210118;0000;;;0,48;
210119;0000;;;0,41;
210120;0000;;;0,15;
210121;0000;;;;
210122;0000;;;;
210123;0000;;;0,26;
210124;0000;;;0,12;
210125;0000;;;0,27;
210126;0000;;;0,28;
210127;0000;;;0,61;
210128;0000;;;0,47;
210129;0000;;;0,4;
210130;0000;;;0,38;
210131;0000;;;0,35;
210201;0000;;;0,43;
210202;0000;;;0,44;
210203;0000;;;0,44;
210204;0000;;;;
210205;0000;;;0,32;
210206;0000;;;0,19;
210207;0000;;;0,19;
210208;0000;;;0,2;
210209;0000;;;0,17;
210210;0000;;;0,35;
210211;0000;;;0,42;
210212;0000;;;0,37;
210213;0000;;;0,35;
210214;0000;;;0,41;
210215;0000;;;0,41;
210216;0000;;;0,43;
210217;0000;;;0,45;
210218;0000;;;0,73;
210219;0000;;;;
210220;0000;;;;
210221;0000;;;;
210222;0000;;;;
210223;0000;;;;
210224;0000;;;0,15;
210225;0000;;;0,17;
210226;0000;;;0,3;
210227;0000;;;0,39;
210228;0000;;;0,49;
210301;0000;;;0,5;
210302;0000;;;0,56;
210303;0000;;;0,6;
210304;0000;;;0,65;
210305;0000;;;0,73;
210306;0000;;;0,74;
210307;0000;;;0,72;
210308;0000;;;1,04;
210309;0000;;;0,8;
210310;0000;;;0,92;
210311;0000;;;0,77;
210312;0000;;;0,88;
210313;0000;;;0,87;
210314;0000;;;0,83;
210315;0000;;;1,19;
210316;0000;;;0,99;
210317;0000;;;0,94;
210318;0000;;;0,91;
210319;0000;;;0,93;
210320;0000;;;0,89;
210321;0000;;;0,99;
210322;0000;;;1,23;
210323;0000;;;0,89;
210324;0000;;;0,9;
210325;0000;;;0,92;
210326;0000;;;0,98;
210327;0000;;;0,96;
210328;0000;;;0,99;
210329;0000;;;1,45;
210330;0000;;;1,12;
210331;0000;;;1,1;
210401;0000;;;1,04;
210402;0000;;;1,04;
210403;0000;;;1,2;
210404;0000;;;1,24;
210405;0000;;;1,31;
210406;0000;;;1,09;
210407;0000;;;1,1;
210408;0000;;;1,26;
210409;0000;;;1,25;
210410;0000;;;1,3;
210411;0000;;;1,27;
210412;0000;;;1,42;
210413;0000;;;1,53;
210414;0000;;;1,1;
210415;0000;;;1,12;
210416;0000;;;1,32;
210417;0000;;;1,32;
210418;0000;;;1,23;
210419;0000;;;1,35;
210420;0000;;;1,23;
210421;0000;;;1,1;
210422;0000;;;1,29;
210423;0000;;;1,25;
210424;0000;;;1,35;
210425;0000;;;1,2;
210426;0000;;;1,56;
210427;0000;;;1,49;
210428;0000;;;0,74;
210429;0000;;;0,7;
210430;0000;;;0,49;
210501;0000;;;0,48;
210502;0000;;;0,87;
210503;0000;;;1,35;
210504;0000;;;1,13;
210505;0000;;;1,17;
210506;0000;;;1,46;
210507;0000;;;1,18;
210508;0000;;;0,87;
210509;0000;;;0,85;
210510;0000;;;1,59;
210511;0000;;;1,45;
210512;0000;;;1,35;
210513;0000;;;1,13;
210514;0000;;;0,87;
210515;0000;;;1,05;
210516;0000;;;1,34;
210517;0000;;;2,15;
210518;0000;;;0,75;
210519;0000;;;0,95;
210520;0000;;;1,06;
210521;0000;;;1,06;
210522;0000;;;1,2;
210523;0000;;;1,43;
210524;0000;;;1,55;
210525;0000;;;1,07;
210526;0000;;;1,04;
210527;0000;;;1,27;
210528;0000;;;1,24;
210529;0000;;;1,23;
210530;0000;;;1,08;
210531;0000;;;;
210601;0000;;;0,89;
210602;0000;;;1,27;
210603;0000;;;1,38;
210604;0000;;;1,23;
210605;0000;;;1,56;
210606;0000;;;1,66;
210607;0000;;;;
210608;0000;;;;
210609;0000;;;;
210610;0000;;;;
210611;0000;;;;
210612;0000;;;;
210613;0000;;;;
210614;0000;;;;
210615;0000;;;;
210616;0000;;;;
210617;0000;;;;
210618;0000;;;;
210619;0000;;;;
210620;0000;;;;
210621;0000;;;;
210622;0000;;;;
210623;0000;;;;
210624;0000;;;;
210625;0000;;;;
210626;0000;;;;
210627;0000;;;;
210628;0000;;;;
210629;0000;;;;
210630;0000;;;;
210701;0000;;;;
210702;0000;;;;
210703;0000;;;;
210704;0000;;;;
210705;0000;;;4,31;
210706;0000;;;0,15;
210707;0000;;;;
210708;0000;;;;
210709;0000;;;;
210710;0000;;;0,88;
210711;0000;;;1,15;
210712;0000;;;0,74;
210713;0000;;;;
210714;0000;;;0,78;
210715;0000;;;0,97;
210716;0000;;;0,75;
210717;0000;;;0,82;
210718;0000;;;1,67;
210719;0000;;;1,24;
210720;0000;;;1,81;
210721;0000;;;1,5;
210722;0000;;;0,81;
210723;0000;;;1,26;
210724;0000;;;0,5;
210725;0000;;;0,47;
210726;0000;;;0,7;
210727;0000;;;0,87;
210728;0000;;;1,24;
210729;0000;;;1,4;
210730;0000;;;0,98;
210731;0000;;;1,25;
210801;0000;;;1,28;
210802;0000;;;0,74;
210803;0000;;;0,98;
210804;0000;;;1;
210805;0000;;;0,44;
210806;0000;;;0,63;
210807;0000;;;0,7;
210808;0000;;;0,39;
210809;0000;;;;
210810;0000;;;;
210811;0000;;;1,1;
210812;0000;;;0,69;
210813;0000;;;0,51;
210814;0000;;;0,49;
210815;0000;;;0,18;
210816;0000;;;;
210817;0000;;;0,14;
210818;0000;;;0,52;
210819;0000;;;;
210820;0000;;;0,14;
210821;0000;;;;
210822;0000;;;;
210823;0000;;;;
210824;0000;;;;
210825;0000;;;;
210826;0000;;;;
210827;0000;;;;
210828;0000;;;;
210829;0000;;;;
210830;0000;;;;
210831;0000;;;;
210901;0000;;;;
210902;0000;;;;
210903;0000;;;;
210904;0000;;;0,12;
210905;0000;;;0,45;
210906;0000;;;0,8;
210907;0000;;;0,5;
210908;0000;;;0,62;
210909;0000;;;0,63;
210910;0000;;;0,56;
210911;0000;;;0,32;
210912;0000;;;0,43;
210913;0000;;;0,75;
210914;0000;;;0,68;
210915;0000;;;0,53;
210916;0000;;;0,34;
210917;0000;;;0,25;
210918;0000;;;0,29;
210919;0000;;;0,34;
210920;0000;;;0,52;
210921;0000;;;1;
210922;0000;;;0,57;
210923;0000;;;0,62;
210924;0000;;;0,43;
210925;0000;;;0,32;
210926;0000;;;0,3;
210927;0000;;;0,35;
210928;0000;;;0,65;
210929;0000;;;0,3;
210930;0000;;;0,18;
211001;0000;;;;
211002;0000;;;;
211003;0000;;;;
211004;0000;;;;
211005;0000;;;;
211006;0000;;;;
211007;0000;;;;
211008;0000;;;;
211009;0000;;;;
211010;0000;;;;
211011;0000;;;;
211012;0000;;;;
211013;0000;;;;
211014;0000;;;;
211015;0000;;;;
211016;0000;;;;
211017;0000;;;;
211018;0000;;;0,19;
211019;0000;;;0,38;
211020;0000;;;0,11;
211021;0000;;;;
211022;0000;;;;
211023;0000;;;;
211024;0000;;;0,14;
211025;0000;;;0,09;
211026;0000;;;0,4;
211027;0000;;;0,1;
211028;0000;;;0,08;
211029;0000;;;0,12;
211030;0000;;;0,1;
211031;0000;;;0,09;
