FECHA (YYMMDD);HORA (HHMM);;
201224;0100;;
201224;0200;;
201224;0300;;
201224;0400;;
201224;0500;;
201224;0600;;
201224;0700;132,4;
201224;0800;230,7;
201224;0900;226,3;
201224;1000;249,5;
201224;1100;;
201224;1200;;
201224;1300;234,2;
201224;1400;233,8;
201224;1500;231,6;
201224;1600;228,4;
201224;1700;220;
201224;1800;217,5;
201224;1900;213;
201224;2000;197,3;
201224;2100;190,8;
201224;2200;178,3;
201224;2300;173,7;
201225;0000;146;
201225;0100;113,4;
201225;0200;85,2;
201225;0300;0;
201225;0400;121,1;
201225;0500;121,6;
201225;0600;116,2;
201225;0700;165;
201225;0800;193,9;
201225;0900;215,7;
201225;1000;214,3;
201225;1100;253,7;
201225;1200;265,1;
201225;1300;232,6;
201225;1400;236,4;
201225;1500;238,9;
201225;1600;232;
201225;1700;223,1;
201225;1800;222,4;
201225;1900;221,2;
201225;2000;218,2;
201225;2100;216,5;
201225;2200;219,7;
201225;2300;198,1;
201226;0000;194,4;
201226;0100;187,9;
201226;0200;165,1;
201226;0300;131;
201226;0400;111;
201226;0500;115,5;
201226;0600;116,9;
201226;0700;196,2;
201226;0800;194,3;
201226;0900;202,7;
201226;1000;222,2;
201226;1100;239,2;
201226;1200;266,1;
201226;1300;253,8;
201226;1400;243,1;
201226;1500;241,2;
201226;1600;239,9;
201226;1700;236,2;
201226;1800;216,9;
201226;1900;208,7;
201226;2000;211,4;
201226;2100;209,7;
201226;2200;201,8;
201226;2300;213,8;
201227;0000;231,6;
201227;0100;211;
201227;0200;197,9;
201227;0300;198;
201227;0400;206,8;
201227;0500;233,6;
201227;0600;336,3;
201227;0700;356,2;
201227;0800;358,3;
201227;0900;330,2;
201227;1000;322,9;
201227;1100;324,9;
201227;1200;319,8;
201227;1300;322,3;
201227;1400;325,1;
201227;1500;326,6;
201227;1600;323,7;
201227;1700;309,3;
201227;1800;331;
201227;1900;339,3;
201227;2000;326,9;
201227;2100;5,37;
201227;2200;44,45;
201227;2300;109,2;
201228;0000;129,2;
201228;0100;114;
201228;0200;112,8;
201228;0300;82,9;
201228;0400;120,2;
201228;0500;103,1;
201228;0600;125,9;
201228;0700;307,7;
201228;0800;313,3;
201228;0900;283;
201228;1000;278,8;
201228;1100;274,1;
201228;1200;265,5;
201228;1300;261,3;
201228;1400;244,8;
201228;1500;243;
201228;1600;250;
201228;1700;252,4;
201228;1800;239,1;
201228;1900;230,7;
201228;2000;229,7;
201228;2100;226,1;
201228;2200;221,1;
201228;2300;218,1;
201229;0000;174,3;
201229;0100;64,72;
201229;0200;90,5;
201229;0300;120;
201229;0400;108,9;
201229;0500;79,29;
201229;0600;108,6;
201229;0700;343,3;
201229;0800;327;
201229;0900;340,9;
201229;1000;338,3;
201229;1100;334,2;
201229;1200;337,7;
201229;1300;325,2;
201229;1400;303,6;
201229;1500;263,2;
201229;1600;254,3;
201229;1700;252,6;
201229;1800;250,4;
201229;1900;231,7;
201229;2000;219,8;
201229;2100;207;
201229;2200;183,1;
201229;2300;199,9;
201230;0000;133,3;
201230;0100;88,1;
201230;0200;123,2;
201230;0300;113,8;
201230;0400;107,1;
201230;0500;162,5;
201230;0600;148,1;
201230;0700;159,1;
201230;0800;201,6;
201230;0900;221,2;
201230;1000;;
201230;1100;;
201230;1200;;
201230;1300;227;
201230;1400;240,2;
201230;1500;230,1;
201230;1600;237,9;
201230;1700;219,8;
201230;1800;208,8;
201230;1900;202,7;
201230;2000;195,7;
201230;2100;199,1;
201230;2200;174,5;
201230;2300;188,8;
201231;0000;176,4;
201231;0100;150,3;
201231;0200;108,6;
201231;0300;120;
201231;0400;129,7;
201231;0500;125,3;
201231;0600;113,2;
201231;0700;111,9;
201231;0800;217,9;
201231;0900;237,5;
201231;1000;210,2;
201231;1100;246,6;
201231;1200;238,7;
201231;1300;216,9;
201231;1400;215,2;
201231;1500;212,6;
201231;1600;210,1;
201231;1700;215,8;
201231;1800;214,1;
201231;1900;198,1;
201231;2000;199,6;
201231;2100;191,4;
201231;2200;184,9;
201231;2300;190,3;
210101;0000;176,4;
210101;0100;207;
210101;0200;154,7;
210101;0300;158,5;
210101;0400;111,8;
210101;0500;127,1;
210101;0600;101,5;
210101;0700;163,4;
210101;0800;179,1;
210101;0900;194;
210101;1000;215,1;
210101;1100;210,6;
210101;1200;225,4;
210101;1300;238,8;
210101;1400;231,3;
210101;1500;233,9;
210101;1600;218,9;
210101;1700;199,6;
210101;1800;210,5;
210101;1900;207,9;
210101;2000;209,6;
210101;2100;200,4;
210101;2200;195,5;
210101;2300;189,4;
210102;0000;195,8;
210102;0100;190,4;
210102;0200;155;
210102;0300;183,5;
210102;0400;89,2;
210102;0500;64,59;
210102;0600;60,97;
210102;0700;63,47;
210102;0800;211,2;
210102;0900;184,9;
210102;1000;239,6;
210102;1100;260,8;
210102;1200;276,1;
210102;1300;303,5;
210102;1400;320,1;
210102;1500;328,5;
210102;1600;283,9;
210102;1700;223,7;
210102;1800;231,6;
210102;1900;231,5;
210102;2000;211,1;
210102;2100;193,2;
210102;2200;190,4;
210102;2300;183,9;
210103;0000;185,4;
210103;0100;127,6;
210103;0200;140,3;
210103;0300;125,9;
210103;0400;119;
210103;0500;123,1;
210103;0600;81,5;
210103;0700;114,1;
210103;0800;256,3;
210103;0900;222,8;
210103;1000;209,2;
210103;1100;256,8;
210103;1200;271,5;
210103;1300;244,2;
210103;1400;241,7;
210103;1500;234;
210103;1600;236;
210103;1700;226;
210103;1800;215,6;
210103;1900;216,5;
210103;2000;210,9;
210103;2100;204,4;
210103;2200;202,3;
210103;2300;201,7;
210104;0000;196,5;
210104;0100;176,9;
210104;0200;180,9;
210104;0300;144,2;
210104;0400;121;
210104;0500;109,8;
210104;0600;116,6;
210104;0700;132,6;
210104;0800;191,9;
210104;0900;198,6;
210104;1000;208,2;
210104;1100;216,2;
210104;1200;220,7;
210104;1300;232,9;
210104;1400;234,2;
210104;1500;235,9;
210104;1600;222,2;
210104;1700;215,1;
210104;1800;219,7;
210104;1900;202,7;
210104;2000;206,6;
210104;2100;204,2;
210104;2200;193,1;
210104;2300;192,2;
210105;0000;201;
210105;0100;200,6;
210105;0200;161,6;
210105;0300;167,8;
210105;0400;74,16;
210105;0500;84,5;
210105;0600;96,3;
210105;0700;165,6;
210105;0800;205,5;
210105;0900;195,8;
210105;1000;190,3;
210105;1100;220,9;
210105;1200;233,4;
210105;1300;236,5;
210105;1400;239,8;
210105;1500;237,2;
210105;1600;234,5;
210105;1700;225,3;
210105;1800;214,9;
210105;1900;201,8;
210105;2000;202,3;
210105;2100;195,7;
210105;2200;196;
210105;2300;194,5;
210106;0000;194;
210106;0100;196,5;
210106;0200;192,2;
210106;0300;182,9;
210106;0400;177,5;
210106;0500;146,2;
210106;0600;117,3;
210106;0700;200,9;
