FECHA (YYMMDD);HORA (HHMM);;
201224;0100;;
201224;0200;;
201224;0300;;
201224;0400;;
201224;0500;;
201224;0600;;
201224;0700;77,29;
201224;0800;66,38;
201224;0900;58,47;
201224;1000;56,67;
201224;1100;;
201224;1200;;
201224;1300;55,1;
201224;1400;54,07;
201224;1500;53,44;
201224;1600;54,2;
201224;1700;55,67;
201224;1800;54,89;
201224;1900;58,99;
201224;2000;60,61;
201224;2100;66,95;
201224;2200;72,6901;
201224;2300;77,02;
201225;0000;83,5;
201225;0100;88,4;
201225;0200;93,6;
201225;0300;97,4;
201225;0400;99,6;
201225;0500;99,9;
201225;0600;96,3;
201225;0700;78,0699;
201225;0800;65,41;
201225;0900;57,03;
201225;1000;51,13;
201225;1100;50,61;
201225;1200;53,04;
201225;1300;55,27;
201225;1400;55,81;
201225;1500;54,44;
201225;1600;52,49;
201225;1700;50,21;
201225;1800;53,33;
201225;1900;59,33;
201225;2000;69,15;
201225;2100;78,3;
201225;2200;85,7;
201225;2300;87,3;
201226;0000;90,5;
201226;0100;93,5;
201226;0200;96,3;
201226;0300;99,6;
201226;0400;99,9;
201226;0500;99,9;
201226;0600;98,4;
201226;0700;84,7;
201226;0800;76,66;
201226;0900;70,4;
201226;1000;64,77;
201226;1100;61,02;
201226;1200;57,58;
201226;1300;58,48;
201226;1400;58,31;
201226;1500;57,59;
201226;1600;58,76;
201226;1700;59,43;
201226;1800;60,03;
201226;1900;65,5;
201226;2000;75,01;
201226;2100;83;
201226;2200;87,2;
201226;2300;92,2;
201227;0000;96,3;
201227;0100;97,2;
201227;0200;94,6;
201227;0300;91,9;
201227;0400;90,2;
201227;0500;89,8;
201227;0600;90,9;
201227;0700;87,4;
201227;0800;81,8;
201227;0900;78,45;
201227;1000;77,37;
201227;1100;75,08;
201227;1200;75,77;
201227;1300;75,6;
201227;1400;75,1901;
201227;1500;77,6;
201227;1600;77,8199;
201227;1700;76,6801;
201227;1800;82,7;
201227;1900;84,1;
201227;2000;85,4;
201227;2100;89;
201227;2200;91,1;
201227;2300;93,1;
201228;0000;96,3;
201228;0100;98,1;
201228;0200;99,5;
201228;0300;99,7;
201228;0400;99,9;
201228;0500;99,9;
201228;0600;98,5;
201228;0700;85;
201228;0800;75,15;
201228;0900;71,02;
201228;1000;68,9;
201228;1100;63,55;
201228;1200;61,52;
201228;1300;67,25;
201228;1400;64,97;
201228;1500;65,63;
201228;1600;69,39;
201228;1700;74,17;
201228;1800;74,35;
201228;1900;82,5;
201228;2000;88,2;
201228;2100;88,6;
201228;2200;87,1;
201228;2300;85,2;
201229;0000;86;
201229;0100;95,3;
201229;0200;99;
201229;0300;99,9;
201229;0400;99,9;
201229;0500;99,9;
201229;0600;95,9;
201229;0700;84,1;
201229;0800;80,5;
201229;0900;78,77;
201229;1000;74,6901;
201229;1100;98,8;
201229;1200;98,1;
201229;1300;86,1;
201229;1400;75,72;
201229;1500;71,34;
201229;1600;63,4;
201229;1700;63,56;
201229;1800;70,04;
201229;1900;71,74;
201229;2000;72,38;
201229;2100;75,99;
201229;2200;77,04;
201229;2300;81,5;
201230;0000;84,6;
201230;0100;94,9;
201230;0200;98;
201230;0300;99,6;
201230;0400;99,9;
201230;0500;98,9;
201230;0600;91,3;
201230;0700;64,9401;
201230;0800;61,42;
201230;0900;37,74;
201230;1000;;
201230;1100;;
201230;1200;;
201230;1300;37,07;
201230;1400;45,61;
201230;1500;50,11;
201230;1600;52,25;
201230;1700;50,52;
201230;1800;48,62;
201230;1900;54,39;
201230;2000;61,1;
201230;2100;64,92;
201230;2200;68,73;
201230;2300;72,64;
201231;0000;78,11;
201231;0100;80,4;
201231;0200;81,6;
201231;0300;89,4;
201231;0400;92,6;
201231;0500;91,9;
201231;0600;85,5;
201231;0700;68,51;
201231;0800;56,52;
201231;0900;49,14;
201231;1000;42,71;
201231;1100;44,18;
201231;1200;48,79;
201231;1300;46,57;
201231;1400;43,17;
201231;1500;43,99;
201231;1600;46,54;
201231;1700;54,19;
201231;1800;60,12;
201231;1900;61,45;
201231;2000;66,37;
201231;2100;70,29;
201231;2200;75,1901;
201231;2300;79;
210101;0000;81,7;
210101;0100;85,1;
210101;0200;89,6;
210101;0300;92,7;
210101;0400;93,2;
210101;0500;94,8;
210101;0600;91,5;
210101;0700;77,95;
210101;0800;69,47;
210101;0900;61,32;
210101;1000;56,19;
210101;1100;51,53;
210101;1200;49,74;
210101;1300;51,78;
210101;1400;51,04;
210101;1500;52,42;
210101;1600;53,94;
210101;1700;56,48;
210101;1800;56,52;
210101;1900;58,37;
210101;2000;65,63;
210101;2100;69,67;
210101;2200;76,27;
210101;2300;80,4;
210102;0000;83,8;
210102;0100;86,9;
210102;0200;90,3;
210102;0300;85,5;
210102;0400;91,5;
210102;0500;97,1;
210102;0600;92,2;
210102;0700;73,45;
210102;0800;65,9301;
210102;0900;59,73;
210102;1000;51,62;
210102;1100;52,68;
210102;1200;59,8;
210102;1300;56,34;
210102;1400;60,4;
210102;1500;65,79;
210102;1600;66,26;
210102;1700;58,81;
210102;1800;58,52;
210102;1900;67,58;
210102;2000;75,03;
210102;2100;76,89;
210102;2200;79,75;
210102;2300;80,9;
210103;0000;85,6;
210103;0100;90,8;
210103;0200;96,3;
210103;0300;97,8;
210103;0400;99,5;
210103;0500;99,9;
210103;0600;97,3;
210103;0700;80;
210103;0800;69,62;
210103;0900;62,8;
210103;1000;53,04;
210103;1100;56;
210103;1200;61,76;
210103;1300;55,96;
210103;1400;57,13;
210103;1500;57,89;
210103;1600;59,36;
210103;1700;56,74;
210103;1800;53,35;
210103;1900;56,36;
210103;2000;60,34;
210103;2100;65,62;
210103;2200;68,9401;
210103;2300;69,86;
210104;0000;70,55;
210104;0100;73,17;
210104;0200;76,58;
210104;0300;83,3;
210104;0400;84,8;
210104;0500;89,5;
210104;0600;90,6;
210104;0700;72,35;
210104;0800;61,02;
210104;0900;53,69;
210104;1000;48,15;
210104;1100;44,07;
210104;1200;42,57;
210104;1300;41,66;
210104;1400;43,31;
210104;1500;46,69;
210104;1600;46,86;
210104;1700;47,63;
210104;1800;51,86;
210104;1900;55,67;
210104;2000;60,75;
210104;2100;69,51;
210104;2200;74,12;
210104;2300;77,3199;
210105;0000;81,2;
210105;0100;84,6;
210105;0200;88,5;
210105;0300;88,8;
210105;0400;93,4;
210105;0500;97;
210105;0600;94,2;
210105;0700;77,85;
210105;0800;70,27;
210105;0900;59,96;
210105;1000;52,78;
210105;1100;48,67;
210105;1200;47,42;
210105;1300;49,56;
210105;1400;49,32;
210105;1500;51,58;
210105;1600;53,1;
210105;1700;53,71;
210105;1800;55,42;
210105;1900;60,12;
210105;2000;65,3199;
210105;2100;71,79;
210105;2200;76,3;
210105;2300;78,5;
210106;0000;80,6;
210106;0100;83,1;
210106;0200;84,7;
