FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
201225;0000;;;4,98771;
201226;0000;;;7,07221;
201227;0000;;;1,54104;
201228;0000;;;5,3385;
201229;0000;;;3,95429;
201230;0000;;;6,35796;
201231;0000;;;7,14834;
210101;0000;;;5,18721;
210102;0000;;;4,29536;
210103;0000;;;3,66791;
210104;0000;;;7,70925;
210105;0000;;;8,66539;
210106;0000;;;5,43263;
210107;0000;;;5,17238;
210108;0000;;;5,952;
210109;0000;;;2,48314;
210110;0000;;;1,32267;
210111;0000;;;3,69124;
210112;0000;;;7,63867;
210113;0000;;;5,14577;
210114;0000;;;4,51421;
210115;0000;;;2,2915;
210116;0000;;;6,32042;
210117;0000;;;9,03871;
210118;0000;;;9,52203;
210119;0000;;;5,83848;
210120;0000;;;9,49171;
210121;0000;;;;
210122;0000;;;;
210123;0000;;;6,03316;
210124;0000;;;6,11108;
210125;0000;;;4,43221;
210126;0000;;;5,64404;
210127;0000;;;5,67149;
210128;0000;;;8,46591;
210129;0000;;;4,3016;
210130;0000;;;2,68563;
210131;0000;;;3,95134;
210201;0000;;;7,1018;
210202;0000;;;8,31306;
210203;0000;;;10,3079;
210204;0000;;;;
210205;0000;;;;
210206;0000;;;;
210207;0000;;;;
210208;0000;;;6,57211;
210209;0000;;;6,93145;
210210;0000;;;23,3984;
210211;0000;;;36,4967;
210212;0000;;;38,62;
210213;0000;;;33,65;
210214;0000;;;29,7067;
210215;0000;;;31,6338;
210216;0000;;;31,6883;
210217;0000;;;32,2254;
210218;0000;;;37,8243;
210219;0000;;;28,008;
210220;0000;;;26,4034;
210221;0000;;;27,1429;
210222;0000;;;31,8409;
210223;0000;;;29,113;
210224;0000;;;31,8517;
210225;0000;;;38,28;
210226;0000;;;35,2133;
210227;0000;;;32,6617;
210228;0000;;;31,7171;
210301;0000;;;33,2573;
210302;0000;;;37,2772;
210303;0000;;;35,2813;
210304;0000;;;31,9683;
210305;0000;;;35,233;
210306;0000;;;35,2001;
210307;0000;;;33,2264;
210308;0000;;;35,2847;
210309;0000;;;32,2476;
210310;0000;;;41,1835;
210311;0000;;;34,0322;
210312;0000;;;30,3821;
210313;0000;;;32,1793;
210314;0000;;;35,3826;
210315;0000;;;37,1793;
210316;0000;;;34,5656;
210317;0000;;;30,6351;
210318;0000;;;32,1639;
210319;0000;;;32,4768;
210320;0000;;;30,7255;
210321;0000;;;28,2676;
210322;0000;;;;
210323;0000;;;;
210324;0000;;;;
210325;0000;;;;
210326;0000;;;;
210327;0000;;;;
210328;0000;;;;
210329;0000;;;33,4797;
210330;0000;;;38,3193;
210331;0000;;;38,6783;
210401;0000;;;38,5964;
210402;0000;;;38,1208;
210403;0000;;;38,6972;
210404;0000;;;37,7955;
210405;0000;;;37,8327;
210406;0000;;;31,5442;
210407;0000;;;34,6713;
210408;0000;;;34,1451;
210409;0000;;;30,2384;
210410;0000;;;25,3446;
210411;0000;;;25,0613;
210412;0000;;;31,4946;
210413;0000;;;30,9637;
210414;0000;;;32,2793;
210415;0000;;;27,5646;
210416;0000;;;27,6013;
210417;0000;;;27,6676;
210418;0000;;;28,6351;
210419;0000;;;24,7959;
210420;0000;;;25,9546;
210421;0000;;;34,7651;
210422;0000;;;28,8729;
210423;0000;;;26,2459;
210424;0000;;;27,2546;
210425;0000;;;25,4746;
210426;0000;;;32,8655;
210427;0000;;;28,4446;
210428;0000;;;30,7455;
210429;0000;;;34,3222;
210430;0000;;;36,9172;
210501;0000;;;39,6985;
210502;0000;;;40,3451;
210503;0000;;;32,5326;
210504;0000;;;27,4933;
210505;0000;;;28,8146;
210506;0000;;;27,2655;
210507;0000;;;25,3778;
210508;0000;;;;
210509;0000;;;;
210510;0000;;;;
210511;0000;;;;
210512;0000;;;;
210513;0000;;;17,4076;
210514;0000;;;16,3644;
210515;0000;;;14,0709;
210516;0000;;;13,9303;
210517;0000;;;32,7025;
210518;0000;;;;
210519;0000;;;;
210520;0000;;;;
210521;0000;;;;
210522;0000;;;;
210523;0000;;;;
210524;0000;;;;
210525;0000;;;;
210526;0000;;;;
210527;0000;;;5,29812;
210528;0000;;;;
210529;0000;;;13,633;
210530;0000;;;;
210531;0000;;;;
210601;0000;;;;
210602;0000;;;40,2715;
210603;0000;;;41,8778;
210604;0000;;;32,1266;
210605;0000;;;12,5495;
210606;0000;;;7,01537;
210607;0000;;;;
210608;0000;;;;
210609;0000;;;;
210610;0000;;;;
210611;0000;;;;
210612;0000;;;;
210613;0000;;;;
210614;0000;;;;
210615;0000;;;;
210616;0000;;;;
210617;0000;;;;
210618;0000;;;;
210619;0000;;;;
210620;0000;;;;
210621;0000;;;;
210622;0000;;;;
210623;0000;;;;
210624;0000;;;;
210625;0000;;;;
210626;0000;;;;
210627;0000;;;;
210628;0000;;;;
210629;0000;;;;
210630;0000;;;;
210701;0000;;;;
210702;0000;;;;
210703;0000;;;;
210704;0000;;;;
210705;0000;;;11,5893;
210706;0000;;;30,8409;
210707;0000;;;36,4789;
210708;0000;;;39,5076;
210709;0000;;;45,1906;
210710;0000;;;32,6463;
210711;0000;;;24,2178;
210712;0000;;;24,1383;
210713;0000;;;;
210714;0000;;;;
210715;0000;;;;
210716;0000;;;;
210717;0000;;;;
210718;0000;;;;
210719;0000;;;;
210720;0000;;;;
210721;0000;;;35,3191;
210722;0000;;;32,4217;
210723;0000;;;29,5175;
210724;0000;;;29,7563;
210725;0000;;;34,6117;
210726;0000;;;24,2417;
210727;0000;;;20,5717;
210728;0000;;;22,4929;
210729;0000;;;26,3671;
210730;0000;;;30,0725;
210731;0000;;;23,9558;
210801;0000;;;22,6742;
210802;0000;;;24,9496;
210803;0000;;;28,4329;
210804;0000;;;31,8929;
210805;0000;;;33,5684;
210806;0000;;;32,7067;
210807;0000;;;28,7821;
210808;0000;;;21,1542;
210809;0000;;;23,0454;
210810;0000;;;25,1946;
210811;0000;;;26,3317;
210812;0000;;;26,2983;
210813;0000;;;26,1325;
210814;0000;;;24,7725;
210815;0000;;;25,9821;
210816;0000;;;31,9587;
210817;0000;;;31,7721;
210818;0000;;;29,213;
210819;0000;;;29,7846;
210820;0000;;;28,2867;
210821;0000;;;30,3204;
210822;0000;;;29,1821;
210823;0000;;;24,5371;
210824;0000;;;;
210825;0000;;;;
210826;0000;;;;
210827;0000;;;31,6888;
210828;0000;;;32,8075;
210829;0000;;;33,8741;
210830;0000;;;33,4852;
210831;0000;;;30,8962;
210901;0000;;;31,0038;
210902;0000;;;30,5721;
210903;0000;;;29,1546;
210904;0000;;;28,4662;
210905;0000;;;32,3792;
210906;0000;;;29,4521;
210907;0000;;;28,4492;
210908;0000;;;28,1779;
210909;0000;;;28,8942;
210910;0000;;;30,9279;
210911;0000;;;32,5192;
210912;0000;;;29,9567;
210913;0000;;;28,8675;
210914;0000;;;27,17;
210915;0000;;;27,4767;
210916;0000;;;27,7508;
210917;0000;;;28,9117;
210918;0000;;;27,4721;
210919;0000;;;26,6033;
210920;0000;;;25,7958;
210921;0000;;;27,7662;
210922;0000;;;29,5208;
210923;0000;;;28,5446;
210924;0000;;;29,5167;
210925;0000;;;29,1871;
210926;0000;;;30,2129;
210927;0000;;;30,6392;
210928;0000;;;29,215;
210929;0000;;;28,3921;
210930;0000;;;28,1171;
211001;0000;;;28,6738;
211002;0000;;;31,6467;
211003;0000;;;29,635;
211004;0000;;;28,8987;
211005;0000;;;30,6641;
211006;0000;;;30,3179;
211007;0000;;;29,2188;
211008;0000;;;28,6142;
211009;0000;;;29,2646;
211010;0000;;;29,5329;
211011;0000;;;30,0467;
211012;0000;;;30,1775;
211013;0000;;;30,1908;
211014;0000;;;31,2313;
211015;0000;;;31,3929;
211016;0000;;;30,0113;
211017;0000;;;29,885;
211018;0000;;;29,7963;
211019;0000;;;25,7933;
211020;0000;;;27,1417;
211021;0000;;;23,4692;
211022;0000;;;23,9533;
211023;0000;;;27,1042;
211024;0000;;;27,5683;
211025;0000;;;28,9996;
211026;0000;;;26,4346;
211027;0000;;;21,8267;
211028;0000;;;23,7821;
211029;0000;;;29,8688;
211030;0000;;;30,815;
211031;0000;;;31,2213;
211101;0000;;;31,3875;
211102;0000;;;33,5254;
211103;0000;;;35,4646;
211104;0000;;;29,3704;
211105;0000;;;18,9942;
211106;0000;;;21,6992;
211107;0000;;;20,1804;
211108;0000;;;;
211109;0000;;;;
211110;0000;;;;
211111;0000;;;;
211112;0000;;;;
211113;0000;;;;
211114;0000;;;;
211115;0000;;;;
211116;0000;;;;
211117;0000;;;;
211118;0000;;;;
211119;0000;;;;
211120;0000;;;;
211121;0000;;;;
211122;0000;;;;
211123;0000;;;;
211124;0000;;;;
211125;0000;;;;
211126;0000;;;;
211127;0000;;;;
211128;0000;;;;
211129;0000;;;;
211130;0000;;;;
211201;0000;;;;
211202;0000;;;;
211203;0000;;;;
211204;0000;;;;
211205;0000;;;;
211206;0000;;;;
211207;0000;;;;
211208;0000;;;;
211209;0000;;;;
211210;0000;;;;
211211;0000;;;;
211212;0000;;;;
211213;0000;;;;
211214;0000;;;;
211215;0000;;;;
211216;0000;;;;
211217;0000;;;;
211218;0000;;;;
211219;0000;;;;
211220;0000;;;;
211221;0000;;;;
211222;0000;;;;
211223;0000;;;;
211224;0000;;;;
211225;0000;;;;
211226;0000;;;;
211227;0000;;;;
211228;0000;;;;
211229;0000;;;;
211230;0000;;;;
211231;0000;;;;
220101;0000;;;;
220102;0000;;;;
220103;0000;;;;
220104;0000;;;;
220105;0000;;;;
220106;0000;;;;
220107;0000;;;;
220108;0000;;;;
220109;0000;;;;
220110;0000;;;;
220111;0000;;;;
220112;0000;;;;
220113;0000;;;;
220114;0000;;;;
220115;0000;;;;
220116;0000;;7,23621;;
220117;0000;;6,80954;;
220118;0000;;10,647;;
220119;0000;;6,41859;;
220120;0000;;4,54288;;
220121;0000;;5,74392;;
220122;0000;;1,72874;;
220123;0000;;5,138;;
220124;0000;;9,5235;;
220125;0000;;7,73383;;
220126;0000;;4,10628;;
220127;0000;;0,29025;;
220128;0000;;0,00079167;;
220129;0000;;0,00941667;;
220130;0000;;3,34826;;
220131;0000;;5,00359;;
220201;0000;;7,10467;;
220202;0000;;;;
220203;0000;;4,10074;;
220204;0000;;10,8607;;
220205;0000;;7,78234;;
220206;0000;;9,59525;;
220207;0000;;10,1345;;
220208;0000;;20,3425;;
220209;0000;;8,14809;;
220210;0000;;7,40908;;
220211;0000;;11,6827;;
220212;0000;;16,862;;
220213;0000;;2,30992;;
220214;0000;;2,67283;;
220215;0000;;1,854;;
220216;0000;;12,2091;;
220217;0000;;12,6596;;
220218;0000;;7,60671;;
220219;0000;;7,60875;;
220220;0000;;3,32004;;
220221;0000;;12,8643;;
220222;0000;;3,14148;;
220223;0000;;8,43004;;
220224;0000;;3,51929;;
220225;0000;;7,51425;;
220226;0000;;4,05452;;
220227;0000;;4,33858;;
220228;0000;;9,04991;;
220301;0000;;8,23741;;
220302;0000;;16,5991;;
220303;0000;;7,49088;;
220304;0000;;6,10457;;
220305;0000;;8,98213;;
220306;0000;;;;
220307;0000;;;;
220308;0000;;12,22;;
220309;0000;;5,88444;;
220310;0000;;15,9052;;
220311;0000;;16,2771;;
220312;0000;;7,01662;;
220313;0000;;10,7728;;
220314;0000;;22,2637;;
220315;0000;;15,1467;;
220316;0000;;3,833;;
220317;0000;;7,89548;;
220318;0000;;16,0106;;
220319;0000;;10,6213;;
220320;0000;;4,43979;;
220321;0000;;3,04333;;
220322;0000;;14,5098;;
220323;0000;;2,51513;;
220324;0000;;10,291;;
220325;0000;;18,7349;;
220326;0000;;7,87521;;
220327;0000;;9,47646;;
220328;0000;;15,4542;;
220329;0000;;;;
220330;0000;;;;
220331;0000;;17,9219;;
220401;0000;;22,0182;;
220402;0000;;15,3202;;
220403;0000;;3,93587;;
220404;0000;;14,5245;;
220405;0000;;19,5886;;
220406;0000;;22,4293;;
220407;0000;;19,1582;;
220408;0000;;17,6047;;
220409;0000;;5,28242;;
220410;0000;;2,46229;;
220411;0000;;12,3268;;
220412;0000;;17,4164;;
220413;0000;;14,4746;;
220414;0000;;22,9834;;
220415;0000;;1,75546;;
220416;0000;;5,11187;;
220417;0000;;12,0129;;
220418;0000;;22,5312;;
220419;0000;;11,8367;;
220420;0000;;15,7891;;
220421;0000;;14,5456;;
220422;0000;;5,53878;;
220423;0000;;3,369;;
220424;0000;;3,38442;;
220425;0000;;4,59025;;
220426;0000;;4,22967;;
220427;0000;;6,10322;;
220428;0000;;10,4556;;
220429;0000;;17,081;;
220430;0000;;15,4231;;
220501;0000;;10,7557;;
220502;0000;;20,5708;;
220503;0000;;26,2198;;
220504;0000;;29,584;;
220505;0000;;19,524;;
220506;0000;;23,1424;;
220507;0000;;8,46283;;
220508;0000;;11,8334;;
220509;0000;;10,0635;;
220510;0000;;23,3639;;
220511;0000;;30,8568;;
220512;0000;;10,4491;;
220513;0000;;18,5136;;
220514;0000;;22,4657;;
220515;0000;;24,8892;;
220516;0000;;;;
220517;0000;;;;
220518;0000;;4,37991;;
220519;0000;;1,214;;
220520;0000;;4,7115;;
220521;0000;;7,35108;;
220522;0000;;2,89658;;
220523;0000;;9,71133;;
220524;0000;;9,57584;;
220525;0000;;20,3796;;
220526;0000;;25,3127;;
220527;0000;;12,7079;;
220528;0000;;16,9983;;
220529;0000;;9,88696;;
220530;0000;;20,389;;
220531;0000;;18,0088;;
220601;0000;;14,0975;;
220602;0000;;3,32417;;
220603;0000;;1,49721;;
220604;0000;;1,01017;;
220605;0000;;1,18858;;
220606;0000;;3,90113;;
220607;0000;;6,52016;;
220608;0000;;9,51683;;
220609;0000;;7,56474;;
220610;0000;;40,9645;;
220611;0000;;24,55;;
220612;0000;;2,34825;;
220613;0000;;3,22367;;
220614;0000;;2,74533;;
220615;0000;;9,79767;;
220616;0000;;18,6979;;
220617;0000;;5,87288;;
220618;0000;;22,0882;;
220619;0000;;5,46387;;
220620;0000;;7,77071;;
220621;0000;;1,43292;;
220622;0000;;1,76922;;
220623;0000;;2,93117;;
220624;0000;;12,6406;;
220625;0000;;18,0009;;
220626;0000;;12,1099;;
220627;0000;;3,299;;
220628;0000;;3,45746;;
220629;0000;;4,72362;;
220630;0000;;14,0834;;
220701;0000;;4,90617;;
220702;0000;;3,63;;
220703;0000;;2,99625;;
220704;0000;;7,192;;
220705;0000;;2,19235;;
220706;0000;;5,46496;;
220707;0000;;9,68544;;
220708;0000;;4,2615;;
220709;0000;;1,50287;;
220710;0000;;3,26708;;
220711;0000;;4,10939;;
220712;0000;;3,55342;;
220713;0000;;4,20722;;
220714;0000;;;;
220715;0000;;9,88461;;
220716;0000;;8,52974;;
220717;0000;;3,24987;;
220718;0000;;9,08192;;
220719;0000;;13,659;;
220720;0000;;13,1346;;
220721;0000;;3,37113;;
220722;0000;;3,62346;;
220723;0000;;3,79688;;
220724;0000;;2,38804;;
220725;0000;;2,51844;;
220726;0000;;3,28796;;
220727;0000;;6,93535;;
220728;0000;;19,2263;;
220729;0000;;24,403;;
220730;0000;;9,21001;;
220731;0000;;4,11012;;
220801;0000;;15,956;;
220802;0000;;25,8721;;
220803;0000;;14,6448;;
220804;0000;;5,16038;;
220805;0000;;3,44608;;
220806;0000;;3,50843;;
220807;0000;;2,73567;;
220808;0000;;19,1287;;
220809;0000;;30,0036;;
220810;0000;;12,4805;;
220811;0000;;8,45818;;
220812;0000;;4,22248;;
220813;0000;;3,42329;;
220814;0000;;2,86808;;
220815;0000;;3,18779;;
220816;0000;;3,07708;;
220817;0000;;8,21779;;
220818;0000;;11,8777;;
220819;0000;;21,1122;;
220820;0000;;24,0911;;
220821;0000;;13,8826;;
220822;0000;;14,3351;;
220823;0000;;6,76083;;
220824;0000;;8,22925;;
220825;0000;;15,7766;;
220826;0000;;9,9915;;
220827;0000;;10,8661;;
