FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
201225;0000;;;4,85;
201226;0000;;;4,57;
201227;0000;;;5,04;
201228;0000;;;5,01;
201229;0000;;;4,17;
201230;0000;;;5,83;
201231;0000;;;6,9;
210101;0000;;;5,49;
210102;0000;;;5,4;
210103;0000;;;4,83;
210104;0000;;;6,05;
210105;0000;;;7,18;
210106;0000;;;6,25;
210107;0000;;;5,34;
210108;0000;;;6,88;
210109;0000;;;4,24;
210110;0000;;;4,82;
210111;0000;;;4,87;
210112;0000;;;6,42;
210113;0000;;;5,66;
210114;0000;;;5,57;
210115;0000;;;4,92;
210116;0000;;;5,82;
210117;0000;;;5,8;
210118;0000;;;7,33;
210119;0000;;;6,36;
210120;0000;;;8,01;
210121;0000;;;;
210122;0000;;;;
210123;0000;;;6,69;
210124;0000;;;6,27;
210125;0000;;;6,9;
210126;0000;;;7,28;
210127;0000;;;6,66;
210128;0000;;;8,09;
210129;0000;;;6,28;
210130;0000;;;6,27;
210131;0000;;;6,05;
210201;0000;;;6,8;
210202;0000;;;7,39;
210203;0000;;;11,22;
210204;0000;;;;
210205;0000;;;5,78;
210206;0000;;;4,3;
210207;0000;;;6,2;
210208;0000;;;11,2;
210209;0000;;;9,44;
210210;0000;;;15,14;
210211;0000;;;6,11;
210212;0000;;;6,54;
210213;0000;;;6,16;
210214;0000;;;5,47;
210215;0000;;;7,23;
210216;0000;;;7,49;
210217;0000;;;6,36;
210218;0000;;;14,59;
210219;0000;;;7,41;
210220;0000;;;7,42;
210221;0000;;;5,2;
210222;0000;;;11,38;
210223;0000;;;8,17;
210224;0000;;;8,99;
210225;0000;;;9;
210226;0000;;;6,23;
210227;0000;;;6,3;
210228;0000;;;6,52;
210301;0000;;;7,62;
210302;0000;;;7,86;
210303;0000;;;10,11;
210304;0000;;;8,57;
210305;0000;;;7,05;
210306;0000;;;7,23;
210307;0000;;;5,46;
210308;0000;;;10,96;
210309;0000;;;8,17;
210310;0000;;;7,45;
210311;0000;;;7,77;
210312;0000;;;9,18;
210313;0000;;;6,49;
210314;0000;;;3,89;
210315;0000;;;10,14;
210316;0000;;;11,77;
210317;0000;;;8,09;
210318;0000;;;6;
210319;0000;;;7,11;
210320;0000;;;4,78;
210321;0000;;;7,44;
210322;0000;;;21,25;
210323;0000;;;7,24;
210324;0000;;;6,86;
210325;0000;;;6,7;
210326;0000;;;8,69;
210327;0000;;;6,83;
210328;0000;;;6,36;
210329;0000;;;12,67;
210330;0000;;;12,28;
210331;0000;;;10,48;
210401;0000;;;8,15;
210402;0000;;;6,23;
210403;0000;;;8,02;
210404;0000;;;6,06;
210405;0000;;;8,1;
210406;0000;;;7,63;
210407;0000;;;12,75;
210408;0000;;;10,54;
210409;0000;;;8,24;
210410;0000;;;6,49;
210411;0000;;;6,66;
210412;0000;;;10,84;
210413;0000;;;7,52;
210414;0000;;;6,94;
210415;0000;;;7,33;
210416;0000;;;10,67;
210417;0000;;;7,37;
210418;0000;;;6,97;
210419;0000;;;7,25;
210420;0000;;;7,33;
210421;0000;;;5,98;
210422;0000;;;8,84;
210423;0000;;;9,51;
210424;0000;;;8,04;
210425;0000;;;5,79;
210426;0000;;;11,99;
210427;0000;;;7,23;
210428;0000;;;10,62;
210429;0000;;;13,02;
210430;0000;;;14,91;
210501;0000;;;14,89;
210502;0000;;;17,22;
210503;0000;;;15,92;
210504;0000;;;14,18;
210505;0000;;;12,75;
210506;0000;;;;
210507;0000;;;;
210508;0000;;;;
210509;0000;;;;
210510;0000;;;;
210511;0000;;;;
210512;0000;;;;
210513;0000;;;13,65;
210514;0000;;;12,29;
210515;0000;;;8,18;
210516;0000;;;10,19;
210517;0000;;;19,5;
210518;0000;;;5,64;
210519;0000;;;12,08;
210520;0000;;;10,47;
210521;0000;;;8,04;
210522;0000;;;7,23;
210523;0000;;;7,45;
