FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
201225;0000;;;8,47279;
201226;0000;;;10,2779;
201227;0000;;;5,17725;
201228;0000;;;8,97891;
201229;0000;;;6,71775;
201230;0000;;;10,6552;
201231;0000;;;12,7161;
210101;0000;;;8,2617;
210102;0000;;;8,00471;
210103;0000;;;7,03829;
210104;0000;;;11,1332;
210105;0000;;;14,2074;
210106;0000;;;10,269;
210107;0000;;;9,01517;
210108;0000;;;11,0596;
210109;0000;;;4,87796;
210110;0000;;;4,60021;
210111;0000;;;6,57154;
210112;0000;;;12,5568;
210113;0000;;;9,29909;
210114;0000;;;8,58759;
210115;0000;;;5,70541;
210116;0000;;;10,668;
210117;0000;;;13,3885;
210118;0000;;;15,4054;
210119;0000;;;10,4625;
210120;0000;;;16,067;
210121;0000;;;;
210122;0000;;;;
210123;0000;;;11,277;
210124;0000;;;10,8951;
210125;0000;;;9,8985;
210126;0000;;;11,545;
210127;0000;;;10,8419;
210128;0000;;;15,1832;
210129;0000;;;8,99103;
210130;0000;;;7,49138;
210131;0000;;;8,55878;
210201;0000;;;12,4934;
210202;0000;;;14,3273;
210203;0000;;;20,1618;
210204;0000;;;;
210205;0000;;;5,36239;
210206;0000;;;3,21501;
210207;0000;;;5,64472;
210208;0000;;;15,5724;
210209;0000;;;14,8672;
210210;0000;;;22,9079;
210211;0000;;;7,10771;
210212;0000;;;10,3877;
210213;0000;;;10,2607;
210214;0000;;;5,97488;
210215;0000;;;10,4453;
210216;0000;;;12,6302;
210217;0000;;;8,50542;
210218;0000;;;23,5748;
210219;0000;;;12,7023;
210220;0000;;;13,8651;
210221;0000;;;7,1988;
210222;0000;;;18,3705;
210223;0000;;;13,254;
210224;0000;;;15,0226;
210225;0000;;;12,9001;
210226;0000;;;13,176;
210227;0000;;;12,5365;
210228;0000;;;14,8259;
210301;0000;;;16,4313;
210302;0000;;;10,7985;
210303;0000;;;22,1083;
210304;0000;;;20,0815;
210305;0000;;;14,017;
210306;0000;;;9,64349;
210307;0000;;;10,3042;
210308;0000;;;19,774;
210309;0000;;;14,6392;
210310;0000;;;9,38832;
210311;0000;;;14,3062;
210312;0000;;;19,2683;
210313;0000;;;14,8659;
210314;0000;;;2,18047;
210315;0000;;;11,9248;
210316;0000;;;16,7213;
210317;0000;;;15,5195;
210318;0000;;;6,68147;
210319;0000;;;11,3888;
210320;0000;;;4,35968;
210321;0000;;;9,19162;
210322;0000;;;49,9324;
210323;0000;;;;
210324;0000;;;;
210325;0000;;;;
210326;0000;;;;
210327;0000;;;;
210328;0000;;;;
210329;0000;;;22,7665;
210330;0000;;;16,2352;
210331;0000;;;20,5391;
210401;0000;;;13,839;
210402;0000;;;12,8007;
210403;0000;;;19,0296;
210404;0000;;;12,0912;
210405;0000;;;10,2073;
210406;0000;;;10,4599;
210407;0000;;;24,4905;
210408;0000;;;21,8589;
210409;0000;;;17,6271;
210410;0000;;;17,3351;
210411;0000;;;13,4979;
210412;0000;;;27,3717;
210413;0000;;;19,8023;
210414;0000;;;13,8707;
210415;0000;;;15,1989;
210416;0000;;;30,9817;
210417;0000;;;21,1541;
210418;0000;;;7,08135;
210419;0000;;;9,48337;
210420;0000;;;8,17184;
210421;0000;;;6,76151;
210422;0000;;;16,3162;
210423;0000;;;21,5972;
210424;0000;;;21,1885;
210425;0000;;;12,022;
210426;0000;;;27,0557;
210427;0000;;;21,998;
210428;0000;;;37,688;
210429;0000;;;43,3951;
210430;0000;;;30,1676;
210501;0000;;;28,7613;
210502;0000;;;44,3968;
210503;0000;;;42,086;
210504;0000;;;50,9533;
210505;0000;;;51,3;
210506;0000;;;28,9048;
210507;0000;;;;
210508;0000;;;;
210509;0000;;;;
210510;0000;;;;
210511;0000;;;;
210512;0000;;;;
210513;0000;;;28,5303;
210514;0000;;;27,5981;
210515;0000;;;20,513;
210516;0000;;;22,7257;
210517;0000;;;51,2579;
210518;0000;;;7,80616;
210519;0000;;;19,9948;
210520;0000;;;18,8727;
210521;0000;;;;
210522;0000;;;;
210523;0000;;;9,12598;
210524;0000;;;;
210525;0000;;;9,07608;
210526;0000;;;22,6331;
210527;0000;;;14,1366;
210528;0000;;;18,1332;
210529;0000;;;18,5637;
210530;0000;;;7,51877;
210531;0000;;;;
210601;0000;;;6,72834;
210602;0000;;;8,97816;
210603;0000;;;11,0772;
210604;0000;;;31,334;
210605;0000;;;21,4818;
210606;0000;;;13,7074;
210607;0000;;;;
210608;0000;;;;
210609;0000;;;;
210610;0000;;;;
210611;0000;;;;
210612;0000;;;;
210613;0000;;;;
210614;0000;;;;
210615;0000;;;;
210616;0000;;;;
210617;0000;;;;
210618;0000;;;;
210619;0000;;;;
210620;0000;;;;
210621;0000;;;;
210622;0000;;;;
210623;0000;;;;
210624;0000;;;;
210625;0000;;;;
210626;0000;;;;
210627;0000;;;;
210628;0000;;;;
210629;0000;;;;
210630;0000;;;;
210701;0000;;;;
210702;0000;;;;
210703;0000;;;;
210704;0000;;;;
210705;0000;;;33,4078;
210706;0000;;;32,2809;
210707;0000;;;32,4768;
210708;0000;;;33,1701;
210709;0000;;;33,2147;
210710;0000;;;32,1642;
210711;0000;;;32,0687;
210712;0000;;;32,4033;
210713;0000;;;;
210714;0000;;;0,851316;
210715;0000;;;0,764791;
210716;0000;;;0,73475;
210717;0000;;;0,748459;
210718;0000;;;0,709542;
210719;0000;;;0,7165;
210720;0000;;;11,2584;
210721;0000;;;33,4341;
210722;0000;;;33,3162;
210723;0000;;;32,7712;
210724;0000;;;32,8642;
210725;0000;;;31,8421;
210726;0000;;;32,035;
210727;0000;;;32,0792;
210728;0000;;;31,9838;
210729;0000;;;31,6454;
210730;0000;;;32,1813;
210731;0000;;;31,9521;
210801;0000;;;32,1192;
210802;0000;;;32,1266;
210803;0000;;;32,2479;
210804;0000;;;32,9204;
210805;0000;;;33,8196;
210806;0000;;;33,9525;
210807;0000;;;33,5004;
210808;0000;;;32,8471;
210809;0000;;;32,8625;
210810;0000;;;32,7908;
210811;0000;;;32,9883;
210812;0000;;;33,4308;
210813;0000;;;32,8958;
210814;0000;;;32,4104;
210815;0000;;;32,5825;
210816;0000;;;33,0721;
210817;0000;;;31,0471;
210818;0000;;;29,9922;
210819;0000;;;30,9329;
210820;0000;;;31,1204;
210821;0000;;;31,3158;
210822;0000;;;31,58;
210823;0000;;;30,3108;
210824;0000;;;;
210825;0000;;;;
210826;0000;;;;
210827;0000;;;28,8742;
210828;0000;;;30,3267;
210829;0000;;;31,3571;
210830;0000;;;30,6378;
210831;0000;;;30,1267;
210901;0000;;;30,105;
210902;0000;;;30,3183;
210903;0000;;;30,5275;
210904;0000;;;30,6525;
210905;0000;;;29,9637;
210906;0000;;;30,3121;
210907;0000;;;30,6958;
210908;0000;;;30,8087;
210909;0000;;;30,7054;
210910;0000;;;30,2879;
210911;0000;;;29,7638;
210912;0000;;;30,4233;
210913;0000;;;30,9438;
210914;0000;;;31,5933;
210915;0000;;;31,3017;
210916;0000;;;31,1821;
210917;0000;;;31,0517;
210918;0000;;;31,2658;
210919;0000;;;31,5412;
210920;0000;;;31,5529;
210921;0000;;;31,0775;
210922;0000;;;30,815;
210923;0000;;;30,9987;
210924;0000;;;31,0225;
210925;0000;;;30,8788;
210926;0000;;;31,9108;
210927;0000;;;32,0717;
210928;0000;;;31,6767;
210929;0000;;;31,7504;
210930;0000;;;31,6371;
211001;0000;;;31,3758;
211002;0000;;;32,0059;
211003;0000;;;31,9733;
211004;0000;;;31,9042;
211005;0000;;;31,7714;
211006;0000;;;32,0092;
211007;0000;;;31,6846;
211008;0000;;;31,4813;
211009;0000;;;31,4483;
211010;0000;;;31,5117;
211011;0000;;;31,4571;
211012;0000;;;31,3025;
211013;0000;;;31,3283;
211014;0000;;;32,0029;
211015;0000;;;32,0529;
