FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
201225;0000;;;1,33;
201226;0000;;;1,61;
201227;0000;;;0,77;
201228;0000;;;0,73;
201229;0000;;;0,35;
201230;0000;;;1,75;
201231;0000;;;2,52;
210101;0000;;;2,19;
210102;0000;;;2,17;
210103;0000;;;2,11;
210104;0000;;;3,6;
210105;0000;;;5,1;
210106;0000;;;4,52;
210107;0000;;;1,61;
210108;0000;;;2,26;
210109;0000;;;0,51;
210110;0000;;;0,44;
210111;0000;;;1,46;
210112;0000;;;1,96;
210113;0000;;;0,7;
210114;0000;;;0,74;
210115;0000;;;0,45;
210116;0000;;;2,06;
210117;0000;;;4,18;
210118;0000;;;5,5;
210119;0000;;;1,71;
210120;0000;;;2,96;
210121;0000;;;;
210122;0000;;;;
210123;0000;;;0,4;
210124;0000;;;0,35;
210125;0000;;;0,35;
210126;0000;;;0,34;
210127;0000;;;;
210128;0000;;;;
210129;0000;;;;
210130;0000;;;0,37;
210131;0000;;;;
210201;0000;;;;
210202;0000;;;;
210203;0000;;;;
210204;0000;;;;
210205;0000;;;;
210206;0000;;;;
210207;0000;;;;
210208;0000;;;;
210209;0000;;;;
210210;0000;;;18,65;
210211;0000;;;1,21;
210212;0000;;;1,13;
210213;0000;;;1,86;
210214;0000;;;1,34;
210215;0000;;;1,36;
210216;0000;;;1,9;
210217;0000;;;1,49;
210218;0000;;;5,22;
210219;0000;;;2,12;
210220;0000;;;2,54;
210221;0000;;;2,03;
210222;0000;;;4,06;
210223;0000;;;2,06;
210224;0000;;;1,6;
210225;0000;;;2,71;
210226;0000;;;4,59;
210227;0000;;;5,21;
210228;0000;;;5,77;
210301;0000;;;;
210302;0000;;;;
210303;0000;;;7,08;
210304;0000;;;5,06;
210305;0000;;;;
210306;0000;;;;
210307;0000;;;;
210308;0000;;;;
210309;0000;;;;
210310;0000;;;;
210311;0000;;;;
210312;0000;;;;
210313;0000;;;;
210314;0000;;;;
210315;0000;;;;
210316;0000;;;;
210317;0000;;;;
210318;0000;;;;
210319;0000;;;;
210320;0000;;;;
210321;0000;;;;
210322;0000;;;;
210323;0000;;;;
210324;0000;;;;
210325;0000;;;;
210326;0000;;;;
210327;0000;;;;
210328;0000;;;;
210329;0000;;;;
210330;0000;;;;
210331;0000;;;1,95;
210401;0000;;;;
210402;0000;;;;
210403;0000;;;;
210404;0000;;;;
210405;0000;;;;
210406;0000;;;;
210407;0000;;;2,67;
210408;0000;;;;
210409;0000;;;;
210410;0000;;;;
210411;0000;;;;
210412;0000;;;;
210413;0000;;;;
210414;0000;;;;
210415;0000;;;;
210416;0000;;;;
210417;0000;;;;
210418;0000;;;;
210419;0000;;;;
210420;0000;;;;
210421;0000;;;;
210422;0000;;;;
210423;0000;;;;
210424;0000;;;;
210425;0000;;;;
210426;0000;;;;
210427;0000;;;;
210428;0000;;;;
210429;0000;;;;
210430;0000;;;;
210501;0000;;;;
210502;0000;;;;
210503;0000;;;;
210504;0000;;;1,79;
210505;0000;;;;
210506;0000;;;1,93;
210507;0000;;;0,78;
210508;0000;;;;
210509;0000;;;;
210510;0000;;;;
210511;0000;;;2,47;
210512;0000;;;2,85;
210513;0000;;;;
210514;0000;;;0,77;
210515;0000;;;;
210516;0000;;;;
210517;0000;;;4,29;
210518;0000;;;;
210519;0000;;;;
210520;0000;;;;
210521;0000;;;;
210522;0000;;;;
210523;0000;;;;
210524;0000;;;;
210525;0000;;;;
210526;0000;;;;
210527;0000;;;;
210528;0000;;;;
210529;0000;;;;
210530;0000;;;;
210531;0000;;;;
210601;0000;;;;
210602;0000;;;;
210603;0000;;;;
210604;0000;;;;
210605;0000;;;;
210606;0000;;;;
210607;0000;;;;
210608;0000;;;;
210609;0000;;;;
210610;0000;;;;
210611;0000;;;;
210612;0000;;;;
210613;0000;;;;
210614;0000;;;;
210615;0000;;;;
210616;0000;;;;
210617;0000;;;;
210618;0000;;;;
210619;0000;;;;
210620;0000;;;;
210621;0000;;;;
210622;0000;;;;
210623;0000;;;;
210624;0000;;;;
210625;0000;;;;
210626;0000;;;;
210627;0000;;;;
210628;0000;;;;
210629;0000;;;;
210630;0000;;;;
210701;0000;;;;
210702;0000;;;;
210703;0000;;;;
210704;0000;;;;
210705;0000;;;;
210706;0000;;;;
210707;0000;;;;
210708;0000;;;;
210709;0000;;;;
210710;0000;;;1,37;
210711;0000;;;1,83;
210712;0000;;;0,5;
210713;0000;;;;
210714;0000;;;1,07;
210715;0000;;;;
210716;0000;;;;
210717;0000;;;;
210718;0000;;;;
210719;0000;;;;
210720;0000;;;;
210721;0000;;;;
210722;0000;;;2,55;
210723;0000;;;1,22;
210724;0000;;;;
210725;0000;;;;
210726;0000;;;;
210727;0000;;;;
210728;0000;;;1,8;
210729;0000;;;;
210730;0000;;;3,55;
210731;0000;;;1,21;
210801;0000;;;2,61;
210802;0000;;;;
210803;0000;;;;
210804;0000;;;;
210805;0000;;;;
210806;0000;;;;
210807;0000;;;;
210808;0000;;;;
210809;0000;;;;
210810;0000;;;;
210811;0000;;;1,15;
210812;0000;;;;
210813;0000;;;;
210814;0000;;;;
210815;0000;;;;
210816;0000;;;;
210817;0000;;;;
210818;0000;;;4,16;
210819;0000;;;0,29;
210820;0000;;;0,25;
210821;0000;;;1,4;
210822;0000;;;0,6;
210823;0000;;;4,68;
210824;0000;;;;
210825;0000;;;;
210826;0000;;;;
210827;0000;;;0,35;
210828;0000;;;0,48;
210829;0000;;;0,34;
210830;0000;;;;
210831;0000;;;0,35;
210901;0000;;;0,52;
210902;0000;;;0,61;
210903;0000;;;0,35;
210904;0000;;;0,1;
210905;0000;;;;
210906;0000;;;2,3;
210907;0000;;;0,55;
210908;0000;;;0,95;
210909;0000;;;0,58;
210910;0000;;;0,19;
210911;0000;;;;
210912;0000;;;;
210913;0000;;;;
210914;0000;;;0,9;
210915;0000;;;0,55;
210916;0000;;;0,36;
210917;0000;;;0,22;
210918;0000;;;;
210919;0000;;;;
210920;0000;;;;
210921;0000;;;2,91;
210922;0000;;;0,64;
210923;0000;;;1,02;
210924;0000;;;0,75;
210925;0000;;;0,43;
210926;0000;;;0,86;
210927;0000;;;1,3;
210928;0000;;;2,67;
210929;0000;;;0,59;
210930;0000;;;0,36;
211001;0000;;;0,31;
211002;0000;;;1,14;
211003;0000;;;0,79;
211004;0000;;;1,12;
211005;0000;;;5,37;
211006;0000;;;6,28;
211007;0000;;;5,97;
211008;0000;;;6,05;
211009;0000;;;7,82;
211010;0000;;;6,48;
211011;0000;;;8,92;
211012;0000;;;5,38;
211013;0000;;;1,84;
211014;0000;;;2,1;
211015;0000;;;3,15;
211016;0000;;;3,53;
211017;0000;;;4,62;
211018;0000;;;5,35;
211019;0000;;;5;
211020;0000;;;3,62;
211021;0000;;;4,8;
211022;0000;;;8,86;
211023;0000;;;1,44;
211024;0000;;;1,21;
211025;0000;;;1,48;
211026;0000;;;5,37;
211027;0000;;;;
211028;0000;;;;
211029;0000;;;;
211030;0000;;;1;
211031;0000;;;;
211101;0000;;;;
211102;0000;;;;
211103;0000;;;0,82;
211104;0000;;;2,87;
211105;0000;;;2,98;
211106;0000;;;1,17;
211107;0000;;;2,34;
211108;0000;;;4,21;
211109;0000;;;4,47;
211110;0000;;;2,73;
211111;0000;;;2,51;
211112;0000;;;1,96;
211113;0000;;;2,54;
211114;0000;;;2,92;
211115;0000;;;6,02;
211116;0000;;;8,48;
211117;0000;;;6,46;
211118;0000;;;3,08;
211119;0000;;;2,91;
211120;0000;;;1,21;
211121;0000;;;2;
211122;0000;;;7,68;
211123;0000;;;2,17;
211124;0000;;;0,82;
211125;0000;;;2,62;
211126;0000;;;3,02;
211127;0000;;;2,43;
211128;0000;;;3,84;
211129;0000;;;7,27;
211130;0000;;;5,65;
211201;0000;;;2,45;
211202;0000;;;;
211203;0000;;;;
211204;0000;;;;
211205;0000;;;;
