FECHA (YYMMDD);HORA (HHMM);;
201224;0100;;
201224;0200;;
201224;0300;;
201224;0400;;
201224;0500;;
201224;0600;;
201224;0700;14,33;
201224;0800;16,12;
201224;0900;17,94;
201224;1000;20,93;
201224;1100;;
201224;1200;;
201224;1300;21,45;
201224;1400;21,54;
201224;1500;21,13;
201224;1600;20,99;
201224;1700;20,57;
201224;1800;20,26;
201224;1900;18,88;
201224;2000;18,06;
201224;2100;16,97;
201224;2200;16,23;
201224;2300;15,5;
201225;0000;13,96;
201225;0100;12,86;
201225;0200;11,67;
201225;0300;10,86;
201225;0400;10,04;
201225;0500;9,48;
201225;0600;10,87;
201225;0700;14,4;
201225;0800;16,99;
201225;0900;19,49;
201225;1000;21,68;
201225;1100;22,98;
201225;1200;22,93;
201225;1300;23,46;
201225;1400;23,07;
201225;1500;23;
201225;1600;23,08;
201225;1700;23,03;
201225;1800;21,64;
201225;1900;19,78;
201225;2000;17,97;
201225;2100;16,54;
201225;2200;15,36;
201225;2300;15,25;
201226;0000;14,76;
201226;0100;14,22;
201226;0200;13,09;
201226;0300;11,36;
201226;0400;10,72;
201226;0500;10,27;
201226;0600;11,75;
201226;0700;14,94;
201226;0800;16,67;
201226;0900;18,33;
201226;1000;20,29;
201226;1100;21,26;
201226;1200;22,76;
201226;1300;23,4;
201226;1400;23,69;
201226;1500;23,95;
201226;1600;23,25;
201226;1700;22,36;
201226;1800;21,45;
201226;1900;19,34;
201226;2000;17,37;
201226;2100;15,96;
201226;2200;15,32;
201226;2300;14,65;
201227;0000;14,09;
201227;0100;13,91;
201227;0200;14,26;
201227;0300;14,61;
201227;0400;14,76;
201227;0500;14,82;
201227;0600;14,63;
201227;0700;15,29;
201227;0800;16,45;
201227;0900;17,25;
201227;1000;17,58;
201227;1100;17,95;
201227;1200;17,87;
201227;1300;18,19;
201227;1400;18,02;
201227;1500;17,05;
201227;1600;17,27;
201227;1700;17,48;
201227;1800;16,39;
201227;1900;16,31;
201227;2000;16,09;
201227;2100;15,57;
201227;2200;14,91;
201227;2300;14,02;
201228;0000;13,14;
201228;0100;12,7;
201228;0200;12,43;
201228;0300;12,1;
201228;0400;11,87;
201228;0500;11,69;
201228;0600;12,77;
201228;0700;16,14;
201228;0800;18,26;
201228;0900;19,32;
201228;1000;19,77;
201228;1100;21,01;
201228;1200;21,6;
201228;1300;20,93;
201228;1400;21,32;
201228;1500;20,69;
201228;1600;19,74;
201228;1700;19,04;
201228;1800;18,89;
201228;1900;17,32;
201228;2000;16,23;
201228;2100;16,26;
201228;2200;15,9;
201228;2300;15,45;
201229;0000;15,2;
201229;0100;13,63;
201229;0200;12,54;
201229;0300;11,56;
201229;0400;11,06;
201229;0500;11,43;
201229;0600;12,81;
201229;0700;16,33;
201229;0800;17,59;
201229;0900;18,27;
201229;1000;19,16;
201229;1100;15,99;
201229;1200;16,47;
201229;1300;18,42;
201229;1400;18,98;
201229;1500;19,21;
201229;1600;19,22;
201229;1700;18,86;
201229;1800;17,78;
201229;1900;16,64;
201229;2000;15,81;
201229;2100;15,13;
201229;2200;14,74;
201229;2300;14,09;
201230;0000;12,84;
201230;0100;11,03;
201230;0200;9,77;
201230;0300;9;
201230;0400;8,46001;
201230;0500;8,44;
201230;0600;9,89;
201230;0700;13,74;
201230;0800;15,4;
201230;0900;19,88;
201230;1000;;
201230;1100;;
201230;1200;;
201230;1300;20,95;
201230;1400;21,01;
201230;1500;20,08;
201230;1600;19,74;
201230;1700;19,81;
201230;1800;19,26;
201230;1900;17,63;
201230;2000;16;
201230;2100;15,1;
201230;2200;14,38;
201230;2300;13,73;
201231;0000;13,05;
201231;0100;12,26;
201231;0200;11,3;
201231;0300;9,61;
201231;0400;8,97;
201231;0500;8,8;
201231;0600;10,48;
201231;0700;14,02;
201231;0800;15,93;
201231;0900;18,16;
201231;1000;20,15;
201231;1100;21,37;
201231;1200;21,2;
201231;1300;22,61;
201231;1400;23,11;
201231;1500;22,52;
201231;1600;21,65;
201231;1700;20,1;
201231;1800;18,71;
201231;1900;18,23;
201231;2000;16,92;
201231;2100;15,97;
201231;2200;15,01;
201231;2300;14,23;
210101;0000;13,87;
210101;0100;13,16;
210101;0200;12,27;
210101;0300;11,43;
210101;0400;11,05;
210101;0500;10,49;
210101;0600;11,55;
210101;0700;14,26;
210101;0800;16,32;
210101;0900;18,31;
210101;1000;20,1;
210101;1100;21,6;
210101;1200;22,6;
210101;1300;22,59;
210101;1400;23,02;
210101;1500;22,81;
210101;1600;22,06;
210101;1700;21,08;
210101;1800;20,37;
210101;1900;19,02;
210101;2000;16,82;
210101;2100;15,8;
210101;2200;15,06;
210101;2300;14,3;
210102;0000;13,57;
210102;0100;13,09;
210102;0200;12,18;
210102;0300;12,1;
210102;0400;10,92;
210102;0500;9,91;
210102;0600;11,17;
210102;0700;14,7;
210102;0800;16,56;
210102;0900;18,02;
210102;1000;20,51;
210102;1100;20,54;
210102;1200;19,87;
210102;1300;21,12;
210102;1400;19,96;
210102;1500;18,95;
210102;1600;18,79;
210102;1700;19,7;
210102;1800;19,27;
210102;1900;17,83;
210102;2000;16,28;
210102;2100;16,15;
210102;2200;15,78;
210102;2300;15,54;
210103;0000;14,61;
210103;0100;13,53;
210103;0200;12,74;
210103;0300;11,67;
210103;0400;11,09;
210103;0500;10,63;
210103;0600;11,73;
210103;0700;15,3;
210103;0800;17,25;
210103;0900;19,14;
210103;1000;21,09;
210103;1100;21,42;
210103;1200;21,65;
210103;1300;23,13;
210103;1400;22,67;
210103;1500;22,15;
210103;1600;21,18;
210103;1700;21,06;
210103;1800;19,98;
210103;1900;18,07;
210103;2000;16,72;
210103;2100;15,02;
210103;2200;13,96;
210103;2300;13,32;
210104;0000;12,75;
210104;0100;12,33;
210104;0200;12,24;
210104;0300;10,89;
210104;0400;10,48;
210104;0500;8,87;
210104;0600;9,2;
210104;0700;12,82;
210104;0800;14,54;
210104;0900;16,91;
210104;1000;18,63;
210104;1100;20,21;
210104;1200;21,01;
210104;1300;21,61;
210104;1400;21,47;
210104;1500;21,17;
210104;1600;21,06;
210104;1700;20,23;
210104;1800;18,59;
210104;1900;17,41;
210104;2000;16,03;
210104;2100;14,18;
210104;2200;13,46;
210104;2300;12,83;
210105;0000;12,13;
210105;0100;11,58;
210105;0200;10,6;
210105;0300;10,28;
210105;0400;9,38;
210105;0500;8,82001;
210105;0600;9,61;
210105;0700;12,69;
210105;0800;14,26;
210105;0900;16,61;
210105;1000;18,69;
210105;1100;20,94;
210105;1200;22,16;
210105;1300;21,98;
210105;1400;22,18;
210105;1500;21,24;
210105;1600;20,6;
210105;1700;20,17;
210105;1800;19,33;
210105;1900;18;
210105;2000;16,73;
210105;2100;15,31;
210105;2200;14,19;
210105;2300;13,67;
210106;0000;13,07;
210106;0100;12,51;
210106;0200;12,2;
