FECHA (YYMMDD);HORA (HHMM);;
201224;0100;;
201224;0200;;
201224;0300;;
201224;0400;;
201224;0500;;
201224;0600;;
201224;0700;0,601;
201224;0800;1,303;
201224;0900;2,127;
201224;1000;3,775;
201224;1100;;
201224;1200;;
201224;1300;4,416;
201224;1400;4,516;
201224;1500;4,904;
201224;1600;4,737;
201224;1700;5,38;
201224;1800;3,859;
201224;1900;3,7;
201224;2000;4,033;
201224;2100;2,938;
201224;2200;2,847;
201224;2300;2,374;
201225;0000;1,31;
201225;0100;0,769;
201225;0200;0,337;
201225;0300;0;
201225;0400;0,772;
201225;0500;0,192;
201225;0600;0,37;
201225;0700;1,618;
201225;0800;2,98;
201225;0900;1,703;
201225;1000;1,877;
201225;1100;2,606;
201225;1200;2,971;
201225;1300;4,214;
201225;1400;4,909;
201225;1500;4,135;
201225;1600;3,759;
201225;1700;4,526;
201225;1800;3,976;
201225;1900;3,682;
201225;2000;3,625;
201225;2100;2,336;
201225;2200;1,635;
201225;2300;2,224;
201226;0000;2,414;
201226;0100;2,054;
201226;0200;0,658;
201226;0300;1,094;
201226;0400;0,577;
201226;0500;0,687;
201226;0600;0,869;
201226;0700;2,967;
201226;0800;2,737;
201226;0900;2,821;
201226;1000;2,261;
201226;1100;2,406;
201226;1200;2,237;
201226;1300;3,232;
201226;1400;3,273;
201226;1500;3,31;
201226;1600;4,005;
201226;1700;3,715;
201226;1800;3,222;
201226;1900;2,53;
201226;2000;3,022;
201226;2100;2,732;
201226;2200;2,125;
201226;2300;0,99;
201227;0000;1,054;
201227;0100;1,926;
201227;0200;2,638;
201227;0300;1,541;
201227;0400;1,429;
201227;0500;0,748;
201227;0600;0,943;
201227;0700;1,621;
201227;0800;2,354;
201227;0900;3,088;
201227;1000;3,653;
201227;1100;3,959;
201227;1200;3,829;
201227;1300;3,126;
201227;1400;3,74;
201227;1500;3,771;
201227;1600;2,979;
201227;1700;2,248;
201227;1800;2,678;
201227;1900;2,06;
201227;2000;1,047;
201227;2100;0,741;
201227;2200;0,46;
201227;2300;0,396;
201228;0000;0,519;
201228;0100;0,369;
201228;0200;0,552;
201228;0300;0,16;
201228;0400;0,401;
201228;0500;0,339;
201228;0600;0,498;
201228;0700;0,635;
201228;0800;0,732;
201228;0900;1,754;
201228;1000;1,933;
201228;1100;2,112;
201228;1200;2,436;
201228;1300;3,491;
201228;1400;4,063;
201228;1500;3,603;
201228;1600;4,553;
201228;1700;4,306;
201228;1800;2,684;
201228;1900;1,781;
201228;2000;1,312;
201228;2100;2,458;
201228;2200;2,313;
201228;2300;1,763;
201229;0000;1,224;
201229;0100;0,868;
201229;0200;0,391;
201229;0300;0,402;
201229;0400;0,087;
201229;0500;0,243;
201229;0600;0,785;
201229;0700;0,986;
201229;0800;2,163;
201229;0900;3,835;
201229;1000;4,633;
201229;1100;4,417;
201229;1200;3,367;
201229;1300;3,286;
201229;1400;3,162;
201229;1500;4,366;
201229;1600;4,861;
201229;1700;4,397;
201229;1800;4,221;
201229;1900;3,104;
201229;2000;3,542;
201229;2100;3,025;
201229;2200;1,386;
201229;2300;1,954;
201230;0000;1,357;
201230;0100;0,428;
201230;0200;0,837;
201230;0300;0,286;
201230;0400;0,394;
201230;0500;0,6;
201230;0600;0,622;
201230;0700;1,427;
201230;0800;1,499;
201230;0900;4,774;
201230;1000;;
201230;1100;;
201230;1200;;
201230;1300;4,261;
201230;1400;4,028;
201230;1500;5,422;
201230;1600;4,779;
201230;1700;4,947;
201230;1800;5,314;
201230;1900;5,026;
201230;2000;4,61;
201230;2100;4,404;
201230;2200;2,99;
201230;2300;2,867;
201231;0000;2,073;
201231;0100;1,399;
201231;0200;0,416;
201231;0300;0,718;
201231;0400;0,906;
201231;0500;0,567;
201231;0600;0,239;
201231;0700;0,649;
201231;0800;1,571;
201231;0900;1,377;
201231;1000;2,181;
201231;1100;2,883;
201231;1200;3,496;
201231;1300;4,882;
201231;1400;4,907;
201231;1500;5,395;
201231;1600;5,66;
201231;1700;4,426;
201231;1800;4,203;
201231;1900;4,026;
201231;2000;3,122;
201231;2100;3,155;
201231;2200;3,229;
201231;2300;2,459;
210101;0000;1,509;
210101;0100;1,402;
210101;0200;1,122;
210101;0300;0,798;
210101;0400;0,532;
210101;0500;0,59;
210101;0600;0,511;
210101;0700;1,534;
210101;0800;2,038;
210101;0900;2,829;
210101;1000;2,906;
210101;1100;2,597;
210101;1200;2,748;
210101;1300;3,631;
210101;1400;3,675;
210101;1500;3,451;
210101;1600;3,788;
210101;1700;3,741;
210101;1800;4,47;
210101;1900;4,572;
210101;2000;3,784;
210101;2100;3,096;
210101;2200;3,172;
210101;2300;2,876;
210102;0000;2,583;
210102;0100;1,899;
210102;0200;1,463;
210102;0300;1,537;
210102;0400;0,254;
210102;0500;0,526;
210102;0600;0,267;
210102;0700;0,344;
210102;0800;1,215;
210102;0900;2,155;
210102;1000;1,951;
210102;1100;2,647;
210102;1200;2,358;
210102;1300;2,197;
210102;1400;3,32;
210102;1500;3,85;
210102;1600;2,438;
210102;1700;4,955;
210102;1800;3,764;
210102;1900;3,51;
210102;2000;3,688;
210102;2100;2,923;
210102;2200;3,18;
210102;2300;2,44;
210103;0000;0,657;
210103;0100;0,741;
210103;0200;0,62;
210103;0300;0,66;
210103;0400;0,503;
210103;0500;0,349;
210103;0600;0,474;
210103;0700;0,265;
210103;0800;1,027;
210103;0900;1,564;
210103;1000;1,728;
210103;1100;2,814;
210103;1200;2,729;
210103;1300;3,236;
210103;1400;3,778;
210103;1500;4,96;
210103;1600;4,033;
210103;1700;3,346;
210103;1800;4,596;
210103;1900;5,221;
210103;2000;4,773;
210103;2100;3,753;
210103;2200;3,218;
210103;2300;3,523;
210104;0000;3,022;
210104;0100;3,005;
210104;0200;3,373;
210104;0300;1,742;
210104;0400;1,056;
210104;0500;0,345;
210104;0600;0,659;
210104;0700;1,089;
210104;0800;3,301;
210104;0900;3,29;
210104;1000;3,945;
210104;1100;4,082;
210104;1200;4,663;
210104;1300;4;
210104;1400;4,313;
210104;1500;3,869;
210104;1600;4,721;
210104;1700;5,53;
210104;1800;5,203;
210104;1900;4,378;
210104;2000;4,041;
210104;2100;4,249;
210104;2200;3,784;
210104;2300;3,371;
210105;0000;2,33;
210105;0100;1,815;
210105;0200;1,319;
210105;0300;0,883;
210105;0400;0,457;
210105;0500;0,247;
210105;0600;0,504;
210105;0700;1,619;
210105;0800;2,658;
210105;0900;3,397;
210105;1000;3,355;
210105;1100;2,999;
210105;1200;2,966;
210105;1300;3,952;
210105;1400;4,122;
210105;1500;4,545;
210105;1600;4,616;
210105;1700;4,138;
210105;1800;4,794;
210105;1900;4,03;
210105;2000;3,333;
210105;2100;3,312;
210105;2200;3,035;
210105;2300;2,813;
210106;0000;2,817;
210106;0100;2,476;
210106;0200;2,593;
