FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190718;0000;;;0,24;
190719;0000;;;0,21;
190720;0000;;;0,08;
190721;0000;;;0,15;
190722;0000;;;0,66;
190723;0000;;;0,7;
190724;0000;;;0,91;
190725;0000;;;1,16;
190726;0000;;;0,68;
190727;0000;;;0,27;
190728;0000;;;0,25;
190729;0000;;;0,68;
190730;0000;;;0,08;
190731;0000;;;0,43;
190801;0000;;;0,61;
190802;0000;;;0,85;
190803;0000;;;0,6;
190804;0000;;;0,61;
190805;0000;;;0,83;
190806;0000;;;0,51;
190807;0000;;;0,49;
190808;0000;;;0,51;
190809;0000;;;0,56;
190810;0000;;;0,32;
190811;0000;;;0,22;
190812;0000;;;1,44;
190813;0000;;;1,28;
190814;0000;;;0,82;
190815;0000;;;0,47;
190816;0000;;;0,59;
190817;0000;;;0,68;
190818;0000;;;0,69;
190819;0000;;;1,2;
190820;0000;;;0,51;
190821;0000;;;0,67;
190822;0000;;;0,75;
190823;0000;;;0,75;
190824;0000;;;0,56;
190825;0000;;;0,4;
190826;0000;;;0,34;
190827;0000;;;0,53;
190828;0000;;;0,23;
190829;0000;;;0,42;
190830;0000;;;0,7;
190831;0000;;;0,34;
190901;0000;;;0,37;
190902;0000;;;0,42;
190903;0000;;;1,06;
190904;0000;;;0,72;
190905;0000;;;0,35;
190906;0000;;;0,31;
190907;0000;;;0,46;
190908;0000;;;0,45;
190909;0000;;;0,94;
190910;0000;;;0,47;
190911;0000;;;0,24;
190912;0000;;;0,47;
190913;0000;;;0,5;
190914;0000;;;0,23;
190915;0000;;;0,22;
190916;0000;;;0,93;
190917;0000;;;0,17;
190918;0000;;;0,24;
190919;0000;;;0,43;
190920;0000;;;0,37;
190921;0000;;;0,39;
190922;0000;;;0,26;
190923;0000;;;0,77;
190924;0000;;;0,16;
190925;0000;;;0,17;
190926;0000;;;0,21;
190927;0000;;;0,24;
190928;0000;;;0,42;
190929;0000;;;0,2;
190930;0000;;;0,88;
191001;0000;;;0,38;
191002;0000;;;0,25;
191003;0000;;;0,37;
191004;0000;;;0,54;
191005;0000;;;0,28;
191006;0000;;;0,19;
191007;0000;;;0,87;
191008;0000;;;0,33;
191009;0000;;;0,31;
191010;0000;;;0,27;
191011;0000;;;0,28;
191012;0000;;;0,32;
191013;0000;;;0,33;
191014;0000;;;0,95;
191015;0000;;;0,34;
191016;0000;;;0,28;
191017;0000;;;0,33;
191018;0000;;;0,4;
191019;0000;;;0,32;
191020;0000;;;0,27;
191021;0000;;;0,89;
191022;0000;;;0,35;
191023;0000;;;0,34;
191024;0000;;;0,32;
191025;0000;;;0,32;
191026;0000;;;0,3;
191027;0000;;;0,31;
191028;0000;;;1;
191029;0000;;;0,34;
191030;0000;;;0,34;
191031;0000;;;0,33;
191101;0000;;;0,44;
191102;0000;;;0,41;
191103;0000;;;0,31;
191104;0000;;;0,9;
191105;0000;;;0,31;
191106;0000;;;0,27;
191107;0000;;;0,27;
191108;0000;;;0,32;
191109;0000;;;0,32;
191110;0000;;;0,31;
191111;0000;;;0,49;
191112;0000;;;0,28;
191113;0000;;;0,22;
191114;0000;;;0,22;
191115;0000;;;0,21;
191116;0000;;;0,22;
191117;0000;;;0,23;
191118;0000;;;0,81;
191119;0000;;;0,26;
191120;0000;;;0,25;
191121;0000;;;0,27;
191122;0000;;;0,28;
191123;0000;;;0,24;
191124;0000;;;0,25;
191125;0000;;;0,95;
191126;0000;;;0,32;
191127;0000;;;0,28;
191128;0000;;;0,24;
191129;0000;;;0,26;
191130;0000;;;;
191201;0000;;;;
191202;0000;;;0,61;
191203;0000;;;0,48;
191204;0000;;;0,26;
191205;0000;;;0,27;
191206;0000;;;0,27;
191207;0000;;;0,31;
191208;0000;;;0,24;
191209;0000;;;0,79;
191210;0000;;;0,27;
191211;0000;;;0,29;
191212;0000;;;1,57;
191213;0000;;;0,26;
191214;0000;;;0,24;
191215;0000;;;0,23;
191216;0000;;;0,78;
191217;0000;;;0,24;
191218;0000;;;0,2;
191219;0000;;;0,2;
191220;0000;;;0,21;
191221;0000;;;0,09;
191222;0000;;;0;
191223;0000;;;0,53;
191224;0000;;;0,49;
191225;0000;;;0,27;
191226;0000;;;0,38;
191227;0000;;;0,41;
191228;0000;;;0,48;
191229;0000;;;0,66;
191230;0000;;;1,19;
191231;0000;;;0,5;
200101;0000;;;0,14;
200102;0000;;;0,1;
200103;0000;;;0,08;
200104;0000;;;0,1;
200105;0000;;;0,09;
200106;0000;;;0,63;
200107;0000;;;0,11;
200108;0000;;;0,09;
200109;0000;;;0,14;
200110;0000;;;0,16;
200111;0000;;;0,16;
200112;0000;;;0,18;
200113;0000;;;0,69;
200114;0000;;;0,16;
200115;0000;;;0,15;
200116;0000;;;0,18;
200117;0000;;;0,29;
200118;0000;;;0,25;
200119;0000;;;0,17;
200120;0000;;;0,73;
200121;0000;;;0,18;
200122;0000;;;0,21;
200123;0000;;;0,2;
200124;0000;;;0,24;
200125;0000;;;0,24;
200126;0000;;;0,2;
200127;0000;;;0,81;
200128;0000;;;0,3;
200129;0000;;;0,28;
200130;0000;;;0,33;
200131;0000;;;0,29;
200201;0000;;;0,3;
200202;0000;;;0,32;
200203;0000;;;0,86;
200204;0000;;;0,35;
200205;0000;;;0,35;
200206;0000;;;0,35;
200207;0000;;;0,36;
200208;0000;;;0,43;
200209;0000;;;0,38;
200210;0000;;;1,06;
200211;0000;;;0,52;
200212;0000;;;0,57;
200213;0000;;;0,58;
200214;0000;;;0,5;
200215;0000;;;0,51;
200216;0000;;;0,48;
200217;0000;;;1,03;
200218;0000;;;0,38;
200219;0000;;;0,06;
200220;0000;;;0,14;
200221;0000;;;0,1;
200222;0000;;;0;
200223;0000;;;0,02;
200224;0000;;;0,55;
200225;0000;;;0,07;
200226;0000;;;0,12;
200227;0000;;;0,13;
200228;0000;;;0,12;
200229;0000;;;0,17;
200301;0000;;;0,2;
200302;0000;;;0,72;
200303;0000;;;0,25;
200304;0000;;;0,51;
200305;0000;;;0,46;
200306;0000;;;0,37;
200307;0000;;;0,39;
200308;0000;;;0,33;
200309;0000;;;0,91;
200310;0000;;;0,33;
200311;0000;;;0,33;
200312;0000;;;0,34;
200313;0000;;;0,32;
200314;0000;;;0,34;
200315;0000;;;0,34;
200316;0000;;;0,88;
200317;0000;;;0,35;
200318;0000;;;0,37;
200319;0000;;;0,36;
200320;0000;;;0,38;
200321;0000;;;0,35;
200322;0000;;;0,34;
200323;0000;;;0,9;
200324;0000;;;0,38;
200325;0000;;;0,33;
200326;0000;;;0,36;
200327;0000;;;0,32;
200328;0000;;;;
