FECHA (YYMMDD);HORA (HHMM);;
190717;0100;;
190717;0200;;
190717;0300;;
190717;0400;;
190717;0500;;
190717;0600;;
190717;0700;;
190717;0800;;
190717;0900;;
190717;1000;;
190717;1100;;
190717;1200;;
190717;1300;;
190717;1400;;
190717;1500;315,2;
190717;1600;355,5;
190717;1700;266,8;
190717;1800;250,2;
190717;1900;293;
190717;2000;228,2;
190717;2100;275,2;
190717;2200;214,2;
190717;2300;227,1;
190718;0000;236,4;
190718;0100;252,9;
190718;0200;221,7;
190718;0300;234,2;
190718;0400;214;
190718;0500;231,4;
190718;0600;184;
190718;0700;183,8;
190718;0800;225,7;
190718;0900;241,6;
190718;1000;348,1;
190718;1100;39,22;
190718;1200;311,9;
190718;1300;298,6;
190718;1400;172,3;
190718;1500;178,5;
190718;1600;120,6;
190718;1700;99,4;
190718;1800;315,3;
190718;1900;251,2;
190718;2000;220,6;
190718;2100;211,8;
190718;2200;222,2;
190718;2300;224,7;
190719;0000;214,6;
190719;0100;205,7;
190719;0200;206,2;
190719;0300;226,2;
190719;0400;25,34;
190719;0500;26,64;
190719;0600;88,5;
190719;0700;26,46;
190719;0800;30,17;
190719;0900;31,42;
190719;1000;42,54;
190719;1100;8,58;
190719;1200;352,6;
190719;1300;331,9;
190719;1400;330,3;
190719;1500;330,4;
190719;1600;3,04;
190719;1700;1,014;
190719;1800;337,5;
190719;1900;343;
190719;2000;335;
190719;2100;338,5;
190719;2200;342,9;
190719;2300;348,6;
190720;0000;19,43;
190720;0100;31,29;
190720;0200;30,43;
190720;0300;11,16;
190720;0400;24,03;
190720;0500;359,9;
190720;0600;22,13;
190720;0700;23,04;
190720;0800;26,27;
190720;0900;42,11;
190720;1000;42,8;
190720;1100;9,78999;
190720;1200;2,915;
190720;1300;0,844;
190720;1400;354,2;
190720;1500;357,1;
190720;1600;357,2;
190720;1700;347,6;
190720;1800;313,7;
190720;1900;284,5;
190720;2000;297,9;
190720;2100;308,5;
190720;2200;310,2;
190720;2300;317,4;
190721;0000;318,4;
190721;0100;333,5;
190721;0200;347,1;
190721;0300;28,29;
190721;0400;329,7;
190721;0500;294,5;
190721;0600;316,1;
190721;0700;306,7;
190721;0800;326;
190721;0900;352,6;
190721;1000;341,6;
190721;1100;336;
190721;1200;323,1;
190721;1300;311,1;
190721;1400;288,6;
190721;1500;286,4;
190721;1600;299;
190721;1700;202,1;
190721;1800;27,15;
190721;1900;88,1;
190721;2000;20,41;
190721;2100;351,2;
190721;2200;307,7;
190721;2300;53,58;
190722;0000;69,8;
190722;0100;69,12;
190722;0200;31,59;
190722;0300;111,1;
190722;0400;175,3;
190722;0500;55,81;
190722;0600;7,996;
190722;0700;174,1;
190722;0800;220,6;
190722;0900;180,7;
190722;1000;151,1;
190722;1100;140,1;
190722;1200;143;
190722;1300;146,7;
190722;1400;192,2;
190722;1500;170,8;
190722;1600;181,7;
190722;1700;161,6;
190722;1800;215,5;
190722;1900;263;
190722;2000;253,3;
190722;2100;239,2;
190722;2200;50,81;
190722;2300;126;
190723;0000;48,04;
190723;0100;59,46;
