FECHA (YYMMDD);HORA (HHMM);;
190717;0100;;
190717;0200;;
190717;0300;;
190717;0400;;
190717;0500;;
190717;0600;;
190717;0700;;
190717;0800;;
190717;0900;;
190717;1000;;
190717;1100;;
190717;1200;;
190717;1300;;
190717;1400;;
190717;1500;82,9;
190717;1600;80,5;
190717;1700;70,6801;
190717;1800;82,1;
190717;1900;91,4;
190717;2000;93,2;
190717;2100;95,5;
190717;2200;95,3;
190717;2300;96,7;
190718;0000;97,6;
190718;0100;98,3;
190718;0200;98,5;
190718;0300;98,9;
190718;0400;98,6;
190718;0500;99,1;
190718;0600;98,8;
190718;0700;98,9;
190718;0800;98,9;
190718;0900;98,8;
190718;1000;98,5;
190718;1100;89,5;
190718;1200;75,47;
190718;1300;59,7;
190718;1400;50,15;
190718;1500;52,33;
190718;1600;53,86;
190718;1700;76,25;
190718;1800;91,4;
190718;1900;94,4;
190718;2000;95,1;
190718;2100;95,7;
190718;2200;97;
190718;2300;97,4;
190719;0000;97,7;
190719;0100;97,2;
190719;0200;97,2;
190719;0300;97,6;
190719;0400;97,6;
190719;0500;97,6;
190719;0600;96,9;
190719;0700;96,4;
190719;0800;94,5;
190719;0900;93,8;
190719;1000;90;
190719;1100;84,9;
190719;1200;73,39;
190719;1300;73,84;
190719;1400;68,64;
190719;1500;89,5;
190719;1600;94,1;
190719;1700;92;
190719;1800;89,3;
190719;1900;89,1;
190719;2000;87,5;
190719;2100;87,8;
190719;2200;87,9;
190719;2300;87,8;
190720;0000;88,9;
190720;0100;89,9;
190720;0200;91,6;
190720;0300;92,3;
190720;0400;92,7;
190720;0500;89,6;
190720;0600;90,2;
190720;0700;87,9;
190720;0800;94,9;
190720;0900;94,8;
190720;1000;95,9;
190720;1100;92,4;
190720;1200;93,5;
190720;1300;91,7;
190720;1400;92,1;
190720;1500;90,2;
190720;1600;90,8;
190720;1700;91,7;
190720;1800;88,8;
190720;1900;89,4;
190720;2000;93,1;
190720;2100;85,3;
190720;2200;84,7;
190720;2300;74,62;
190721;0000;77,13;
190721;0100;83,4;
190721;0200;89,3;
190721;0300;76,79;
190721;0400;72,24;
190721;0500;78,83;
190721;0600;80,3;
190721;0700;83,6;
190721;0800;83,7;
190721;0900;75,64;
190721;1000;77,13;
190721;1100;69,96;
190721;1200;69,76;
190721;1300;62,22;
190721;1400;69,66;
190721;1500;70,8101;
190721;1600;68,84;
190721;1700;77,85;
190721;1800;88,6;
190721;1900;92,9;
190721;2000;95,2;
190721;2100;85,5;
190721;2200;89,4;
190721;2300;88,3;
190722;0000;91,9;
190722;0100;93,8;
190722;0200;93;
190722;0300;95,7;
190722;0400;97,6;
190722;0500;97,9;
190722;0600;98,2;
190722;0700;98,3;
190722;0800;98,5;
190722;0900;96,8;
190722;1000;97;
190722;1100;93,9;
190722;1200;92,3;
190722;1300;87,5;
190722;1400;78,02;
190722;1500;67,75;
190722;1600;56,81;
190722;1700;68,71;
190722;1800;73,8;
190722;1900;82;
190722;2000;78,87;
190722;2100;78,97;
190722;2200;79;
190722;2300;81,3;
190723;0000;87,9;
190723;0100;85,3;
