FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190718;0000;;;26;
190719;0000;;;21;
190720;0000;;;;
190721;0000;;;15;
190722;0000;;;43;
190723;0000;;;49;
190724;0000;;;67;
190725;0000;;;92;
190726;0000;;;71;
190727;0000;;;28;
190728;0000;;;21;
190729;0000;;;5;
190730;0000;;;7;
190731;0000;;;31;
190801;0000;;;53;
190802;0000;;;65;
190803;0000;;;48;
190804;0000;;;60;
190805;0000;;;20;
190806;0000;;;43;
190807;0000;;;33;
190808;0000;;;44;
190809;0000;;;47;
190810;0000;;;26;
190811;0000;;;13;
190812;0000;;;58;
190813;0000;;;89;
190814;0000;;;70;
190815;0000;;;40;
190816;0000;;;46;
190817;0000;;;30;
190818;0000;;;49;
190819;0000;;;46;
190820;0000;;;38;
190821;0000;;;71;
190822;0000;;;46;
190823;0000;;;68;
190824;0000;;;47;
190825;0000;;;37;
190826;0000;;;28;
190827;0000;;;18;
190828;0000;;;15;
190829;0000;;;32;
190830;0000;;;56;
190831;0000;;;21;
190901;0000;;;22;
190902;0000;;;32;
190903;0000;;;62;
190904;0000;;;73;
190905;0000;;;30;
190906;0000;;;25;
190907;0000;;;31;
190908;0000;;;25;
190909;0000;;;26;
190910;0000;;;32;
190911;0000;;;16;
190912;0000;;;36;
190913;0000;;;34;
190914;0000;;;14;
190915;0000;;;21;
190916;0000;;;37;
190917;0000;;;21;
190918;0000;;;21;
190919;0000;;;38;
190920;0000;;;38;
190921;0000;;;30;
190922;0000;;;23;
190923;0000;;;29;
190924;0000;;;35;
190925;0000;;;79;
190926;0000;;;19;
190927;0000;;;19;
190928;0000;;;25;
190929;0000;;;15;
190930;0000;;;19;
191001;0000;;;24;
191002;0000;;;16;
191003;0000;;;29;
191004;0000;;;39;
191005;0000;;;23;
191006;0000;;;9;
191007;0000;;;19;
191008;0000;;;23;
191009;0000;;;34;
191010;0000;;;22;
191011;0000;;;19;
191012;0000;;;19;
191013;0000;;;27;
191014;0000;;;33;
191015;0000;;;19;
191016;0000;;;19;
191017;0000;;;19;
191018;0000;;;33;
191019;0000;;;23;
191020;0000;;;14;
191021;0000;;;25;
191022;0000;;;23;
191023;0000;;;27;
191024;0000;;;16;
191025;0000;;;13;
191026;0000;;;6;
191027;0000;;;6;
191028;0000;;;11;
191029;0000;;;14;
191030;0000;;;8;
191031;0000;;;7;
191101;0000;;;18;
191102;0000;;;20;
191103;0000;;;11;
191104;0000;;;5;
191105;0000;;;15;
191106;0000;;;11;
191107;0000;;;;
191108;0000;;;29;
191109;0000;;;16;
191110;0000;;;21;
191111;0000;;;18;
191112;0000;;;19;
191113;0000;;;14;
191114;0000;;;22;
191115;0000;;;9;
191116;0000;;;7;
191117;0000;;;13;
191118;0000;;;22;
191119;0000;;;24;
191120;0000;;;18;
191121;0000;;;22;
191122;0000;;;26;
191123;0000;;;15;
191124;0000;;;13;
191125;0000;;;11;
191126;0000;;;12;
191127;0000;;;15;
191128;0000;;;16;
191129;0000;;;14;
191130;0000;;;;
191201;0000;;;;
191202;0000;;;17;
191203;0000;;;77;
191204;0000;;;28;
191205;0000;;;25;
191206;0000;;;22;
191207;0000;;;23;
191208;0000;;;17;
191209;0000;;;19;
191210;0000;;;18;
191211;0000;;;19;
191212;0000;;;20;
191213;0000;;;17;
191214;0000;;;14;
191215;0000;;;14;
