FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190718;0000;;;2,90454;
190719;0000;;;3,73875;
190720;0000;;;0,58746;
190721;0000;;;0,635042;
190722;0000;;;4,43879;
190723;0000;;;4,96133;
190724;0000;;;14,9346;
190725;0000;;;24,0079;
190726;0000;;;8,56433;
190727;0000;;;2,57483;
190728;0000;;;0,984083;
190729;0000;;;14,1367;
190730;0000;;;0,584952;
190731;0000;;;4,91771;
190801;0000;;;6,93942;
190802;0000;;;10,2586;
190803;0000;;;6,14175;
190804;0000;;;4,35542;
190805;0000;;;15,4264;
190806;0000;;;6,77493;
190807;0000;;;3,71813;
190808;0000;;;5,08666;
190809;0000;;;4,02547;
190810;0000;;;1,95779;
190811;0000;;;0,653833;
190812;0000;;;21,3992;
190813;0000;;;15,4449;
190814;0000;;;10,5077;
190815;0000;;;1,5135;
190816;0000;;;3,18513;
190817;0000;;;4,11655;
190818;0000;;;3,57438;
190819;0000;;;17,0347;
190820;0000;;;3,304;
190821;0000;;;4,79438;
190822;0000;;;7,35213;
190823;0000;;;9,14514;
190824;0000;;;4,50542;
190825;0000;;;1,61908;
190826;0000;;;2,07667;
190827;0000;;;6,76083;
190828;0000;;;0,771417;
190829;0000;;;3,62696;
190830;0000;;;6,87737;
190831;0000;;;2,43446;
190901;0000;;;1,18492;
190902;0000;;;5,07854;
190903;0000;;;13,1308;
190904;0000;;;7,38905;
190905;0000;;;1,65462;
190906;0000;;;2,11117;
190907;0000;;;2,59521;
190908;0000;;;1,74204;
190909;0000;;;15,931;
190910;0000;;;8,5742;
190911;0000;;;1,23963;
190912;0000;;;4,46117;
190913;0000;;;5,85829;
190914;0000;;;1,52488;
190915;0000;;;1,09583;
190916;0000;;;20,265;
190917;0000;;;1,43696;
190918;0000;;;2,47121;
190919;0000;;;2,62967;
190920;0000;;;2,85342;
190921;0000;;;3,87292;
190922;0000;;;1,53521;
190923;0000;;;17,4211;
190924;0000;;;1,79967;
190925;0000;;;2,70279;
190926;0000;;;1,49963;
190927;0000;;;1,31279;
190928;0000;;;4,32446;
190929;0000;;;1,32408;
190930;0000;;;15,7486;
191001;0000;;;1,86221;
191002;0000;;;1,48092;
191003;0000;;;2,83692;
191004;0000;;;4,48417;
191005;0000;;;2,8975;
191006;0000;;;0,772625;
191007;0000;;;15,9926;
191008;0000;;;14,521;
191009;0000;;;3,70033;
191010;0000;;;2,34183;
191011;0000;;;2,67946;
191012;0000;;;2,15779;
191013;0000;;;1,30037;
191014;0000;;;18,7059;
191015;0000;;;1,0125;
191016;0000;;;0,947001;
191017;0000;;;1,18776;
191018;0000;;;2,2435;
191019;0000;;;1,98654;
191020;0000;;;0,671182;
191021;0000;;;15,993;
191022;0000;;;1,44057;
191023;0000;;;1,97525;
191024;0000;;;1,35863;
191025;0000;;;1,87012;
191026;0000;;;0,755181;
191027;0000;;;0,780209;
191028;0000;;;17,2276;
191029;0000;;;1,16523;
191030;0000;;;1,70463;
191031;0000;;;0,988833;
191101;0000;;;1,46931;
191102;0000;;;2,36559;
191103;0000;;;1,68304;
191104;0000;;;16,0457;
191105;0000;;;1,36204;
191106;0000;;;1,55279;
191107;0000;;;1,12382;
191108;0000;;;2,56113;
191109;0000;;;2,40525;
191110;0000;;;1,36348;
191111;0000;;;2,10767;
191112;0000;;;2,2063;
191113;0000;;;0,94287;
191114;0000;;;1,08879;
191115;0000;;;1,28218;
191116;0000;;;0,448;
191117;0000;;;0,299136;
191118;0000;;;13,9399;
191119;0000;;;22,9297;
191120;0000;;;0,785583;
191121;0000;;;0,550834;
191122;0000;;;0,550826;
191123;0000;;;0,297584;
191124;0000;;;0,352957;
191125;0000;;;0,835263;
191126;0000;;;1,5141;
191127;0000;;;3,21254;
191128;0000;;;3,13467;
191129;0000;;;2,31848;
191130;0000;;;;
191201;0000;;;;
191202;0000;;;1,92379;
191203;0000;;;12,4287;
191204;0000;;;4,21121;
191205;0000;;;1,69088;
191206;0000;;;1,28813;
191207;0000;;;1,29521;
191208;0000;;;1,10817;
191209;0000;;;1,62513;
191210;0000;;;5,88161;
191211;0000;;;0,976092;
191212;0000;;;2,96121;
191213;0000;;;1,01483;
191214;0000;;;0,797682;
191215;0000;;;0,856709;
191216;0000;;;1,51987;
191217;0000;;;8,88852;
191218;0000;;;0,924842;
191219;0000;;;1,07667;
191220;0000;;;3,29133;
191221;0000;;;1,68068;
191222;0000;;;0,775;
191223;0000;;;14,6865;
191224;0000;;;1,48267;
191225;0000;;;0,802955;
191226;0000;;;1,79135;
191227;0000;;;0,559435;
191228;0000;;;0,559;
191229;0000;;;0,982708;
191230;0000;;;14,9281;
191231;0000;;;15,0174;
200101;0000;;;0,242708;
200102;0000;;;0,543428;
200103;0000;;;1,3935;
200104;0000;;;0,628542;
200105;0000;;;0,173045;
200106;0000;;;14,2177;
200107;0000;;;0,926;
200108;0000;;;0,227286;
200109;0000;;;1,35548;
200110;0000;;;2,30225;
200111;0000;;;0,584084;
200112;0000;;;0,156333;
200113;0000;;;14,0465;
200114;0000;;;1,03904;
200115;0000;;;2,77358;
200116;0000;;;0,468762;
200117;0000;;;1,69813;
200118;0000;;;0,464042;
200119;0000;;;0,119583;
200120;0000;;;13,7836;
200121;0000;;;0,60175;
200122;0000;;;17,526;
200123;0000;;;0,457524;
200124;0000;;;1,26818;
200125;0000;;;0,773417;
200126;0000;;;0,0821739;
200127;0000;;;13,8906;
200128;0000;;;1,8419;
200129;0000;;;0,407364;
200130;0000;;;1,10312;
200131;0000;;;0,812083;
200201;0000;;;1,23642;
200202;0000;;;0,205042;
200203;0000;;;13,7852;
200204;0000;;;0,911083;
200205;0000;;;1,48396;
200206;0000;;;0,758773;
200207;0000;;;1,01538;
200208;0000;;;1,73058;
200209;0000;;;0,184875;
200210;0000;;;14,4279;
200211;0000;;;0,388417;
200212;0000;;;0,573318;
200213;0000;;;0,4114;
200214;0000;;;0,597739;
200215;0000;;;0,478083;
200216;0000;;;0,0799583;
200217;0000;;;13,2111;
200218;0000;;;9,43927;
200219;0000;;;0,498091;
200220;0000;;;0,3012;
200221;0000;;;0,331652;
200222;0000;;;0,455042;
200223;0000;;;0,0863334;
200224;0000;;;14,3216;
200225;0000;;;2,75383;
200226;0000;;;0,958909;
200227;0000;;;0,601333;
200228;0000;;;0,577291;
200229;0000;;;0,489916;
200301;0000;;;0,00016667;
200302;0000;;;14,1718;
200303;0000;;;5,24633;
200304;0000;;;2,15029;
200305;0000;;;3,95604;
200306;0000;;;1,43546;
200307;0000;;;0,4845;
200308;0000;;;0,929875;
200309;0000;;;15,5768;
200310;0000;;;0,989435;
200311;0000;;;0,844273;
200312;0000;;;0,901875;
200313;0000;;;0,891958;
200314;0000;;;1,86917;
200315;0000;;;0,578083;
200316;0000;;;14,7233;
200317;0000;;;3,04487;
200318;0000;;;2,72417;
200319;0000;;;2,0145;
200320;0000;;;1,18621;
200321;0000;;;0,399125;
200322;0000;;;0,318667;
200323;0000;;;14,0892;
200324;0000;;;1,12554;
200325;0000;;;4,08916;
200326;0000;;;3,8793;
200327;0000;;;1,87913;
200328;0000;;;;
200329;0000;;;;
200330;0000;;;;
200331;0000;;;;
200401;0000;;;0,89475;
200402;0000;;;5,209;
200403;0000;;;2,46785;
200404;0000;;;0,650416;
200405;0000;;;0,707541;
200406;0000;;;1,73638;
200407;0000;;;5,888;
200408;0000;;;0,602208;
200409;0000;;;0,96845;
200410;0000;;;0,9295;
200411;0000;;;0,495083;
200412;0000;;;0,939917;
200413;0000;;;18,4638;
200414;0000;;;21,5981;
200415;0000;;;4,07517;
200416;0000;;;3,34105;
200417;0000;;;0,435591;
200418;0000;;;0,57975;
200419;0000;;;0,385125;
200420;0000;;;15,1697;
200421;0000;;;3,69883;
200422;0000;;;2,05663;
200423;0000;;;0,441319;
200424;0000;;;0,3979;
200425;0000;;;2,35788;
200426;0000;;;1,08033;
200427;0000;;;14,4525;
200428;0000;;;7,26429;
200429;0000;;;4,90366;
200430;0000;;;4,83263;
200501;0000;;;3,52825;
200502;0000;;;3,48592;
200503;0000;;;1,15529;
200504;0000;;;16,8445;
200505;0000;;;5,97359;
200506;0000;;;11,2123;
200507;0000;;;6,18213;
200508;0000;;;4,7991;
200509;0000;;;0,935333;
200510;0000;;;1,93867;
200511;0000;;;18,1863;
200512;0000;;;4,96204;
200513;0000;;;7,31992;
200514;0000;;;5,85904;
200515;0000;;;1,10852;
200516;0000;;;2,14675;
200517;0000;;;3,97288;
200518;0000;;;17,3245;
200519;0000;;;0,17275;
200520;0000;;;14,9082;
200521;0000;;;3,37173;
200522;0000;;;7,40261;
200523;0000;;;3,45854;
200524;0000;;;4,81671;
200525;0000;;;19,3184;
200526;0000;;;17,4255;
200527;0000;;;3,69208;
200528;0000;;;8,35295;
200529;0000;;;15,7005;
200530;0000;;;5,4655;
200531;0000;;;5,60875;
200601;0000;;;18,0579;
200602;0000;;;28,2506;
200603;0000;;;11,8785;
200604;0000;;;4,57479;
200605;0000;;;5,14833;
200606;0000;;;3,18079;
200607;0000;;;4,43513;
200608;0000;;;16,4796;
200609;0000;;;9,92375;
200610;0000;;;2,27208;
200611;0000;;;0,639833;
200612;0000;;;3,90376;
200613;0000;;;6,79004;
200614;0000;;;3,63717;
200615;0000;;;17,1672;
200616;0000;;;3,98483;
200617;0000;;;6,33754;
200618;0000;;;1,0436;
200619;0000;;;4,02357;
200620;0000;;;2,07304;
200621;0000;;;2,50329;
200622;0000;;;15,2907;
200623;0000;;;3,457;
200624;0000;;;3,13433;
200625;0000;;;3,06374;
200626;0000;;;4,34571;
200627;0000;;;2,94246;
200628;0000;;;1,379;
200629;0000;;;14,4775;
200630;0000;;;11,8748;
200701;0000;;;1,42408;
200702;0000;;;2,66327;
200703;0000;;;1,23041;
200704;0000;;;2,88227;
200705;0000;;;1,14179;
200706;0000;;;19,1765;
200707;0000;;;23,8083;
200708;0000;;;3,4893;
200709;0000;;;0,521636;
200710;0000;;;2,32095;
200711;0000;;;3,32454;
200712;0000;;;1,06713;
200713;0000;;;17,7487;
200714;0000;;;9,6282;
200715;0000;;;3,45113;
200716;0000;;;2,47183;
200717;0000;;;0,486905;
200718;0000;;;0,2955;
200719;0000;;;0,770542;
200720;0000;;;2,00504;
200721;0000;;;7,362;
200722;0000;;;11,7946;
200723;0000;;;12,1267;
200724;0000;;;3,6631;
200725;0000;;;2,32704;
200726;0000;;;0,787958;
200727;0000;;;5,17013;
200728;0000;;;11,1723;
200729;0000;;;5,728;
200730;0000;;;6,04941;
200731;0000;;;3,75822;
200801;0000;;;2,15608;
200802;0000;;;0,8165;
200803;0000;;;0,673833;
200804;0000;;;5,78617;
200805;0000;;;1,23148;
200806;0000;;;4,75675;
200807;0000;;;11,0805;
200808;0000;;;5,45608;
200809;0000;;;0,929792;
200810;0000;;;4,89921;
200811;0000;;;19,4787;
200812;0000;;;4,19457;
200813;0000;;;2,37316;
200814;0000;;;1,84879;
200815;0000;;;4,50941;
200816;0000;;;2,98371;
200817;0000;;;2,28426;
200818;0000;;;13,2948;
200819;0000;;;7,89279;
200820;0000;;;10,3748;
200821;0000;;;10,7584;
200822;0000;;;5,57248;
200823;0000;;;1,93318;
200824;0000;;;2,35115;
200825;0000;;;7,00337;
200826;0000;;;2,06113;
200827;0000;;;4,04846;
200828;0000;;;2,17617;
200829;0000;;;2,93583;
200830;0000;;;3,11195;
200831;0000;;;2,70642;
200901;0000;;;9,38634;
200902;0000;;;3,00654;
200903;0000;;;4,32183;
200904;0000;;;5,04979;
200905;0000;;;4,11808;
200906;0000;;;4,47964;
200907;0000;;;21,1863;
200908;0000;;;2,869;
200909;0000;;;1,74322;
200910;0000;;;3,66579;
200911;0000;;;4,22171;
200912;0000;;;3,46804;
200913;0000;;;3,02673;
200914;0000;;;7,94383;
200915;0000;;;15,0081;
200916;0000;;;2,92146;
200917;0000;;;5,41225;
200918;0000;;;2,41575;
200919;0000;;;2,26717;
200920;0000;;;2,88446;
200921;0000;;;28,1643;
200922;0000;;;10,517;
200923;0000;;;6,62083;
200924;0000;;;6,39783;
200925;0000;;;3,10508;
200926;0000;;;3,69996;
200927;0000;;;2,68092;
200928;0000;;;3,91829;
200929;0000;;;2,99674;
200930;0000;;;2,55675;
201001;0000;;;2,86388;
201002;0000;;;3,15254;
201003;0000;;;2,42608;
201004;0000;;;1,91021;
201005;0000;;;16,5394;
201006;0000;;;14,3133;
201007;0000;;;3,91533;
201008;0000;;;3,44992;
201009;0000;;;3,84092;
201010;0000;;;3,323;
201011;0000;;;1,5855;
201012;0000;;;2,544;
201013;0000;;;7,54767;
201014;0000;;;3,24746;
201015;0000;;;3,59067;
201016;0000;;;2,93134;
201017;0000;;;1,69213;
201018;0000;;;1,43771;
201019;0000;;;2,89633;
201020;0000;;;9,58713;
201021;0000;;;2,58125;
201022;0000;;;3,44696;
201023;0000;;;3,13075;
201024;0000;;;2,45563;
201025;0000;;;2,19714;
201026;0000;;;24,2641;
201027;0000;;;9,81784;
201028;0000;;;3,05529;
201029;0000;;;2,92917;
201030;0000;;;2,98642;
201031;0000;;;2,03146;
201101;0000;;;1,50725;
201102;0000;;;22,1567;
201103;0000;;;2,29994;
201104;0000;;;;
201105;0000;;;2,77292;
201106;0000;;;2,81242;
201107;0000;;;2,25767;
201108;0000;;;1,35454;
201109;0000;;;11,8109;
201110;0000;;;1,87421;
201111;0000;;;2,04592;
201112;0000;;;1,84521;
201113;0000;;;1,37718;
201114;0000;;;1,48492;
201115;0000;;;1,27538;
201116;0000;;;11,4633;
201117;0000;;;2,19908;
201118;0000;;;2,00304;
201119;0000;;;2,34858;
201120;0000;;;1,39687;
201121;0000;;;1,51939;
201122;0000;;;1,69888;
201123;0000;;;11,635;
201124;0000;;;2,11754;
201125;0000;;;2,95133;
201126;0000;;;2,65554;
201127;0000;;;1,78792;
201128;0000;;;1,64567;
201129;0000;;;1,77533;
201130;0000;;;12,1768;
201201;0000;;;2,88733;
201202;0000;;;2,29365;
201203;0000;;;2,52063;
201204;0000;;;2,38892;
201205;0000;;;1,84879;
201206;0000;;;2,03608;
201207;0000;;;1,75192;
201208;0000;;;2,098;
201209;0000;;;2,4281;
201210;0000;;;1,86927;
201211;0000;;;2,3935;
201212;0000;;;1,32;
201213;0000;;;2,34188;
201214;0000;;;1,917;
201215;0000;;;8,04637;
201216;0000;;;1,95396;
201217;0000;;;2,01067;
201218;0000;;;1,77383;
201219;0000;;;;
201220;0000;;;1,60677;
201221;0000;;;2,3909;
201222;0000;;;2,5246;
201223;0000;;;2,46363;
201224;0000;;;2,48386;
201225;0000;;;1,32776;
201226;0000;;;1,47758;
201227;0000;;;1,34295;
201228;0000;;;;
201229;0000;;;2,14639;
201230;0000;;;2,41504;
201231;0000;;;1,65063;
210101;0000;;;1,5995;
210102;0000;;;1,51733;
210103;0000;;;;
210104;0000;;;;
210105;0000;;;2,16275;
210106;0000;;;1,94671;
210107;0000;;;2,94884;
210108;0000;;;1,90929;
210109;0000;;;1,41996;
210110;0000;;;1,23267;
210111;0000;;;10,929;
210112;0000;;;3,25057;
210113;0000;;;2,64296;
210114;0000;;;1,79325;
210115;0000;;;2,2945;
210116;0000;;;1,89167;
210117;0000;;;1,42371;
210118;0000;;;;
210119;0000;;;;
210120;0000;;;5,5151;
210121;0000;;;2,75633;
210122;0000;;;2,80163;
210123;0000;;;2,11663;
210124;0000;;;2,01609;
210125;0000;;;10,3681;
210126;0000;;;1,89183;
210127;0000;;;11,5581;
210128;0000;;;2,80675;
210129;0000;;;2,13346;
210130;0000;;;2,35767;
210131;0000;;;2,82104;
210201;0000;;;12,249;
210202;0000;;;4,01442;
210203;0000;;;3,6175;
210204;0000;;;3,34904;
210205;0000;;;2,64617;
210206;0000;;;2,29204;
210207;0000;;;1,65125;
210208;0000;;;10,3073;
210209;0000;;;2,96742;
210210;0000;;;2,50534;
210211;0000;;;2,39842;
210212;0000;;;3,22171;
210213;0000;;;2,07721;
210214;0000;;;1,74804;
210215;0000;;;10,1382;
210216;0000;;;6,00359;
210217;0000;;;1,80867;
210218;0000;;;2,17767;
210219;0000;;;4,25237;
210220;0000;;;2,31821;
210221;0000;;;1,95808;
210222;0000;;;10,6816;
210223;0000;;;2,17738;
210224;0000;;;3,18479;
210225;0000;;;3,16425;
210226;0000;;;4,88129;
210227;0000;;;2,71771;
210228;0000;;;3,41321;
210301;0000;;;10,6111;
210302;0000;;;3,71061;
210303;0000;;;3,86937;
210304;0000;;;3,50262;
210305;0000;;;3,77687;
210306;0000;;;3,15725;
