FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190718;0000;;;4,56;
190719;0000;;;3,2;
190720;0000;;;1,85;
190721;0000;;;2,21;
190722;0000;;;7,5;
190723;0000;;;7,97;
190724;0000;;;7,02;
190725;0000;;;12,73;
190726;0000;;;5,85;
190727;0000;;;4,01;
190728;0000;;;2,75;
190729;0000;;;6,82;
190730;0000;;;1,93;
190731;0000;;;4;
190801;0000;;;6,41;
190802;0000;;;7,45;
190803;0000;;;6,45;
190804;0000;;;4,65;
190805;0000;;;8;
190806;0000;;;6,47;
190807;0000;;;6,41;
190808;0000;;;6,71;
190809;0000;;;5,55;
190810;0000;;;3,61;
190811;0000;;;1,78;
190812;0000;;;11,18;
190813;0000;;;7,58;
190814;0000;;;5,97;
190815;0000;;;3,68;
190816;0000;;;5,17;
190817;0000;;;2,96;
190818;0000;;;4,9;
190819;0000;;;9,37;
190820;0000;;;4,76;
190821;0000;;;5,11;
190822;0000;;;5,64;
190823;0000;;;5,52;
190824;0000;;;3,57;
190825;0000;;;3,26;
190826;0000;;;3,82;
190827;0000;;;5,48;
190828;0000;;;2,43;
190829;0000;;;4,97;
190830;0000;;;6,48;
190831;0000;;;5,14;
190901;0000;;;3,51;
190902;0000;;;6,79;
190903;0000;;;11,28;
190904;0000;;;8,1;
190905;0000;;;4,23;
190906;0000;;;3,68;
190907;0000;;;4,49;
190908;0000;;;2,86;
190909;0000;;;9,42;
190910;0000;;;4,78;
190911;0000;;;2,5;
190912;0000;;;6,03;
190913;0000;;;4,35;
190914;0000;;;2,49;
190915;0000;;;2,48;
190916;0000;;;10,64;
190917;0000;;;3,65;
190918;0000;;;3,75;
190919;0000;;;4,96;
190920;0000;;;4,71;
190921;0000;;;5,77;
190922;0000;;;3,72;
190923;0000;;;9,34;
190924;0000;;;4,27;
190925;0000;;;6,29;
190926;0000;;;4,77;
190927;0000;;;2,88;
190928;0000;;;3,29;
190929;0000;;;2,14;
190930;0000;;;7,94;
191001;0000;;;4;
191002;0000;;;3,31;
191003;0000;;;4,34;
191004;0000;;;4,87;
191005;0000;;;3,5;
191006;0000;;;2,12;
191007;0000;;;8,52;
191008;0000;;;12,03;
191009;0000;;;5,47;
191010;0000;;;3,33;
191011;0000;;;3,79;
191012;0000;;;4,28;
191013;0000;;;3,49;
191014;0000;;;9,89;
191015;0000;;;2,26;
191016;0000;;;1,92;
191017;0000;;;3,35;
191018;0000;;;4,99;
191019;0000;;;2,71;
191020;0000;;;1,39;
191021;0000;;;9,16;
191022;0000;;;3,89;
191023;0000;;;3,94;
191024;0000;;;2,99;
191025;0000;;;2,61;
191026;0000;;;1,82;
191027;0000;;;2;
191028;0000;;;7,74;
191029;0000;;;1,85;
191030;0000;;;2,12;
191031;0000;;;2,12;
191101;0000;;;2,59;
191102;0000;;;4,1;
191103;0000;;;2,52;
191104;0000;;;7,39;
191105;0000;;;3,72;
191106;0000;;;2,5;
191107;0000;;;4,09;
191108;0000;;;5,71;
191109;0000;;;5,26;
191110;0000;;;3,79;
191111;0000;;;3,52;
191112;0000;;;2,62;
191113;0000;;;2,78;
191114;0000;;;1,96;
191115;0000;;;1,69;
191116;0000;;;1,26;
191117;0000;;;1,77;
191118;0000;;;8,79;
191119;0000;;;7,63;
191120;0000;;;0,63;
191121;0000;;;0,61;
191122;0000;;;1,38;
191123;0000;;;0,13;
191124;0000;;;0,7;
191125;0000;;;0,77;
191126;0000;;;0,74;
191127;0000;;;1,75;
191128;0000;;;1,46;
191129;0000;;;0,98;
191130;0000;;;;
191201;0000;;;;
191202;0000;;;0,89;
191203;0000;;;6,73;
191204;0000;;;5,71;
191205;0000;;;4,53;
191206;0000;;;3,44;
191207;0000;;;3,86;
191208;0000;;;3,59;
191209;0000;;;3,99;
191210;0000;;;5,06;
191211;0000;;;2,36;
191212;0000;;;4,65;
191213;0000;;;3,18;
191214;0000;;;2,78;
191215;0000;;;1,96;
191216;0000;;;3,34;
191217;0000;;;7,38;
191218;0000;;;2,27;
191219;0000;;;3,78;
191220;0000;;;4,42;
191221;0000;;;4,79;
191222;0000;;;4,14;
191223;0000;;;7,32;
191224;0000;;;2,85;
191225;0000;;;2,96;
191226;0000;;;4,49;
191227;0000;;;3,15;
191228;0000;;;2,79;
191229;0000;;;3,09;
191230;0000;;;8,65;
191231;0000;;;7,55;
200101;0000;;;2,86;
200102;0000;;;3,48;
200103;0000;;;4,9;
200104;0000;;;2,53;
200105;0000;;;1,54;
200106;0000;;;7,12;
200107;0000;;;3,01;
200108;0000;;;1,02;
200109;0000;;;2,77;
200110;0000;;;4,98;
200111;0000;;;4,79;
200112;0000;;;2,8;
200113;0000;;;7,16;
200114;0000;;;2,1;
200115;0000;;;3,87;
200116;0000;;;1,68;
200117;0000;;;5,59;
200118;0000;;;3,32;
200119;0000;;;1,01;
200120;0000;;;7,05;
200121;0000;;;4,29;
200122;0000;;;16,72;
200123;0000;;;2,35;
200124;0000;;;3,95;
200125;0000;;;2,96;
200126;0000;;;1,67;
200127;0000;;;8,18;
200128;0000;;;3,45;
200129;0000;;;2,56;
200130;0000;;;3,7;
200131;0000;;;2,35;
200201;0000;;;2;
200202;0000;;;1,68;
200203;0000;;;5,93;
200204;0000;;;1,68;
200205;0000;;;3,38;
200206;0000;;;2,98;
200207;0000;;;3,8;
200208;0000;;;5,47;
200209;0000;;;3,93;
200210;0000;;;8,85;
200211;0000;;;4,05;
200212;0000;;;4,47;
200213;0000;;;4,05;
200214;0000;;;3,86;
200215;0000;;;3,5;
200216;0000;;;1,52;
200217;0000;;;7,25;
200218;0000;;;3,64;
200219;0000;;;3,42;
200220;0000;;;4,68;
200221;0000;;;5,09;
200222;0000;;;2,62;
200223;0000;;;3,03;
200224;0000;;;7,07;
200225;0000;;;4,4;
200226;0000;;;4,86;
200227;0000;;;5,2;
200228;0000;;;4,5;
200229;0000;;;5,24;
200301;0000;;;4,54;
200302;0000;;;10,28;
200303;0000;;;6,08;
200304;0000;;;4,94;
200305;0000;;;5,28;
200306;0000;;;2,98;
200307;0000;;;2,09;
200308;0000;;;2,82;
200309;0000;;;8,58;
200310;0000;;;2,18;
200311;0000;;;3,27;
200312;0000;;;2,49;
200313;0000;;;2,7;
200314;0000;;;3,18;
200315;0000;;;2,73;
200316;0000;;;7,57;
200317;0000;;;4,73;
200318;0000;;;4,01;
200319;0000;;;4,71;
200320;0000;;;3,38;
200321;0000;;;2,12;
200322;0000;;;1,67;
200323;0000;;;7,37;
200324;0000;;;5,23;
200325;0000;;;24,28;
200326;0000;;;18,67;
200327;0000;;;3,57;
200328;0000;;;;
200329;0000;;;;
200330;0000;;;;
200331;0000;;;;
