FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190718;0000;;;13;
190719;0000;;;14;
190720;0000;;;23;
190721;0000;;;28;
190722;0000;;;16;
190723;0000;;;19;
190724;0000;;;14;
190725;0000;;;11;
190726;0000;;;11;
190727;0000;;;10;
190728;0000;;;15;
190729;0000;;;24;
190730;0000;;;21;
190731;0000;;;21;
190801;0000;;;20;
190802;0000;;;17;
190803;0000;;;11;
190804;0000;;;12;
190805;0000;;;24;
190806;0000;;;20;
190807;0000;;;19;
190808;0000;;;25;
190809;0000;;;18;
190810;0000;;;17;
190811;0000;;;29;
190812;0000;;;24;
190813;0000;;;14;
190814;0000;;;17;
190815;0000;;;25;
190816;0000;;;20;
190817;0000;;;31;
190818;0000;;;19;
190819;0000;;;20;
190820;0000;;;16;
190821;0000;;;16;
190822;0000;;;16;
190823;0000;;;12;
190824;0000;;;20;
190825;0000;;;20;
190826;0000;;;25;
190827;0000;;;19;
190828;0000;;;23;
190829;0000;;;22;
190830;0000;;;23;
190831;0000;;;29;
190901;0000;;;28;
190902;0000;;;32;
190903;0000;;;22;
190904;0000;;;19;
190905;0000;;;23;
190906;0000;;;18;
190907;0000;;;21;
190908;0000;;;21;
190909;0000;;;30;
190910;0000;;;19;
190911;0000;;;20;
190912;0000;;;21;
190913;0000;;;21;
190914;0000;;;18;
190915;0000;;;28;
190916;0000;;;27;
190917;0000;;;28;
190918;0000;;;22;
190919;0000;;;24;
190920;0000;;;22;
190921;0000;;;24;
190922;0000;;;24;
190923;0000;;;29;
190924;0000;;;30;
190925;0000;;;24;
190926;0000;;;28;
190927;0000;;;29;
190928;0000;;;21;
190929;0000;;;24;
190930;0000;;;32;
191001;0000;;;21;
191002;0000;;;25;
191003;0000;;;18;
191004;0000;;;20;
191005;0000;;;22;
191006;0000;;;25;
191007;0000;;;30;
191008;0000;;;33;
191009;0000;;;15;
191010;0000;;;16;
191011;0000;;;20;
191012;0000;;;19;
191013;0000;;;21;
191014;0000;;;24;
191015;0000;;;23;
191016;0000;;;20;
191017;0000;;;22;
191018;0000;;;20;
191019;0000;;;21;
191020;0000;;;26;
191021;0000;;;29;
191022;0000;;;26;
191023;0000;;;23;
191024;0000;;;22;
191025;0000;;;17;
191026;0000;;;18;
191027;0000;;;20;
191028;0000;;;24;
191029;0000;;;20;
191030;0000;;;18;
191031;0000;;;17;
191101;0000;;;18;
191102;0000;;;20;
191103;0000;;;17;
191104;0000;;;28;
191105;0000;;;23;
191106;0000;;;21;
191107;0000;;;22;
191108;0000;;;21;
191109;0000;;;21;
191110;0000;;;20;
