FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190718;0000;;;0,19;
190719;0000;;;0,24;
190720;0000;;;0,17;
190721;0000;;;0,13;
190722;0000;;;0,33;
190723;0000;;;0,5;
190724;0000;;;0,74;
190725;0000;;;7,61;
190726;0000;;;0,48;
190727;0000;;;0,35;
190728;0000;;;0,31;
190729;0000;;;2,34;
190730;0000;;;0,05;
190731;0000;;;0,04;
190801;0000;;;0,05;
190802;0000;;;0,37;
190803;0000;;;0,68;
190804;0000;;;0,87;
190805;0000;;;2,69;
190806;0000;;;0,43;
190807;0000;;;18,26;
190808;0000;;;0,6;
190809;0000;;;0,52;
190810;0000;;;0,49;
190811;0000;;;0,39;
190812;0000;;;2,96;
190813;0000;;;10,77;
190814;0000;;;0,69;
190815;0000;;;0,15;
190816;0000;;;0,29;
190817;0000;;;0,2;
190818;0000;;;0,4;
190819;0000;;;2,61;
190820;0000;;;6,45;
190821;0000;;;0,29;
190822;0000;;;0,56;
190823;0000;;;0,59;
190824;0000;;;0,42;
190825;0000;;;0,35;
190826;0000;;;0,12;
190827;0000;;;3,33;
190828;0000;;;0,24;
190829;0000;;;0,21;
190830;0000;;;0,65;
190831;0000;;;0,39;
190901;0000;;;0,36;
190902;0000;;;1,33;
190903;0000;;;5,39;
190904;0000;;;1,62;
190905;0000;;;0,33;
190906;0000;;;0,35;
190907;0000;;;0,53;
190908;0000;;;0,45;
190909;0000;;;2,55;
190910;0000;;;5,91;
190911;0000;;;0,25;
190912;0000;;;0,61;
190913;0000;;;0,68;
190914;0000;;;0,41;
190915;0000;;;0,04;
190916;0000;;;6,13;
190917;0000;;;0,26;
190918;0000;;;0,34;
190919;0000;;;0,23;
190920;0000;;;0,3;
190921;0000;;;0,55;
190922;0000;;;0,58;
190923;0000;;;2,94;
190924;0000;;;0,79;
190925;0000;;;0,57;
190926;0000;;;0,6;
190927;0000;;;0,21;
190928;0000;;;0,36;
190929;0000;;;0,31;
190930;0000;;;3,04;
191001;0000;;;0,41;
191002;0000;;;0,3;
191003;0000;;;0,36;
191004;0000;;;0,46;
191005;0000;;;0,62;
191006;0000;;;0,53;
191007;0000;;;5,98;
191008;0000;;;1,24;
191009;0000;;;0,53;
191010;0000;;;0,57;
191011;0000;;;0,81;
191012;0000;;;0,77;
191013;0000;;;1,48;
191014;0000;;;7,12;
191015;0000;;;0,52;
191016;0000;;;0,49;
191017;0000;;;0,49;
191018;0000;;;1,84;
191019;0000;;;0,75;
191020;0000;;;0,5;
191021;0000;;;6,41;
191022;0000;;;0,29;
191023;0000;;;0,73;
191024;0000;;;0,32;
191025;0000;;;0,32;
191026;0000;;;0,07;
191027;0000;;;0,05;
191028;0000;;;6,41;
191029;0000;;;0;
191030;0000;;;1,36;
191031;0000;;;0,67;
191101;0000;;;0,37;
191102;0000;;;0,67;
191103;0000;;;0,48;
191104;0000;;;6,51;
191105;0000;;;0,59;
191106;0000;;;1,14;
191107;0000;;;0,52;
191108;0000;;;29,4;
191109;0000;;;1,26;
191110;0000;;;0,22;
191111;0000;;;0,3;
191112;0000;;;0,26;
191113;0000;;;0,3;
191114;0000;;;0,33;
191115;0000;;;0,28;
191116;0000;;;0,22;
191117;0000;;;0,19;
