FECHA (YYMMDD);HORA (HHMM);;
190717;0100;;
190717;0200;;
190717;0300;;
190717;0400;;
190717;0500;;
190717;0600;;
190717;0700;;
190717;0800;;
190717;0900;;
190717;1000;;
190717;1100;;
190717;1200;;
190717;1300;;
190717;1400;;
190717;1500;11,67;
190717;1600;12,37;
190717;1700;11,51;
190717;1800;9,87;
190717;1900;8,23;
190717;2000;7,056;
190717;2100;6,43;
190717;2200;6,099;
190717;2300;5,819;
190718;0000;5,201;
190718;0100;4,295;
190718;0200;3,42;
190718;0300;3,279;
190718;0400;2,867;
190718;0500;2,188;
190718;0600;1,923;
190718;0700;1,974;
190718;0800;1,884;
190718;0900;1,979;
190718;1000;3,614;
190718;1100;5,422;
190718;1200;8,37;
190718;1300;11,18;
190718;1400;12,2;
190718;1500;12,87;
190718;1600;12,89;
190718;1700;11,64;
190718;1800;8,09;
190718;1900;6,69;
190718;2000;6,074;
190718;2100;5,577;
190718;2200;5,582;
190718;2300;5,219;
190719;0000;5,243;
190719;0100;5,201;
190719;0200;5,122;
190719;0300;5,165;
190719;0400;4,7;
190719;0500;4,542;
190719;0600;4,432;
190719;0700;4,704;
190719;0800;4,606;
190719;0900;4,958;
190719;1000;5,798;
190719;1100;7,639;
190719;1200;10,91;
190719;1300;11,93;
190719;1400;12,3;
190719;1500;11,75;
190719;1600;10,29;
190719;1700;9,95;
190719;1800;10,09;
190719;1900;10,21;
190719;2000;10,09;
190719;2100;10,26;
190719;2200;9,94;
190719;2300;10,15;
190720;0000;9,86;
190720;0100;9,31;
190720;0200;8,83;
190720;0300;8,74001;
190720;0400;8,86;
190720;0500;9,41;
190720;0600;9,74001;
190720;0700;9,82001;
190720;0800;9,78999;
190720;0900;9,09;
190720;1000;9,25;
190720;1100;10,52;
190720;1200;11,05;
190720;1300;11,28;
190720;1400;11,42;
190720;1500;11,68;
190720;1600;11,57;
190720;1700;11,47;
190720;1800;11,39;
190720;1900;10,41;
190720;2000;9,64999;
190720;2100;9,19;
190720;2200;9,45;
190720;2300;9,43001;
190721;0000;9,32001;
190721;0100;8,75;
190721;0200;7,923;
190721;0300;7,228;
190721;0400;8,10001;
190721;0500;7,863;
190721;0600;7,707;
190721;0700;7,73;
190721;0800;7,355;
190721;0900;8,46001;
190721;1000;8,71001;
190721;1100;10,16;
190721;1200;10,09;
190721;1300;11,4;
190721;1400;10,88;
190721;1500;9,44;
190721;1600;9,71001;
190721;1700;9;
190721;1800;8,2;
190721;1900;7,521;
190721;2000;6,683;
190721;2100;6,934;
190721;2200;6,814;
190721;2300;6,654;
190722;0000;5,996;
190722;0100;5,207;
190722;0200;5,2;
190722;0300;4,37;
190722;0400;3,565;
190722;0500;3,991;
190722;0600;4,17;
190722;0700;4,208;
190722;0800;3,908;
190722;0900;3,896;
190722;1000;3,93;
190722;1100;4,133;
190722;1200;4,858;
190722;1300;5,763;
190722;1400;7,597;
190722;1500;9,47;
190722;1600;10,28;
190722;1700;9,60001;
190722;1800;7,618;
190722;1900;6,231;
190722;2000;5,219;
190722;2100;5,639;
190722;2200;5,082;
190722;2300;4,462;
