FECHA (YYMMDD);HORA (HHMM);;
190717;0100;;
190717;0200;;
190717;0300;;
190717;0400;;
190717;0500;;
190717;0600;;
190717;0700;;
190717;0800;;
190717;0900;;
190717;1000;;
190717;1100;;
190717;1200;;
190717;1300;;
190717;1400;;
190717;1500;0,906;
190717;1600;1,018;
190717;1700;1,251;
190717;1800;0,992;
190717;1900;0,406;
190717;2000;0,651;
190717;2100;0,409;
190717;2200;0,516;
190717;2300;0,473;
190718;0000;0,531;
190718;0100;0,432;
190718;0200;0,389;
190718;0300;0,765;
190718;0400;0,426;
190718;0500;0,464;
190718;0600;0,464;
190718;0700;0,303;
190718;0800;0,438;
190718;0900;0,308;
190718;1000;0,671;
190718;1100;0,718;
190718;1200;0,881;
190718;1300;0,799;
190718;1400;1,386;
190718;1500;1,329;
190718;1600;1,496;
190718;1700;0,87;
190718;1800;0,185;
190718;1900;0,256;
190718;2000;0,494;
190718;2100;0,802;
190718;2200;0,701;
190718;2300;0,686;
190719;0000;0,583;
190719;0100;0,825;
190719;0200;0,418;
190719;0300;0,389;
190719;0400;0,36;
190719;0500;0,48;
190719;0600;0,201;
190719;0700;0,237;
190719;0800;1,042;
190719;0900;1,013;
190719;1000;0,917;
190719;1100;0,872;
190719;1200;2,031;
190719;1300;2,512;
190719;1400;3,011;
190719;1500;2,813;
190719;1600;2,058;
190719;1700;1,327;
190719;1800;1,579;
190719;1900;1,731;
190719;2000;1,985;
190719;2100;2,684;
190719;2200;1,055;
190719;2300;1,154;
190720;0000;1,149;
190720;0100;0,973;
190720;0200;0,924;
190720;0300;0,896;
190720;0400;1,08;
190720;0500;1,266;
190720;0600;1,638;
190720;0700;1,416;
190720;0800;2,128;
190720;0900;2,273;
190720;1000;2,334;
190720;1100;2,329;
190720;1200;2,786;
190720;1300;3,081;
190720;1400;3,102;
190720;1500;3,531;
190720;1600;3,552;
190720;1700;3,068;
190720;1800;3,152;
190720;1900;3,318;
190720;2000;3,105;
190720;2100;3,621;
190720;2200;4,006;
190720;2300;3,573;
190721;0000;3,515;
190721;0100;2,365;
190721;0200;1,343;
190721;0300;0,945;
190721;0400;3,341;
190721;0500;3,204;
190721;0600;3,203;
190721;0700;2,472;
190721;0800;1,74;
190721;0900;2,046;
190721;1000;2,712;
190721;1100;2,944;
190721;1200;3,757;
190721;1300;4,584;
190721;1400;4,744;
190721;1500;3,938;
190721;1600;3,424;
190721;1700;1,063;
190721;1800;0,35;
190721;1900;0,621;
190721;2000;0,671;
190721;2100;0,861;
190721;2200;0,814;
190721;2300;0,372;
190722;0000;0,478;
190722;0100;0,644;
190722;0200;0,544;
190722;0300;0,413;
190722;0400;0,756;
190722;0500;0,777;
190722;0600;0,464;
190722;0700;0,421;
190722;0800;0,506;
190722;0900;0,779;
190722;1000;1,253;
190722;1100;1,778;
190722;1200;1,536;
190722;1300;1,575;
190722;1400;1,122;
190722;1500;1,644;
190722;1600;1,964;
190722;1700;1,841;
190722;1800;0,682;
190722;1900;0,413;
190722;2000;0,242;
190722;2100;0,52;
190722;2200;0,38;
190722;2300;0,492;
190723;0000;0,703;
