FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200208;0000;;;0,06;
200209;0000;;;0,08;
200210;0000;;;0,07;
200211;0000;;;0,06;
200212;0000;;;0,13;
200213;0000;;;0,64;
200214;0000;;;0,11;
200215;0000;;;0,1;
200216;0000;;;0,07;
200217;0000;;;0,07;
200218;0000;;;0,07;
200219;0000;;;0,05;
200220;0000;;;0,1;
200221;0000;;;0,49;
200222;0000;;;0,08;
200223;0000;;;0,11;
200224;0000;;;0,08;
200225;0000;;;0,08;
200226;0000;;;0,08;
200227;0000;;;0,36;
200228;0000;;;0,1;
200229;0000;;;0,11;
200301;0000;;;0,1;
200302;0000;;;0,14;
200303;0000;;;0,1;
200304;0000;;;0,18;
200305;0000;;;0,34;
200306;0000;;;0,07;
200307;0000;;;0,11;
200308;0000;;;0,1;
200309;0000;;;0,1;
200310;0000;;;0,1;
200311;0000;;;0,1;
200312;0000;;;0,35;
200313;0000;;;0,11;
200314;0000;;;0,1;
200315;0000;;;0,09;
200316;0000;;;;
200317;0000;;;0,13;
200318;0000;;;0,11;
200319;0000;;;0,12;
200320;0000;;;0,95;
200321;0000;;;0,13;
200322;0000;;;0,06;
200323;0000;;;0,1;
200324;0000;;;0,25;
200325;0000;;;0,22;
200326;0000;;;0,12;
200327;0000;;;0,45;
200328;0000;;;0,09;
200329;0000;;;0,08;
200330;0000;;;0,12;
200331;0000;;;0,09;
200401;0000;;;0,08;
200402;0000;;;0,33;
200403;0000;;;0,07;
200404;0000;;;0,07;
200405;0000;;;0,2;
200406;0000;;;0,09;
200407;0000;;;0,44;
200408;0000;;;0,26;
200409;0000;;;1,02;
200410;0000;;;0,54;
200411;0000;;;0,08;
200412;0000;;;0,3;
200413;0000;;;0,52;
200414;0000;;;0,91;
200415;0000;;;0,47;
200416;0000;;;0,32;
200417;0000;;;0,33;
200418;0000;;;0,26;
200419;0000;;;0,28;
200420;0000;;;0,08;
200421;0000;;;0,82;
200422;0000;;;0,72;
200423;0000;;;0,53;
200424;0000;;;0,65;
200425;0000;;;0,61;
200426;0000;;;0,58;
200427;0000;;;0,73;
200428;0000;;;1,09;
200429;0000;;;1,2;
200430;0000;;;1,85;
200501;0000;;;1,69;
200502;0000;;;0,65;
200503;0000;;;0,6;
200504;0000;;;0,48;
200505;0000;;;0,47;
200506;0000;;;0,8;
200507;0000;;;1,86;
200508;0000;;;1,61;
200509;0000;;;0,47;
200510;0000;;;1,01;
200511;0000;;;1,2;
200512;0000;;;1,09;
200513;0000;;;1,51;
200514;0000;;;1,37;
200515;0000;;;1,31;
200516;0000;;;0,89;
200517;0000;;;1,96;
200518;0000;;;0,66;
200519;0000;;;0,63;
200520;0000;;;0,92;
200521;0000;;;1,31;
200522;0000;;;3,04;
200523;0000;;;2,62;
200524;0000;;;1,51;
200525;0000;;;1,74;
200526;0000;;;2,24;
200527;0000;;;1,4;
200528;0000;;;1,45;
200529;0000;;;1,49;
200530;0000;;;1,01;
200531;0000;;;1,6;
200601;0000;;;2,33;
200602;0000;;;1,04;
200603;0000;;;;
200604;0000;;;;
200605;0000;;;;
200606;0000;;;;
200607;0000;;;;
200608;0000;;;;
200609;0000;;;;
200610;0000;;;;
200611;0000;;;0,8;
200612;0000;;;;
200613;0000;;;1,3;
200614;0000;;;1,54;
200615;0000;;;0,35;
200616;0000;;;0,24;
200617;0000;;;0,31;
200618;0000;;;1,27;
200619;0000;;;1,29;
200620;0000;;;1,42;
200621;0000;;;1,29;
200622;0000;;;1,45;
200623;0000;;;1,9;
200624;0000;;;2,1;
