FECHA (YYMMDD);HORA (HHMM);;
190429;0100;;
190429;0200;;
190429;0300;;
190429;0400;;
190429;0500;;
190429;0600;;
190429;0700;;
190429;0800;;
190429;0900;;
190429;1000;;
190429;1100;;
190429;1200;;
190429;1300;;
190429;1400;;
190429;1500;;
190429;1600;;
190429;1700;185,3;
190429;1800;186,9;
190429;1900;183,9;
190429;2000;192;
190429;2100;171,5;
190429;2200;170,5;
190429;2300;170,4;
190430;0000;158,5;
190430;0100;142,8;
190430;0200;174,9;
190430;0300;194;
190430;0400;154,5;
190430;0500;137,9;
190430;0600;127,2;
190430;0700;179,2;
190430;0800;123;
190430;0900;120,6;
190430;1000;123,9;
190430;1100;130,7;
190430;1200;138,9;
190430;1300;127,6;
190430;1400;134,2;
190430;1500;136,9;
190430;1600;147,4;
190430;1700;128,3;
190430;1800;119,7;
190430;1900;186,5;
190430;2000;350,3;
190430;2100;353,3;
190430;2200;315,4;
190430;2300;299,1;
190501;0000;279;
190501;0100;17,27;
190501;0200;97;
190501;0300;211,7;
190501;0400;216,6;
190501;0500;217,5;
190501;0600;356,2;
190501;0700;54,2;
190501;0800;19,49;
190501;0900;54,08;
190501;1000;96;
190501;1100;84;
190501;1200;293,6;
190501;1300;299;
190501;1400;328,6;
190501;1500;317;
190501;1600;324,5;
190501;1700;344,8;
190501;1800;345,4;
190501;1900;2,927;
190501;2000;18,79;
190501;2100;5,934;
190501;2200;0,164;
190501;2300;11,99;
190502;0000;6,094;
190502;0100;5,444;
190502;0200;10,03;
190502;0300;2,098;
190502;0400;11,27;
190502;0500;10,49;
190502;0600;13,05;
190502;0700;350,9;
190502;0800;349,6;
190502;0900;353;
190502;1000;0,784;
190502;1100;356,8;
190502;1200;352,2;
190502;1300;0,682;
190502;1400;0,274;
190502;1500;3,848;
190502;1600;7,5;
190502;1700;9,52;
190502;1800;29,25;
190502;1900;42,47;
190502;2000;10,27;
190502;2100;14,07;
190502;2200;20,34;
190502;2300;21,05;
190503;0000;23,55;
190503;0100;41,77;
190503;0200;48,39;
190503;0300;31,68;
190503;0400;11,38;
190503;0500;11,68;
190503;0600;26,63;
190503;0700;16,41;
190503;0800;21,05;
190503;0900;15,07;
190503;1000;12,74;
190503;1100;8,58;
190503;1200;4,695;
190503;1300;1,335;
190503;1400;11,58;
190503;1500;10,11;
190503;1600;11,04;
190503;1700;33,74;
190503;1800;17,01;
190503;1900;18,4;
190503;2000;9,68001;
190503;2100;4,33;
190503;2200;11,73;
190503;2300;19,13;
190504;0000;9,21001;
190504;0100;6,128;
190504;0200;5,817;
190504;0300;18,19;
190504;0400;20,98;
190504;0500;15,26;
190504;0600;8,03;
190504;0700;48,49;
190504;0800;21,63;
190504;0900;18,83;
190504;1000;34,09;
190504;1100;30,61;
190504;1200;25,48;
190504;1300;18,26;
190504;1400;11,3;
190504;1500;346,8;
190504;1600;337,8;
190504;1700;330,2;
190504;1800;314,7;
190504;1900;67,04;
190504;2000;312,9;
190504;2100;102,5;
190504;2200;211,7;
190504;2300;6,989;
