FECHA (YYMMDD);HORA (HHMM);;
200207;0100;;
200207;0200;;
200207;0300;;
200207;0400;;
200207;0500;;
200207;0600;;
200207;0700;;
200207;0800;;
200207;0900;37,32;
200207;1000;34,79;
200207;1100;28,97;
200207;1200;20,76;
200207;1300;16,59;
200207;1400;15,02;
200207;1500;13,83;
200207;1600;12,63;
200207;1700;13,53;
200207;1800;21,96;
200207;1900;29,86;
200207;2000;32,55;
200207;2100;35,83;
200207;2200;42,54;
200207;2300;43,14;
200208;0000;42,24;
200208;0100;45,45;
200208;0200;49,41;
200208;0300;55,74;
200208;0400;64,55;
200208;0500;68,65;
200208;0600;70,74;
200208;0700;56,42;
200208;0800;40,38;
200208;0900;34,49;
200208;1000;30,68;
200208;1100;29,79;
200208;1200;26,06;
200208;1300;22,78;
200208;1400;20,24;
200208;1500;13,45;
200208;1600;14,95;
200208;1700;16,59;
200208;1800;21,51;
200208;1900;26,81;
200208;2000;35,38;
200208;2100;46,27;
200208;2200;51,2;
200208;2300;50,3;
200209;0000;60,37;
200209;0100;68,58;
200209;0200;;
200209;0300;75,51;
200209;0400;78,5;
200209;0500;84,5;
200209;0600;82,7;
200209;0700;66,04;
200209;0800;39,34;
200209;0900;35,38;
200209;1000;32,4;
200209;1100;30,09;
200209;1200;29,04;
200209;1300;26,88;
200209;1400;21,81;
200209;1500;19,35;
200209;1600;19,05;
200209;1700;25,54;
200209;1800;31,36;
200209;1900;;
200209;2000;;
200209;2100;44,78;
200209;2200;50,3;
200209;2300;54,18;
200210;0000;61,49;
200210;0100;60,22;
200210;0200;57,61;
200210;0300;73,42;
200210;0400;74,47;
200210;0500;75,66;
200210;0600;77,6;
200210;0700;50,3;
200210;0800;35,91;
200210;0900;36,95;
200210;1000;34,41;
200210;1100;33,44;
200210;1200;29,12;
200210;1300;28,82;
200210;1400;26,95;
200210;1500;24,27;
200210;1600;24,05;
200210;1700;29,79;
200210;1800;36,43;
200210;1900;37,32;
200210;2000;40,61;
200210;2100;48,44;
200210;2200;54,18;
200210;2300;59,18;
200211;0000;63,43;
200211;0100;66,5601;
200211;0200;71,11;
200211;0300;74,25;
200211;0400;75,96;
200211;0500;79,3199;
200211;0600;79,91;
200211;0700;70,8101;
200211;0800;55,82;
200211;0900;46,35;
200211;1000;40,23;
200211;1100;32,77;
200211;1200;33,29;
200211;1300;30,68;
200211;1400;27,48;
200211;1500;25,91;
200211;1600;25,69;
200211;1700;27,48;
200211;1800;29,57;
200211;1900;35,31;
200211;2000;41,58;
200211;2100;48,37;
200211;2200;53,21;
200211;2300;62,46;
200212;0000;69,25;
200212;0100;73,35;
200212;0200;77,3;
200212;0300;81,4;
200212;0400;84,2;
200212;0500;86,7;
200212;0600;88;
200212;0700;81;
200212;0800;73,0601;
200212;0900;70,4401;
200212;1000;51,64;
200212;1100;42,25;
200212;1200;36,13;
200212;1300;34,64;
200212;1400;30,09;
200212;1500;28,3;
200212;1600;26,81;
200212;1700;28,15;
200212;1800;35,23;
200212;1900;44,56;
200212;2000;49,55;
200212;2100;54,78;
200212;2200;55;
200212;2300;59,92;
200213;0000;62,46;
200213;0100;70,89;
200213;0200;67,53;
200213;0300;68,72;
200213;0400;69,3199;
200213;0500;75,58;
200213;0600;72,46;
200213;0700;66,1901;
200213;0800;49,48;
200213;0900;39,56;
200213;1000;33,74;
200213;1100;30,31;
200213;1200;25,61;
200213;1300;25,31;
200213;1400;22,48;
200213;1500;20,02;
200213;1600;20,62;
200213;1700;25,39;
200213;1800;31,21;
200213;1900;37,4;
200213;2000;44,56;
200213;2100;50,45;
200213;2200;55,97;
200213;2300;59,55;
200214;0000;62,68;
200214;0100;;
200214;0200;70,29;
200214;0300;75,66;
200214;0400;81,6;
200214;0500;80,4;
200214;0600;67,84;
200214;0700;59,64;
200214;0800;45,38;
200214;0900;43,51;
200214;1000;34,86;
200214;1100;33;
200214;1200;30,46;
200214;1300;27,03;
200214;1400;26,96;
200214;1500;29,71;
200214;1600;28,07;
200214;1700;30,16;
200214;1800;37,7;
200214;1900;46,79;
200214;2000;53,73;
200214;2100;57,68;
200214;2200;60,07;
200214;2300;64,62;
200215;0000;69,77;
200215;0100;74,24;
200215;0200;82,2;
200215;0300;84,1;
200215;0400;89,2;
200215;0500;90,9;
200215;0600;91,7;
200215;0700;81,3;
200215;0800;61,19;
200215;0900;51,94;
200215;1000;44,71;
200215;1100;36,06;
200215;1200;29,57;
200215;1300;31,65;
200215;1400;29,27;
200215;1500;29,12;
200215;1600;28,6;
200215;1700;29,94;
200215;1800;33,07;
200215;1900;42,54;
200215;2000;;
200215;2100;60,07;
200215;2200;61,56;
200215;2300;67,01;
200216;0000;72,45;
200216;0100;74,54;
200216;0200;79,17;
200216;0300;81,6;
200216;0400;84,2;
200216;0500;86,5;
200216;0600;87,7;
200216;0700;77,15;
200216;0800;57,98;
200216;0900;52,31;
200216;1000;43,29;
200216;1100;43,29;
200216;1200;35,61;
200216;1300;31,13;
200216;1400;;
200216;1500;;
200216;1600;;
200216;1700;30,76;
200216;1800;50,08;
200216;1900;55,07;
200216;2000;57,39;
200216;2100;57,01;
200216;2200;58,36;
