FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190430;0000;;;46;
190501;0000;;;52;
190502;0000;;;20;
190503;0000;;;14;
190504;0000;;;50;
190505;0000;;;73;
190506;0000;;;116;
190507;0000;;;42;
190508;0000;;;42;
190509;0000;;;76;
190510;0000;;;94;
190511;0000;;;80;
190512;0000;;;35;
190513;0000;;;96;
190514;0000;;;185;
190515;0000;;;148;
190516;0000;;;96;
190517;0000;;;74;
190518;0000;;;124;
190519;0000;;;115;
190520;0000;;;105;
190521;0000;;;119;
190522;0000;;;361;
190523;0000;;;176;
190524;0000;;;153;
190525;0000;;;153;
190526;0000;;;150;
190527;0000;;;83;
190528;0000;;;102;
190529;0000;;;70;
190530;0000;;;30;
190531;0000;;;37;
190601;0000;;;29;
190602;0000;;;99;
190603;0000;;;94;
190604;0000;;;45;
190605;0000;;;31;
190606;0000;;;99;
190607;0000;;;90;
190608;0000;;;94;
190609;0000;;;74;
190610;0000;;;49;
190611;0000;;;152;
190612;0000;;;65;
190613;0000;;;65;
190614;0000;;;69;
190615;0000;;;131;
190616;0000;;;196;
190617;0000;;;80;
190618;0000;;;;
190619;0000;;;;
190620;0000;;;;
190621;0000;;;136;
190622;0000;;;128;
190623;0000;;;82;
190624;0000;;;110;
190625;0000;;;72;
190626;0000;;;26;
190627;0000;;;59;
190628;0000;;;80;
190629;0000;;;59;
190630;0000;;;;
190701;0000;;;;
190702;0000;;;;
190703;0000;;;;
190704;0000;;;;
190705;0000;;;;
190706;0000;;;;
190707;0000;;;;
190708;0000;;;;
190709;0000;;;;
190710;0000;;;82;
190711;0000;;;76;
190712;0000;;;73;
190713;0000;;;114;
190714;0000;;;75;
190715;0000;;;247;
190716;0000;;;156;
190717;0000;;;114;
190718;0000;;;121;
190719;0000;;;80;
190720;0000;;;38;
190721;0000;;;66;
190722;0000;;;64;
190723;0000;;;20;
190724;0000;;;121;
190725;0000;;;180;
190726;0000;;;133;
190727;0000;;;161;
190728;0000;;;54;
190729;0000;;;41;
190730;0000;;;43;
190731;0000;;;102;
190801;0000;;;55;
190802;0000;;;38;
190803;0000;;;144;
190804;0000;;;191;
190805;0000;;;72;
190806;0000;;;74;
190807;0000;;;74;
190808;0000;;;93;
190809;0000;;;160;
190810;0000;;;116;
190811;0000;;;81;
190812;0000;;;81;
190813;0000;;;202;
