FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200208;0000;;;4,04446;
200209;0000;;;3,72143;
200210;0000;;;11,3834;
200211;0000;;;10,3285;
200212;0000;;;14,7492;
200213;0000;;;22,6478;
200214;0000;;;11,6483;
200215;0000;;;6,91;
200216;0000;;;5,51881;
200217;0000;;;9,394;
200218;0000;;;29,6205;
200219;0000;;;28,5887;
200220;0000;;;21,0688;
200221;0000;;;9,5038;
200222;0000;;;1,06829;
200223;0000;;;2,0914;
200224;0000;;;13,7995;
200225;0000;;;11,4688;
200226;0000;;;11,1346;
200227;0000;;;12,4604;
200228;0000;;;7,92042;
200229;0000;;;2,53929;
200301;0000;;;0,217952;
200302;0000;;;1,61875;
200303;0000;;;4,57933;
200304;0000;;;3,91054;
200305;0000;;;18,4518;
200306;0000;;;2,42308;
200307;0000;;;5,66454;
200308;0000;;;2,84176;
200309;0000;;;5,36705;
200310;0000;;;5,76292;
200311;0000;;;3,127;
200312;0000;;;7,50579;
200313;0000;;;8,19446;
200314;0000;;;21,8991;
200315;0000;;;8,52725;
200316;0000;;;;
200317;0000;;;10,1085;
200318;0000;;;10,0051;
200319;0000;;;13,3485;
200320;0000;;;11,2527;
200321;0000;;;1,19588;
200322;0000;;;2,33122;
200323;0000;;;2,43937;
200324;0000;;;5,951;
200325;0000;;;10,9159;
200326;0000;;;8,50621;
200327;0000;;;11,1985;
200328;0000;;;7,70842;
200329;0000;;;14,5061;
200330;0000;;;16,2454;
200331;0000;;;16,8609;
200401;0000;;;17,4792;
200402;0000;;;25,081;
200403;0000;;;19,8858;
200404;0000;;;21,4758;
200405;0000;;;6,25637;
200406;0000;;;22,8787;
200407;0000;;;14,7417;
200408;0000;;;10,0649;
200409;0000;;;21,3636;
200410;0000;;;4,17;
200411;0000;;;10,4094;
200412;0000;;;7,24995;
200413;0000;;;8,72084;
200414;0000;;;12,2882;
200415;0000;;;4,12175;
200416;0000;;;6,03213;
200417;0000;;;14,2085;
200418;0000;;;3,50304;
200419;0000;;;5,09431;
200420;0000;;;11,9367;
200421;0000;;;15,3667;
200422;0000;;;16,3633;
200423;0000;;;3,82954;
200424;0000;;;5,03183;
200425;0000;;;1,84974;
200426;0000;;;3,93542;
200427;0000;;;2,91488;
200428;0000;;;13,651;
200429;0000;;;18,1757;
200430;0000;;;35,5663;
200501;0000;;;14,5286;
200502;0000;;;6,26225;
200503;0000;;;3,41533;
200504;0000;;;2,16183;
200505;0000;;;5,93658;
200506;0000;;;14,7564;
200507;0000;;;26,1274;
200508;0000;;;21,6955;
200509;0000;;;0,35125;
200510;0000;;;7,99075;
200511;0000;;;13,9752;
200512;0000;;;25,3707;
200513;0000;;;21,5435;
200514;0000;;;20,4226;
200515;0000;;;18,3375;
200516;0000;;;14,1425;
200517;0000;;;17,1484;
200518;0000;;;3,22092;
200519;0000;;;1,64779;
200520;0000;;;4,46113;
200521;0000;;;14,2748;
200522;0000;;;48,6017;
200523;0000;;;35,4996;
200524;0000;;;13,3219;
200525;0000;;;34,3867;
200526;0000;;;28,8158;
200527;0000;;;26,3679;
200528;0000;;;26,8671;
200529;0000;;;21,9947;
200530;0000;;;19,964;
200531;0000;;;12,5999;
200601;0000;;;31,9213;
200602;0000;;;16,8815;
200603;0000;;;;
200604;0000;;;;
200605;0000;;;;
200606;0000;;;;
200607;0000;;;;
200608;0000;;;;
200609;0000;;;;
200610;0000;;;;
200611;0000;;;9,3244;
200612;0000;;;;
