FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200208;0000;;;9,03;
200209;0000;;;9,43;
200210;0000;;;12,96;
200211;0000;;;10,02;
200212;0000;;;11,98;
200213;0000;;;17,92;
200214;0000;;;8,99;
200215;0000;;;7,49;
200216;0000;;;5,42;
200217;0000;;;8,17;
200218;0000;;;16,32;
200219;0000;;;17,71;
200220;0000;;;18,96;
200221;0000;;;10,7;
200222;0000;;;5,08;
200223;0000;;;5,43;
200224;0000;;;10,2;
200225;0000;;;10,16;
200226;0000;;;11,42;
200227;0000;;;12,09;
200228;0000;;;11,62;
200229;0000;;;8,26;
200301;0000;;;3,57;
200302;0000;;;6,64;
200303;0000;;;8,08;
200304;0000;;;11,05;
200305;0000;;;13,46;
200306;0000;;;8,33;
200307;0000;;;10,24;
200308;0000;;;6,56;
200309;0000;;;11,7;
200310;0000;;;8,94;
200311;0000;;;6,25;
200312;0000;;;6,55;
200313;0000;;;7,25;
200314;0000;;;16,17;
200315;0000;;;8,5;
200316;0000;;;;
200317;0000;;;8,93;
200318;0000;;;8,58;
200319;0000;;;12,31;
200320;0000;;;8,6;
200321;0000;;;3,32;
200322;0000;;;1,63;
200323;0000;;;2,06;
200324;0000;;;4,88;
200325;0000;;;8,43;
200326;0000;;;6,18;
200327;0000;;;11,27;
200328;0000;;;7,55;
200329;0000;;;10,46;
200330;0000;;;12,84;
200331;0000;;;12,01;
200401;0000;;;14,56;
200402;0000;;;20,25;
200403;0000;;;16,18;
200404;0000;;;13,72;
200405;0000;;;8,75;
200406;0000;;;18;
200407;0000;;;14,01;
200408;0000;;;8,47;
200409;0000;;;17,73;
200410;0000;;;9,13;
200411;0000;;;13,04;
200412;0000;;;10,05;
200413;0000;;;11,48;
200414;0000;;;13,87;
200415;0000;;;8,14;
200416;0000;;;6,26;
200417;0000;;;7,26;
200418;0000;;;6;
200419;0000;;;7,81;
200420;0000;;;14,98;
200421;0000;;;14,02;
200422;0000;;;11,94;
200423;0000;;;8,23;
200424;0000;;;7,19;
200425;0000;;;5,28;
200426;0000;;;5,4;
200427;0000;;;7,76;
200428;0000;;;7,1;
200429;0000;;;9,01;
200430;0000;;;13,32;
200501;0000;;;8,88;
200502;0000;;;6,55;
200503;0000;;;6,11;
200504;0000;;;4,82;
200505;0000;;;12,35;
200506;0000;;;14,75;
200507;0000;;;14,26;
200508;0000;;;8,56;
200509;0000;;;0,14;
200510;0000;;;1,46;
200511;0000;;;2,25;
200512;0000;;;4,93;
200513;0000;;;3,67;
200514;0000;;;4,25;
200515;0000;;;4,14;
200516;0000;;;1,4;
200517;0000;;;3,2;
200518;0000;;;0,65;
200519;0000;;;5,61;
200520;0000;;;4,01;
200521;0000;;;3,24;
200522;0000;;;10,52;
200523;0000;;;8,2;
200524;0000;;;3,98;
200525;0000;;;6,61;
200526;0000;;;4,79;
200527;0000;;;9,92;
200528;0000;;;13,21;
200529;0000;;;11,46;
200530;0000;;;9,14;
200531;0000;;;6,18;
200601;0000;;;8,84;
200602;0000;;;6,2;
200603;0000;;;;
200604;0000;;;;
200605;0000;;;;
200606;0000;;;;
200607;0000;;;;
200608;0000;;;;
200609;0000;;;;
200610;0000;;;;
200611;0000;;;3,27;
200612;0000;;;;
200613;0000;;;7,09;
200614;0000;;;6,54;
200615;0000;;;2,18;
200616;0000;;;0,92;
200617;0000;;;0,78;
200618;0000;;;3,01;
200619;0000;;;5,09;
200620;0000;;;2,29;
200621;0000;;;0,85;
200622;0000;;;11,25;
200623;0000;;;5,35;
200624;0000;;;7,66;
200625;0000;;;9,77;
200626;0000;;;2,27;
200627;0000;;;0,96;
200628;0000;;;0,4;
200629;0000;;;0,49;
200630;0000;;;1,55;
200701;0000;;;8,02;
200702;0000;;;11,2;
200703;0000;;;2,78;
200704;0000;;;3,15;
200705;0000;;;3,6;
200706;0000;;;6,69;
200707;0000;;;4,15;
200708;0000;;;1,73;
200709;0000;;;4,03;
200710;0000;;;8,13;
200711;0000;;;7,79;
200712;0000;;;6,07;
200713;0000;;;12,45;
200714;0000;;;17,54;
200715;0000;;;12,09;
200716;0000;;;10,64;
200717;0000;;;8,96;
200718;0000;;;2,63;
200719;0000;;;3,63;
200720;0000;;;8,03;
200721;0000;;;9,35;
200722;0000;;;11,07;
200723;0000;;;18,34;
200724;0000;;;11,12;
200725;0000;;;4,89;
200726;0000;;;6,88;
200727;0000;;;10,58;
200728;0000;;;16,08;
200729;0000;;;14,13;
200730;0000;;;18,97;
200731;0000;;;10,43;
200801;0000;;;9,16;
200802;0000;;;6,64;
200803;0000;;;7,46;
200804;0000;;;7;
200805;0000;;;8,44;
200806;0000;;;16,08;
200807;0000;;;13,36;
200808;0000;;;10,3;
200809;0000;;;6,35;
200810;0000;;;9,92;
200811;0000;;;9,28;
200812;0000;;;10,6;
200813;0000;;;8,72;
200814;0000;;;8,2;
200815;0000;;;7,63;
200816;0000;;;6,97;
200817;0000;;;7,85;
200818;0000;;;8,51;
200819;0000;;;11,6;
200820;0000;;;19,63;
200821;0000;;;13,67;
200822;0000;;;8,78;
200823;0000;;;4,76;
200824;0000;;;3,55;
200825;0000;;;3,05;
200826;0000;;;1,84;
200827;0000;;;6,45;
200828;0000;;;3,95;
200829;0000;;;9,58;
200830;0000;;;10,93;
200831;0000;;;9,5;
200901;0000;;;7,07;
200902;0000;;;8,92;
200903;0000;;;10,84;
200904;0000;;;11,83;
200905;0000;;;9,81;
200906;0000;;;10,32;
200907;0000;;;6,4;
200908;0000;;;3,48;
200909;0000;;;6,24;
200910;0000;;;7,11;
200911;0000;;;10,63;
200912;0000;;;6,59;
200913;0000;;;7,02;
200914;0000;;;14,87;
200915;0000;;;8,43;
200916;0000;;;5;
200917;0000;;;10,76;
200918;0000;;;10,09;
200919;0000;;;10,83;
200920;0000;;;8,37;
200921;0000;;;7,51;
200922;0000;;;13,84;
200923;0000;;;12,81;
200924;0000;;;12,63;
200925;0000;;;5,81;
200926;0000;;;7,68;
200927;0000;;;7,23;
200928;0000;;;6,4;
200929;0000;;;2,01;
200930;0000;;;7,16;
201001;0000;;;11,75;
201002;0000;;;8,5;
201003;0000;;;5,75;
201004;0000;;;5,34;
201005;0000;;;10,73;
201006;0000;;;9,07;
201007;0000;;;11,95;
201008;0000;;;18,35;
201009;0000;;;12,49;
201010;0000;;;8,38;
201011;0000;;;14,3;
201012;0000;;;11,92;
201013;0000;;;12,23;
201014;0000;;;9,59;
201015;0000;;;10,84;
201016;0000;;;4,99;
201017;0000;;;3,63;
201018;0000;;;2,67;
201019;0000;;;8;
201020;0000;;;11,02;
201021;0000;;;8,23;
201022;0000;;;10,93;
201023;0000;;;5,83;
201024;0000;;;4,54;
201025;0000;;;5,84;
201026;0000;;;4,6;
201027;0000;;;2,69;
201028;0000;;;5,99;
201029;0000;;;14,17;
201030;0000;;;15,13;
201031;0000;;;7,19;
201101;0000;;;3,98;
201102;0000;;;6,56;
201103;0000;;;5,77;
201104;0000;;;7,39;
201105;0000;;;17,46;
201106;0000;;;16,19;
201107;0000;;;14,95;
201108;0000;;;10,66;
201109;0000;;;14,1;
201110;0000;;;7,91;
201111;0000;;;6,54;
201112;0000;;;12,51;
201113;0000;;;;
201114;0000;;;12,18;
201115;0000;;;11,88;
201116;0000;;;14,19;
201117;0000;;;4,85;
201118;0000;;;4,87;
201119;0000;;;2,24;
201120;0000;;;5,26;
201121;0000;;;2,84;
201122;0000;;;4,11;
201123;0000;;;3,38;
201124;0000;;;3,49;
201125;0000;;;9,29;
201126;0000;;;19,23;
201127;0000;;;7,44;
201128;0000;;;2,6;
201129;0000;;;14,78;
201130;0000;;;12,6;
201201;0000;;;9,42;
201202;0000;;;8,45;
201203;0000;;;12,31;
201204;0000;;;12,95;
201205;0000;;;6,33;
201206;0000;;;4,69;
201207;0000;;;2,59;
201208;0000;;;5,72;
201209;0000;;;10,54;
201210;0000;;;;
201211;0000;;;;
201212;0000;;;1,12;
201213;0000;;;8,51;
201214;0000;;;6,32;
201215;0000;;;14,02;
201216;0000;;;16,37;
201217;0000;;;11,6;
201218;0000;;;4,13;
201219;0000;;;5,82;
201220;0000;;;10,07;
201221;0000;;;11,58;
201222;0000;;;11,75;
201223;0000;;;10,27;
201224;0000;;;12,47;
201225;0000;;;9,28;
201226;0000;;;9,04;
201227;0000;;;4,66;
201228;0000;;;4,47;
201229;0000;;;3,52;
201230;0000;;;9,18;
201231;0000;;;16,14;
210101;0000;;;8,45;
210102;0000;;;6,47;
210103;0000;;;8,57;
210104;0000;;;14,12;
210105;0000;;;11,69;
210106;0000;;;9,93;
210107;0000;;;12,84;
210108;0000;;;8,4;
210109;0000;;;4,92;
210110;0000;;;1,77;
210111;0000;;;6,56;
210112;0000;;;11,85;
210113;0000;;;8,19;
210114;0000;;;9,75;
210115;0000;;;7,81;
210116;0000;;;10,94;
210117;0000;;;12,95;
210118;0000;;;14,08;
210119;0000;;;12,87;
210120;0000;;;12,68;
210121;0000;;;15,68;
210122;0000;;;13,92;
210123;0000;;;9,27;
210124;0000;;;7,33;
210125;0000;;;11,11;
210126;0000;;;10,56;
210127;0000;;;7,82;
210128;0000;;;6,61;
210129;0000;;;2,13;
210130;0000;;;4,34;
210131;0000;;;4,42;
210201;0000;;;6,83;
210202;0000;;;8,12;
210203;0000;;;9,58;
210204;0000;;;8,86;
210205;0000;;;7,19;
210206;0000;;;4,78;
210207;0000;;;4,88;
210208;0000;;;4,09;
210209;0000;;;10,96;
210210;0000;;;6,35;
210211;0000;;;7,67;
210212;0000;;;5,16;
210213;0000;;;7,63;
210214;0000;;;7,42;
210215;0000;;;6,45;
210216;0000;;;4,99;
210217;0000;;;4,75;
210218;0000;;;7,8;
210219;0000;;;12,92;
210220;0000;;;9,15;
210221;0000;;;7;
210222;0000;;;11,1;
210223;0000;;;17,13;
210224;0000;;;8,08;
210225;0000;;;5,66;
210226;0000;;;9,07;
210227;0000;;;9,37;
210228;0000;;;10,04;
210301;0000;;;12,7;
210302;0000;;;8,11;
210303;0000;;;13,3;
210304;0000;;;14,35;
210305;0000;;;5,14;
210306;0000;;;5,37;
210307;0000;;;6,97;
210308;0000;;;11,98;
210309;0000;;;8,1;
210310;0000;;;3,71;
210311;0000;;;11,65;
210312;0000;;;;
210313;0000;;;5,12;
210314;0000;;;1,82;
210315;0000;;;2,88;
210316;0000;;;6,44;
210317;0000;;;5,68;
210318;0000;;;6,94;
210319;0000;;;1,99;
210320;0000;;;5,17;
210321;0000;;;3,68;
210322;0000;;;7,2;
210323;0000;;;8,48;
210324;0000;;;7,42;
210325;0000;;;11,95;
210326;0000;;;12,04;
210327;0000;;;13,28;
210328;0000;;;5,55;
210329;0000;;;5,29;
210330;0000;;;6,93;
210331;0000;;;7,63;
210401;0000;;;8,21;
210402;0000;;;7,42;
210403;0000;;;5,38;
210404;0000;;;2,88;
210405;0000;;;4,65;
210406;0000;;;4,77;
210407;0000;;;6,08;
210408;0000;;;6,02;
210409;0000;;;8,77;
210410;0000;;;4,86;
210411;0000;;;10,68;
210412;0000;;;12,8;
210413;0000;;;9,87;
210414;0000;;;6,12;
210415;0000;;;15,05;
210416;0000;;;12,76;
210417;0000;;;8,34;
210418;0000;;;6,11;
210419;0000;;;3,67;
210420;0000;;;5,33;
210421;0000;;;8,02;
210422;0000;;;13,15;
210423;0000;;;7,81;
210424;0000;;;11,12;
210425;0000;;;8,42;
210426;0000;;;11,03;
210427;0000;;;9,12;
210428;0000;;;9,66;
210429;0000;;;9,49;
210430;0000;;;5,8;
210501;0000;;;2,04;
210502;0000;;;3,54;
210503;0000;;;9,27;
210504;0000;;;12,04;
210505;0000;;;12,76;
210506;0000;;;13,88;
210507;0000;;;9,42;
210508;0000;;;8,22;
210509;0000;;;10,88;
