FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200208;0000;;;19;
200209;0000;;;17;
200210;0000;;;14;
200211;0000;;;13;
200212;0000;;;9;
200213;0000;;;12;
200214;0000;;;9;
200215;0000;;;13;
200216;0000;;;9;
200217;0000;;;10;
200218;0000;;;7;
200219;0000;;;9;
200220;0000;;;11;
200221;0000;;;23;
200222;0000;;;20;
200223;0000;;;19;
200224;0000;;;11;
200225;0000;;;10;
200226;0000;;;12;
200227;0000;;;14;
200228;0000;;;11;
200229;0000;;;20;
200301;0000;;;17;
200302;0000;;;18;
200303;0000;;;14;
200304;0000;;;11;
200305;0000;;;13;
200306;0000;;;19;
200307;0000;;;12;
200308;0000;;;16;
200309;0000;;;16;
200310;0000;;;15;
200311;0000;;;13;
200312;0000;;;16;
200313;0000;;;7;
200314;0000;;;10;
200315;0000;;;14;
200316;0000;;;;
200317;0000;;;8;
200318;0000;;;10;
200319;0000;;;12;
200320;0000;;;22;
200321;0000;;;18;
200322;0000;;;22;
200323;0000;;;17;
200324;0000;;;7;
200325;0000;;;7;
200326;0000;;;16;
200327;0000;;;11;
200328;0000;;;7;
200329;0000;;;10;
200330;0000;;;10;
200331;0000;;;9;
200401;0000;;;14;
200402;0000;;;14;
200403;0000;;;8;
200404;0000;;;8;
200405;0000;;;11;
200406;0000;;;9;
200407;0000;;;8;
200408;0000;;;15;
200409;0000;;;12;
200410;0000;;;6;
200411;0000;;;10;
200412;0000;;;10;
200413;0000;;;6;
200414;0000;;;8;
200415;0000;;;8;
200416;0000;;;7;
200417;0000;;;13;
200418;0000;;;5;
200419;0000;;;9;
200420;0000;;;13;
200421;0000;;;11;
200422;0000;;;16;
200423;0000;;;13;
200424;0000;;;13;
200425;0000;;;9;
200426;0000;;;5;
200427;0000;;;8;
200428;0000;;;9;
200429;0000;;;6;
200430;0000;;;9;
200501;0000;;;6;
200502;0000;;;2;
200503;0000;;;3;
200504;0000;;;4;
