FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200208;0000;;;0,59;
200209;0000;;;0,55;
200210;0000;;;2,74;
200211;0000;;;1,13;
200212;0000;;;0,96;
200213;0000;;;5,79;
200214;0000;;;1,23;
200215;0000;;;1,02;
200216;0000;;;0,71;
200217;0000;;;0,45;
200218;0000;;;2,31;
200219;0000;;;2,75;
200220;0000;;;2,74;
200221;0000;;;5,46;
200222;0000;;;0,41;
200223;0000;;;0,34;
200224;0000;;;0,99;
200225;0000;;;1,29;
200226;0000;;;1,52;
200227;0000;;;4,47;
200228;0000;;;4,94;
200229;0000;;;1,85;
200301;0000;;;0,43;
200302;0000;;;1,13;
200303;0000;;;1,04;
200304;0000;;;2,96;
200305;0000;;;6,18;
200306;0000;;;2,44;
200307;0000;;;10,12;
200308;0000;;;5,35;
200309;0000;;;7,24;
200310;0000;;;0,85;
200311;0000;;;0,76;
200312;0000;;;3,26;
200313;0000;;;1,45;
200314;0000;;;3,74;
200315;0000;;;1,35;
200316;0000;;;;
200317;0000;;;0,87;
200318;0000;;;1,04;
200319;0000;;;0,99;
200320;0000;;;2,71;
200321;0000;;;0,27;
200322;0000;;;0,15;
200323;0000;;;0,21;
200324;0000;;;0,21;
200325;0000;;;0,84;
200326;0000;;;0,61;
200327;0000;;;4,03;
200328;0000;;;0,5;
200329;0000;;;2,18;
200330;0000;;;2,55;
200331;0000;;;2,51;
200401;0000;;;5,3;
200402;0000;;;3,92;
200403;0000;;;2,46;
200404;0000;;;1,92;
200405;0000;;;1,01;
200406;0000;;;1,42;
200407;0000;;;0,98;
200408;0000;;;0,81;
200409;0000;;;2,53;
200410;0000;;;0,61;
200411;0000;;;1,35;
200412;0000;;;1,29;
200413;0000;;;1,54;
200414;0000;;;1,31;
200415;0000;;;0,54;
200416;0000;;;0,41;
200417;0000;;;2,97;
200418;0000;;;0,33;
200419;0000;;;0,31;
200420;0000;;;1,51;
200421;0000;;;1;
200422;0000;;;1,24;
200423;0000;;;0,58;
200424;0000;;;3,13;
200425;0000;;;0,36;
200426;0000;;;0,42;
200427;0000;;;0,34;
200428;0000;;;0,4;
200429;0000;;;0,77;
200430;0000;;;3,26;
200501;0000;;;0,99;
200502;0000;;;0,64;
200503;0000;;;0,51;
200504;0000;;;0,57;
200505;0000;;;1,58;
200506;0000;;;1,64;
200507;0000;;;1,47;
200508;0000;;;4,83;
200509;0000;;;0,64;
200510;0000;;;0,59;
200511;0000;;;0,86;
200512;0000;;;1,57;
200513;0000;;;0,86;
200514;0000;;;3,56;
200515;0000;;;1,14;
200516;0000;;;1,25;
200517;0000;;;1,46;
200518;0000;;;1,05;
200519;0000;;;0,95;
200520;0000;;;0,91;
200521;0000;;;1,17;
200522;0000;;;7,63;
200523;0000;;;1,75;
200524;0000;;;1,43;
200525;0000;;;1,78;
200526;0000;;;2,29;
200527;0000;;;2,54;
200528;0000;;;4,87;
200529;0000;;;1,49;
200530;0000;;;1,76;
200531;0000;;;1,14;
200601;0000;;;1,62;
200602;0000;;;1,35;
200603;0000;;;;
200604;0000;;;;
200605;0000;;;;
200606;0000;;;;
200607;0000;;;;
200608;0000;;;;
200609;0000;;;;
200610;0000;;;;
200611;0000;;;4,1;
200612;0000;;;;
200613;0000;;;2,55;
200614;0000;;;2,87;
200615;0000;;;2,64;
200616;0000;;;2,3;
200617;0000;;;2,35;
200618;0000;;;1,26;
200619;0000;;;10,63;
200620;0000;;;1,54;
200621;0000;;;1,37;
200622;0000;;;10,14;
200623;0000;;;1,77;
200624;0000;;;1,68;
200625;0000;;;1,53;
200626;0000;;;1,6;
200627;0000;;;1,71;
200628;0000;;;1,85;
200629;0000;;;1,93;
200630;0000;;;1,35;
200701;0000;;;1,5;
200702;0000;;;5,19;
200703;0000;;;1,74;
200704;0000;;;1,82;
200705;0000;;;1,61;
200706;0000;;;2,21;
200707;0000;;;1,87;
200708;0000;;;1,41;
200709;0000;;;6,19;
200710;0000;;;1,25;
200711;0000;;;1,25;
200712;0000;;;1,04;
200713;0000;;;1,28;
200714;0000;;;2,47;
200715;0000;;;2,47;
200716;0000;;;2,07;
200717;0000;;;5,77;
200718;0000;;;0,9;
200719;0000;;;0,8;
200720;0000;;;0,8;
200721;0000;;;0,75;
200722;0000;;;1,83;
200723;0000;;;4,81;
200724;0000;;;1,09;
200725;0000;;;0,92;
200726;0000;;;1,03;
200727;0000;;;1,13;
200728;0000;;;1,74;
200729;0000;;;1,82;
200730;0000;;;6,2;
200731;0000;;;1,8;
200801;0000;;;1,73;
200802;0000;;;1,43;
200803;0000;;;1,33;
200804;0000;;;1,43;
200805;0000;;;1,19;
200806;0000;;;12,95;
200807;0000;;;5,74;
200808;0000;;;2,59;
200809;0000;;;1,44;
200810;0000;;;1,3;
200811;0000;;;1,76;
200812;0000;;;1,77;
200813;0000;;;3,83;
200814;0000;;;1,2;
200815;0000;;;1,23;
200816;0000;;;1,18;
200817;0000;;;1,39;
200818;0000;;;1,16;
200819;0000;;;3,31;
200820;0000;;;5,56;
200821;0000;;;1,93;
200822;0000;;;2,03;
200823;0000;;;1,66;
200824;0000;;;1,63;
200825;0000;;;1,24;
200826;0000;;;1,1;
200827;0000;;;3,51;
200828;0000;;;1,18;
200829;0000;;;1,63;
200830;0000;;;2,48;
200831;0000;;;1,45;
200901;0000;;;1,25;
200902;0000;;;1,2;
200903;0000;;;1,98;
200904;0000;;;1,66;
200905;0000;;;1,29;
200906;0000;;;3,31;
200907;0000;;;1,71;
200908;0000;;;1,32;
200909;0000;;;1,17;
200910;0000;;;3,79;
200911;0000;;;1,47;
200912;0000;;;1,96;
200913;0000;;;1,79;
200914;0000;;;22,41;
200915;0000;;;1,95;
200916;0000;;;0,9;
200917;0000;;;4,34;
200918;0000;;;2,93;
200919;0000;;;2,79;
200920;0000;;;1,73;
200921;0000;;;1,22;
200922;0000;;;2,79;
200923;0000;;;3,46;
200924;0000;;;2,31;
200925;0000;;;1,9;
200926;0000;;;1,76;
200927;0000;;;2,26;
200928;0000;;;2,08;
200929;0000;;;1,67;
200930;0000;;;1,64;
201001;0000;;;7,72;
201002;0000;;;2,32;
201003;0000;;;1,34;
201004;0000;;;1,54;
201005;0000;;;2,9;
201006;0000;;;1,98;
201007;0000;;;2,75;
201008;0000;;;5,34;
201009;0000;;;1,82;
201010;0000;;;1,37;
201011;0000;;;3,19;
201012;0000;;;2,18;
201013;0000;;;2,3;
201014;0000;;;2,19;
201015;0000;;;7,25;
201016;0000;;;1,22;
201017;0000;;;0,96;
201018;0000;;;0,81;
201019;0000;;;1,05;
201020;0000;;;1,22;
201021;0000;;;0,91;
201022;0000;;;4,8;
201023;0000;;;0,89;
201024;0000;;;0,78;
201025;0000;;;0,74;
201026;0000;;;0,74;
201027;0000;;;0,78;
201028;0000;;;2,17;
201029;0000;;;2,57;
201030;0000;;;2,78;
201031;0000;;;1,16;
201101;0000;;;0,51;
201102;0000;;;0,75;
201103;0000;;;0,52;
201104;0000;;;0,32;
201105;0000;;;4,26;
201106;0000;;;2,96;
201107;0000;;;2,25;
201108;0000;;;1,37;
201109;0000;;;3,24;
201110;0000;;;1,03;
201111;0000;;;0,49;
201112;0000;;;5,16;
201113;0000;;;;
201114;0000;;;2,93;
201115;0000;;;3,67;
201116;0000;;;3,98;
201117;0000;;;1,35;
201118;0000;;;1,19;
201119;0000;;;1,08;
201120;0000;;;3,79;
201121;0000;;;1,15;
201122;0000;;;1,58;
201123;0000;;;1,03;
201124;0000;;;;
201125;0000;;;1,78;
201126;0000;;;2,58;
201127;0000;;;1,63;
201128;0000;;;1,13;
201129;0000;;;2,83;
201130;0000;;;2,37;
201201;0000;;;1,79;
201202;0000;;;1,92;
201203;0000;;;2,46;
201204;0000;;;6,25;
201205;0000;;;1,54;
201206;0000;;;1,53;
201207;0000;;;1,21;
201208;0000;;;1,63;
201209;0000;;;2,55;
201210;0000;;;;
201211;0000;;;;
201212;0000;;;;
201213;0000;;;2,46;
201214;0000;;;1,63;
201215;0000;;;3,28;
201216;0000;;;2,37;
201217;0000;;;2,26;
201218;0000;;;0,32;
201219;0000;;;0,44;
201220;0000;;;2,89;
201221;0000;;;1,26;
201222;0000;;;1,66;
201223;0000;;;1,66;
201224;0000;;;1,39;
201225;0000;;;1,48;
201226;0000;;;1,55;
201227;0000;;;0,94;
201228;0000;;;0,74;
201229;0000;;;0,37;
201230;0000;;;0,97;
201231;0000;;;7,47;
210101;0000;;;1,21;
210102;0000;;;1,07;
210103;0000;;;1,94;
210104;0000;;;4,64;
210105;0000;;;1,82;
210106;0000;;;;
210107;0000;;;2,05;
210108;0000;;;;
210109;0000;;;;
210110;0000;;;;
210111;0000;;;;
210112;0000;;;2,14;
210113;0000;;;;
210114;0000;;;7,53;
210115;0000;;;;
210116;0000;;;1,6;
210117;0000;;;1,89;
210118;0000;;;3,7;
210119;0000;;;2,02;
210120;0000;;;1,41;
210121;0000;;;;
210122;0000;;;3,76;
210123;0000;;;0,99;
210124;0000;;;1,3;
210125;0000;;;2,87;
210126;0000;;;1,89;
210127;0000;;;1,13;
210128;0000;;;;
210129;0000;;;;
210130;0000;;;;
210131;0000;;;;
210201;0000;;;;
210202;0000;;;;
210203;0000;;;;
210204;0000;;;4,36;
210205;0000;;;1,12;
210206;0000;;;1,09;
210207;0000;;;1,07;
210208;0000;;;0,95;
210209;0000;;;1,19;
210210;0000;;;0,99;
210211;0000;;;12,7;
210212;0000;;;1,5;
210213;0000;;;2,03;
210214;0000;;;2,59;
210215;0000;;;1,7;
210216;0000;;;1,48;
210217;0000;;;1,38;
210218;0000;;;2,53;
210219;0000;;;2,64;
210220;0000;;;1,67;
210221;0000;;;1,58;
210222;0000;;;2,42;
210223;0000;;;3,11;
210224;0000;;;;
210225;0000;;;9,2;
210226;0000;;;3,26;
210227;0000;;;2,54;
210228;0000;;;2,32;
210301;0000;;;3,33;
210302;0000;;;0,99;
210303;0000;;;1,88;
210304;0000;;;1,47;
210305;0000;;;1,8;
210306;0000;;;1,56;
210307;0000;;;1,75;
210308;0000;;;2,01;
210309;0000;;;1,5;
210310;0000;;;1,27;
210311;0000;;;5,29;
210312;0000;;;1,63;
210313;0000;;;1,52;
210314;0000;;;1,47;
210315;0000;;;1,23;
210316;0000;;;1,33;
210317;0000;;;1,5;
210318;0000;;;4,05;
210319;0000;;;1,55;
210320;0000;;;1,41;
210321;0000;;;1,54;
210322;0000;;;1,51;
210323;0000;;;1,93;
210324;0000;;;1,6;
210325;0000;;;4,77;
210326;0000;;;1,72;
210327;0000;;;2,42;
210328;0000;;;1,34;
210329;0000;;;1,1;
210330;0000;;;0,99;
210331;0000;;;1,28;
210401;0000;;;1,64;
210402;0000;;;1,12;
210403;0000;;;1,08;
210404;0000;;;1,02;
210405;0000;;;0,82;
210406;0000;;;0,87;
210407;0000;;;0,93;
210408;0000;;;7,66;
210409;0000;;;1,17;
210410;0000;;;0,85;
210411;0000;;;3,22;
210412;0000;;;9,25;
210413;0000;;;1,28;
210414;0000;;;1,9;
210415;0000;;;4,22;
210416;0000;;;1,11;
210417;0000;;;1,62;
210418;0000;;;0,88;
210419;0000;;;0,93;
210420;0000;;;0,93;
210421;0000;;;0,66;
210422;0000;;;1,42;
210423;0000;;;1,27;
210424;0000;;;1,63;
210425;0000;;;1,93;
210426;0000;;;1,58;
210427;0000;;;1,65;
210428;0000;;;1,84;
210429;0000;;;3,82;
210430;0000;;;1,17;
210501;0000;;;1,04;
210502;0000;;;1,01;
